input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx512,shape/2/compact/update/all/packet,1,3,"[19675.644798500343,19656.014995314104,19681.812089971776]",19675.644798500343,"[19682.44470477289,19667.43064667572,19682.960637298376]",19682.44470477289,"[19.214496873535488,19.19532714386143,19.220519619113063]",19.214496873535488,1024.0
avx512,shape/2/compact/update/all/point,1,3,"[31905.657953696944,31559.041075429446,31792.753547423315]",31792.753547423315,"[31907.355489165042,31576.630321133234,31797.19044064673]",31797.19044064673,"[31.15786909540717,30.81937605022407,31.047610886155578]",31.047610886155578,1024.0
avx512,shape/2/compact/update/half/packet,1,3,"[19541.060296845702,19483.44434137301,19478.569573283512]",19483.44434137301,"[19541.92857143172,19484.173005567343,19479.265769941863]",19484.173005567343,"[19.08306669613838,19.026801114622085,19.02204059890968]",19.026801114622085,1024.0
avx512,shape/2/compact/update/half/point,1,3,"[15992.702723436643,16034.977752205672,16029.591868047628]",16029.591868047628,"[15995.276563105252,16042.752972762739,16030.205983897818]",16030.205983897818,"[15.617873753356095,15.659157961138352,15.653898308640262]",15.653898308640262,1024.0
avx512,shape/2/spread/sum/all/packet,1,3,"[2070.6628571428405,2076.7470935961246,2071.9751724138514]",2071.9751724138514,"[2071.769802954482,2077.1811822657646,2075.065369457305]",2075.065369457305,"[2.022131696428555,2.0280733335899654,2.0234132543104018]",2.0234132543104018,1024.0
avx512,shape/2/spread/sum/all/point,1,3,"[2500.2293872694795,2499.817727543197,2503.7850684116625]",2500.2293872694795,"[2500.760083284869,2501.36276026179,2505.3627007735913]",2501.36276026179,"[2.441630261005351,2.4412282495539035,2.445102605870764]",2.441630261005351,1024.0
avx512,shape/2/spread/sum/half/packet,1,3,"[1369.1208812761256,1371.602902719682,1378.7770005230075]",1371.602902719682,"[1369.8488820608973,1371.6536022491591,1378.9316814856068]",1371.6536022491591,"[1.3370321106212162,1.3394559596871896,1.3464619145732495]",1.3394559596871896,1024.0
avx512,shape/2/spread/sum/half/point,1,3,"[1473.8128267200304,1473.8331403711609,1474.1253903098261]",1473.8331403711609,"[1473.9601796304144,1473.8868540152334,1474.8099147450275]",1473.9601796304144,"[1.4392703385937795,1.4392901761437118,1.4395755764744396]",1.4392901761437118,1024.0
avx512,shape/2/spread/update/all/packet,1,3,"[20268.69686747015,20241.6800000001,20276.181686746753]",20268.69686747015,"[20270.668915666,20242.644337343674,20284.249156628608]",20270.668915666,"[19.793649284638818,19.767265625000093,19.800958678463626]",19.793649284638818,1024.0
avx512,shape/2/spread/update/all/point,1,3,"[31795.835966892486,32053.36794582404,31757.754702785]",31795.835966892486,"[31807.82392777346,32076.38750940699,31760.90067720553]",31807.82392777346,"[31.050621061418443,31.30211713459379,31.01343232693848]",31.050621061418443,1024.0
