profile,pad,width,payload,head,carrier,count,arm,median_ns_per_value,min_ns_per_value,max_ns_per_value,control,control_ns_per_value,ratio
avx2,16,10,2,8,32,256,region32_avx2,0.0747876485,0.074696936,0.075118117,tile8_avx2,0.1028977525,0.7268151799525456
avx2,16,10,2,8,64,256,tile8_avx2,0.205873251,0.205480859,0.208262324,tile8_avx2,0.205873251,1.0
avx2,16,10,2,8,64,256,region32_avx2,0.103925634,0.103496782,0.104559094,tile8_avx2,0.205873251,0.5048039679521066
avx2,16,17,1,16,32,256,tile8_avx2,0.0600757495,0.059999213,0.060349764,tile8_avx2,0.0600757495,1.0
avx2,16,17,1,16,32,256,region32_avx2,0.07092198250000001,0.07080308,0.071027456,tile8_avx2,0.0600757495,1.1805426164512522
avx2,16,18,2,16,32,256,tile8_avx2,0.1248115375,0.124593142,0.125495408,tile8_avx2,0.1248115375,1.0
avx2,16,18,2,16,32,256,region32_avx2,0.1039978715,0.103622958,0.104643952,tile8_avx2,0.1248115375,0.8332392468124191
avx2,16,21,5,16,32,256,tile8_avx2,0.1782145355,0.177774578,0.179018386,tile8_avx2,0.1782145355,1.0
avx2,16,21,5,16,32,256,region32_avx2,0.127249658,0.126645677,0.128838092,tile8_avx2,0.1782145355,0.7140251362942278
avx2,16,23,7,16,32,256,tile8_avx2,0.177248087,0.176975429,0.178357959,tile8_avx2,0.177248087,1.0
avx2,16,23,7,16,32,256,region32_avx2,0.1269821785,0.126766816,0.127237327,tile8_avx2,0.177248087,0.7164093031932129
avx2,16,18,2,16,64,256,tile8_avx2,0.2500255595,0.249697767,0.252398618,tile8_avx2,0.2500255595,1.0
avx2,16,18,2,16,64,256,region32_avx2,0.1360105275,0.135437094,0.13729386,tile8_avx2,0.2500255595,0.5439864939088358
avx2,16,10,2,8,16,8192,tile8_avx2,0.10340746449999999,0.103010219,0.104121216,tile8_avx2,0.10340746449999999,1.0
avx2,16,10,2,8,16,8192,region32_avx2,0.0597107075,0.059516061,0.05981781,tile8_avx2,0.10340746449999999,0.577431308162478
avx2,16,9,1,8,16,8192,tile8_avx2,0.0575576295,0.057205942,0.057834029,tile8_avx2,0.0575576295,1.0
avx2,16,9,1,8,16,8192,region32_avx2,0.029376595499999998,0.029221233,0.029753391,tile8_avx2,0.0575576295,0.5103857777881557
avx2,16,13,5,8,16,8192,tile8_avx2,0.1825836525,0.179065697,0.186447613,tile8_avx2,0.1825836525,1.0
avx2,16,13,5,8,16,8192,region32_avx2,0.077085603,0.07688567,0.07751964,tile8_avx2,0.1825836525,0.42219334504768985
avx2,16,15,7,8,16,8192,tile8_avx2,0.1761881935,0.175526433,0.178441264,tile8_avx2,0.1761881935,1.0
avx2,16,15,7,8,16,8192,region32_avx2,0.077184472,0.07697805,0.077288814,tile8_avx2,0.1761881935,0.4380797059480606
avx2,16,10,2,8,32,8192,tile8_avx2,0.10345715999999999,0.103067365,0.104688581,tile8_avx2,0.10345715999999999,1.0
avx2,16,10,2,8,32,8192,region32_avx2,0.07477358349999999,0.074586704,0.075728845,tile8_avx2,0.10345715999999999,0.7227492374621534
avx2,16,10,2,8,64,8192,tile8_avx2,0.207747303,0.207112469,0.210813634,tile8_avx2,0.207747303,1.0
avx2,16,10,2,8,64,8192,region32_avx2,0.1038943825,0.103422947,0.104321569,tile8_avx2,0.207747303,0.5000997895024418
avx2,16,17,1,16,32,8192,tile8_avx2,0.061808918500000004,0.061644455,0.062042058,tile8_avx2,0.061808918500000004,1.0
avx2,16,17,1,16,32,8192,region32_avx2,0.071558702,0.071433701,0.071846349,tile8_avx2,0.061808918500000004,1.157740723128815
avx2,16,18,2,16,32,8192,tile8_avx2,0.1256420165,0.125322443,0.126329165,tile8_avx2,0.1256420165,1.0
avx2,16,18,2,16,32,8192,region32_avx2,0.10479521550000001,0.104158502,0.105467312,tile8_avx2,0.1256420165,0.8340777903703894
avx2,16,21,5,16,32,8192,tile8_avx2,0.18612059949999998,0.185890004,0.187132396,tile8_avx2,0.18612059949999998,1.0
avx2,16,21,5,16,32,8192,region32_avx2,0.12751530849999998,0.127130851,0.128036104,tile8_avx2,0.18612059949999998,0.6851219523392948
avx2,16,23,7,16,32,8192,tile8_avx2,0.1832491385,0.18310377,0.18359708,tile8_avx2,0.1832491385,1.0
avx2,16,23,7,16,32,8192,region32_avx2,0.12708614750000002,0.126936242,0.128150247,tile8_avx2,0.1832491385,0.6935156614665342
avx2,16,18,2,16,64,8192,tile8_avx2,0.251354851,0.250443496,0.252819344,tile8_avx2,0.251354851,1.0
avx2,16,18,2,16,64,8192,region32_avx2,0.13624000549999998,0.135593705,0.137156546,tile8_avx2,0.251354851,0.5420225826475097
avx2,16,10,2,8,16,65536,tile8_avx2,0.1026641725,0.102468777,0.102782227,tile8_avx2,0.1026641725,1.0
avx2,16,10,2,8,16,65536,region32_avx2,0.058784444,0.058678161,0.05897183,tile8_avx2,0.1026641725,0.5725896636433708
avx2,16,9,1,8,16,65536,tile8_avx2,0.0564842755,0.056309614,0.056761753,tile8_avx2,0.0564842755,1.0
avx2,16,9,1,8,16,65536,region32_avx2,0.0283014435,0.028253043,0.028411219,tile8_avx2,0.0564842755,0.5010499515037596
avx2,16,13,5,8,16,65536,tile8_avx2,0.1817199365,0.178353861,0.183879822,tile8_avx2,0.1817199365,1.0
avx2,16,13,5,8,16,65536,region32_avx2,0.07687321650000001,0.076671682,0.076970376,tile8_avx2,0.1817199365,0.42303127538237945
avx2,16,15,7,8,16,65536,tile8_avx2,0.1764342155,0.176094018,0.177910477,tile8_avx2,0.1764342155,1.0
avx2,16,15,7,8,16,65536,region32_avx2,0.07711551350000001,0.076754607,0.07781475,tile8_avx2,0.1764342155,0.43707799692628224
avx2,16,10,2,8,32,65536,tile8_avx2,0.10306942999999999,0.10287711,0.103344113,tile8_avx2,0.10306942999999999,1.0
