input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier-unroll4-acc2,1,5,"[1367.4526540694494,1372.6137302956881,1424.1066896761788,1414.4230269104967,1417.8342493631346]",1414.4230269104967,"[1364.445142141334,1369.584576863054,1421.0059167299096,1411.3016565897933,1414.73875990416]",1411.3016565897933,"[0.1669253728112121,0.16755538699898537,0.17384114864211167,0.17265906090216024,0.17307546989296077]",0.17265906090216024,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier-unroll4-acc4,1,5,"[1378.6255708208116,1338.1862729791828,1338.0657419694753,1394.4190410210422,1351.5186858436336]",1351.5186858436336,"[1375.667069981299,1335.2498829089525,1335.1128810355763,1391.3417216331661,1348.5789684247288]",1348.5789684247288,"[0.16828925425058736,0.16335281652577915,0.16333810326775822,0.1702171680933889,0.16498030833052169]",0.16498030833052169,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/direct,1,5,"[2034.466617910551,2042.2239660657424,2074.5796613888174,1996.3142501919838,1993.2502431710977]",2034.466617910551,"[2029.9870918192903,2037.7170146628168,2070.001374923856,1992.8682999960633,1988.869133724677]",2029.9870918192903,"[0.24834797581915904,0.24929491773263454,0.2532445875718771,0.24369070436913862,0.2433166800745969]",0.24834797581915904,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,5,"[864.6741129348945,848.0229922249237,862.3600534045407,839.0869174585762,856.0838639754977]",856.0838639754977,"[862.765591770167,846.4450702904635,860.4638341318264,837.23699992173,854.1946438399008]",854.1946438399008,"[0.10555103917662285,0.10351843166808149,0.10526856120660896,0.10242760222883009,0.10450242480169648]",0.10450242480169648,8192.0,6144.0,4435.0
current,composition/avx2/local/k31/h0/u32/all/authored,1,5,"[1604.1515788388572,1635.0594426819027,1614.0894789889112,1587.0455383628498,1619.317938175024]",1614.0894789889112,"[1600.6178717465139,1631.4555611563435,1610.6160793033273,1583.5529601073172,1615.7442361192147]",1610.6160793033273,"[0.19581928452622768,0.1995922171242557,0.19703240710313857,0.1937311448196838,0.19767064674988086]",0.19703240710313857,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1322.1362162750804,1336.5406134459204,1355.3321140967794,1372.104469929085,1365.9598097397018]",1355.3321140967794,"[1319.3252738324572,1333.599537712124,1352.3410975105423,1369.1199520882906,1362.9542068607252]",1352.3410975105423,"[0.16139358108826665,0.16315193035228523,0.16544581470907954,0.1674932214268903,0.1667431408373659]",0.16544581470907954,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier-unroll4-acc1,1,5,"[1275.0944362836806,1261.2578031623198,1248.724387106204,1226.5732963513735,1250.2252538708026]",1250.2252538708026,"[1272.2804485279378,1258.5275448664474,1245.9853379927906,1223.86643157558,1247.4660593226708]",1247.4660593226708,"[0.15565117630416023,0.1539621341750879,0.1524321761604253,0.14972818558976728,0.15261538743540068]",0.15261538743540068,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier-unroll4-acc2,1,5,"[1207.3651012729463,1211.95501617553,1225.190097756529,1255.0182414375192,1224.114943033965]",1224.114943033965,"[1204.7598371909924,1209.2895993035593,1222.490993564705,1252.2905399475324,1221.4212453419973]",1221.4212453419973,"[0.14738343521398267,0.14794372756048954,0.14955933810504504,0.15320046892547842,0.1494280936320758]",0.1494280936320758,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier-unroll4-acc4,1,5,"[1227.3763672543853,1261.3589045490664,1238.2144817330875,1230.7981080624124,1255.2319487737586]",1238.2144817330875,"[1224.667645006831,1258.6844834228746,1235.4928488746757,1228.103120136112,1252.4734569473346]",1235.4928488746757,"[0.14982621670585758,0.1539744756529622,0.1511492287271835,0.15024390967558746,0.1532265562467967]",0.1511492287271835,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/direct,1,5,"[1659.229474550896,1638.1598601507078,1653.0983181094166,1646.0481656712952,1668.8066989242832]",1653.0983181094166,"[1655.6478172413667,1634.6002959265168,1649.4502323866616,1642.4871158478802,1665.1287818693206]",1649.4502323866616,"[0.20254266046763866,0.19997068605355323,0.20179422828484087,0.20093361397354678,0.20371175523978066]",0.20179422828484087,8192.0,8192.0,5844.0
