machine,input_bits,values,arm,repetitions,median_ns_per_value,ratio_to_current32,samples,entry_mod64,input_page_offset,output_page_offset
zen,64,65536,projected32,20,0.1212645735,0.9387702786057264,"[0.123278916,0.120269895,0.125019647,0.120772664,0.11643903,0.118546113,0.123400696,0.124078929,0.123320006,0.123142865,0.124406718,0.119924482,0.120610986,0.120469909,0.121756483,0.122925643,0.116885845,0.116148677,0.125489973,0.117875889]",48,64,3264
zen,64,65536,current64_grain_control,20,0.12141926950000001,0.9399678584332694,"[0.122479312,0.123008493,0.121406417,0.119559735,0.117461447,0.119109455,0.124026664,0.12488196,0.123340085,0.124122553,0.124329008,0.11956469,0.120908454,0.12222651,0.123049248,0.121432122,0.121185206,0.117860727,0.119768243,0.117497955]",48,64,3264
zen,64,65536,projected64_grain_control,20,0.1173016095,0.908090973751828,"[0.113148116,0.115715012,0.117822096,0.117956501,0.11417485,0.113945294,0.117692117,0.118785352,0.116532758,0.118741505,0.120288298,0.119518828,0.114541348,0.116911102,0.118958056,0.114013951,0.111282323,0.115934622,0.119620159,0.118234824]",0,64,3264
gnr,8,256,current32,20,0.0602623765,1.0,"[0.060351836,0.060208058,0.061225576,0.060279731,0.060296454,0.060244225,0.060303694,0.060259489,0.060294073,0.060231019,0.060469303,0.060240841,0.060189338,0.060265264,0.060347889,0.060207987,0.060411047,0.06019281,0.060233185,0.060230877]",16,960,1280
gnr,8,256,projected32,20,0.051075617000000004,0.8475539792228407,"[0.051107218,0.051090773,0.051103178,0.051100252,0.051063325,0.051072542,0.051082527,0.051216168,0.051074686,0.051076548,0.051069941,0.051448161,0.051112657,0.05105556,0.0511354,0.051053753,0.051030688,0.051061977,0.051069787,0.051046118]",16,960,1280
gnr,8,256,current64_grain_control,20,0.059125565,0.9811356344368529,"[0.059125897,0.059303012,0.05924507,0.059165332,0.05914533,0.059192345,0.059096582,0.059346024,0.059227645,0.059168888,0.059122939,0.059117928,0.059121303,0.059125233,0.059111174,0.059120221,0.059125084,0.059132913,0.059124805,0.059110515]",32,960,1280
gnr,8,256,projected64_grain_control,20,0.051980215999999996,0.862564986961641,"[0.05203015,0.052030418,0.05198664,0.051985227,0.051921589,0.051950889,0.051889822,0.052014258,0.051978098,0.051931839,0.051930223,0.051982334,0.052036321,0.052004911,0.052008715,0.052048694,0.05196148,0.051977254,0.051947391,0.051959297]",48,960,1280
gnr,8,256,direct_predecessor,20,0.052001783499999996,0.8629228802485079,"[0.05200186,0.052017258,0.051969385,0.052152952,0.052018289,0.051991262,0.053108051,0.052119574,0.052003421,0.051986538,0.051993048,0.052001858,0.052001709,0.052049654,0.051980464,0.051982468,0.051965987,0.051980432,0.051969325,0.052005591]",48,960,1280
gnr,16,256,current32,20,0.07505574100000001,1.0,"[0.075021498,0.075096276,0.075140022,0.075039156,0.075100943,0.075055093,0.075150043,0.075157858,0.075061683,0.075102456,0.075020786,0.074987005,0.07501176,0.075060729,0.075049225,0.075056389,0.075022224,0.075097669,0.074987296,0.07499782]",32,1600,1280
gnr,16,256,projected32,20,0.06720282150000001,0.8953721674668431,"[0.068588085,0.067182157,0.067132942,0.067175578,0.067327473,0.067148808,0.067248039,0.067136414,0.067182861,0.067152344,0.067271989,0.067163467,0.067286991,0.067217756,0.067218568,0.067560356,0.067317873,0.067187887,0.067180198,0.067407168]",0,1600,1280
gnr,16,256,current64_grain_control,20,0.0746331515,0.9943696578786689,"[0.074782263,0.074873675,0.074694693,0.074592277,0.074689049,0.074658278,0.074590728,0.074739616,0.074620001,0.074623223,0.07463304,0.074633263,0.07462642,0.074556798,0.074583244,0.074605476,0.074650433,0.074681025,0.074553724,0.074741762]",0,1600,1280
