az_a,az_b,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,positive_blocks,negative_blocks,blocks,block_p50_min_us,block_p50_max_us
2,6,15680,7.258754537975193,-193.33525407597625,305.88475450139185,115.86745969096087,-13.968166855865611,536.3472789477792,149.31549486314674,40.10635735280889,844.6493419485081,-71.48943581199092,208.56629850413992,-193.33525407597625,305.88475450139185,1,0,16,-38.812977152330745,145.59713863312052
3,3,3920,19.725021401864474,-67.82744094464465,67.82744094464465,29.400647175571276,-64.04199495625626,73.13785973359359,34.48131476926866,-61.295934841948956,92.94045201695486,-33.22878029065928,233.5442054470724,-1848.6850692332778,1897.155236795009,0,0,4,12.399800795692718,28.530707693855746
3,4,15680,-7.457514923847384,-672.1675450260761,672.1154375610611,12.755138047670625,-651.6052453578678,711.0976860251651,17.539489651576666,-647.7701653402002,745.9756646757899,-243.69211427710917,64.8720365494861,-947.6625130531713,913.7771774255696,0,0,16,-44.93366511593385,14.081626896818818
3,5,15680,-10.240188314666398,-471.509146451001,471.51004890520517,10.520894691725482,-464.8314481334935,478.5149766193694,16.236782045411857,-462.62155584939444,483.8633525256346,-71.07418452555595,2065.7161046307233,-914.9450872803247,889.087509035204,0,0,16,-25.558823561408573,13.249098189024181
3,6,15680,-6.242218120015451,-397.59815069169167,397.5633442082583,19.0847235860694,-330.7250596734434,438.0964702882282,33.70377057158251,-323.41437391300803,467.424389258013,-2604.588841405793,66.61090630881532,-981.1603351531589,953.245381017981,0,0,16,-57.05694546117344,31.007263792896936
4,4,3920,7.388003377530552,-113.58954258128142,126.95936911131119,54.590973268423724,-58.697450791511656,176.3414190546847,58.87851233489955,-45.18904472631334,197.33670359916204,-131.74543366030397,92.92574587399747,-113.58954258128142,126.95936911131119,0,0,4,-23.267843301466378,54.128341629291974
4,5,15680,20.787058739513043,-96.47887409834846,145.9082841645145,135.03485825889217,15.623397846196024,258.64465161453444,149.97595903253793,40.68355120830644,284.33983571627226,-3369.056544782795,3548.8872199587827,-96.47887409834846,145.9082841645145,3,2,16,-167.43119725645477,148.05240961576732
4,6,15680,0.3610274843271384,-123.76454673268259,118.99655248748746,24.302674131085645,-91.63994707233239,149.21975564571585,52.95138466610663,-55.90582683821241,193.46531776963266,-53.41342710444445,134.34438483026753,-123.76454673268259,118.99655248748746,0,0,16,-34.51205621171576,49.92147612638831
5,5,3920,0.9098024597974259,-41.49013045695696,41.49013045695696,5.471137053166843,-38.86864546891892,45.081611788798796,9.015695346283314,-37.18078224216816,50.39907019301301,-90.40276752082372,23.8981497165458,-120.26335615595607,119.8239741819819,0,0,4,-5.989326439510551,4.30575601019417
5,6,15680,1.5959237468830167,-120.80592730270274,121.76820627137138,9.331032661319927,-97.62285066510493,141.92233024083066,16.05437985584416,-81.63002365466177,154.12288333749845,-114.40567783880294,84.87025291238666,-120.80592730270274,121.76820627137138,0,0,16,-60.280309981740885,11.501181455778124
6,6,3920,-0.6689981622893058,-123.24412557587577,123.45993482707706,7.836851050607243,-99.97494697421409,135.57087263856857,12.826257710782524,-85.36067105004807,140.70117716253154,-29.88046855446548,24.69087136721302,-123.24412557587577,123.45993482707706,0,0,4,-5.080505420115525,7.028282564836957
