src,dst,edge,passes,p50_us_min,p50_us_max,p99_us_min,p99_us_max,p50_lo_us_min,p50_lo_us_max,p50_hi_us_min,p50_hi_us_max,p99_hi_us_min,p99_hi_us_max,rtt_p50_us_min,rtt_p50_us_max,rtt_p99_us_min,rtt_p99_us_max,passes_point_p50_le_110,passes_point_p99_le_110,passes_bounded_p50_le_110,passes_resolved_faster
1,9,az1b -> az5b,4,115.4292119665862,120.69644473734638,126.02909510615564,135.04301978476707,55.88635889294301,61.74071124724729,175.86371071561578,183.47781377507508,192.01856643082286,205.74609251862265,234.797,236.892,247.82943000000006,254.613525,0,0,0,0
1,10,az1b -> az6a,4,256.96746090349836,263.0520091533559,292.4603395153243,317.57702638128234,200.56138362532533,205.00331417162158,317.86763154834824,323.3884565785785,352.6854734823653,375.5224768161176,515.9415,521.5352499999999,549.72752,576.0168450000001,0,0,0,0
1,11,az1b -> az6b,4,276.2395494297908,293.38198579769886,285.04760187112703,308.4647714851634,212.76082562837837,233.62994355395392,338.04906596186197,353.26243103238244,356.41004656259065,375.25826299236036,531.25125,748.7227499999999,553.3231350000001,761.477545,0,0,0,1
2,0,az2a -> az1a,4,183.71225003459898,193.3635668508627,191.04288207853006,200.40580089471257,124.15281050100097,132.2576019463965,245.46396821086086,252.06444195130118,257.75035196285194,265.5079145036925,360.2305,371.8725,372.40268000000003,382.32321,0,0,0,0
2,1,az2a -> az1b,4,163.94265150721498,192.39080494787476,171.20283738981314,199.2888114948872,101.50423795265274,133.18816138153198,224.08901365330348,248.85272508143146,241.25521790247103,262.3876758522375,336.97925,382.2445,347.252775,391.542085,0,0,0,0
2,4,az2a -> az3a,4,400.08958237557977,438.0647909435084,408.41601705919885,443.8862074580611,0.0,0.0,802.2911225741241,856.1484896347347,814.2497498222652,864.0958373247217,802.0615,855.893,814.0100500000001,863.8436300000001,0,0,0,0
2,5,az2a -> az3b,4,346.15547695734983,459.27087994015614,356.00250741997036,473.95402811117157,0.0,0.0,649.642236294995,887.4366137004004,662.8919893842503,905.48868832998,649.4304999999999,887.1795,662.6647200000001,905.22467,0,0,0,0
2,6,az2a -> az4a,4,102.07135661120248,108.80056359310565,107.79753917775406,116.36280504178788,40.15215063298308,45.536829930079634,163.07211449149167,170.72522101786802,176.999015603893,185.6265195923001,210.07,220.30349999999999,218.09071,232.20049500000002,4,1,0,0
2,7,az2a -> az4b,4,128.10371050624644,205.6516971292982,140.794294230643,212.6199038496176,66.42657226016,142.0614221275775,190.20919287502534,265.4426576415415,204.66917838464258,286.9658158798058,284.27525,420.3985,306.907525,430.61012999999997,0,0,0,0
2,8,az2a -> az5a,4,127.19608564825683,137.24158398247022,133.7653079061026,151.19949198752087,71.09930211526552,75.00834222892881,189.28103056596615,200.89850029789784,205.2562032563232,218.15269757204908,267.07000000000005,281.52675,275.62836500000003,299.599845,0,0,0,0
2,9,az2a -> az5b,4,129.11888660623504,145.0484430566599,134.6474192604094,154.4560819572181,67.67471773903887,85.1543276370872,185.93102542377358,202.9943196666166,203.99887144354784,222.22841436977677,259.71825,281.29575,267.986595,292.94786,0,0,0,0
2,10,az2a -> az6a,4,327.28058071759204,336.48801716520506,336.08103469632727,350.0942101568237,266.4176614223223,277.1903826575574,386.2872023934934,396.45186794629626,401.7254518422541,414.2406292029738,653.344,665.85575,669.84616,683.925955,0,0,0,0
2,11,az2a -> az6b,4,418.40028556743835,495.19259122990746,427.4171621292562,505.12398797806003,357.60040567487476,433.5887495125625,478.1308073579079,552.2814241517019,493.048210363082,568.2230729814113,835.90425,950.2782500000001,855.240855,972.4187800000001,0,0,0,0
3,0,az2b -> az1a,4,212.45179406565342,232.52026947872608,301.0213660286996,323.4167535911853,24.755056997656997,48.549247026886206,419.8409171143597,442.6412902820821,503.7589505779296,540.2210616502965,422.52750000000003,444.3435,530.2168400000002,554.0898850000001,0,0,0,0
3,1,az2b -> az1b,4,211.24882190295472,239.97682158438118,305.82504330915833,325.9281520699115,15.204936109468953,46.64575629095029,418.68399336266265,446.9107743461962,515.4845461181249,539.6581779606481,422.76,447.95825,543.7986450000001,563.0186150000001,0,0,0,0
3,4,az2b -> az3a,4,306.6325260627802,309.42011607467686,390.67731740126976,406.5310699657151,0.0,0.0,614.027815264014,616.512520166016,715.505348154764,739.7195779071602,613.7997499999999,616.3,715.2660800000001,739.5305900000001,0,0,0,0
3,5,az2b -> az3b,4,330.2530138288598,403.7233510957411,434.41150913110704,509.07689141719135,0.0,0.0,635.8097348967467,708.9085045099099,767.3759295245387,823.994889156867,635.6212499999999,708.6792499999999,767.1720250000002,823.7435750000001,0,0,0,0
3,6,az2b -> az4a,4,160.89597354805437,194.29263575925575,264.2537661229193,292.6975328700202,0.0,3.088292029589123,320.5045877736736,353.36473334299296,447.8357378181472,472.7484934876727,320.34225,353.1685,447.66974500000003,473.213055,0,0,0,0
3,7,az2b -> az4b,4,172.6684643285709,212.87491018509283,251.22759453012807,308.27117296107514,0.0,24.322079695404767,380.33168682782787,419.5300993765766,468.26265270462767,532.1341988708158,380.99575,422.87775,483.07553500000023,543.5903950000001,0,0,0,0
3,8,az2b -> az5a,4,188.95003537450123,223.0149234318503,283.31688692589427,317.73784248776195,0.0,9.032316802812158,368.12419984429425,419.12510438383384,481.8322344940741,529.1879938358628,368.20475,419.49775,482.63341500000007,537.3886000000001,0,0,0,0
3,9,az2b -> az5b,4,181.59240254075482,198.76435199054396,273.1802093759849,298.11235031500496,0.0,15.142269761370816,374.37837035725727,416.6778824192693,474.26871630774775,530.9862332162384,374.192,417.5295,476.7685100000001,537.5284050000001,0,0,0,0
3,10,az2b -> az6a,4,385.8232599725674,454.40814309189614,476.9885744710712,555.6068620610428,201.1147503923517,256.6767626714308,601.5927848776182,689.431554568359,690.2267830248325,914.2949874801992,689.085,906.4065,809.3362450000001,1042.58923,0,0,0,0
3,11,az2b -> az6b,4,414.0822940659673,425.8951851958642,504.89711713547007,520.7794504441856,222.44150362558486,232.13783115936877,628.2851709301708,701.5815700297203,728.796983404465,916.0286297358451,830.97075,840.4762499999999,948.8824850000001,953.2472650000001,0,0,0,0
4,0,az3a -> az1a,4,244.2593432688834,262.6649875878906,248.35035580418977,268.38458928846075,0.0,0.0,489.65367909904904,524.8418344943443,496.93978006909407,535.1346797515996,489.44375,524.59175,496.73143,534.872315,0,0,0,0
4,1,az3a -> az1b,4,241.32795970202608,263.48256718910835,245.51840268594577,268.9619754293194,0.0,0.0,486.8721253589589,522.0580964005505,492.92280095186385,528.5688091082233,486.70825,521.8932500000001,492.76118,528.390085,0,0,0,0
