input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
zen,composition/avx2/local/k31/h0/u32/prefilter75/materialized,1,5,"[924.0571917615921,922.7897670760734,925.7433706394914,925.1390538312419,925.192769412258]",925.1390538312419,"[922.0240821329229,920.7854350675549,923.7042636078772,923.0997254084916,923.1903671468506]",923.0997254084916,"[0.11279995016620996,0.1126452352387785,0.11300578254876605,0.11293201340713402,0.11293857048489479]",0.11293201340713402,8192.0,6144.0,4401.0,31744.0,
zen,composition/avx512/local/k12/h0/u16/all/authored,1,5,"[1867.1020233322504,1860.3324409164006,1860.802874028659,1867.390731357969,1864.9965195740526]",1864.9965195740526,"[1863.0775264877602,1856.2463271464878,1856.6949607452655,1863.281707014978,1860.9358865377287]",1860.9358865377287,"[0.2279177274575501,0.22709136241655278,0.22714878833357657,0.2279529701364708,0.227660707955817]",0.227660707955817,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx512/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1273.5976020913208,1278.2347085418685,1274.4273487506384,1276.93666254545,1276.926826375166]",1276.926826375166,"[1270.786035922961,1275.4269609610722,1271.6556519198907,1274.1177739961954,1274.1124361857076]",1274.1124361857076,"[0.1554684572865382,0.1560345103200523,0.15556974472053692,0.1558760574396301,0.15587485673524973]",0.15587485673524973,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx512/local/k12/h0/u16/all/direct,1,5,"[1862.120005080984,1872.6720083970122,1870.4186739940048,1872.9749961558125,1870.395227875936]",1870.4186739940048,"[1858.0332270340439,1868.5617441184295,1866.3779056939895,1868.8927508903876,1866.2746745825245]",1866.3779056939895,"[0.2273095709327373,0.22859765727502587,0.22832259204028382,0.2286346430854264,0.2283197299653242]",0.22832259204028382,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx512/local/k12/h0/u16/all/grouped32-authored-probe,1,5,"[634.0508920407757,630.8744364221136,632.975855669996,632.694895481916,634.6569122462622]",632.975855669996,"[632.6510771603795,629.5183430247109,631.5784099559507,631.3003008750442,633.2600182868981]",631.5784099559507,"[0.07739879053232127,0.0770110396023088,0.07726756050659131,0.07723326360863232,0.0774727676081863]",0.07726756050659131,8192.0,8192.0,5945.0,12288.0,32.0
zen,composition/avx512/local/k12/h0/u16/all/grouped32-authored-u64-carrier-probe,1,5,"[503.1667027820903,501.6406361088447,501.559385381309,500.34266961559416,501.47253288442386]",501.559385381309,"[502.07758665455054,500.5462011655727,500.4520742485011,499.256529875856,500.36543307123367]",500.4520742485011,"[0.06142171664820438,0.06123542921250545,0.061225510910804325,0.06107698603705984,0.061214908799368146]",0.061225510910804325,8192.0,8192.0,5945.0,12288.0,32.0
zen,composition/avx512/local/k12/h0/u16/all/materialized,1,5,"[713.8914133164491,715.7923566163778,711.0768396390143,712.1794439226524,712.3230393858319]",712.3230393858319,"[712.3507386122149,714.2122169590782,709.5100940238365,710.6118713886846,710.7687588051782]",710.7687588051782,"[0.0871449479146056,0.08737699665727268,0.08680137202624687,0.0869359672757144,0.08695349601877832]",0.08695349601877832,8192.0,8192.0,5945.0,12288.0,
zen,composition/avx512/local/k12/h0/u16/prefilter75/authored,1,5,"[1862.6557551430026,1869.6938685398893,1860.1265161398076,1863.5449740758993,1866.9964007359004]",1863.5449740758993,"[1858.5640140497906,1865.6110051847857,1856.01948151884,1859.4936745270218,1862.8748753968164]",1859.4936745270218,"[0.22737497011022975,0.2282341148119982,0.22706622511472258,0.22748351734324943,0.22790483407420656]",0.22748351734324943,8192.0,6144.0,4435.0,12288.0,8.0
zen,composition/avx512/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1273.3470260705985,1276.2414120179571,1278.9689770120801,1271.8267537359302,1278.066300635227]",1276.2414120179571,"[1270.5521617591085,1273.4709812169208,1276.1449685117118,1269.0336040570655,1275.3104442082968]",1273.4709812169208,"[0.15543786939338358,0.15579118799047328,0.15612414270166994,0.1552522892744055,0.1560139527142611]",0.15579118799047328,8192.0,6144.0,4435.0,12288.0,8.0
zen,composition/avx512/local/k12/h0/u16/prefilter75/direct,1,5,"[1869.267127571784,1873.0380346544036,1868.099085731046,1862.859432807228,1865.0460860769974]",1868.099085731046,"[1865.1792472920492,1868.9739626301225,1864.0216989163948,1858.7470322856088,1860.9350496394684]",1864.0216989163948,"[0.22818202240866506,0.22864233821464888,0.22803943917615307,0.22739983310635103,0.22766675855432095]",0.22803943917615307,8192.0,6144.0,4435.0,12288.0,8.0
