input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,point/4/write/body,1,3,"[21935.823928944614,21945.56739811902,21909.778474399165]",21935.823928944614,"[21949.42371996232,21956.753918500806,21910.776906996416]",21949.42371996232,"[2.677712881951247,2.678902270278201,2.6745335051756793]",2.677712881951247,8192.0
avx2,point/4/write/control,1,3,"[22277.642138697774,22308.272101640938,22286.59396506083]",22286.59396506083,"[22290.946532550013,22309.48491265014,22287.532027528017]",22290.946532550013,"[2.7194387376340057,2.723177746782341,2.72053148987559]",2.72053148987559,8192.0
avx2,point/4/write/control_effects,1,3,"[23933.103133903198,23926.374358974375,23908.328205128277]",23926.374358974375,"[23935.872934471146,23927.417094020137,23909.365811965195]",23927.417094020137,"[2.9215213786502927,2.920699994991989,2.918497095352573]",2.920699994991989,8192.0
avx2,point/4/write/ordinary,1,3,"[30364.917748917724,30378.063492063357,30388.749639249665]",30378.063492063357,"[30367.79004328961,30398.670995664936,30402.18398268407]",30398.670995664936,"[3.7066549986471835,3.708259703621015,3.7095641649474693]",3.708259703621015,8192.0
avx2,scan/packet4/16/1024,1,3,"[626.0572522495669,624.4795602169048,623.987634825092]",624.4795602169048,"[626.089878434101,624.7314969310245,624.3760204993083]",624.7314969310245,"[0.6113840353999676,0.6098433205243211,0.6093629246338788]",0.6098433205243211,1024.0
avx2,scan/packet4/16/1048576,1,3,"[652686.1875000012,654386.8125000047,647456.6406250021]",652686.1875000012,"[653103.2187500063,654905.7343749887,648592.7343751197]",653103.2187500063,"[0.6224500536918651,0.6240718960762068,0.617462769150736]",0.6224500536918651,1048576.0
avx2,scan/packet4/16/65536,1,3,"[39758.601518026204,39809.379506641664,39708.31688804573]",39758.601518026204,"[39781.10721062817,39826.57210626393,39764.4459202989]",39781.10721062817,"[0.6066681139835541,0.6074429246008555,0.6059008314215962]",0.6066681139835541,65536.0
avx2,scan/packet4/64/1024,1,3,"[650.0036638530858,648.4128868688716,648.2020220758761]",648.4128868688716,"[650.4178183840773,648.9397551246013,648.2038771915518]",648.9397551246013,"[0.6347692029815291,0.6332157098328824,0.6330097871834728]",0.6332157098328824,1024.0
avx2,scan/packet4/64/1048576,1,3,"[1618869.1153846348,1533102.1153846162,1588990.6153846188]",1588990.6153846188,"[1656507.7307690172,1535201.5000003735,1593120.1923076687]",1593120.1923076687,"[1.5438738969656325,1.4620801118703997,1.5153795389028728]",1.5153795389028728,1048576.0
avx2,scan/packet4/64/65536,1,3,"[45499.82135076268,45411.030501089226,45437.94771241813]",45437.94771241813,"[45512.108932459916,45431.52069716987,45459.0370370248]",45459.0370370248,"[0.6942721763727215,0.6929173355268742,0.6933280595766926]",0.6933280595766926,65536.0
avx2,wide/64/read/body,1,3,"[3344.8600747752826,3348.948055047327,3346.107390024663]",3346.107390024663,"[3344.8747911863857,3349.1369023943885,3346.4959032690776]",3346.4959032690776,"[3.2664649167727364,3.2704570850071555,3.26768299807096]",3.26768299807096,1024.0
avx2,wide/64/read/control,1,3,"[3237.4735291837856,3242.254553910547,3243.0382140919337]",3242.254553910547,"[3237.488489264751,3243.2322300594155,3243.404309744181]",3243.2322300594155,"[3.1615952433435406,3.1662642128032688,3.167029505949154]",3.1662642128032688,1024.0
avx2,wide/64/read/ordinary,1,3,"[3354.090807174887,3352.3675528507356,3349.393497757856]",3352.3675528507356,"[3358.832238949048,3353.270019218476,3349.5449231266834]",3353.270019218476,"[3.275479303881725,3.2737964383307965,3.2708920876541563]",3.2737964383307965,1024.0
avx2,wide/64/write/body,1,3,"[5252.296796796816,5250.800300300302,5254.193818818768]",5252.296796796816,"[5252.821196197264,5251.805180178976,5254.400275275414]",5252.821196197264,"[5.129196090621892,5.127734668262014,5.131048651190203]",5.129196090621892,1024.0
avx2,wide/64/write/control,1,3,"[5263.447299160308,5273.313197142494,5271.534778794341]",5271.534778794341,"[5264.178092492994,5280.576137362188,5271.640180475124]",5271.640180475124,"[5.140085253086237,5.1497199190844665,5.147983182416349]",5.147983182416349,1024.0
avx2,wide/64/write/ordinary,1,3,"[5936.432348367075,5935.004382864411,5935.951788491474]",5935.951788491474,"[5937.723314012846,5935.271737593557,5936.199208257033]",5936.199208257033,"[5.797297215202221,5.795902717641026,5.796827918448705]",5.796827918448705,1024.0
avx512,composition/128/body,1,3,"[8541.880937818552,8550.366156982669,8548.11743119266]",8548.11743119266,"[8541.931294595875,8551.156574927754,8557.974311924885]",8551.156574927754,"[8.34168060333843,8.349966950178388,8.347770928899083]",8.347770928899083,1024.0
avx512,composition/128/ordinary,1,3,"[10744.120389344265,10750.767418032783,10749.94774590164]",10749.94774590164,"[10753.346311474901,10785.536372947374,10750.692366804316]",10753.346311474901,"[10.492305067719009,10.498796306672638,10.49799584560707]",10.49799584560707,1024.0
avx512,pipeline/decode_repack/cps,1,3,"[5892.905289743235,5908.217623123384,5891.228567419647]",5892.905289743235,"[5894.073663533014,5913.03283288744,5891.490528974912]",5894.073663533014,"[5.754790322014878,5.769743772581429,5.75315289787075]",5.754790322014878,1024.0
avx512,pipeline/decode_repack/inline,1,3,"[4962.292844470643,4972.736487285639,4966.722176227078]",4966.722176227078,"[4965.45629805016,4973.555765817297,4971.186635126445]",4971.186635126445,"[4.845989105928362,4.856187975864882,4.850314625221756]",4.850314625221756,1024.0
avx512,point/1/read/body,1,3,"[12758.181155015218,12757.71003039512,12757.311854103351]",12757.71003039512,"[12758.259270516284,12758.31702127878,12762.736474164836]",12758.31702127878,"[1.5573951605243186,1.557337650194717,1.5572890446903502]",1.557337650194717,8192.0
avx512,point/1/read/control,1,3,"[12771.151109759801,12764.77227120705,12758.402553967775]",12764.77227120705,"[12784.127090301985,12766.060504712712,12759.006688967227]",12766.060504712712,"[1.5589784069531007,1.5581997401375791,1.5574221867636446]",1.5581997401375791,8192.0
avx512,point/1/read/ordinary,1,3,"[7441.737420269299,7442.715450035458,7439.551204819268]",7441.737420269299,"[7452.26506024311,7443.834691706926,7444.628454995585]",7444.628454995585,"[0.9084152124352173,0.9085346008344066,0.9081483404320395]",0.9084152124352173,8192.0
avx512,point/1/write/body,1,3,"[9301.480680061812,9266.985206447333,9283.887392360375]",9283.887392360375,"[9302.71229851615,9270.74034002538,9284.540516671568]",9284.540516671568,"[1.135434653327858,1.131223780083903,1.1332870352002413]",1.1332870352002413,8192.0
avx512,point/1/write/control,1,3,"[14567.960124826697,14555.730235783622,14553.358529819778]",14555.730235783622,"[14570.073855752693,14556.45735089762,14554.11685159701]",14556.45735089762,"[1.778315444925134,1.7768225385478054,1.7765330236596406]",1.7768225385478054,8192.0
avx512,point/1/write/control_effects,1,3,"[10936.567560531008,10943.677688101985,10948.228846654556]",10943.677688101985,"[10937.944024998944,10944.19005467292,10957.548555064346]",10944.19005467292,"[1.335030219791383,1.3358981552858868,1.3364537166326362]",1.3358981552858868,8192.0
avx512,point/1/write/ordinary,1,3,"[16926.711987128027,16942.919147224355,16910.32421560743]",16926.711987128027,"[16927.628318589974,17210.711584873716,16930.061946906986]",16930.061946906986,"[2.066249021866214,2.0682274349639105,2.0642485614755164]",2.066249021866214,8192.0
avx512,point/2/read/body,1,3,"[12756.587788578365,12760.223572296436,12753.191373025518]",12756.587788578365,"[12758.570473870366,12760.772478736919,12753.707168898454]",12758.570473870366,"[1.557200657785445,1.557644479040092,1.556786056277529]",1.557200657785445,8192.0
avx512,point/2/read/control,1,3,"[10946.83064095884,10952.333767587297,10940.358520062533]",10946.83064095884,"[10947.517978114012,10963.127670655982,10946.379103695816]",10947.517978114012,"[1.336283037226421,1.3369548056136837,1.335492983406071]",1.336283037226421,8192.0
avx512,point/2/read/ordinary,1,3,"[9621.421426932779,9674.4634090388,9651.802248222082]",9651.802248222082,"[9626.59853177859,9675.167240189487,9652.732966279573]",9652.732966279573,"[1.1744899202798802,1.1809647716111817,1.1781985166286721]",1.1781985166286721,8192.0
