case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
cnf,tag8,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,7831855242651732853,1
cnf,tag8_eager,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,7831855242651732853,1
cnf,tag8_cnf,q0,1048576,1048576,41,13,33,16175,16175,0,1969504,0,0,0,0,65536,57558,0,0,4194304,67108864,7831855242651732853,1
cnf,joint64,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,1048576,16384,0,0,65536,65536,0,0,6291456,67108864,7831855242651732853,1
cnf,marginal64,q0,1048576,1048576,41,13,33,16175,16175,0,2096128,131072,16384,8,0,65504,65504,0,0,4456448,67108864,7831855242651732853,1
exclusive,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1
exclusive,soa,q1,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1
exclusive,soa,q2,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1
exclusive,soa,q3,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14167409164308735609,1
exclusive,tag8,q0,1048576,1048576,41,13,0,131072,131072,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q1,1048576,1048576,41,13,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q2,1048576,1048576,41,13,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,tag8,q3,1048576,1048576,41,13,0,0,0,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14167409164308735609,1
exclusive,joint64,q0,1048576,1048576,41,13,0,131072,131072,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q1,1048576,1048576,41,13,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q2,1048576,1048576,41,13,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,joint64,q3,1048576,1048576,41,13,0,0,0,0,0,524288,16384,16384,0,0,0,0,0,6291456,67108864,14167409164308735609,1
exclusive,marginal64,q0,1048576,1048576,41,13,0,131072,131072,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q1,1048576,1048576,41,13,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q2,1048576,1048576,41,13,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
exclusive,marginal64,q3,1048576,1048576,41,13,0,0,0,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,14167409164308735609,1
paired,soa,q0,1048576,1048576,41,13,131072,131072,0,131072,8388608,0,0,0,0,0,0,0,0,0,67108864,295848790840331787,1
paired,soa,q1,1048576,1048576,41,13,131072,131072,0,131072,8388608,0,0,0,0,0,0,0,0,0,67108864,295848790840331787,1
paired,soa,q2,1048576,1048576,41,13,131072,131072,0,131072,8388608,0,0,0,0,0,0,0,0,0,67108864,295848790840331787,1
paired,soa,q3,1048576,1048576,41,13,131072,131072,0,131072,8388608,0,0,0,0,0,0,0,0,0,67108864,295848790840331787,1
paired,tag8,q0,1048576,1048576,41,13,131072,131072,131072,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,295848790840331787,1
paired,tag8,q1,1048576,1048576,41,13,131072,131072,131072,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,295848790840331787,1
paired,tag8,q2,1048576,1048576,41,13,131072,131072,131072,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,295848790840331787,1
paired,tag8,q3,1048576,1048576,41,13,131072,131072,131072,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,295848790840331787,1
paired,joint64,q0,1048576,1048576,41,13,131072,131072,131072,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,295848790840331787,1
paired,joint64,q1,1048576,1048576,41,13,131072,131072,131072,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,295848790840331787,1
paired,joint64,q2,1048576,1048576,41,13,131072,131072,131072,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,295848790840331787,1
paired,joint64,q3,1048576,1048576,41,13,131072,131072,131072,0,1048576,524288,16384,0,0,65536,0,0,0,6291456,67108864,295848790840331787,1
paired,marginal64,q0,1048576,1048576,41,13,131072,131072,131072,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,295848790840331787,1
paired,marginal64,q1,1048576,1048576,41,13,131072,131072,131072,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,295848790840331787,1
paired,marginal64,q2,1048576,1048576,41,13,131072,131072,131072,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,295848790840331787,1
paired,marginal64,q3,1048576,1048576,41,13,131072,131072,131072,0,1048576,65536,16384,0,0,65536,0,0,0,4456448,67108864,295848790840331787,1
range,native,q0,1048576,1048576,41,13,524222,524222,0,524222,4194304,0,0,0,0,65536,0,0,0,0,67108864,12688853177045613208,1
range,prefix16,q0,1048576,1048576,41,13,524222,524222,0,524222,2098016,0,0,0,0,65536,27,0,0,4194304,67108864,12688853177045613208,1
range,prefix8,q0,1048576,1048576,41,13,524222,524222,0,524222,1172784,0,0,0,0,65536,7735,27,1,4194304,67108864,12688853177045613208,1
ties,native,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,0,0,0,0,67108864,3519896043959245654,1
ties,prefix16,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,65536,0,0,4194304,67108864,3519896043959245654,1
ties,prefix8,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,65536,65536,65536,4194304,67108864,3519896043959245654,1
range_clustered,native,q0,1048576,1048576,41,13,524222,524222,0,524222,4194304,0,0,0,0,65536,0,0,0,0,67108864,17926817765396161761,1
range_clustered,prefix16,q0,1048576,1048576,41,13,524222,524222,0,524222,2097248,0,0,0,0,65536,3,0,0,4194304,67108864,17926817765396161761,1
range_clustered,prefix8,q0,1048576,1048576,41,13,524222,524222,0,524222,1056864,0,0,0,0,65536,514,3,1,4194304,67108864,17926817765396161761,1
