name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/write_scalar/65536,5,1,runtime/bytes64_0/write_scalar/65536,iteration,5,0,1,1906,14786.453305349874,14757.32528856246,ns,487936.0,256.0,17347317.009974066,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/65536,5,1,runtime/bytes64_0/write_scalar/65536,iteration,5,1,1,1906,14829.207764950852,14812.115424973757,ns,487936.0,256.0,17283149.14211206,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/65536,5,1,runtime/bytes64_0/write_scalar/65536,iteration,5,2,1,1906,14678.4470094453,14667.51888772308,ns,487936.0,256.0,17453531.29998528,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/65536,5,1,runtime/bytes64_0/write_scalar/65536,iteration,5,3,1,1906,14689.941762854178,14679.386673662204,ns,487936.0,256.0,17439420.712264217,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_scalar/65536,5,1,runtime/bytes64_0/write_scalar/65536,iteration,5,4,1,1906,14885.142182582935,14885.21091290657,ns,487936.0,256.0,17198278.311127536,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/1024,6,0,runtime/bytes64_0/write_native/1024,iteration,5,0,1,25644,1091.3172671966624,1090.4929418187526,ns,6564864.0,256.0,234756219.12145212,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/1024,6,0,runtime/bytes64_0/write_native/1024,iteration,5,1,1,25644,1092.240290126177,1092.1631570737836,ns,6564864.0,256.0,234397212.85407296,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/1024,6,0,runtime/bytes64_0/write_native/1024,iteration,5,2,1,25644,1093.6410076430218,1093.3205038215633,ns,6564864.0,256.0,234149089.0413053,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/1024,6,0,runtime/bytes64_0/write_native/1024,iteration,5,3,1,25644,1091.1296599592342,1090.068671034153,ns,6564864.0,256.0,234847589.7001348,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/1024,6,0,runtime/bytes64_0/write_native/1024,iteration,5,4,1,25644,1093.9159257522701,1092.5554515676195,ns,6564864.0,256.0,234313049.86185032,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/65536,6,1,runtime/bytes64_0/write_native/65536,iteration,5,0,1,25352,1113.787906279921,1113.0297806879016,ns,6490112.0,256.0,230002830.50987247,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/65536,6,1,runtime/bytes64_0/write_native/65536,iteration,5,1,1,25352,1109.358236036323,1108.5725386557226,ns,6490112.0,256.0,230927603.8087961,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/65536,6,1,runtime/bytes64_0/write_native/65536,iteration,5,2,1,25352,1110.6177027452923,1109.832044809087,ns,6490112.0,256.0,230665532.85910666,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/65536,6,1,runtime/bytes64_0/write_native/65536,iteration,5,3,1,25352,1109.2876301670074,1109.2936257494432,ns,6490112.0,256.0,230777491.24091953,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/write_native/65536,6,1,runtime/bytes64_0/write_native/65536,iteration,5,4,1,25352,1108.2190754177477,1105.0434679709745,ns,6490112.0,256.0,231665095.01210335,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/prepare_read,7,0,runtime/bytes64_0/prepare_read,iteration,5,0,1,107235,260.27173031200317,260.27101226278694,ns,0.0,1.0,3842148.9635208906,,960.0,7040.0,107235.0,,,,0.0
runtime/bytes64_0/prepare_read,7,0,runtime/bytes64_0/prepare_read,iteration,5,1,1,107235,260.77353476018516,260.2818109758968,ns,0.0,1.0,3841989.55835836,,960.0,7040.0,107235.0,,,,0.0
runtime/bytes64_0/prepare_read,7,0,runtime/bytes64_0/prepare_read,iteration,5,2,1,107235,260.2755536905494,260.227090035904,ns,0.0,1.0,3842797.457643738,,960.0,7040.0,107235.0,,,,0.0
runtime/bytes64_0/prepare_read,7,0,runtime/bytes64_0/prepare_read,iteration,5,3,1,107235,260.2130740896715,260.2123467151575,ns,0.0,1.0,3843015.1859575445,,960.0,7040.0,107235.0,,,,0.0
runtime/bytes64_0/prepare_read,7,0,runtime/bytes64_0/prepare_read,iteration,5,4,1,107235,260.4065743461592,260.39102904835084,ns,0.0,1.0,3840378.0792859592,,960.0,7040.0,107235.0,,,,0.0
runtime/bytes64_0/prepare_write,8,0,runtime/bytes64_0/prepare_write,iteration,5,0,1,59370,472.1984167087307,472.196917635165,ns,0.0,1.0,2117760.5415303307,,960.0,7040.0,0.0,,,,59370.0
runtime/bytes64_0/prepare_write,8,0,runtime/bytes64_0/prepare_write,iteration,5,1,1,59370,471.68384706067116,471.19491325585125,ns,0.0,1.0,2122263.9970585085,,960.0,7040.0,0.0,,,,59370.0
runtime/bytes64_0/prepare_write,8,0,runtime/bytes64_0/prepare_write,iteration,5,2,1,59370,470.957874347132,470.9565773959867,ns,0.0,1.0,2123338.006083704,,960.0,7040.0,0.0,,,,59370.0
runtime/bytes64_0/prepare_write,8,0,runtime/bytes64_0/prepare_write,iteration,5,3,1,59370,470.7827017011216,470.7461849418909,ns,0.0,1.0,2124286.997935927,,960.0,7040.0,0.0,,,,59370.0
runtime/bytes64_0/prepare_write,8,0,runtime/bytes64_0/prepare_write,iteration,5,4,1,59370,470.9994946943807,470.91648980966795,ns,0.0,1.0,2123518.758929367,,960.0,7040.0,0.0,,,,59370.0
runtime/bytes64_1/read_inline/1024,9,0,runtime/bytes64_1/read_inline/1024,iteration,5,0,1,46325,605.3683756069046,605.3662601187349,ns,11859200.0,256.0,422884486.40958095,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/1024,9,0,runtime/bytes64_1/read_inline/1024,iteration,5,1,1,46325,604.4902320559513,604.4043389098808,ns,11859200.0,256.0,423557515.25829244,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/1024,9,0,runtime/bytes64_1/read_inline/1024,iteration,5,2,1,46325,606.39892066926,606.3970210469549,ns,11859200.0,256.0,422165662.2883991,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/1024,9,0,runtime/bytes64_1/read_inline/1024,iteration,5,3,1,46325,605.9946033458309,605.5661305990284,ns,11859200.0,256.0,422744911.02526456,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/1024,9,0,runtime/bytes64_1/read_inline/1024,iteration,5,4,1,46325,605.079330814841,605.0776470588222,ns,11859200.0,256.0,423086196.0351233,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/65536,9,1,runtime/bytes64_1/read_inline/65536,iteration,5,0,1,32421,859.6394003885944,859.6416520156755,ns,8299776.0,256.0,297798506.3889527,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/65536,9,1,runtime/bytes64_1/read_inline/65536,iteration,5,1,1,32421,860.9151167451943,860.3001449677557,ns,8299776.0,256.0,297570564.7586459,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/65536,9,1,runtime/bytes64_1/read_inline/65536,iteration,5,2,1,32421,862.0391104531611,860.4084081305339,ns,8299776.0,256.0,297533122.1555913,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/65536,9,1,runtime/bytes64_1/read_inline/65536,iteration,5,3,1,32421,890.0050276055201,864.7491440732906,ns,8299776.0,256.0,296039610.7409192,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_inline/65536,9,1,runtime/bytes64_1/read_inline/65536,iteration,5,4,1,32421,860.8075013109448,859.8146571666584,ns,8299776.0,256.0,297738585.7128734,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/1024,10,0,runtime/bytes64_1/read_bound/1024,iteration,5,0,1,40536,698.3432257746819,696.6758436944916,ns,10377216.0,256.0,367459274.3770543,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/1024,10,0,runtime/bytes64_1/read_bound/1024,iteration,5,1,1,40536,704.8478142884817,704.7841918294821,ns,10377216.0,256.0,363231756.56859446,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/1024,10,0,runtime/bytes64_1/read_bound/1024,iteration,5,2,1,40536,694.7942816260598,694.6934083284056,ns,10377216.0,256.0,368507886.97707057,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/1024,10,0,runtime/bytes64_1/read_bound/1024,iteration,5,3,1,40536,707.7605585159049,707.7203473455795,ns,10377216.0,256.0,361724798.4464057,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/1024,10,0,runtime/bytes64_1/read_bound/1024,iteration,5,4,1,40536,705.2497039666525,705.2033254391184,ns,10377216.0,256.0,363015871.8275939,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/65536,10,1,runtime/bytes64_1/read_bound/65536,iteration,5,0,1,29913,936.8431785508568,936.1161033664341,ns,7657728.0,256.0,273470351.6790066,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/65536,10,1,runtime/bytes64_1/read_bound/65536,iteration,5,1,1,29913,940.892922809357,937.2443753552034,ns,7657728.0,256.0,273141143.0481824,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/65536,10,1,runtime/bytes64_1/read_bound/65536,iteration,5,2,1,29913,937.3814060777016,936.3250091933214,ns,7657728.0,256.0,273409337.0212908,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/65536,10,1,runtime/bytes64_1/read_bound/65536,iteration,5,3,1,29913,937.1417109617487,936.2066994283308,ns,7657728.0,256.0,273443888.14598256,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/read_bound/65536,10,1,runtime/bytes64_1/read_bound/65536,iteration,5,4,1,29913,935.5781767125156,935.2415672115703,ns,7657728.0,256.0,273726071.39700377,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/1024,11,0,runtime/bytes64_1/weighted_bound/1024,iteration,5,0,1,24232,1149.1898728952422,1149.1871079564378,ns,6203392.0,256.0,222766160.73011515,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/1024,11,0,runtime/bytes64_1/weighted_bound/1024,iteration,5,1,1,24232,1157.284169693011,1155.8192060085903,ns,6203392.0,256.0,221487927.06434518,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/1024,11,0,runtime/bytes64_1/weighted_bound/1024,iteration,5,2,1,24232,1153.1874793657369,1153.1838478045615,ns,6203392.0,256.0,221994090.95728698,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/1024,11,0,runtime/bytes64_1/weighted_bound/1024,iteration,5,3,1,24232,1158.0893034005603,1154.8696764608862,ns,6203392.0,256.0,221670033.61324322,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/1024,11,0,runtime/bytes64_1/weighted_bound/1024,iteration,5,4,1,24232,1163.1231842189982,1163.1153433476359,ns,6203392.0,256.0,220098549.5240654,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/65536,11,1,runtime/bytes64_1/weighted_bound/65536,iteration,5,0,1,19378,1444.0757560121008,1444.0737950252756,ns,4960768.0,256.0,177276258.92935705,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/65536,11,1,runtime/bytes64_1/weighted_bound/65536,iteration,5,1,1,19378,1445.2559603673035,1444.2972442976632,ns,4960768.0,256.0,177248832.26824155,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_1/weighted_bound/65536,11,1,runtime/bytes64_1/weighted_bound/65536,iteration,5,2,1,19378,1444.0437609657251,1443.1092992052681,ns,4960768.0,256.0,177394740.74554244,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
