scope,case,eligible_for_new_reader,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
transition,transition/series/avx512/local/k1/h0/u32/dense/o1-n32,True,8.187420272472934,7.814862124107453,0.9544962716011947,8.165823551014292,8.20388408715603,7.804978353369157,7.824234543714406,True,False,True,"[8.165982850856112, 7.806689255534161, 7.822138624959613, 8.198577903763]"
transition,transition/series/avx512/local/k1/h0/u32/dense/o1-n33,True,8.341344030822373,8.794301106098247,1.0543026487820353,8.314080770913698,8.36246512561286,8.78863610470763,8.798041488946783,False,True,True,"[8.31927093902264, 8.795725696120403, 8.790786929687064, 8.36226607088163]"
transition,transition/series/avx512/local/k1/h0/u32/dense/o1-n38,True,9.78127177659167,8.792287088835035,0.8988899694901177,9.756472968396238,9.798904272269391,8.779473329454897,8.806081182973974,True,False,True,"[9.757180298767059, 8.796272620644034, 8.786615135277737, 9.796721539344238]"
transition,transition/series/avx512/local/k1/h0/u32/dense/o1-n39,True,7.957548934236671,6.7916022326783745,0.8534791666134893,7.93611552068038,7.978154273113069,6.753950666938198,6.801947844318888,True,False,True,"[7.940594384976433, 6.778267719916495, 6.7934117134857415, 7.977705672140535]"
transition,transition/series/avx512/local/k1/h0/u32/dense/o1-n40,True,8.538645516181248,8.089515087954993,0.9474002723997471,8.510398281768962,8.558579902382025,8.02252127607072,8.194167220090852,True,False,True,"[8.51308910078302, 8.082455984830148, 8.096574191079839, 8.55475551623777]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n31,True,6.929944907119813,7.775584418044817,1.1220268735551122,6.922399397519423,6.93724878253653,7.765295207160109,7.784624101720605,False,True,True,"[6.923813521733593, 7.782754541789942, 7.766890316306187, 6.930407150554323]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n32,True,6.289739198170456,6.741673473339975,1.0718526255112415,6.287927378600587,6.30028381031678,6.733352236006961,6.753889203376824,False,True,True,"[6.289425690899957, 6.751319344381257, 6.74165664365428, 6.290052705440955]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n33,True,5.710163666631388,6.1676583799329,1.0801193696031839,5.703004602814097,5.724681168556715,6.160924379143066,6.188587645058649,False,True,True,"[5.703466623616597, 6.170215274246492, 6.165373997401811, 5.72397493772085]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n38,True,6.818705552872154,8.675336745833677,1.27228499288688,6.814792484831785,6.832158801018728,8.65071078915994,8.690972222222845,False,True,True,"[6.816350894007454, 8.654600557095138, 8.68983124271284, 6.824907590587883]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n39,True,7.190931416094263,8.697621501599537,1.2095264157481882,7.174464442253019,7.198573196567631,8.660067720165664,8.726896026009841,False,True,True,"[7.1800990987268625, 8.662434706668682, 8.721401645642821, 7.198487442921223]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o0-n40,True,6.514609802810284,6.973831237829815,1.070491011575464,6.510242021539493,6.521511423159051,6.963586789188977,6.984676717736285,False,True,True,"[6.5154585259506925, 6.965968992863447, 6.9789822099262615, 6.51062667510409]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n31,True,7.659982493520692,6.644152346752117,0.8673847952488364,7.641913680428382,7.672600987196552,6.635474012305278,6.666184421380707,True,False,True,"[7.6452269882384565, 6.644230465434245, 6.640472253985762, 7.669717153924811]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n32,True,8.299412687502844,7.933459678755671,0.9559061559502613,8.276737577109667,8.314274022646162,7.920667887722489,7.938216064004293,True,False,True,"[8.291039425531626, 7.932625949708569, 7.937836504760782, 8.309476214574838]"
transition,transition/series/avx512/local/k1/h0/u64/dense/o1-n33,True,8.429299314807333,8.822444490428516,1.0466403150414372,8.415460353255176,8.459649984210579,8.801647047780236,8.837054172500382,False,True,True,"[8.417026221579047, 8.836166388410758, 8.807527266447918, 8.45947295834222]"
