input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,shape/2/spread/update/half/point,1,3,"[16482.792141453614,16506.811787819282,16495.52298624743]",16495.52298624743,"[16494.92612966607,16516.372495088686,16496.431041256306]",16496.431041256306,"[16.096476700638295,16.11993338654227,16.108909166257256]",16.108909166257256,1024.0
avx2,shape/4/compact/sum/all/packet,1,3,"[966.2091440136035,964.2628213973504,964.8166137712315]",964.8166137712315,"[966.3227772410295,964.3063106573182,964.8511338023419]",964.8511338023419,"[0.9435636172007847,0.94166291152085,0.9422037243859681]",0.9422037243859681,1024.0
avx2,shape/4/compact/sum/all/point,1,3,"[2799.2835880664484,2796.009877861587,2798.7276246412334]",2798.7276246412334,"[2799.4905559627396,2796.135420142912,2800.5625041714316]",2799.4905559627396,"[2.733675378971141,2.730478396349206,2.7331324459387045]",2.7331324459387045,1024.0
avx2,shape/4/compact/sum/half/packet,1,3,"[696.2744404595984,696.7989307299009,695.8948661752025]",696.2744404595984,"[696.3214285714643,697.2886033074453,695.9289201037268]",696.3214285714643,"[0.6799555082613264,0.6804677057909189,0.6795848302492211]",0.6799555082613264,1024.0
avx2,shape/4/compact/sum/half/point,1,3,"[1674.3157560103464,1690.486230876215,1678.9654679117737]",1678.9654679117737,"[1675.6390621891837,1691.5000198686034,1679.2003576390991]",1679.2003576390991,"[1.6350739804788537,1.6508654598400536,1.6396147147575915]",1.6396147147575915,1024.0
avx2,shape/4/compact/update/all/packet,1,3,"[2429.6833641832236,2428.0429199444484,2421.486927348456]",2428.0429199444484,"[2430.563223045171,2428.042977788198,2421.6298588617565]",2428.042977788198,"[2.3727376603351793,2.37113566400825,2.3647333274887266]",2.37113566400825,1024.0
avx2,shape/4/compact/update/all/point,1,3,"[18482.840899074326,18456.719259585785,18484.14103129148]",18482.840899074326,"[18483.5464962518,18456.724107538394,18484.806963415773]",18483.5464962518,"[18.049649315502275,18.024139901939243,18.050918975870587]",18.049649315502275,1024.0
avx2,shape/4/compact/update/half/packet,1,3,"[1488.8978832038965,1493.1633514165212,1491.7400985710688]",1491.7400985710688,"[1489.8995496931416,1493.2293373045272,1492.6336914509675]",1492.6336914509675,"[1.4540018390663052,1.4581673353676965,1.456777440010809]",1.456777440010809,1024.0
avx2,shape/4/compact/update/half/point,1,3,"[8632.634536505313,8613.893765381494,8616.68908941754]",8616.68908941754,"[8633.137202623688,8614.839417555506,8619.328753076281]",8619.328753076281,"[8.430307164555972,8.412005630255365,8.414735438884316]",8.414735438884316,1024.0
avx2,shape/4/spread/sum/all/packet,1,3,"[20240.084819277054,20243.06795180745,20255.925783132512]",20243.06795180745,"[20240.84674698759,20255.955180722736,20264.504578315074]",20255.955180722736,"[19.765707831325248,19.768621046686963,19.781177522590344]",19.768621046686963,1024.0
avx2,shape/4/spread/sum/all/point,1,3,"[4176.521557303511,4174.389724185961,4173.894852135778]",4174.389724185961,"[4176.679976103136,4176.455939459849,4173.894951707539]",4176.455939459849,"[4.078634333304211,4.076552465025354,4.076069191538846]",4.076552465025354,1024.0
avx2,shape/4/spread/sum/half/packet,1,3,"[10504.23924999988,10510.929000000058,10502.236500000039]",10504.23924999988,"[10523.702000000412,10513.099250001545,10502.676749997163]",10513.099250001545,"[10.258046142578008,10.264579101562557,10.256090332031288]",10.258046142578008,1024.0
avx2,shape/4/spread/sum/half/point,1,3,"[2129.3246733438436,2129.3505516294895,2133.3726168081826]",2129.3505516294895,"[2129.4009863236515,2130.7268798621335,2133.3726676500187]",2130.7268798621335,"[2.0794186263123473,2.0794438980756733,2.0833716961017408]",2.0794438980756733,1024.0
avx2,shape/4/spread/update/all/packet,1,3,"[56100.07506702329,56029.11126005438,56012.52815013427]",56029.11126005438,"[56104.138069704684,56035.47855227422,56014.821715827915]",56035.47855227422,"[54.78522955763993,54.71592896489686,54.6997345216155]",54.71592896489686,1024.0
