input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k5/h0/u8/prefilter75/authored-u64-carrier,1,5,"[936.8982973726257,937.9539096192259,936.8690592891711,936.2725475173236,936.659869316905]",936.8690592891711,"[938.2845351654507,938.2214185104522,937.7595243744755,936.6073551899422,936.9940045027332]",937.7595243744755,"[0.11436746794099437,0.11449632685781566,0.11436389883901016,0.11429108246061077,0.11433836295372375]",0.11436389883901016,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/dense32-authored,1,5,"[356.1964215101021,355.9722051630235,356.0627519940179,356.70577397686014,356.1891689140297]",356.1891689140297,"[356.28704844532024,356.0295889137196,356.2746691891366,356.8692930620619,356.2988822304152]",356.28704844532024,"[0.043481008485119876,0.04345363832556439,0.04346469140551977,0.043543185299909686,0.04348012315845089]",0.04348012315845089,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/direct,1,5,"[1474.065479512636,1474.531676161788,1474.106101452182,1473.570981771463,1474.7253135497774]",1474.106101452182,"[1474.9954612949948,1475.130827390556,1474.3368014244118,1473.7226756240457,1475.9068670313143]",1474.9954612949948,"[0.17993963372956984,0.17999654250021824,0.17994459246242453,0.1798792702357743,0.1800201798766818]",0.17994459246242453,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/materialized,1,5,"[1217.7282360066113,1215.90813396712,1216.1252532470066,1216.4490826467506,1215.8886105289753]",1216.1252532470066,"[1219.7558023525862,1216.0445671172702,1216.9480217326902,1216.9203508203116,1216.080899619494]",1216.9203508203116,"[0.14864846630940082,0.1484262858846582,0.1484527897030037,0.1484923196590272,0.1484239026524628]",0.1484527897030037,8192.0,6144.0,4386.0
current,composition/avx2/local/k56/h0/u64/all/authored,1,5,"[1991.049562164174,1991.411572797284,1994.2252509026832,1991.797557785813,1991.774422141975]",1991.774422141975,"[1991.965093963878,1991.8917493528709,1994.5985059554425,1992.024976544499,1992.8324993599404]",1992.024976544499,"[0.2430480422563689,0.24309223300748095,0.24343569957308145,0.243139350315651,0.24313652614037778]",0.24313652614037778,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/authored-u64-carrier,1,5,"[1280.2906582169635,1280.2098049286196,1280.886121224921,1280.713789814478,1280.8230921614065]",1280.713789814478,"[1280.5946605285446,1281.0104964376999,1281.2248869651296,1280.9782413307585,1281.1583957744942]",1281.0104964376999,"[0.1562854807393754,0.15627561095320064,0.15635816909483896,0.15633713254571266,0.15635047511735917]",0.15633713254571266,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/direct,1,5,"[1992.2196949215192,1992.4394752194942,1992.050777637086,1995.0336738904896,1992.008430923352]",1992.2196949215192,"[1992.5697667806774,1992.9031475430731,1992.4841840144968,1995.3256257389028,1992.389302332452]",1992.5697667806774,"[0.24319088072772452,0.24321770937737963,0.2431702609420271,0.24353438401983515,0.24316509166544822]",0.24319088072772452,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/materialized,1,5,"[1807.8314008411448,1807.7488450340054,1807.6231446133963,1808.1065415723306,1808.6571724360808]",1807.8314008411448,"[1808.5709090905978,1808.1966871559728,1807.8623034608568,1809.0196182470174,1809.0840116459187]",1808.5709090905978,"[0.2206825440479913,0.22067246643481508,0.22065712214518998,0.22071613056302863,0.22078334624463877]",0.2206825440479913,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/prefilter75/authored,1,5,"[2170.9348326627596,2170.095332232443,2174.305238349953,2170.5162840818407,2169.8107154762897]",2170.5162840818407,"[2171.439123661512,2170.469621910753,2174.763564899781,2172.7666116217656,2170.379530354869]",2171.439123661512,"[0.2650066934402783,0.26490421536040565,0.26541811991576575,0.26495560108420907,0.26486947210403927]",0.26495560108420907,8192.0,6144.0,4391.0
current,composition/avx2/local/k56/h0/u64/prefilter75/authored-u64-carrier,1,5,"[1367.4513948497906,1365.3672698009987,1365.3614709324731,1364.4224541552583,1364.8979613733736]",1365.3614709324731,"[1367.719854663116,1367.3415284828134,1365.7722932107893,1364.7306037845728,1365.2912163475776]",1365.7722932107893,"[0.16692521909787483,0.16667080930187972,0.16667010143218666,0.1665554753607493,0.16661352067546065]",0.16667010143218666,8192.0,6144.0,4391.0
current,composition/avx2/local/k56/h0/u64/prefilter75/direct,1,5,"[2190.5513152237404,2190.5935743600057,2190.725972249379,2190.1808637874165,2192.948430721122]",2190.5935743600057,"[2191.960570645995,2192.3444361922593,2191.859917921347,2190.56332225744,2193.2919054100557]",2191.960570645995,"[0.267401283596648,0.26740644218261794,0.26742260403434803,0.26735606247404986,0.26769390023451195]",0.26740644218261794,8192.0,6144.0,4391.0
current,composition/avx2/local/k56/h0/u64/prefilter75/materialized,1,5,"[1907.9421994466568,1906.9311395199707,1907.3748926716648,1907.675112098382,1907.1482629850068]",1907.3748926716648,"[1909.9265874380214,1907.4741798742746,1907.5906532380097,1908.2883349466956,1907.610905919156]",1907.610905919156,"[0.23290310051839072,0.23277968011718392,0.2328338492030841,0.232870497082322,0.23280618444641193]",0.2328338492030841,8192.0,6144.0,4391.0
current,composition/avx2/local/k60/h8/u64/all/authored,1,5,"[3181.3848974355956,3177.4914463451755,3175.362250400105,3175.002679047726,3176.0280278347586]",3176.0280278347586,"[3182.5360138965107,3179.148880136579,3176.09893178843,3175.3415218354653,3176.7393944914866]",3176.7393944914866,"[0.38835264861274355,0.3878773738214326,0.387617462207044,0.38757356921969305,0.3876987338665477]",0.3876987338665477,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/authored-u64-carrier,1,5,"[2320.0779755688764,2319.4617870817465,2318.4622263107517,2319.392861286497,2319.5385278372105]",2319.4617870817465,"[2321.55429035567,2320.0372515876697,2318.826048762675,2320.090481162128,2320.20599837433]",2320.090481162128,"[0.2832126435020601,0.2831374251808773,0.2830154084851991,0.28312901138751184,0.28314679294887823]",0.2831374251808773,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/direct,1,5,"[3178.378388502995,3176.8602256730383,3182.95206148122,3178.7160695636962,3178.001487081784]",3178.378388502995,"[3179.1400467662324,3177.2932388857457,3183.929142262082,3179.8251260043,3178.568178722004]",3179.1400467662324,"[0.38798564312780703,0.3878003205167283,0.3885439528175317,0.3880268639604121,0.38793963465353803]",0.38798564312780703,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/materialized,1,5,"[2368.669881375483,2380.6998586784816,2374.389191041072,2369.8826859663777,2366.2538991907054]",2369.8826859663777,"[2369.1197379143264,2382.035475998981,2375.126170188293,2370.57359427822,2366.7950323344417]",2370.57359427822,"[0.2891442726288431,0.29061277571758815,0.2898424305470058,0.2892923200642551,0.2888493529285529]",0.2892923200642551,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/prefilter75/authored,1,5,"[3440.614793030482,3446.9019786385325,3442.1626101295287,3440.806947383965,3440.8907195945403]",3440.8907195945403,"[3441.234569572164,3448.0685140538812,3443.4890608857772,3441.330843628645,3441.4453413433184]",3441.4453413433184,"[0.41999692297735375,0.42076440168927404,0.42018586549432724,0.42002037931933167,0.4200306054192554]",0.4200306054192554,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/authored-u64-carrier,1,5,"[2514.558118676851,2510.312827365932,2509.9429575949653,2510.105133816378,2510.022592738756]",2510.105133816378,"[2515.9380515878474,2511.095133457101,2510.464258810134,2510.414929681756,2511.2463137685204]",2511.095133457101,"[0.3069528953462953,0.3064346713093179,0.30638952119079166,0.30640931809281957,0.3063992422776802]",0.30640931809281957,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/direct,1,5,"[3575.987350505967,3576.112669937653,3573.8340360829934,3581.1974726565268,3577.368854134715]",3576.112669937653,"[3577.7067745080117,3576.987452726593,3574.3262163961945,3582.0087140922024,3579.3027317822375]",3577.7067745080117,"[0.4365218933723104,0.4365371911544987,0.43625903760778734,0.43715789461139243,0.43669053395199153]",0.4365371911544987,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/materialized,1,5,"[2520.6708427219555,2518.684587652124,2518.476701216723,2517.4030103649766,2521.976926543524]",2518.684587652124,"[2521.376007209699,2519.1124560622643,2519.329067144648,2531.1182694899267,2523.0453086962916]",2521.376007209699,"[0.30769907748070746,0.3074566147036284,0.3074312379414945,0.3073001721636934,0.30785851154095756]",0.3074566147036284,8192.0,6144.0,4395.0
current,composition/avx2/local/k64/h0/u64/all/authored,1,5,"[1725.1482882704483,1727.0467120991557,1725.169663322862,1725.0285596331871,1724.6901079535155]",1725.1482882704483,"[1725.7277191745904,1727.2474059104325,1725.9561469463906,1725.7309848922603,1724.9657715732271]",1725.7309848922603,"[0.21058939065801371,0.2108211318480415,0.2105919999173416,0.2105747753458481,0.21053346044354437]",0.21058939065801371,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/all/authored-u64-carrier,1,5,"[916.6822286345313,916.8556254646873,916.831938608071,916.7074155713531,916.8022023012342]",916.8022023012342,"[917.2389123427491,917.1566240984782,918.3017814267956,916.9744789841571,917.0305780559702]",917.1566240984782,"[0.11189968611261365,0.11192085271785732,0.11191796125586803,0.11190276068986243,0.11191433133559987]",0.11191433133559987,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/all/direct,1,5,"[1726.190253704469,1726.3222219482755,1726.0011772972287,1728.3508160950691,1726.002712098444]",1726.190253704469,"[1726.6101605060849,1727.7145701320915,1726.239496782959,1728.6817783961237,1726.5912251264272]",1726.6101605060849,"[0.2107165837041588,0.21073269310892034,0.21069350308804066,0.21098032423035512,0.21069369044170458]",0.2107165837041588,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/all/materialized,1,5,"[1810.006032419322,1815.7099119785355,1815.3587084136398,1810.291612342493,1812.835438193668]",1812.835438193668,"[1810.3855494357445,1815.9768043736203,1816.429423936264,1810.6720504403393,1813.1723520607839]",1813.1723520607839,"[0.22094800200431175,0.2216442763645673,0.22160140483564938,0.22098286283477694,0.2212933884513755]",0.2212933884513755,8192.0,8192.0,5896.0
current,composition/avx2/local/k64/h0/u64/prefilter75/authored,1,5,"[1925.1588282553403,1923.6381146612646,1923.181928050052,1923.1376854885464,1922.4859952344643]",1923.181928050052,"[1925.3644809764505,1924.550989158321,1923.7029849830822,1923.4717879000561,1922.7399487730675]",1923.7029849830822,"[0.23500473977726324,0.2348191057936114,0.23476341895142236,0.23475801824811354,0.2346784662151446]",0.23476341895142236,8192.0,6144.0,4453.0
current,composition/avx2/local/k64/h0/u64/prefilter75/authored-u64-carrier,1,5,"[1037.5933398062355,1037.4373077578969,1037.649457830853,1037.499184708084,1037.5546838520377]",1037.5546838520377,"[1037.889924473917,1037.5854981806417,1038.21309136421,1037.7355785967175,1037.7810904154157]",1037.7810904154157,"[0.12665934323806588,0.12664029635716514,0.1266661935828678,0.12664784969581103,0.12665462449365694]",0.12665462449365694,8192.0,6144.0,4453.0
