stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
open,tcp,16,64,396500,50,2000000,4096,8900,nvme,direct-dsync,raw,good,1603760,260883.218,450683.59454213036,104564.7060728992,632278.933,265401.35076,284982.04715,369010.74575,464806.8545,532628.0345000001,589632.1168,613677.88845,627449.65672,631501.356579,100.0,100.0,100.0,100.0,1,False,363291.32364875247,363291.32364875247,363291.32364875247,396482.1417396096,4.044974114,0.0,0,0.632087295,0.632087295,0.633494446,False,227456,16,228096,110010.0,211375.92,2.042015,64.0,64.0,1603760,259692.813,449096.1247289015,104578.78380250317,631178.212,264203.82138,282489.1496,367815.88975,463084.4575,530140.71,588348.8439,612546.1547999999,626426.1292900001,630336.176738,100.0,100.0,100.0,100.0,464806.8545,464806.8545,589632.1168,589632.1168,627449.65672,627449.65672,631501.356579,631501.356579
open,tcp,64,1,3500,50,24500,4096,8900,nvme,direct-dsync,raw,good,20914,383.489,429.7118456536291,41.35205157797096,1116.986,388.52326,392.83065,403.84725000000003,418.49649999999997,440.8175,475.5204,507.22234999999995,590.6222799999999,720.5682549999991,0.01434445825762647,0.0,0.0,0.0,1,True,3474.3192021856967,3474.3192021856967,3474.3192021856967,3473.9869857769963,6.020172236,99.98565554174237,0,0.000406264,0.000406264,0.000533094,True,1,11,5,0.08,0.04,16.503510204081632,1.0,1.0,20914,0.779,3.1602629339198622,0.7017075038902552,13.446,0.928,2.4019500000000003,2.858,3.154,3.434,3.656,3.976,5.756829999999991,7.712565999999992,0.0,0.0,0.0,0.0,418.49649999999997,418.49649999999997,475.5204,475.5204,590.6222799999999,590.6222799999999,720.5682549999991,720.5682549999991
open,tcp,64,1,35100,50,245700,4096,8900,nvme,direct-dsync,raw,good,210744,404.874,678.6068009243443,103.29871040571739,1433.061,476.49858,518.7331499999999,603.7145,673.7155,746.0504999999999,814.8469000000001,856.6759499999998,927.82356,1112.503811000009,0.22586645408647457,0.0,0.0,0.0,1,True,35078.578602659276,35078.578602659276,35078.578602659276,35077.74636671503,6.00791162,99.77413354591353,0,0.000581074,0.000581074,0.000813745,True,15,64,41,0.72,0.08,11.83097273097273,1.0,1.0,210744,0.775,4.944653195346012,24.110751298515794,733.579,0.823,0.935,2.127,3.062,3.557,4.589,5.844,19.743090000000258,409.81929400000666,0.0,0.0,0.0,0.0,673.7155,673.7155,814.8469000000001,814.8469000000001,927.82356,927.82356,1112.503811000009,1112.503811000009
open,tcp,64,1,59700,50,417900,4096,8900,nvme,direct-dsync,raw,good,358469,437.147,892.9003076500339,384.7599971427641,3731.679,557.53076,601.584,682.015,758.049,916.665,1377.8976,1692.1715999999988,2552.25396,3308.974176000002,20.596202182057585,2.7243638919962394,0.0,0.0,1,True,59684.4887793087,59684.4887793087,59684.4887793087,59684.15578451258,6.006099865,79.4035188537921,0,0.000919495,0.000919495,0.001120915,True,125,64,169,14.2,11.4,10.389973677913376,1.0,1.0,358469,0.756,173.99757583779908,364.9415936041168,2882.898,0.83,0.967,2.444,4.0,160.785,630.691,938.4109999999987,1789.5989600000007,2540.893352000001,4.405680825957056,0.6287851948146144,0.0,0.0,758.049,758.049,1377.8976,1377.8976,2552.25396,2552.25396,3308.974176000002,3308.974176000002
open,tcp,64,1,73700,50,515900,4096,8900,nvme,direct-dsync,raw,good,442019,46051.411,188212.4195169506,96094.91636622931,360272.782,49937.39612,60279.457500000004,103232.987,183219.346,270750.0995,329771.4344,346957.7778,356713.64672,359839.094058,100.0,100.0,100.0,100.0,1,False,70014.29447574713,70014.29447574713,70014.29447574713,73716.64557791635,5.996189823,0.0,0,0.360169747,0.360169747,0.360377226,False,25467,64,25522,4917.56,22200.52,9.42366737739872,1.0,1.0,442019,45276.265,187410.5583719591,96083.61777471386,359548.813,49139.57304,59526.9027,102439.101,182406.622,269942.335,328958.0146,346152.6014,355880.73042,359026.19848799997,100.0,100.0,100.0,100.0,183219.346,183219.346,329771.4344,329771.4344,356713.64672,356713.64672,359839.094058,359839.094058
open,tcp,64,4,13000,50,91000,4096,8900,nvme,direct-dsync,raw,good,77783,390.411,534.7665497088052,65.11108012782167,918.367,426.24566,449.144,488.7425,523.439,569.0029999999999,622.9292,661.4019,730.0433199999998,817.2250899999967,0.0,0.0,0.0,0.0,1,True,12970.923114456427,12970.923114456427,12970.923114456427,12971.25663866194,5.996566267,100.0,0,0.000519585,0.000519585,0.000619073,True,3,16,15,0.32,0.68,9.921846153846154,1.675442795595979,2.0616458609207666,77783,1.634,42.69823182443464,16.44044926263303,72.861,3.4692800000000004,6.7292000000000005,32.286,52.953,53.79,54.541,55.0749,56.38517999999999,58.42921799999999,0.0,0.0,0.0,0.0,523.439,523.439,622.9292,622.9292,730.0433199999998,730.0433199999998,817.2250899999967,817.2250899999967
open,tcp,64,4,129600,50,907200,4096,8900,nvme,direct-dsync,raw,good,777338,464.56,632.3605078575857,51.918753604437505,851.958,525.98611,551.081,594.159,629.751,668.877,702.564,720.972,752.746,783.7331939999978,0.0,0.0,0.0,0.0,1,True,129795.1560656546,129795.1560656546,129795.1560656546,129798.66261224677,5.988798223,100.0,0,0.000606663,0.000606663,0.00069926,True,6,64,108,2.44,2.44,4.536342592592593,3.956596071316423,3.9718050577740955,777338,1.635,17.165734056485082,12.103734499833823,113.727,3.331,4.138,7.003,13.98,23.933,34.675,42.062,54.41,56.712,0.0,0.0,0.0,0.0,629.751,629.751,702.564,702.564,752.746,752.746,783.7331939999978,783.7331939999978
open,tcp,64,4,220300,50,1542100,4096,8900,nvme,direct-dsync,raw,good,1321883,146619.862,517018.40727482765,210616.45197377983,872710.456,153179.01640000002,180799.05600000004,333243.699,530172.318,700695.184,800454.1806000001,837522.8405999999,867314.2798,871686.00353,100.0,100.0,100.0,100.0,1,False,196664.8787915342,196664.8787915342,196664.8787915342,220703.1109149353,5.989417161,0.0,0,0.872554877,0.872554877,0.873000879,False,172400,64,172632,46412.56,156563.96,3.8799818429414437,4.0,4.0,1321883,145709.189,516062.19715237047,210623.67635711457,871763.188,152190.6825,179884.8133,332262.1355,529302.915,699950.4450000001,799574.311,836565.0170999999,866477.4941799999,870969.5323119999,100.0,100.0,100.0,100.0,530172.318,530172.318,800454.1806000001,800454.1806000001,867314.2798,867314.2798,871686.00353,871686.00353
open,tcp,64,4,272200,50,1905400,4096,8900,nvme,direct-dsync,raw,good,1634207,137565.211,265083.04852008406,72730.9502793924,386598.941,140517.56272000002,151251.94329999998,201533.379,268337.1,328702.30449999997,363585.6164,375439.5158,384565.99919999996,386189.13658399996,100.0,100.0,100.0,100.0,1,False,261536.0082129517,261536.0082129517,261536.0082129517,272419.9226559377,5.998852742,0.0,0,0.386473307,0.386473307,0.386644203,False,100812,64,101044,43710.2,93817.56,3.821580770441902,4.0,4.0,1634207,136636.309,264186.3949083433,72733.92037627146,385796.558,139594.0742,150353.1379,200639.1415,267488.478,327759.863,362675.1292,374567.2441,383629.92335999996,385306.096182,100.0,100.0,100.0,100.0,268337.1,268337.1,363585.6164,363585.6164,384565.99919999996,384565.99919999996,386189.13658399996,386189.13658399996
open,udp,16,1,1000,0,7000,4096,8900,nvme,direct-dsync,raw,good,5961,381.685,407.67921456131523,21.230855289915066,668.212,386.14,389.611,397.072,403.471,411.826,423.311,438.411,499.98019999999997,631.3980799999998,0.0,0.0,0.0,0.0,1,True,984.134609450462,984.134609450462,984.134609450462,984.134609450462,6.057098229,100.0,0,0.000423347,0.000423347,0.000476541,True,1,6,3,0.0,0.04,16.27057142857143,1.0,1.0,5961,0.846,3.2720431135715486,0.4757870647372436,7.762,1.6638000000000002,2.694,2.997,3.269,3.534,3.76,3.917,4.6437999999999935,6.643319999999998,0.0,0.0,0.0,0.0,403.471,403.471,423.311,423.311,499.98019999999997,499.98019999999997,631.3980799999998,631.3980799999998
