transport,percentile,criterion,observed,baseline_us,limit_us,maximum_observed_stable_rps,goodput_rps,throughput_sacrificed_pct,latency_us,latency_repeat_min_us,latency_repeat_max_us,repetitions,chosen_transport,window,batch,wait_us,rate,samples
tcp,p999,within_25pct,True,677.5349609999994,846.9187012499992,322317.19177927653,3500.766137575089,98.913875453478,756.8812500000017,725.100537,791.8314539999998,3,tcp,64,1,50,3500,157311
tcp,p999,below_1ms,True,677.5349609999994,1000,322317.19177927653,129536.71685884002,59.81079502965295,923.3824949999982,816.4120909999998,929.6438400000008,3,tcp,64,4,50,129600,5611702
udp,p50,within_10pct,True,404.618,445.07980000000003,231308.85401517138,3995.9443200944747,98.27246374242449,414.092,404.321,419.9,3,udp,64,1,50,4000,180031
udp,p50,within_25pct,True,404.618,505.7725,231308.85401517138,3995.9443200944747,98.27246374242449,414.092,404.321,419.9,3,udp,64,1,50,4000,180031
udp,p50,below_1ms,True,404.618,1000,231308.85401517138,231308.85401517138,0.0,686.442,637.376,706.1,3,udp,64,4,50,231100,5306414
udp,p90,within_10pct,True,436.2502,479.87522000000007,231308.85401517138,1000.1833044767915,99.56759834865154,436.2502,424.621,474.38960000000014,3,udp,16,1,0,1000,44990
udp,p90,within_25pct,True,436.2502,545.31275,231308.85401517138,3995.9443200944747,98.27246374242449,494.29,481.50800000000004,506.23,3,udp,64,1,50,4000,180031
udp,p90,below_1ms,True,436.2502,1000,231308.85401517138,231308.85401517138,0.0,812.173,797.4116000000001,825.475,3,udp,64,4,50,231100,5306414
udp,p99,within_10pct,True,597.48754,657.236294,231308.85401517138,3995.9443200944747,98.27246374242449,624.0063000000004,596.4440499999994,634.37168,3,udp,64,1,50,4000,180031
udp,p99,within_25pct,True,597.48754,746.859425,231308.85401517138,3995.9443200944747,98.27246374242449,624.0063000000004,596.4440499999994,634.37168,3,udp,64,1,50,4000,180031
udp,p99,below_1ms,True,597.48754,1000,231308.85401517138,231308.85401517138,0.0,944.587,932.0647399999998,954.618,3,udp,64,4,50,231100,5306414
udp,p999,within_10pct,True,664.7166509999997,731.1883160999997,231308.85401517138,3995.9443200944747,98.27246374242449,680.9652900000001,678.0481120000001,685.9911760000003,3,udp,64,1,50,4000,180031
udp,p999,within_25pct,True,664.7166509999997,830.8958137499997,231308.85401517138,3995.9443200944747,98.27246374242449,680.9652900000001,678.0481120000001,685.9911760000003,3,udp,64,1,50,4000,180031
udp,p999,below_1ms,True,664.7166509999997,1000,231308.85401517138,3995.9443200944747,98.27246374242449,680.9652900000001,678.0481120000001,685.9911760000003,3,udp,64,1,50,4000,180031
either,p50,within_10pct,True,404.618,445.07980000000003,322317.19177927653,3995.9443200944747,98.76024474585553,414.092,404.321,419.9,3,udp,64,1,50,4000,180031
either,p50,within_25pct,True,404.618,505.7725,322317.19177927653,3995.9443200944747,98.76024474585553,414.092,404.321,419.9,3,udp,64,1,50,4000,180031
either,p50,below_1ms,True,404.618,1000,322317.19177927653,322317.19177927653,0.0,849.622,782.584,951.358,3,tcp,16,64,50,320900,5036537
either,p90,within_10pct,True,436.2502,479.87522000000007,322317.19177927653,1000.1833044767915,99.68968974352391,436.2502,424.621,474.38960000000014,3,udp,16,1,0,1000,44990
either,p90,within_25pct,True,436.2502,545.31275,322317.19177927653,3995.9443200944747,98.76024474585553,494.29,481.50800000000004,506.23,3,udp,64,1,50,4000,180031
either,p90,below_1ms,True,436.2502,1000,322317.19177927653,264624.2435597207,17.899432512760317,992.9286000000005,856.5772,1101.0798000000002,3,tcp,16,64,100,264300,5206715
either,p99,within_10pct,True,597.48754,657.236294,322317.19177927653,3995.9443200944747,98.76024474585553,624.0063000000004,596.4440499999994,634.37168,3,udp,64,1,50,4000,180031
either,p99,within_25pct,True,597.48754,746.859425,322317.19177927653,3995.9443200944747,98.76024474585553,624.0063000000004,596.4440499999994,634.37168,3,udp,64,1,50,4000,180031
either,p99,below_1ms,True,597.48754,1000,322317.19177927653,231308.85401517138,28.23564491292411,944.587,932.0647399999998,954.618,3,udp,64,4,50,231100,5306414
either,p999,within_10pct,True,664.7166509999997,731.1883160999997,322317.19177927653,3995.9443200944747,98.76024474585553,680.9652900000001,678.0481120000001,685.9911760000003,3,udp,64,1,50,4000,180031
either,p999,within_25pct,True,664.7166509999997,830.8958137499997,322317.19177927653,3995.9443200944747,98.76024474585553,680.9652900000001,678.0481120000001,685.9911760000003,3,udp,64,1,50,4000,180031
either,p999,below_1ms,True,664.7166509999997,1000,322317.19177927653,129536.71685884002,59.81079502965295,923.3824949999982,816.4120909999998,929.6438400000008,3,tcp,64,4,50,129600,5611702
