input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes
gnr,composition/avx512/local/k22/h0/u32/prefilter75/grouped16-authored-u64-carrier,1,3,"[1298.9614781116873,1299.3293069032827,1298.5270693096807]",1298.9614781116873,"[1299.0731813726977,1300.5924237421898,1298.7650991179974]",1299.0731813726977,"[0.15856463355855557,0.1586095345340921,0.15851160514034188]",0.15856463355855557,8192.0,6144.0,4487.0,22528.0
gnr,composition/avx512/local/k22/h0/u32/prefilter75/materialized,1,3,"[1979.6173900768881,1979.6397628624427,1980.8683887360864]",1979.6397628624427,"[1980.5233396942526,1979.8325781665678,1981.1224645309137]",1980.5233396942526,"[0.24165251343712016,0.24165524449004425,0.24180522323438555]",0.24165524449004425,8192.0,6144.0,4487.0,22528.0
gnr,composition/avx512/local/k23/h0/u32/all/authored,1,3,"[2759.0996727517936,2768.9462800140286,2760.4577139929966]",2760.4577139929966,"[2759.608051094883,2769.645940940612,2760.6965658777112]",2760.6965658777112,"[0.3368041592714592,0.338006137697025,0.3369699357901607]",0.3369699357901607,8192.0,8192.0,5869.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/all/authored-u64-carrier,1,3,"[1860.4307698430744,1860.386831876213,1858.5484153410384]",1860.386831876213,"[1860.9917483722404,1861.1567678056974,1858.723729420687]",1860.9917483722404,"[0.22710336545935966,0.22709800193801427,0.22687358585706036]",0.22709800193801427,8192.0,8192.0,5869.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/all/grouped16-authored,1,3,"[1725.6707920791514,1726.577914881051,1724.6930939362899]",1725.6707920791514,"[1726.2975469190028,1727.4295478128263,1725.0552066351022]",1726.2975469190028,"[0.21065317286122454,0.21076390562512828,0.21053382494339473]",0.21065317286122454,8192.0,8192.0,5869.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/all/grouped16-authored-u64-carrier,1,3,"[1269.1597133395476,1269.0590375107508,1269.2823604118043]",1269.1597133395476,"[1269.3909103329424,1269.1675057869286,1269.8144237290776]",1269.3909103329424,"[0.15492672281976902,0.15491443328988658,0.15494169438620659]",0.15492672281976902,8192.0,8192.0,5869.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/all/materialized,1,3,"[1897.4904793528317,1898.066095653718,1897.1000582758077]",1897.4904793528317,"[1897.7458495395028,1898.5072302797894,1897.3212218990295]",1897.7458495395028,"[0.23162725578037494,0.23169752144210423,0.23157959695749605]",0.23162725578037494,8192.0,8192.0,5869.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/prefilter75/authored,1,3,"[2712.457039992255,2726.977289092167,2718.117641335071]",2718.117641335071,"[2712.9897246171654,2727.3483895935774,2719.1198988059987]",2719.1198988059987,"[0.3311104785146795,0.3328829698598837,0.3318014698895351]",0.3318014698895351,8192.0,6144.0,4426.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/prefilter75/authored-u64-carrier,1,3,"[1865.6703611821551,1861.6033664106587,1863.2629374732967]",1863.2629374732967,"[1865.8293987375096,1861.8257442396186,1864.5475752267048]",1864.5475752267048,"[0.22774296401149355,0.22724650468880112,0.22744908904703326]",0.22744908904703326,8192.0,6144.0,4426.0,23552.0
gnr,composition/avx512/local/k23/h0/u32/prefilter75/grouped16-authored,1,3,"[1743.5223432733196,1743.563232272905,1744.2885762312796]",1743.563232272905,"[1743.8636120302244,1743.9458880701777,1745.0200211641104]",1743.9458880701777,"[0.2128323172941064,0.2128373086270636,0.2129258515907324]",0.2128373086270636,8192.0,6144.0,4426.0,23552.0
