scope,case,before_ns_per_value,after_ns_per_value,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
placement,head-placement/avx2/striped/k23/h16/n8193/headgap0-0/encode-bound,0.1572847992411353,0.11905488771042871,0.7569382946403115,0.15691595102226974,0.15776942082446976,0.11882131092321,0.11938086406076938,True,False,True,"[0.15700425286736383, 0.11925603762612784, 0.1188638737930102, 0.15756084630921915]"
placement,head-placement/avx2/striped/k23/h16/n8193/headgap0-17/encode-bound,0.15592129194239784,0.11730973779952877,0.7523650961208468,0.15547728904377253,0.15637083192760307,0.11682017618597347,0.11757504795631449,True,False,True,"[0.1555194141992857, 0.11708170567480984, 0.1175353416598266, 0.1562796734570075]"
placement,head-placement/avx2/striped/k23/h16/n8193/headgap13-0/encode-bound,0.15607971002645704,0.11676301883461765,0.748098640206502,0.15581211808744205,0.1565419675141842,0.11657838085838589,0.11706952382856103,True,False,True,"[0.15583252498063094, 0.11664275173413052, 0.11696199974930417, 0.15647346778738128]"
placement,head-placement/avx2/striped/k23/h16/n8193/headgap13-17/encode-bound,0.16992171776401788,0.11719530653245419,0.6897017525164821,0.16922344264470382,0.17059562948563178,0.11696699572758892,0.11730239452992428,True,False,True,"[0.16924762320598785, 0.11723401465907543, 0.11715659840583295, 0.1705007509946117]"
placement,head-placement/avx2/striped/k28/h16/n257/headgap0-0/encode-bound,0.17766557819129314,0.12393207459440483,0.6975581643674766,0.16675349920804405,0.1886436384141335,0.11940911251066583,0.12819442260445713,True,False,True,"[0.1885723012655209, 0.12818011263859078, 0.11956916325017189, 0.16689204806805613]"
placement,head-placement/avx2/striped/k28/h16/n257/headgap0-17/encode-bound,0.17340484914399548,0.1357170778237903,0.7826602225586596,0.16359352056954385,0.18213074971575252,0.1242398971525497,0.14727584767052368,True,False,True,"[0.1820161669398472, 0.14700503293410783, 0.124351207744077, 0.16395890610805147]"
placement,head-placement/avx2/striped/k28/h16/n257/headgap13-0/encode-bound,0.17465945324661164,0.14290312667345498,0.8181814612214656,0.1616450020583477,0.1911662213402347,0.1313564007804899,0.15447563172729142,True,False,True,"[0.1908619610614734, 0.13151455223605868, 0.15427586372560573, 0.1620400942624178]"
placement,head-placement/avx2/striped/k28/h16/n257/headgap13-17/encode-bound,0.175100415667099,0.14095139110503277,0.8049746230928979,0.16448238144934396,0.18660471963495093,0.123700225581857,0.15871796328143897,True,False,True,"[0.18621492762683145, 0.15869444949457048, 0.12378076716692069, 0.16465847404864392]"
placement,head-placement/avx2/striped/k28/h16/n8193/headgap0-0/encode-bound,0.14140355217898576,0.09809336890136847,0.6937121973937674,0.13468291903472915,0.14813510349006725,0.09800984378842628,0.09844013004747958,True,False,True,"[0.13480888724292447, 0.0980405464144945, 0.09843579474591689, 0.14797001034125354]"
placement,head-placement/avx2/striped/k28/h16/n8193/headgap0-17/encode-bound,0.14925414003982235,0.09685156409140003,0.6489037025409088,0.14899051297079188,0.14986487448782906,0.09657897371706828,0.0970512647782776,True,False,True,"[0.14952968719491835, 0.09696685581073586, 0.09675738946429704, 0.1490653351225494]"
placement,head-placement/avx2/striped/k28/h16/n8193/headgap13-0/encode-bound,0.14894762372285203,0.09652575589090645,0.6480516672794502,0.14877290550524883,0.14910166654692575,0.09647297830915279,0.09657557896380733,True,False,True,"[0.14877421792904796, 0.09651184745394428, 0.09656711010467142, 0.14898508838908367]"
placement,head-placement/avx2/striped/k28/h16/n8193/headgap13-17/encode-bound,0.15040046633612358,0.09769874575204451,0.6495907102688216,0.15024153266961493,0.15079326893917694,0.09729114742251718,0.09801247755585536,True,False,True,"[0.1503839127601867, 0.09796051972251721, 0.09741891169938319, 0.15041701991206047]"
placement,head-placement/avx512/local/k16/h16/n257/headgap0-0/encode-bound,0.08542799373384,0.05227415381881269,0.6119089485078905,0.08494035312472323,0.08591078241492603,0.04889689690390443,0.05561870412851457,True,False,True,"[0.08504369452530766, 0.04891237339526064, 0.05555514129360722, 0.08588029561746756]"
placement,head-placement/avx512/local/k16/h16/n257/headgap0-17/encode-bound,0.08433008318140672,0.06415514865727885,0.7607623073164941,0.0838515996635561,0.08483219303436161,0.06315199114128842,0.0646413768894244,True,False,True,"[0.08386513497466135, 0.06323696713789392, 0.06462151176663306, 0.08477270045469795]"
placement,head-placement/avx512/local/k16/h16/n257/headgap13-0/encode-bound,0.08386767327565711,0.05774040537725521,0.6884703381179237,0.0811397786405362,0.08639982832123021,0.056777327901695714,0.05864961849819812,True,False,True,"[0.0812395054657331, 0.058558378862623696, 0.05682746358412282, 0.08635962998160521]"
placement,head-placement/avx512/local/k16/h16/n257/headgap13-17/encode-bound,0.09583186368264947,0.06417800166238417,0.6696937656864511,0.09457107839090077,0.09705958518508388,0.06381679130254857,0.06455474839667943,True,False,True,"[0.09697093280976965, 0.06393322195460657, 0.0645476587960402, 0.09466330031472076]"
placement,head-placement/avx512/local/k16/h16/n8193/headgap0-0/encode-bound,0.08946774290659516,0.050110343915092156,0.5600939767465425,0.08940827441650376,0.08953654101410738,0.04999841516450617,0.05022508130770817,True,False,True,"[0.08941327485619167, 0.05004526061292578, 0.050168324459954686, 0.08949931482867815]"
placement,head-placement/avx512/local/k16/h16/n8193/headgap0-17/encode-bound,0.10202245699133008,0.056734610226155266,0.5560992344163658,0.10150906164445762,0.10256075220568729,0.05663673298587664,0.05704265619535573,True,False,True,"[0.10246206568308822, 0.056643134096170895, 0.05693299495987738, 0.10155847268097758]"
placement,head-placement/avx512/local/k16/h16/n8193/headgap13-0/encode-bound,0.09667771534540462,0.058195355519283204,0.6019521180384348,0.09658080855771815,0.0968159855190763,0.058138514630749656,0.05827107391815444,True,False,True,"[0.09661806041602303, 0.058153863580385046, 0.058236847458181355, 0.09673737027478622]"
placement,head-placement/avx512/local/k16/h16/n8193/headgap13-17/encode-bound,0.11132879609121696,0.06593985224752694,0.5922982603126264,0.11110063611078275,0.1116691509494065,0.0658070523579418,0.06613676276967531,True,False,True,"[0.11120152801784466, 0.06606757748962043, 0.06581441417135907, 0.11164053592446442]"
placement,head-placement/avx512/local/k23/h16/n257/headgap0-0/encode-bound,0.13656672042041396,0.09977488544008868,0.7305944313002215,0.1347583086091869,0.13813383719207026,0.0972878649161026,0.1023939581802222,True,False,True,"[0.13491081947793535, 0.09730371067270636, 0.10235354024127913, 0.13808995946453909]"
placement,head-placement/avx512/local/k23/h16/n257/headgap0-17/encode-bound,0.13783365112893586,0.14714707689713985,1.0675700432508444,0.13655799952773,0.13926646732071543,0.13281811768931803,0.16181689206679292,False,False,False,"[0.13663641590865733, 0.13286027531714928, 0.161421972669772, 0.13925637346947767]"
placement,head-placement/avx512/local/k23/h16/n257/headgap13-0/encode-bound,0.13609740798567432,0.14055307431088376,1.0327388037079916,0.13458845302648303,0.13764082424962956,0.13653006476884413,0.1453064603107742,False,False,True,"[0.1346657533656145, 0.13656208182394428, 0.14485256642487007, 0.13747629856419832]"
placement,head-placement/avx512/local/k23/h16/n257/headgap13-17/encode-bound,0.13385138023892174,0.1340119863922003,1.0011998841774503,0.1332410798322671,0.1348955819003962,0.13299627981847453,0.13502515501651036,False,False,False,"[0.13326686792447404, 0.13480115007480115, 0.13303841464686766, 0.1347967702760332]"
placement,head-placement/avx512/local/k23/h16/n8193/headgap0-0/encode-bound,0.13622899095372581,0.09826081321110644,0.7212914998723261,0.13598220193909677,0.13634053250105535,0.09769280319600956,0.09862998856129329,True,False,True,"[0.13607998095860435, 0.0986207972189594, 0.0977006784903965, 0.13631492874538137]"
placement,head-placement/avx512/local/k23/h16/n8193/headgap0-17/encode-bound,0.1439787230132853,0.10403235286496004,0.7225536571494714,0.1438817299013797,0.14419465120523883,0.10386631647827319,0.10408563538218517,True,False,True,"[0.14388602218627194, 0.1040307450775635, 0.10403396065235657, 0.1439951378469996]"
placement,head-placement/avx512/local/k23/h16/n8193/headgap13-0/encode-bound,0.14123083537127845,0.10327551880495386,0.7312533309985405,0.14110868438053048,0.14155422896208925,0.10302639092661237,0.10336278354362352,True,False,True,"[0.14113781013086268, 0.1030615079011432, 0.10335501810661973, 0.14139208632687666]"
placement,head-placement/avx512/local/k23/h16/n8193/headgap13-17/encode-bound,0.1510561167842806,0.11050149934760134,0.7315261486921825,0.15097943599454464,0.15114264510931788,0.10914095887458672,0.11258996616234375,True,False,True,"[0.1510889254408576, 0.10928322546778123, 0.11174453047525117, 0.1510160019223659]"
placement,head-placement/avx512/local/k56/h16/n257/headgap0-0/encode-bound,0.149549182963565,0.10837547413991451,0.7246811516604424,0.14865619067721494,0.15051436486681677,0.10758410159901508,0.1287020316996498,True,False,True,"[0.14867594735243866, 0.10759266790158173, 0.10840497213080659, 0.15002431072491482]"
