dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,dispersed32,intersection,plain,complete,5,125.799,125.057,127.008,350.0938720703125,1.0
census-income_srt,dispersed32,intersection,plain,selected,5,73.5679,72.7171,74.3893,204.8193817138672,1.0
census-income_srt,dispersed32,union,bec-plain-frame,complete,5,970.608,964.6,974.712,2699.3328857421875,7.1686078716662855
census-income_srt,dispersed32,union,local-frame,complete,5,1451.52,1443.61,1460.93,4031.782958984375,10.720473865742964
census-income_srt,dispersed32,union,local-frame,selected,5,1374.01,1366.12,1389.04,3817.01708984375,20.36596211425014
census-income_srt,dispersed32,union,local-inline,complete,5,1364.68,1356.14,1365.25,3789.582275390625,10.079100718627444
census-income_srt,dispersed32,union,local-point,complete,5,1484.77,1476.31,1497.36,4126.15234375,10.966047992200714
census-income_srt,dispersed32,union,mixed-frame,complete,5,1419.48,1410.29,1420.99,3945.59619140625,10.483836421781872
census-income_srt,dispersed32,union,mixed-frame-point,complete,5,1379.38,1371.47,1380.67,3832.45068359375,10.18767033242982
census-income_srt,dispersed32,union,mixed-point-frame,complete,5,1439.2,1432.44,1472.46,3999.053955078125,10.629482189413356
census-income_srt,dispersed32,union,plain,complete,5,135.397,135.042,136.29,376.984619140625,1.0
census-income_srt,dispersed32,union,plain,selected,5,67.466,67.1973,67.8488,187.77135467529297,1.0
census-income_srt,none,intersection,bec-plain-frame,complete,5,60.5209,60.1882,61.4343,168.35671997070312,1.0893812111535712
census-income_srt,none,intersection,local-frame,complete,5,61.8963,61.3966,63.6588,172.28374481201172,1.114138525037215
census-income_srt,none,intersection,local-frame,selected,5,4.46005,4.42705,4.47959,12.4078369140625,1.9481985917215592
census-income_srt,none,intersection,local-inline,complete,5,57.7929,56.9474,60.2834,160.7858657836914,1.0402769852741323
census-income_srt,none,intersection,local-point,complete,5,61.7619,61.4642,62.2696,171.6190643310547,1.111719313908844
census-income_srt,none,intersection,mixed-frame,complete,5,61.9654,61.446,62.8221,170.8509063720703,1.1153823307587214
census-income_srt,none,intersection,mixed-frame-point,complete,5,61.2968,60.7439,62.2937,170.5212173461914,1.1033474753983867
census-income_srt,none,intersection,mixed-point-frame,complete,5,61.4415,61.0353,61.8869,170.98528289794922,1.1059520873796018
census-income_srt,none,intersection,plain,complete,5,55.5553,55.0994,56.6192,153.51939392089844,1.0
census-income_srt,none,intersection,plain,selected,5,2.28932,2.28248,2.30047,6.375305891036987,1.0
census-income_srt,none,union,bec-plain-frame,complete,5,60.8052,60.3386,61.3813,169.21907806396484,0.990386901950309
