trial,case,repetition,cpu_ns,real_ns
02-candidate,overwrite-all/local/k36/ikea,2,2036.0129060388078,2036.0406220475045
02-candidate,overwrite-all/local/k36/ikea,3,2035.1424315093345,2035.0859966601754
02-candidate,overwrite-all/local/k36/ikea,4,2036.1287406438441,2036.1369667888282
02-candidate,overwrite-all/local/k36/ikea,5,2037.4417266186986,2037.5214737264364
02-candidate,overwrite-all/local/k36/ikea,6,2036.1227527069288,2036.0653731583245
02-candidate,overwrite/striped/k12/all/ikea2-coverage,0,492.8593266362781,492.8457496203589
02-candidate,overwrite/striped/k12/all/ikea2-coverage,1,492.2242634644631,492.23964840368217
02-candidate,overwrite/striped/k12/all/ikea2-coverage,2,492.36513380043823,492.36228122117154
02-candidate,overwrite/striped/k12/all/ikea2-coverage,3,492.44366593505447,492.42999746742356
02-candidate,overwrite/striped/k12/all/ikea2-coverage,4,492.4200996116818,492.4166139069448
02-candidate,overwrite/striped/k12/all/ikea2-coverage,5,492.4605140975855,492.47485086290067
02-candidate,overwrite/striped/k12/all/ikea2-coverage,6,493.3864736338566,493.37325538934135
02-candidate,overwrite/striped/k12/all/control-coverage,0,309.2915135020489,309.28985667349906
02-candidate,overwrite/striped/k12/all/control-coverage,1,309.30532261770054,309.2967689634267
02-candidate,overwrite/striped/k12/all/control-coverage,2,309.40558505938026,309.41468215414505
02-candidate,overwrite/striped/k12/all/control-coverage,3,309.36258703873597,309.35767840758956
02-candidate,overwrite/striped/k12/all/control-coverage,4,309.35455473278626,309.36935794602306
02-candidate,overwrite/striped/k12/all/control-coverage,5,309.32040417785885,309.3180050896888
02-candidate,overwrite/striped/k12/all/control-coverage,6,309.2769157358967,309.26858741000706
02-candidate,placed/k63h16/substituted/all/sum-native,0,7796.555209087399,7796.341333027601
02-candidate,placed/k63h16/substituted/all/sum-native,1,7778.776546578354,7778.796536559948
02-candidate,placed/k63h16/substituted/all/sum-native,2,7779.844534773626,7779.734951841074
02-candidate,placed/k63h16/substituted/all/sum-native,3,7790.8938136867855,7790.778384097109
02-candidate,placed/k63h16/substituted/all/sum-native,4,7794.524361044555,7795.136922982942
02-candidate,placed/k63h16/substituted/all/sum-native,5,7779.33337045494,7779.122111481228
02-candidate,placed/k63h16/substituted/all/sum-native,6,7788.946823319772,7788.820702702076
02-candidate,placed/k63h16/substituted/all/sum-materialized,0,5384.241000962475,5384.093435988533
02-candidate,placed/k63h16/substituted/all/sum-materialized,1,5384.615437921022,5384.655745907678
02-candidate,placed/k63h16/substituted/all/sum-materialized,2,5380.474764196374,5380.566660249531
02-candidate,placed/k63h16/substituted/all/sum-materialized,3,5383.904985563084,5383.840923967067
02-candidate,placed/k63h16/substituted/all/sum-materialized,4,5384.02032723774,5384.160307991427
02-candidate,placed/k63h16/substituted/all/sum-materialized,5,5384.964311838256,5384.819095287796
02-candidate,placed/k63h16/substituted/all/sum-materialized,6,5382.961578440822,5382.8133974938955
02-candidate,decode/striped/k5/ikea2,0,215.38515011911954,215.37915462282697
02-candidate,decode/striped/k5/ikea2,1,212.4306201124632,212.43192803348748
02-candidate,decode/striped/k5/ikea2,2,210.70381597105316,210.70245312371765
02-candidate,decode/striped/k5/ikea2,3,214.51306719487016,214.51393742526943
02-candidate,decode/striped/k5/ikea2,4,213.76539295988508,213.770760242345
02-candidate,decode/striped/k5/ikea2,5,218.97458479516092,218.9686751207554
02-candidate,decode/striped/k5/ikea2,6,216.44024586168243,216.43440312834
02-candidate,decode/striped/k5/prior,0,162.13929403773284,162.13477812746396
02-candidate,decode/striped/k5/prior,1,161.62981367186893,161.63152704717743
02-candidate,decode/striped/k5/prior,2,160.79210418447727,160.78969515262662
02-candidate,decode/striped/k5/prior,3,160.8558211437337,160.85136379040742
02-candidate,decode/striped/k5/prior,4,161.16978696991353,161.1866185719917
02-candidate,decode/striped/k5/prior,5,162.38287561338413,162.37991263288197
02-candidate,decode/striped/k5/prior,6,161.5166957499392,161.51222902806614
02-candidate,decode/striped/k7/ikea2,0,264.7523977407057,264.74511556145075
02-candidate,decode/striped/k7/ikea2,1,255.84917239602623,255.84199860110743
02-candidate,decode/striped/k7/ikea2,2,253.59149451331717,253.5907010601988
02-candidate,decode/striped/k7/ikea2,3,253.3882560807502,253.3840618243899
02-candidate,decode/striped/k7/ikea2,4,252.81992711686462,252.81297622499258
02-candidate,decode/striped/k7/ikea2,5,270.1317499723935,270.15022228909055
02-candidate,decode/striped/k7/ikea2,6,256.73011357826823,256.72311974253495
02-candidate,decode/striped/k7/prior,0,175.2686504022695,175.26664655761357
02-candidate,decode/striped/k7/prior,1,175.42781777401672,175.42293394985802
02-candidate,decode/striped/k7/prior,2,175.28189255085368,175.28654607763977
02-candidate,decode/striped/k7/prior,3,175.40769045914388,175.4048555376908
02-candidate,decode/striped/k7/prior,4,175.3901489929456,175.39070721611498
02-candidate,decode/striped/k7/prior,5,175.2473565767667,175.25916561922907
02-candidate,decode/striped/k7/prior,6,175.29360647037933,175.29147120538997
02-candidate,get16-ends/striped/k7/prior,0,1218.8646093645914,1218.830735028152
02-candidate,get16-ends/striped/k7/prior,1,1204.503010360611,1204.4702387826112
02-candidate,get16-ends/striped/k7/prior,2,1200.6134910400938,1200.60369958521
02-candidate,get16-ends/striped/k7/prior,3,1196.1603539508264,1196.143358976911
02-candidate,get16-ends/striped/k7/prior,4,1190.1605407087927,1190.1521899598579
02-candidate,get16-ends/striped/k7/prior,5,1187.1202009871527,1187.1585841978124
02-candidate,get16-ends/striped/k7/prior,6,1186.9896927386512,1186.957632619393
02-candidate,get16-ends/striped/k7/ikea2-range,0,1880.199902248278,1880.1487319410605
02-candidate,get16-ends/striped/k7/ikea2-range,1,1874.3530873248683,1874.3227299886344
02-candidate,get16-ends/striped/k7/ikea2-range,2,1870.3955821657646,1870.3815303574493
02-candidate,get16-ends/striped/k7/ikea2-range,3,1870.1261268600078,1870.0948055836486
02-candidate,get16-ends/striped/k7/ikea2-range,4,1867.2484251113672,1867.2114559578765
