case,control,scope,native_ns,control_ns,native_over_control,separated,first_edge,second_edge,edges_agree,native_samples,control_samples
wikileaks-noquotes_srt/inline/15/2,specialized,count,66.48097367719197,66.48787753319107,0.9998961636879496,overlap,1.000037418879394,0.9977378161371029,False,"[66.40584639637795, 66.45329752076015, 66.48564753849273, 66.47631360336803, 66.48563375101592, 66.52686973669178]","[66.45081100587748, 66.44329448186681, 66.45407149007508, 66.74193195094942, 66.63637748885313, 66.52168357630705]"
wikileaks-noquotes_srt/inline/15/2,materialized,count,66.48097367719197,69.0790768810606,0.9623894336581537,win,0.9617093068394038,0.9626772442754278,True,"[66.40584639637795, 66.45329752076015, 66.48564753849273, 66.47631360336803, 66.48563375101592, 66.52686973669178]","[69.0991519455652, 69.13952914385044, 69.08449116733397, 69.07366259478724, 69.0632651248106, 69.04710700555164]"
wikileaks-noquotes_srt/split/15/2,specialized,count,66.81037164240016,66.97890630697017,0.9974837650558579,win,0.9964962986820752,0.9978800491306418,True,"[66.76163760182475, 66.71662582739707, 66.80144793788888, 66.81929534691142, 66.81948476977983, 66.87390962460464]","[66.99637288178684, 67.00722074060899, 66.95388264342762, 67.0233657525195, 66.9614397321535, 66.93624681120683]"
wikileaks-noquotes_srt/split/15/2,materialized,count,66.81037164240016,69.66470773619278,0.9590275164204886,win,0.9584814381792228,0.9589679957728766,True,"[66.76163760182475, 66.71662582739707, 66.80144793788888, 66.81929534691142, 66.81948476977983, 66.87390962460464]","[69.65789875264359, 69.65007132429432, 69.65355294584353, 69.67989483808735, 69.67853470013556, 69.67151671974199]"
wikileaks-noquotes_srt/inline/127/2,specialized,count,66.72904139833746,66.55764797190406,1.0025751124274365,overlap,1.0048845661379717,1.0004519291218557,True,"[66.80457177099458, 66.86031034395538, 66.82656028053768, 66.65351102568033, 66.59321235535135, 66.62892686763004]","[66.53768596664251, 66.46599059712204, 66.50172819089981, 66.60594257099811, 66.57760997716562, 66.5988289173608]"
wikileaks-noquotes_srt/inline/127/2,materialized,count,66.72904139833746,69.18484103971065,0.9645037900721112,win,0.9659074544527839,0.9630625907925572,True,"[66.80457177099458, 66.86031034395538, 66.82656028053768, 66.65351102568033, 66.59321235535135, 66.62892686763004]","[69.19845298009145, 69.14991963533222, 69.1852619756382, 69.16642633272691, 69.25102224243955, 69.18442010378311]"
wikileaks-noquotes_srt/split/127/2,specialized,count,66.84689587948684,66.97672114158499,0.9980616360448027,win,0.998086770131715,0.9978302331123142,True,"[66.84295469644356, 66.84878532553202, 66.79472544460756, 66.85032358338707, 66.84500643344165, 66.8585883356795]","[66.95810746173017, 66.98235650510436, 66.97108577806563, 66.99568861015108, 67.00913319210804, 66.95342008219653]"
wikileaks-noquotes_srt/split/127/2,materialized,count,66.84689587948684,69.65382829086514,0.9597016778509729,win,0.9595645469203169,0.9598854349712957,True,"[66.84295469644356, 66.84878532553202, 66.79472544460756, 66.85032358338707, 66.84500643344165, 66.8585883356795]","[69.6479813561571, 69.65967522557318, 69.6646994426618, 69.71561869426755, 69.60445319138138, 69.64406495592482]"
wikileaks-noquotes_srt/inline/255/1,specialized,count,56.66646612239085,56.688679382726114,0.9996081535047713,overlap,0.9996921637902674,0.9995241398274505,True,"[56.6562729224346, 56.696453227477186, 56.672372551351856, 56.659764950344446, 56.70561447540379, 56.660559693429846]","[56.70464935725401, 56.68982373181987, 56.65935146511432, 56.690177377988014, 56.68753503363236, 56.65843151732393]"
wikileaks-noquotes_srt/inline/255/1,materialized,count,56.66646612239085,58.050359531482115,0.9761604679064779,win,0.976441549738833,0.9758794893032583,True,"[56.6562729224346, 56.696453227477186, 56.672372551351856, 56.659764950344446, 56.70561447540379, 56.660559693429846]","[58.02012658018651, 58.03969788720063, 58.06818119031656, 58.08461746638944, 58.01139564557515, 58.0610211757636]"
wikileaks-noquotes_srt/split/255/1,specialized,count,56.72289211182695,57.3628110163943,0.9888443593814734,win,0.9878798258825553,0.9888669340390024,True,"[56.74162425440781, 56.66191757433574, 56.65534097294302, 56.71594533956533, 56.729838884088565, 56.78698772707059]","[57.327624967295634, 57.46346355074971, 57.357095559386416, 57.37662999518102, 57.36852647340219, 57.35695528374652]"
wikileaks-noquotes_srt/split/255/1,materialized,count,56.72289211182695,58.68039258162918,0.9666413194649441,win,0.9650446147703169,0.9668140337134652,True,"[56.74162425440781, 56.66191757433574, 56.65534097294302, 56.71594533956533, 56.729838884088565, 56.78698772707059]","[58.71429849678133, 58.73257286819933, 58.672748803245895, 58.656800648491455, 58.67709497988275, 58.68369018337561]"
