name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,drain_ns_per_update,flush_ns_per_update,read_ns_per_update,reset_ns_per_update,updates,write_ns_per_update
points/t4/word_check_span/manual_time,3,1,28,1965660.107142857,3047982.2857142505,ns,56.690054757254465,58.12588500976563,9.216308593749998,1.435830252511161,8192.0,172.60654994419642
points/t4/word_check_span/manual_time,4,1,28,2003798.7857142854,2945610.000000011,ns,56.92553274972098,58.52733939034599,9.632463727678573,1.6018066406249996,8192.0,176.44454084123885
points/t4/read_flush_span/manual_time,0,1,29,2013708.1379310342,2997905.310344851,ns,68.90749174973061,69.88705970501078,3.1277949892241375,0.9795679552801727,8192.0,172.7991269867996
points/t4/read_flush_span/manual_time,1,1,29,1948862.1034482757,2970130.7931033913,ns,66.30773083917026,67.29549434267241,2.920986833243534,0.987763503502155,8192.0,167.68172481142244
points/t4/read_flush_span/manual_time,2,1,29,1928231.206896551,3079442.5517241023,ns,65.24186338227369,66.19825481546337,3.1051783068426735,0.9563914331896549,8192.0,166.0763528758082
points/t4/read_flush_span/manual_time,3,1,29,1985607.2413793104,3021151.0344827767,ns,66.48043507543103,67.43789146686422,2.9090912917564666,0.9574563914331895,8192.0,172.03671369881468
points/t4/read_flush_span/manual_time,4,1,29,1965852.4482758623,3016807.275862119,ns,64.79185327990302,65.77490655307112,2.91796033135776,0.9830532731681036,8192.0,171.2793558054957
points/t4/append_scan/manual_time,0,1,33,1776125.9696969697,3592514.0606060885,ns,57.688084457859844,57.894009676846586,86.32346413352272,0.20592521898674246,8192.0,72.59477834990533
points/t4/append_scan/manual_time,1,1,33,1719149.9393939395,3644675.7575757625,ns,59.01882472182764,59.20180442116478,87.58668101917617,0.18297969933712122,8192.0,63.06868489583335
points/t4/append_scan/manual_time,2,1,33,1684018.7878787878,3660279.0303030214,ns,57.83669211647728,58.01069779829545,86.42364686908142,0.17400568181818182,8192.0,61.13435502485795
