case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite/local/k31/all/ikea2-raw,916.0366474974335,915.9240373472087,917.599610784334,overwrite/local/k31/all/ikea,1.4639482425508856
overwrite/local/k31/all/ikea2-coverage,1440.5579754811326,1439.518320662977,1440.6791658105528,overwrite/local/k31/all/ikea,2.3022029983840517
overwrite/local/k31/all/ikea2-sum-coverage,3690.261892223951,3689.7519747235315,3691.9346147095075,overwrite/local/k31/all/ikea,5.897528692146451
overwrite/local/k31/prefilter75/ikea2-raw,5318.769016580207,5316.803442602204,5325.503607138354,,
overwrite/local/k31/prefilter75/ikea2-coverage,5363.038613482862,5359.897285586871,5363.44258952464,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,5477.059192473589,5476.857964197042,5480.710048347081,,
overwrite/local/k56/all/ikea2-raw,1307.8466318056,1292.4270685942845,1315.6820362965502,overwrite/local/k56/all/prior,2.148226640510417
overwrite/local/k56/all/ikea2-coverage,1265.4728696175812,1264.7775971093006,1266.2946100571883,overwrite/local/k56/all/prior,2.078624867200589
overwrite/local/k56/all/ikea2-sum-coverage,2945.1496632051726,2944.866966039904,2945.189026101624,overwrite/local/k56/all/prior,4.837607723202872
overwrite/local/k56/prefilter75/ikea2-raw,2926.6757793430224,2926.2922100565006,2927.702350233618,,
overwrite/local/k56/prefilter75/ikea2-coverage,3090.1152117863626,3089.9649355433316,3091.6651197053334,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,3376.1173727791493,3375.3029986333404,3376.2829809470018,,
overwrite/local/k64/all/ikea2-raw,1099.1450297611393,1097.7741825523624,1100.5323701392467,overwrite/local/k64/all/ikea,2.3123386667579564
overwrite/local/k64/all/ikea2-coverage,1241.2393455211186,1240.3701822262908,1241.5255618889917,overwrite/local/k64/all/ikea,2.61127117499094
overwrite/local/k64/all/ikea2-sum-coverage,1341.3975580131757,1341.3582433037045,1342.4446717381315,overwrite/local/k64/all/ikea,2.821980136290682
overwrite/local/k64/prefilter75/ikea2-raw,759.2401345534827,758.699388722102,760.5024776648411,,
overwrite/local/k64/prefilter75/ikea2-coverage,1347.1314119004912,1345.6047704539646,1349.7359579379424,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,1398.9826593443245,1398.8624729572268,1399.1344316858065,,
overwrite/striped/k3/all/ikea2-raw,42.958981545937604,42.91464804598288,42.95982998506545,overwrite/striped/k3/all/prior,1.090579790385272
