machine,profile,width,head_bits,input_bits,values,scope,arm,median_ns_per_value,ratio_to_separate,samples,input_page_offset,head0_page_offset,head1_page_offset,entry_mod64
zen,avx2,23,16,64,65536,heads_only,separate_avx2,0.13973930299999998,1.0,"[0.141852401,0.140625838,0.138169318,0.139108699,0.139160294,0.142616726,0.140318312,0.141425516,0.139107618,0.141833365,0.137562986,0.136475936,0.136753846,0.136986718,0.140765984,0.14059291]",2048,2176,2240,0
zen,avx2,23,16,64,65536,heads_only,joint_tile_avx2,0.1353433225,0.9685415598502021,"[0.138128828,0.134824909,0.132578723,0.140192136,0.135815844,0.135979276,0.135622088,0.134668667,0.131750733,0.136667527,0.134132184,0.135064557,0.134617485,0.137387227,0.136052553,0.133639995]",2048,2176,2240,32
zen,avx2,23,16,64,65536,heads_only,joint_compact16_avx2,0.0746602995,0.5342827529345843,"[0.07768422,0.077805478,0.074630458,0.076837268,0.074995764,0.075457778,0.073661055,0.074137002,0.073801126,0.074690141,0.072973512,0.073228098,0.07404514,0.077376287,0.073834695,0.074774444]",2048,2176,2240,0
zen,avx2,23,16,64,65536,heads_only,joint_fulltile_control_avx2,0.1369475985,0.9800220522067439,"[0.13742597,0.13827065,0.138516337,0.137279712,0.134894051,0.137643527,0.133314587,0.136615485,0.131851617,0.139183875,0.135115672,0.134490523,0.136093907,0.137966774,0.140368123,0.135076407]",2048,2176,2240,48
zen,avx2,23,16,64,65536,with_payload,separate_avx2,0.1959268525,1.0,"[0.190719552,0.197326198,0.19027698,0.193205386,0.197886407,0.192700237,0.196870364,0.190085433,0.189711556,0.189811312,0.196690947,0.196211427,0.195642278,0.201273553,0.200025193,0.197748721]",2048,2176,2240,16
zen,avx2,23,16,64,65536,with_payload,joint_tile_avx2,0.192267578,0.9813232619556321,"[0.188298687,0.191546053,0.192030646,0.19197201,0.189108424,0.19250451,0.193569578,0.191527948,0.193773426,0.19120682,0.191628754,0.194455311,0.202974908,0.199589409,0.200584218,0.203529537]",2048,2176,2240,32
zen,avx2,23,16,64,65536,with_payload,joint_compact16_avx2,0.13473967450000002,0.6877039710521559,"[0.133792028,0.135464698,0.134601533,0.130020276,0.130221605,0.13552691,0.132964775,0.130548835,0.135527059,0.131857462,0.134823568,0.135381624,0.13504985,0.134655781,0.135410458,0.135816447]",2048,2176,2240,16
zen,avx2,23,16,64,65536,with_payload,joint_fulltile_control_avx2,0.196399629,1.0024130255448267,"[0.194198489,0.194947124,0.191818602,0.192536764,0.191867545,0.202268288,0.19753556,0.190112919,0.195441179,0.192369945,0.20117595,0.197358079,0.20117192,0.201297387,0.202156901,0.201404758]",2048,2176,2240,48
zen,avx2,56,16,64,65536,heads_only,separate_avx2,0.1200813745,1.0,"[0.121276647,0.117171444,0.119558189,0.120588467,0.12019049,0.120251361,0.123061225,0.117228296,0.122607145,0.116040219,0.119972259,0.117543943,0.119770717,0.122701284,0.119481523,0.122576337]",2048,2176,2240,0
zen,avx2,56,16,64,65536,heads_only,joint_tile_avx2,0.11969619449999999,0.9967923418464867,"[0.122471508,0.120724849,0.114979763,0.120101754,0.119775787,0.119408879,0.12286732,0.119979188,0.119349536,0.117321689,0.120526213,0.11540639,0.117097683,0.119221196,0.119616602,0.123772055]",2048,2176,2240,48
