input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
01-before,scan_grain/k4/predecessor256/encode/65536,1,5,"[887.4423030441719,890.9006347873724,889.304659771785,888.681232428856,890.1917846556978]",889.304659771785,"[887.4213512453763,890.8794158425769,889.2834535485985,889.7295856704567,890.1706293167429]",889.7295856704567,"[0.013541294907290223,0.013594064861867865,0.013569712215756,0.013560199469434446,0.013583248667231715]",0.013569712215756
01-before,scan_grain/k4/predecessor256/encode/8192,1,5,"[87.00297011086015,86.954567025118,87.12893888248661,87.30672470449122,87.01553744040959]",87.01553744040959,"[87.00090433607214,86.95254857776591,87.12685775831562,87.3069894818584,87.01351131814276]",87.01351131814276,"[0.010620479749860858,0.01061457117005835,0.010635856797178543,0.010657559168028711,0.010622013847706249]",0.010622013847706249
01-before,scan_grain/k6/bound/decode/256,1,5,"[6.916247247095632,6.916576567420429,6.916092918357478,6.914604797814468,6.915748768237213]",6.916092918357478,"[6.916084910274637,6.916414724922301,6.9159330531564445,6.914839504037469,6.915587222330455]",6.9159330531564445,"[0.02701659080896732,0.02701787721648605,0.027015987962333902,0.02701017499146276,0.027014643625926614]",0.027015987962333902
01-before,scan_grain/k6/bound/decode/65536,1,5,"[1558.88028137662,1559.2143715773948,1559.1616579849538,1558.9853523885706,1558.7805306976568]",1558.9853523885706,"[1558.8910333467609,1560.4695249541535,1559.1248608697567,1558.9496683139853,1558.7429767144833]",1558.9496683139853,"[0.023786625387216494,0.023791723199117966,0.023790918853530175,0.02378822864362443,0.02378510331264735]",0.02378822864362443
01-before,scan_grain/k6/bound/decode/8192,1,5,"[158.3100624923741,158.32724902511046,158.33338755665284,158.36633951931046,158.31257709877994]",158.32724902511046,"[158.3063210835552,158.3235302089416,158.32968907459335,158.3678148453886,158.3088402083867]",158.3235302089416,"[0.019324958800338635,0.019327056765760554,0.019327806098224223,0.019331828554603327,0.01932526575912841]",0.019327056765760554
01-before,scan_grain/k6/bound/encode/256,1,5,"[9.243444416685858,9.240413289523987,9.239651950072618,9.24165688968719,9.236490111810689]",9.240413289523987,"[9.243637979795233,9.240196403977203,9.239719940925777,9.24143895001562,9.236270590951998]",9.240196403977203,"[0.03610720475267913,0.036095364412203075,0.03609239042997116,0.03610022222534059,0.03608003949926051]",0.036095364412203075
01-before,scan_grain/k6/bound/encode/65536,1,5,"[1407.49224058216,1407.442869778499,1407.5524263257537,1406.598822015838,1407.8851163912823]",1407.49224058216,"[1407.8095726277543,1407.4096007726923,1407.5211273273917,1406.5656736210756,1407.852048405716]",1407.5211273273917,"[0.02147662720614868,0.021475873867469773,0.021477545567714747,0.021462994720700655,0.021482622015247838]",0.02147662720614868
01-before,scan_grain/k6/bound/encode/8192,1,5,"[174.09699977329583,174.19052672750246,173.88860073292818,174.0609910738082,174.02360221522946]",174.0609910738082,"[174.0984372314021,174.18644853168436,173.88450509838597,174.05689294804375,174.01955640600013]",174.05689294804375,"[0.02125207516763865,0.021263492032165827,0.021226635831656272,0.021247679574439477,0.02124311550478875]",0.021247679574439477
01-before,scan_grain/k6/native/decode/256,1,5,"[5.747016337307835,5.744486616497151,5.747401076975292,5.745093131805493,5.745396471598797]",5.745396471598797,"[5.7474206260856056,5.744351333354043,5.747267025928373,5.744955713050178,5.745263816913491]",5.745263816913491,"[0.022449282567608732,0.022439400845691997,0.022450785456934737,0.02244177004611521,0.0224429549671828]",0.0224429549671828
01-before,scan_grain/k6/native/decode/65536,1,5,"[1558.0088897800854,1558.1411001938436,1557.1431499676878,1558.1615533720974,1558.0891874428926]",1558.0891874428926,"[1557.97192700985,1558.104226545801,1557.106721921903,1558.146803914218,1558.0530490390101]",1558.0530490390101,"[0.023773329006654135,0.023775346377469534,0.023760118865473755,0.02377565846820217,0.023774554251753118]",0.023774554251753118
01-before,scan_grain/k6/native/decode/8192,1,5,"[157.15459677292617,157.08901972500615,157.15340621918514,157.14768482223624,157.12873929344008]",157.14768482223624,"[157.150881346707,157.08880183113413,157.14970876372965,157.14751410142384,157.15325571512525]",157.14970876372965,"[0.019183910738882586,0.019175905728150165,0.01918376540761537,0.019183066994901885,0.01918075430828126]",0.019183066994901885
01-before,scan_grain/k6/native/encode/256,1,5,"[5.581843266839557,5.581513712118303,5.580620586099787,5.581992520249131,5.581653148325032]",5.581653148325032,"[5.5818697653053775,5.581380661084001,5.580488971722494,5.582012394096406,5.5815217733944245]",5.5815217733944245,"[0.02180407526109202,0.02180278793796212,0.021799299164452297,0.021804658282223173,0.021803332610644655]",0.021803332610644655
01-before,scan_grain/k6/native/encode/65536,1,5,"[1225.9680329304408,1225.8262918199162,1225.734156594833,1226.0205815379256,1225.9058679278348]",1225.9058679278348,"[1225.938763356494,1225.797530215915,1225.7488176561899,1226.020844281545,1225.8772289367323]",1225.8772289367323,"[0.01870678761185365,0.01870462481414667,0.0187032189421819,0.01870758943997079,0.018705839049191816]",0.018705839049191816
01-before,scan_grain/k6/native/encode/8192,1,5,"[150.83419397564762,150.92573010314695,150.51625986348145,151.33694687679963,151.0503746282955]",150.92573010314695,"[150.83063814511533,150.9221937506366,150.51271918223688,151.36688034833296,151.04684043988507]",150.9221937506366,"[0.018412377194292923,0.018423551037981805,0.018373566877866388,0.01847374839804683,0.018438766434118098]",0.018423551037981805
01-before,scan_grain/k6/predecessor256/decode/256,1,5,"[6.195737911890532,6.193410284144474,6.190589596325785,6.200646189732473,6.206742116241564]",6.195737911890532,"[6.195591968242756,6.193265941340117,6.19044134035003,6.20049953460772,6.206730287778454]",6.195591968242756,"[0.02420210121832239,0.024193008922439353,0.0241819906106476,0.024221274178642473,0.024245086391568606]",0.02420210121832239
01-before,scan_grain/k6/predecessor256/decode/65536,1,5,"[1489.8396885012728,1490.4942601905325,1489.9897086595802,1487.853141511236,1491.6712075880107]",1489.9897086595802,"[1489.863517727485,1490.458760371012,1490.003013134654,1487.8186602156848,1491.6363443453583]",1490.003013134654,"[0.022733149543781625,0.022743137515114323,0.022735438669732363,0.02270283724229791,0.022761096307190105]",0.022735438669732363
