input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes,counter:issued_bytes,counter:blocks_per_call,counter:output_body_bytes
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/crossing15,1,5,"[95.14234952667753,95.29112756663423,94.45581414273322,94.58058697481788,94.43614885942861]",94.58058697481788,"[95.14708275651017,95.29640328679689,94.46136110887998,94.58830390373019,94.43845444455984]",94.58830390373019,,,8448.0,2.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/last,1,5,"[182.6101353296306,182.74206214160324,182.39784833656697,182.23479831431098,182.9836923802507]",182.6101353296306,"[182.6145852406354,182.74651205316604,182.39680129680173,182.23684003857983,182.9797398106607]",182.6145852406354,,,8448.0,1.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/masked25,1,5,"[33785.798076899286,33693.82692306125,33666.75480770836,33673.677884623525,33617.9615384543]",33673.677884623525,"[33785.74519202333,33693.96634630343,33836.182692080176,33673.485576676176,33618.870191914466]",33693.96634630343,,,8448.0,984.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/range37,1,5,"[1175.402250587759,1177.7638562313055,1176.6234464214995,1177.7604971446988,1179.5307356395117]",1177.7604971446988,"[1175.4711118643847,1177.793920051063,1176.6971783731078,1177.793920051063,1186.4538125542272]",1177.793920051063,,,8448.0,37.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/scan,1,5,"[121837.98245614166,121886.07017549203,122120.08771933027,121850.0877193039,121693.77192973622]",121850.0877193039,"[121848.49122788142,121888.33333263909,123114.29824613266,122346.5789471926,121696.91228193283]",121888.33333263909,,,8448.0,4096.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/native16/shared/sparse17,1,5,"[9745.87047354255,9719.256267404344,9723.5445682435,9731.218662952626,9718.25208914229]",9723.5445682435,"[9746.538997086718,9719.798050174028,9724.42200547377,9767.151810658492,9718.947075217788]",9724.42200547377,,,8448.0,241.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/point/shared/crossing15,1,5,"[135.58876186790195,135.93305560934425,134.60075566751553,135.82670025193556,135.79662856039295]",135.79662856039295,"[135.7350513462607,135.9433249368799,134.6077116838851,135.83443131113944,136.7960666538055]",135.83443131113944,,,8448.0,2.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/point/shared/last,1,5,"[204.84379540831327,204.70023249065497,204.3579192097017,204.65867480380138,204.5264458006081]",204.65867480380138,"[204.8563208389333,204.85977913240603,204.36748038136943,205.27012496384592,204.5386806138804]",204.8563208389333,,,8448.0,1.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/point/shared/masked25,1,5,"[97978.21428573375,98122.6571429009,98425.35714282366,97674.2142857542,97732.92857145423]",97978.21428573375,"[98063.91428648047,98418.7714282468,98426.77142972076,97675.20000098427,97734.19999906505]",98063.91428648047,,,8448.0,984.0,4096.0,160473.0,,,
zen5,count/random4096/tuple_checkpoint2/cp64/point/shared/range37,1,5,"[2869.0049039651867,2868.8128320390074,2863.835717203586,2865.4944830386225,2865.5149162238035]",2865.5149162238035,"[2877.297098453616,2869.1074785649566,2863.96199430978,2865.6293420114516,2865.6416019777307]",2865.6416019777307,,,8448.0,37.0,4096.0,160473.0,,,
