scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
small,bulk/series/avx512/local/k46/h8/u64/encode,ordinary-encode,ns/value,0.12904461575312082,0.09236470262908121,0.7157578957481414,0.11898003895812216,0.13902031374009613,0.09228207032779816,0.092642607964754,True,False,True,"[0.11903739415962007, 0.09229690869015296, 0.09258797895328146, 0.13900726384807582]"
small,bulk/series/avx512/local/k47/h0/u64/encode,ordinary-encode,ns/value,0.1138840135183303,0.07379695845589018,0.6480010334726404,0.1050616628176517,0.1226914958090293,0.07271047690462767,0.07481657112232787,True,False,True,"[0.1226844308890245, 0.0727358572979521, 0.07481117700382571, 0.10508071928368157]"
small,bulk/series/avx512/local/k47/h16/u64/encode,ordinary-encode,ns/value,0.19214571563268873,0.14229360501525004,0.7405504959957712,0.18165093098255788,0.20339081747617932,0.13945480220179426,0.14532538061568265,True,False,True,"[0.20319016865346137, 0.1394771306546001, 0.1452709622962286, 0.18168941930744756]"
small,bulk/series/avx512/local/k47/h8/u64/encode,ordinary-encode,ns/value,0.1191720035690329,0.091604714486095,0.7686764654672524,0.11912271937236034,0.11952544718206759,0.09122028384053343,0.09195653241869373,True,False,True,"[0.11918184450878784, 0.09144582815416402, 0.09180581277132638, 0.11916216262927797]"
small,bulk/series/avx512/local/k48/h0/u64/encode,ordinary-encode,ns/value,0.08506435073814148,0.06338779632306571,0.7451746327694434,0.08385011233517178,0.08639209581732696,0.06315990154807741,0.06366506544441768,True,False,True,"[0.08388531680433177, 0.06358372025296176, 0.06319528581713417, 0.08631141497295408]"
small,bulk/series/avx512/local/k48/h16/u64/encode,ordinary-encode,ns/value,0.10251003849801239,0.07640551686563843,0.7453466800436319,0.1012871536438287,0.10362454967681119,0.07363847915383852,0.0792662037729501,True,False,True,"[0.10139175502042236, 0.0791208924322626, 0.07369127778331212, 0.10356608384161588]"
small,bulk/series/avx512/local/k48/h8/u64/encode,ordinary-encode,ns/value,0.08376471292854352,0.08843381162727004,1.055740639888655,0.08087175434274438,0.0866234982305224,0.08060056729706155,0.09664922988353275,False,False,True,"[0.08656410802049481, 0.09606680734927335, 0.08099952913096005, 0.08092859698715665]"
small,bulk/series/avx512/local/k49/h0/u64/encode,ordinary-encode,ns/value,0.12464430080795139,0.07099462576242892,0.5695777929856218,0.10952786362766838,0.14053282678480647,0.07092776902039286,0.07110290307219365,True,False,True,"[0.13987057664179178, 0.0709629718448864, 0.07101997565273918, 0.10967071868565754]"
small,bulk/series/avx512/local/k49/h16/u64/encode,ordinary-encode,ns/value,0.1480704571298727,0.10820726325753444,0.7307822597091448,0.14742907589336504,0.1486643244106195,0.107652933937255,0.10902945101703283,True,False,True,"[0.14861561950014185, 0.10768242205365264, 0.10869054760497937, 0.14750885143881554]"
small,bulk/series/avx512/local/k49/h8/u64/encode,ordinary-encode,ns/value,0.14118274845708872,0.08813571484466852,0.6242668867680856,0.1311323671374703,0.15194839679422334,0.0875036754106423,0.08874801030373676,True,False,True,"[0.15135885751078704, 0.08754778408544245, 0.0886172079157722, 0.13113377710754068]"
small,bulk/series/avx512/local/k5/h0/u64/encode,ordinary-encode,ns/value,0.07834797449709927,0.03958482114116467,0.5052437078973911,0.07688375546232716,0.07981404676970033,0.03674246811807684,0.04251937735228208,True,False,True,"[0.07688477935614765, 0.04243052321724509, 0.03685176889522317, 0.07978251132654532]"
small,bulk/series/avx512/local/k5/h0/u8/encode,ordinary-encode,ns/value,0.04685283338487366,0.022378805558245417,0.47764038888351135,0.046636707388026104,0.04693742938495646,0.022333321583100862,0.022398518542816756,True,False,True,"[0.04685319919276023, 0.0223822799980036, 0.02237533111848723, 0.046852467576987085]"
small,bulk/series/avx512/local/k50/h0/u64/encode,ordinary-encode,ns/value,0.11852173563901543,0.06237403371210748,0.5262666242256324,0.09917085971069735,0.13900647059135152,0.06227654893775619,0.0624473384242387,True,False,True,"[0.13888305078904364, 0.06235708921097847, 0.06238444991422332, 0.09938547582324266]"
