scope,corpus,name,partition,weighting,corpus_windows,occurrence_weight_within_corpus,model,scan,byte_scope,metadata_bytes,suffix_bytes,plain_bytes,minimum_saving_bytes,windows,actual_body_bytes_sum,predicted_body_bytes_sum,actual_total_bytes_sum,predicted_total_bytes_sum,predicted_conversions,actual_beneficial_windows,false_conversions,missed_savings_windows,false_conversion_excess_bytes,missed_savings_bytes,excess_actual_bytes_over_best,chosen_actual_bytes,best_actual_bytes,near_crossover_windows,near_false_conversions,near_missed_savings_windows,near_excess_actual_bytes_over_best,signed_error_mean_bytes,mae_bytes,p95_absolute_error_bytes,max_absolute_error_bytes,min_signed_error_bytes,max_signed_error_bytes,near_signed_error_mean_bytes,near_mae_bytes,near_p95_absolute_error_bytes,near_max_absolute_error_bytes,near_min_signed_error_bytes,near_max_signed_error_bytes,actual_total_bytes_mean,predicted_total_bytes_mean,false_conversion_fraction,missed_savings_fraction,mean_excess_actual_bytes_over_best
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,512,64,8192,0,135,1155442,1154760,1237312,1236352,2,2,0,0,0,0,0,1105792,1105792,3,0,0,0,-5.051851851851852,80.41481481481482,181,357,-206,357,-120.0,120.0,150,150,-150,-72,9165.274074074074,9158.162962962962,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,512,64,8192,0,135,1155442,1154760,1233202,1232520,2,2,0,0,0,0,0,1105760,1105760,3,0,0,0,-5.051851851851852,80.41481481481482,181,357,-206,357,-120.0,120.0,150,150,-150,-72,9134.82962962963,9129.777777777777,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,1024,64,8192,0,135,1155442,1154760,1306432,1305472,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,-5.051851851851852,80.41481481481482,181,357,-206,357,-144.0,144.0,150,150,-150,-138,9677.274074074074,9670.162962962962,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,1024,64,8192,0,135,1155442,1154760,1302322,1301640,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,-5.051851851851852,80.41481481481482,181,357,-206,357,-144.0,144.0,150,150,-150,-138,9646.82962962963,9641.777777777777,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,512,64,8192,0,135,1155442,1156630,1237312,1238400,2,2,0,0,0,0,0,1105792,1105792,3,0,0,0,8.8,14.251851851851852,37,60,-60,50,-44.0,44.0,60,60,-60,-24,9165.274074074074,9173.333333333334,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,512,64,8192,0,135,1155442,1156630,1233202,1234390,2,2,0,0,0,0,0,1105760,1105760,3,0,0,0,8.8,14.251851851851852,37,60,-60,50,-44.0,44.0,60,60,-60,-24,9134.82962962963,9143.62962962963,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,1024,64,8192,0,135,1155442,1156630,1306432,1307520,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,8.8,14.251851851851852,37,60,-60,50,-54.0,54.0,60,60,-60,-48,9677.274074074074,9685.333333333334,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,1024,64,8192,0,135,1155442,1156630,1302322,1303510,0,0,0,0,0,0,0,1105920,1105920,2,0,0,0,8.8,14.251851851851852,37,60,-60,50,-54.0,54.0,60,60,-60,-48,9646.82962962963,9655.62962962963,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,512,64,8192,0,135,1155442,1157104,1237312,1238336,2,2,0,0,0,0,0,1105792,1105792,3,0,0,0,12.311111111111112,78.60740740740741,194,317,-199,317,-82.66666666666667,82.66666666666667,118,118,-118,-16,9165.274074074074,9172.85925925926,0.0,0.0,0.0
archive,msmarco-keyset,a,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,512,64,8192,0,135,1155442,1157104,1233202,1234864,2,2,0,0,0,0,0,1105760,1105760,3,0,0,0,12.311111111111112,78.60740740740741,194,317,-199,317,-82.66666666666667,82.66666666666667,118,118,-118,-16,9134.82962962963,9147.14074074074,0.0,0.0,0.0
