host,family,context,change,seed,baseline_ns,candidate_ns,candidate_over_baseline,baseline_allocated_bytes,candidate_allocated_bytes
zen5,prefix,rows4096/scalar_tuplepack,7-byte prefix,918273,1.341101262,1.340568542,0.9996027742161651,299264,299264
zen5,prefix,rows4096/full_string_rare,7-byte prefix,918273,18.756010168,18.724128274,0.9983001771851034,299264,299264
zen5,prefix,rows4096/equality_mismatch7,7-byte prefix,918273,1.57338518,2.781748546,1.7680022548578982,299264,299264
zen5,prefix,rows4096/equality_mismatch8,7-byte prefix,918273,2.749169758,2.778965898,1.01083823212928,299264,299264
zen5,prefix,rows4096/equality_mismatch17,7-byte prefix,918273,2.03265199,2.621654804,1.2897706134142517,299264,299264
zen5,prefix,rows4096/update_tuplepack_effects,7-byte prefix,918273,2.476368073,2.454584473,0.9912034078303997,299264,299264
zen5,prefix,rows4096/all_fields,9-byte prefix,918273,14.685211182,14.713479178,1.0019249294851578,291072,291072
zen5,prefix,rows4096/scalar_tuplepack,9-byte prefix,918273,1.338762785,1.340405247,1.0012268506552489,291072,291072
zen5,prefix,rows4096/full_string_rare,9-byte prefix,918273,18.782235538,18.756692325,0.998640033400267,291072,291072
zen5,prefix,rows4096/equality_mismatch7,9-byte prefix,918273,1.569563802,1.571260423,1.001080950642362,291072,291072
zen5,prefix,rows4096/equality_mismatch8,9-byte prefix,918273,2.739458357,1.571902231,0.5738003744365733,291072,291072
zen5,prefix,rows4096/equality_mismatch17,9-byte prefix,918273,2.039810384,1.891186938,0.9271385972118867,291072,291072
zen5,prefix,rows4096/update_tuplepack_effects,9-byte prefix,918273,2.472717531,2.455797607,0.9931573567187203,291072,291072
zen5,prefix,rows4096/all_fields,63 to 64 padding,918273,14.685211182,14.740495954,1.00376465624599,291072,295168
zen5,prefix,rows4096/scalar_tuplepack,63 to 64 padding,918273,1.338762785,1.342299344,1.0026416621672076,291072,295168
zen5,prefix,rows4096/full_string_rare,63 to 64 padding,918273,18.782235538,18.764016544,0.9990299879924763,291072,295168
zen5,prefix,rows4096/equality_mismatch7,63 to 64 padding,918273,1.569563802,1.575611075,1.00385283668768,291072,295168
zen5,prefix,rows4096/equality_mismatch8,63 to 64 padding,918273,2.739458357,2.767880551,1.010375114455518,291072,295168
zen5,prefix,rows4096/equality_mismatch17,63 to 64 padding,918273,2.039810384,2.039383341,0.9997906457368051,291072,295168
zen5,prefix,rows4096/update_tuplepack_effects,63 to 64 padding,918273,2.472717531,2.468699055,0.9983748746269556,291072,295168
zen5,prefix,rows4096/all_fields,rare byte plane,918273,15.007043748,14.985072545,0.9985359406310168,299264,299136
zen5,prefix,rows4096/scalar_tuplepack,rare byte plane,918273,1.341101262,1.339300992,0.9986576181448706,299264,299136
zen5,prefix,rows4096/full_string_rare,rare byte plane,918273,18.756010168,19.275754929,1.0277108380910749,299264,299136
zen5,prefix,rows4096/equality_mismatch7,rare byte plane,918273,1.57338518,1.570706412,0.9982974493251551,299264,299136
zen5,prefix,rows4096/equality_mismatch8,rare byte plane,918273,2.749169758,2.762326902,1.0047858608809852,299264,299136
zen5,prefix,rows4096/equality_mismatch17,rare byte plane,918273,2.03265199,2.036722209,1.002002418033202,299264,299136
zen5,prefix,rows4096/update_tuplepack_effects,rare byte plane,918273,2.476368073,2.452431152,0.9903338597920939,299264,299136
zen5,prefix,rows4096/all_fields,separate prefix,918273,14.685211182,14.723682222,1.0026197130925265,291072,290944
zen5,prefix,rows4096/scalar_tuplepack,separate prefix,918273,1.338762785,1.340893796,1.0015917763952484,291072,290944
zen5,prefix,rows4096/full_string_rare,separate prefix,918273,18.782235538,23.192940848,1.2348338833828547,291072,290944
zen5,prefix,rows4096/equality_mismatch7,separate prefix,918273,1.569563802,1.342556201,0.855368988052134,291072,290944
zen5,prefix,rows4096/equality_mismatch8,separate prefix,918273,2.739458357,3.00271038,1.0960963769817216,291072,290944
zen5,prefix,rows4096/equality_mismatch17,separate prefix,918273,2.039810384,1.994638281,0.9778547538759859,291072,290944
zen5,prefix,rows4096/update_tuplepack_effects,separate prefix,918273,2.472717531,2.47556551,1.0011517607507916,291072,290944
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N8 padding,918273,31.669787598,31.154315186,0.9837235279711017,66048,67072
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N8 padding,918273,21.691176351,21.42906901,0.98791640726355,66048,67072
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N8 padding,918273,26.487495422,26.043566386,0.983240052374628,66048,67072
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N8 padding,918273,34.454128689,33.886135864,0.9835145207087667,66048,67072
zen5,bucket,rows4096/load50_uniform/hit/seriespack_tuplepack,N8 padding,918273,32.359152222,32.169393921,0.9941358692063945,66048,67072
zen5,bucket,rows4096/load50_uniform/miss/seriespack_tuplepack,N8 padding,918273,27.171470642,26.891904195,0.9897110299739218,66048,67072
zen5,bucket,rows4096/load50_uniform/mixed/seriespack_tuplepack,N8 padding,918273,29.671847257,29.487934459,0.9938017745775295,66048,67072
zen5,bucket,rows4096/load50_uniform/update/seriespack_tuplepack,N8 padding,918273,35.31265937,35.046376546,0.9924592814942105,66048,67072
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,31.154315186,25.387216421,0.8148860364746007,67072,67072
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,21.42906901,18.780314726,0.8763943369278459,67072,67072
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,26.043566386,22.007132394,0.8450122409437048,67072,67072
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N8 fingerprint 7 to 8,918273,33.886135864,28.12471147,0.8299769434578455,67072,67072
zen5,bucket,rows4096/load50_uniform/hit/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,32.169393921,31.404986572,0.97623805562277,67072,67072
zen5,bucket,rows4096/load50_uniform/miss/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,26.891904195,23.274006435,0.8654651699721334,67072,67072
zen5,bucket,rows4096/load50_uniform/mixed/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,29.487934459,27.063972473,0.9177981764246568,67072,67072
zen5,bucket,rows4096/load50_uniform/update/seriespack_tuplepack,N8 fingerprint 7 to 8,918273,35.046376546,33.929429796,0.9681294655801591,67072,67072
zen5,bucket,rows4096/load50_uniform/hit/rawfp_tuplepack,N9 padding,918273,32.059072876,32.378744507,1.0099713311185399,70144,88448
zen5,bucket,rows4096/load50_uniform/miss/rawfp_tuplepack,N9 padding,918273,22.692472185,22.887542725,1.0085962665684765,70144,88448
zen5,bucket,rows4096/load50_uniform/mixed/rawfp_tuplepack,N9 padding,918273,27.183931986,27.416882833,1.008569431645134,70144,88448
zen5,bucket,rows4096/load50_uniform/update/rawfp_tuplepack,N9 padding,918273,34.714379205,35.005177816,1.008376892159953,70144,88448
