case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
resident/predecessor/local/k56/h0/u64/get16,ns/query,6.277473322438571,6.255151779869877,0.9964441836034721,6.250150516055183,6.291191456316517,6.242980902978184,6.276052395813458,6.25972590548532,6.274122632665823,6.248310465278567,6.2842236640107005,False,False,False
resident/predecessor/local/k6/h0/u64/get16,ns/query,6.501520391699481,6.508085256143097,1.0010097429598157,6.479860602431131,6.537131956267876,6.485581796380567,6.529833209325353,6.503616760394461,6.498089522349673,6.522475663442456,6.4994240230045,False,False,False
resident/predecessor/local/k7/h0/u64/get16,ns/query,6.510507463544796,6.522952374864587,1.001911511720012,6.486129635108067,6.515836618969009,6.498977721113676,6.5326522873175294,6.508909749015665,6.507253511514792,6.529110833564951,6.512105178073928,False,False,False
resident/predecessor/striped/k1/h0/u64/get16,ns/query,6.250266240124535,6.247713942524097,0.999591649779004,6.232213993993422,6.256142400907352,6.216604699601313,6.258989936761586,6.251813067096473,6.2463904758974556,6.2490374091507395,6.249654478154413,False,False,True
resident/predecessor/striped/k5/h0/u64/get16,ns/query,6.918720836865337,6.921736437160945,1.0004358609585084,6.902214333560204,6.957670191755608,6.908540104342958,6.9657491315761595,6.925793396713653,6.929104768679119,6.9143681056427715,6.9116482770170204,False,False,True
resident/predecessor/striped/k6/h0/u64/get16,ns/query,6.951981320763265,6.996555043245902,1.006411657400389,6.91902239862138,6.994805772846084,6.9625379681628905,7.005990672617278,6.955387631170918,6.998651262758436,6.994458823733368,6.942032730319008,False,False,True
resident/predecessor/striped/k7/h0/u64/get16,ns/query,6.883122253489265,6.8145791643299845,0.9900418608539846,6.8500369686011044,6.91646793023291,6.781281033095004,6.823207234435089,6.888361977509092,6.813502368968423,6.815655959691545,6.8778825294694395,True,False,True
resident/series/avx2/local/k1/h0/u64/admitted-region/get16,ns/query,2.1425540750116645,2.1418654584357153,0.9996786001417745,2.1396826723415177,2.1533955957101885,2.133135555085183,2.1532350147835895,2.1422564926624483,2.136697643869085,2.1501908194098256,2.1428516573608807,False,False,False
resident/series/avx2/local/k1/h0/u64/get16,ns/query,10.25633619310377,3.669654049679292,0.35779385353482474,10.240050720763605,10.337254388979133,3.6604681809368,3.6729835741395926,10.256062784871373,3.6675971025550256,3.6717109968035593,10.25695344714482,True,False,True
resident/series/avx2/local/k1/h0/u64/raw-dense/get16,ns/query,1.9423873722539342,1.9395715201783015,0.998550313847868,1.9339493196117554,1.9467782493161172,1.9355802461369995,1.9417387632564418,1.9420760322553343,1.9416605032303356,1.9393796529956777,1.945873996270514,False,False,True
resident/series/avx2/local/k5/h0/u64/admitted-region/get16,ns/query,2.139790003948119,2.14177668411629,1.0009284463262775,2.1330805165004754,2.150609480502217,2.1275851742186,2.148733188355942,2.1481604540782,2.134062520477019,2.142048344675185,2.139463000365456,False,False,False
resident/series/avx2/local/k5/h0/u64/get16,ns/query,10.256121645485715,3.670309172081856,0.3578652144494953,10.225914724974965,10.288261211667482,3.6554576442523046,3.680635320655116,10.275094704392925,3.672941414120187,3.6676769300435246,10.253387098987027,True,False,True
resident/series/avx2/local/k5/h0/u64/raw-dense/get16,ns/query,1.9259771257902936,1.921542204267832,0.997697313502287,1.923053344633882,1.931715734525863,1.910339339322076,1.9281246595313881,1.9252387512276274,1.920849969375778,1.9246800580731804,1.9267155003529597,False,False,True
resident/series/avx2/local/k56/h0/u64/admitted-region/get16,ns/query,2.4817373766134976,2.50306408745389,1.0085934599854778,2.4749851535506573,2.4888820339493423,2.4930384002283166,2.519062564106047,2.4817635369210187,2.5058207036652154,2.4982341222942277,2.4789919189852534,False,True,True
resident/series/avx2/local/k56/h0/u64/get16,ns/query,10.058836582003622,4.318030576358719,0.4292773365146578,10.028511637325197,10.09095074767722,4.309650608730923,4.329893534180293,10.053161196167697,4.312340284494309,4.329815642957389,10.086094380386907,True,False,True
resident/series/avx2/local/k56/h0/u64/raw-dense/get16,ns/query,2.433631603266459,2.435063151670642,1.0005882354594102,2.4240227191412234,2.4377082081998633,2.4262046337091925,2.441320138059122,2.4363830099328756,2.4344308619067236,2.4356954414345595,2.4317690269616805,False,False,False
resident/series/avx2/local/k6/h0/u64/admitted-region/get16,ns/query,2.146156500880762,2.142589939186771,0.998338163273495,2.1343849828735517,2.151038558823326,2.1300518985758803,2.1470660818585294,2.1464256451686845,2.1440265430748653,2.141153335298677,2.1421506076675088,False,False,True
resident/series/avx2/local/k6/h0/u64/get16,ns/query,10.212852379147037,3.683240601815507,0.3606475904161777,10.193909542456062,10.265251301350611,3.6733155610493298,3.6905020804457522,10.223022865472378,3.6820203101431925,3.684460893487821,10.202681892821698,True,False,True
resident/series/avx2/local/k6/h0/u64/raw-dense/get16,ns/query,1.9312840386312815,1.9104347517993587,0.9892044430467624,1.9267775723081482,1.941878482097098,1.9032480599868642,1.9212197309896855,1.9295629312555387,1.9120799065717182,1.908789597026999,1.9326171643570489,True,False,True
resident/series/avx2/local/k7/h0/u64/admitted-region/get16,ns/query,2.142420881124239,2.1412416651328137,0.9994495871461043,2.1333553840959816,2.153238024832999,2.1339615833486185,2.1434409591005186,2.1423045268165617,2.1423107057689283,2.138761979153067,2.144133577641753,False,False,False
resident/series/avx2/local/k7/h0/u64/get16,ns/query,10.2419867743996,3.677337722646655,0.35904534966188006,10.226535923553595,10.263436466200684,3.670875318060869,3.683175294676086,10.2494523789088,3.677313112745062,3.677362332548248,10.24001099275771,True,False,True
resident/series/avx2/local/k7/h0/u64/raw-dense/get16,ns/query,1.9469022950951502,1.9300371171045807,0.9913374297040698,1.9414567654624129,1.960079691676579,1.9109810413086183,1.9625416103095876,1.9477831664419647,1.9114681066079977,1.9489994270363677,1.9466141802019428,False,False,False
resident/series/avx2/striped/k1/h0/u64/admitted-region/get16,ns/query,2.0055805529205872,1.9991119010385057,0.9967746736112585,1.9953419777132841,2.008580246136522,1.99267994465869,2.0063964652903317,2.005795894997806,2.0038305315767295,1.9953957681738153,2.0053652108433684,False,False,True
resident/series/avx2/striped/k1/h0/u64/get16,ns/query,9.767785603665988,3.6755952584624056,0.37629770017504305,9.742334436215597,9.811180390728236,3.670142424166547,3.6844277801003513,9.759736049979,3.6758259335914776,3.675364583333334,9.768062669999388,True,False,True
resident/series/avx2/striped/k1/h0/u64/raw-dense/get16,ns/query,2.143419716975769,2.151613075339574,1.0038225636812583,2.1385384549364526,2.1483222823019146,2.1419059268062104,2.164829238215976,2.1454767143663527,2.1529190474719067,2.1503071032072416,2.141362719585186,False,False,True
resident/series/avx2/striped/k5/h0/u64/admitted-region/get16,ns/query,5.6118847282829805,5.452425273854266,0.9715854009571749,5.542149510330547,5.680832924902368,5.439463391443189,5.490849176999806,5.614707437862897,5.455969932227368,5.448880615481165,5.587029353313976,True,False,True
resident/series/avx2/striped/k5/h0/u64/get16,ns/query,10.001211878872958,7.880755653762327,0.7879800717361077,9.952548303964337,10.019798002027308,7.809543490852924,7.937655484885566,10.007943732470652,7.933815330165803,7.8604706807815425,9.95824099828838,True,False,True
resident/series/avx2/striped/k5/h0/u64/raw-dense/get16,ns/query,5.5644437220598615,5.651707413332818,1.015682374668829,5.523339843750012,5.624101148043804,5.62977465787572,5.6844914410134075,5.555858166050588,5.650965610397222,5.652449216268414,5.579494614250328,False,True,True
resident/series/avx2/striped/k6/h0/u64/admitted-region/get16,ns/query,4.76635488502648,4.404292558445206,0.9240378999644584,4.5482047142157604,5.134988813074599,4.278721960711357,4.733721648943799,4.858153166518549,4.378419202094983,4.43016591479543,4.674556603534413,False,False,True
resident/series/avx2/striped/k6/h0/u64/get16,ns/query,9.824430126657347,7.797910621822272,0.7937265084377392,9.798498706300032,9.845648946612384,7.734355235080644,7.84280584151306,9.84550838836586,7.741669732999946,7.823699537646597,9.82185353425523,True,False,True
resident/series/avx2/striped/k6/h0/u64/raw-dense/get16,ns/query,4.828653961601418,5.0090468648067015,1.0373588384340253,4.797023793737907,4.99809105411749,4.908909335633317,5.293536146289261,4.846656896685428,4.97294376052189,5.045149969091513,4.810651026517408,False,False,True
resident/series/avx2/striped/k7/h0/u64/admitted-region/get16,ns/query,3.5634652204885278,3.4239133710902174,0.9608381615187538,3.515906673501108,3.6862430999638676,3.366763482747553,3.5266599953665856,3.5588060298021356,3.4231422703644503,3.4246844718159846,3.5681244111749195,False,False,True
resident/series/avx2/striped/k7/h0/u64/get16,ns/query,10.052228095117705,6.1419001047548,0.6109988797148243,10.022511125122609,10.0692011855299,6.105529576249689,6.223201527676522,10.043206448959177,6.106150327227557,6.183527069987358,10.061249741276235,True,False,True
resident/series/avx2/striped/k7/h0/u64/raw-dense/get16,ns/query,3.553379565521449,3.7183722797544316,1.046432617509796,3.4739713997615276,3.7084678532819777,3.6647031053914456,3.8173761298924234,3.5434299612523104,3.71793042096827,3.7188141385405937,3.563329169790588,False,False,True
resident/series/avx512/local/k1/h0/u64/admitted-region/get16,ns/query,6.52425090457755,6.521800659286679,0.999624440364617,6.500231653646864,6.539256684776169,6.486327969285658,6.561552322510559,6.502521561490259,6.528398091814166,6.515203226759193,6.538675211826691,False,False,False
resident/series/avx512/local/k1/h0/u64/get16,ns/query,13.387777818521254,7.291255326851318,0.5446202816993473,13.342885431182891,13.432361899540943,7.2835327556881575,7.312166078909839,13.396008965696472,7.294045897958721,7.288464755743915,13.379546671346036,True,False,True
resident/series/avx512/local/k1/h0/u64/raw-dense/get16,ns/query,6.25260124019086,6.254721374133098,1.0003390803060668,6.231013237880042,6.282758198929796,6.241294969628144,6.262601094535885,6.255778721070963,6.2606819058642,6.247907774535169,6.249928127738004,False,False,False
resident/series/avx512/local/k5/h0/u64/admitted-region/get16,ns/query,6.243835855402134,6.253244496723749,1.001506868780587,6.22207687122317,6.277391032494566,6.241139196924698,6.260760262981427,6.244356379348244,6.257417309350412,6.251786845944141,6.2433153314560235,False,False,True
resident/series/avx512/local/k5/h0/u64/get16,ns/query,13.401604021378894,7.296689731632633,0.5444639104388249,13.38587072867396,13.459568914687706,7.2783634886691635,7.3276003264635055,13.396608934105275,7.305818220051901,7.279146300822041,13.403395921437843,True,False,True
