dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,15,18,local16,inline,3,8,4096,32768,589824,4096,60591,65536,512,39030784,16719170,510.229,28.346,64567186,78025001,16726229,16726229,available,0,0,unestablished
structural,15,18,local16,inline,4,8,4096,32768,589824,4096,60591,65536,512,39030784,16761409,511.518,28.4176,64570821,78025002,16757663,16757663,available,0,0,unestablished
structural,15,18,local16,split,0,8,4096,32768,589824,4096,60591,65536,512,39030784,16929119,516.636,28.702,64448761,87724330,16770404,16770404,available,0,0,unestablished
structural,15,18,local16,split,1,8,4096,32768,589824,4096,60591,65536,512,39030784,16734205,510.687,28.3715,64454868,87724330,16725952,16725952,available,0,0,unestablished
structural,15,18,local16,split,2,8,4096,32768,589824,4096,60591,65536,512,39030784,16713911,510.068,28.3371,64558468,87724328,16719480,16719480,available,0,0,unestablished
structural,15,18,local16,split,3,8,4096,32768,589824,4096,60591,65536,512,39030784,16763493,511.581,28.4212,64523331,87724329,16769306,16769306,available,0,0,unestablished
structural,15,18,local16,split,4,8,4096,32768,589824,4096,60591,65536,512,39030784,16748920,511.136,28.3965,64507698,87724329,16742435,16742435,available,0,0,unestablished
structural,15,18,scan128,inline,0,8,4096,32768,589824,4096,60591,65536,512,39030784,16456808,502.222,27.9012,63410632,80974121,16462809,16462809,available,0,0,unestablished
structural,15,18,scan128,inline,1,8,4096,32768,589824,4096,60591,65536,512,39030784,16404876,500.637,27.8132,63312026,80974121,16411206,16411206,available,0,0,unestablished
structural,15,18,scan128,inline,2,8,4096,32768,589824,4096,60591,65536,512,39030784,16484378,503.063,27.948,63391948,80974121,16456434,16456434,available,0,0,unestablished
structural,15,18,scan128,inline,3,8,4096,32768,589824,4096,60591,65536,512,39030784,16418734,501.06,27.8367,63387145,80974121,16421120,16421120,available,0,0,unestablished
structural,15,18,scan128,inline,4,8,4096,32768,589824,4096,60591,65536,512,39030784,16424555,501.238,27.8465,63350932,80974120,16419949,16419949,available,0,0,unestablished
structural,15,18,scan128,split,0,8,4096,32768,589824,4096,60591,65536,512,39030784,16723742,510.368,28.3538,64399005,90214697,16730203,16730203,available,0,0,unestablished
structural,15,18,scan128,split,1,8,4096,32768,589824,4096,60591,65536,512,39030784,16722587,510.333,28.3518,64288252,90214698,16716902,16716902,available,0,0,unestablished
structural,15,18,scan128,split,2,8,4096,32768,589824,4096,60591,65536,512,39030784,16653293,508.218,28.2343,64294148,90214697,16660656,16660656,available,0,0,unestablished
structural,15,18,scan128,split,3,8,4096,32768,589824,4096,60591,65536,512,39030784,16673732,508.842,28.269,64332958,90214696,16686142,16686142,available,0,0,unestablished
structural,15,18,scan128,split,4,8,4096,32768,589824,4096,60591,65536,512,39030784,16734524,510.697,28.3721,64334442,90214698,16735055,16735055,available,0,0,unestablished
structural,255,1,direct32,inline,0,8,32768,262144,262144,8192,60591,65536,512,17235968,13662027,52.1165,52.1165,52705174,65306919,13666822,13666822,available,0,0,unestablished
structural,255,1,direct32,inline,1,8,32768,262144,262144,8192,60591,65536,512,17235968,13669953,52.1467,52.1467,52739142,65306917,13676597,13676597,available,0,0,unestablished
structural,255,1,direct32,inline,2,8,32768,262144,262144,8192,60591,65536,512,17235968,13637631,52.0234,52.0234,52645510,65306918,13644363,13644363,available,0,0,unestablished
