input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:values_per_item,counter:bulk_input_output_bytes,counter:queries_per_iteration,counter:payload_stride,counter:head0_stride,counter:head1_stride,counter:query_hash_lo,counter:query_hash_hi
zen-avx512,head-placement/avx512/local/k16/h16/n8193/payloadgap0/headgap0-0/encode-bound,1,3,"[746.6077553935105,745.6020324481948,745.0687823150776]",745.6020324481948,"[746.6453735056816,745.6091816760973,745.0760919936387]",745.6091816760973,"[746.6077553935104,745.6020324481948,745.0687823150776]",745.6020324481948,8193.0,,,,,,0.0,,,,
zen-avx512,head-placement/avx512/local/k16/h16/n8193/payloadgap0/headgap0-17/encode-bound,1,3,"[831.3911607022059,829.8969078285693,829.8798939602864]",829.8969078285693,"[831.3993313192522,829.9050388744001,829.8880250061171]",829.9050388744001,"[831.3911607022059,829.8969078285693,829.8798939602863]",829.8969078285693,8193.0,,,,,,0.0,,,,
zen-avx512,head-placement/avx512/local/k16/h16/n8193/payloadgap0/headgap13-0/encode-bound,1,3,"[792.754491696393,794.4041865828337,793.0966352414795]",793.0966352414795,"[792.7620864876923,794.6492981402243,793.1042300317047]",793.1042300317047,"[792.7544916963931,794.4041865828337,793.0966352414795]",793.0966352414795,8193.0,,,,,,0.0,,,,
zen-avx512,head-placement/avx512/local/k16/h16/n8193/payloadgap0/headgap13-17/encode-bound,1,3,"[910.6467821294325,908.3072421048076,907.2672056876339]",908.3072421048076,"[910.699737717444,908.3161728093015,907.2758979523878]",908.3161728093015,"[910.6467821294325,908.3072421048079,907.267205687634]",908.3072421048079,8193.0,,,,,,0.0,,,,
zen-avx512,head-placement/avx512/local/k16/h16/n8193/payloadgap11/headgap13-17/encode-bound,1,3,"[908.0006267557372,908.6340825586801,907.6440025931132]",908.0006267557372,"[908.009314888399,908.6429868154996,907.6529284656655]",908.009314888399,"[908.0006267557372,908.6340825586801,907.6440025931133]",908.0006267557372,8193.0,,,,,,11.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n257/payloadgap0/headgap0-0/encode-bound,1,3,"[34.39001519114944,34.248562251796756,34.24051037736739]",34.248562251796756,"[34.39034469628291,34.24889094905304,34.240830190958725]",34.24889094905304,"[34.39001519114944,34.248562251796756,34.24051037736739]",34.248562251796756,257.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n257/payloadgap0/headgap0-17/encode-bound,1,3,"[26.899182977495006,26.979570265799005,27.064262468881225]",26.979570265799005,"[26.89944096416294,26.98052135170524,27.064522381095582]",26.98052135170524,"[26.899182977495006,26.97957026579901,27.06426246888122]",26.97957026579901,257.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n257/payloadgap0/headgap13-0/encode-bound,1,3,"[26.85930079300848,26.83451968669954,26.902210222338518]",26.85930079300848,"[26.860210373132087,26.83477600555205,26.902461427435043]",26.860210373132087,"[26.859300793008476,26.83451968669954,26.902210222338518]",26.859300793008476,257.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n257/payloadgap0/headgap13-17/encode-bound,1,3,"[26.903851365246982,26.917464676130393,26.891788049724806]",26.903851365246982,"[26.906831630543216,26.92425620489632,26.892676336023488]",26.906831630543216,"[26.90385136524698,26.917464676130393,26.891788049724806]",26.90385136524698,257.0,,,,,,7.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n257/payloadgap11/headgap13-17/encode-bound,1,3,"[32.59315635650956,32.613369754523745,32.61853588249745]",32.613369754523745,"[32.593469091696825,32.61368156735524,32.61883939255385]",32.61368156735524,"[32.59315635650955,32.613369754523745,32.61853588249745]",32.613369754523745,257.0,,,,,,18.0,,,,
zen-avx512,head-placement/avx512/local/k23/h16/n8193/payloadgap0/headgap0-0/encode-bound,1,3,"[1094.0419700442787,1093.7614156433117,1091.9981017256225]",1093.7614156433117,"[1094.0524495518855,1093.8200020780466,1092.0088152762803]",1093.8200020780466,"[1094.0419700442787,1093.7614156433117,1091.9981017256227]",1093.7614156433117,8193.0,,,,,,7.0,,,,
