dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
uscensus2000,quadrants,sample32,predict,4,16,2048,32768,0,16384,5501809,167.902,21087046,63213863,5491366,5491366,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict-then-encode,0,16,1024,16384,16384,9458688,5879445,358.853,22768174,84016422,5893574,5893574,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict-then-encode,1,16,1024,16384,16384,9458688,5897555,359.958,22781423,84016421,5902089,5902089,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict-then-encode,2,16,1024,16384,16384,9458688,5868846,358.206,22649256,84016422,5874709,5874709,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict-then-encode,3,16,1024,16384,16384,9458688,5879344,358.847,22651287,84016423,5886354,5886354,available,0,0,unestablished
uscensus2000,quadrants,sample32,predict-then-encode,4,16,1024,16384,16384,9458688,5921400,361.414,22702855,84016423,5909449,5909449,available,0,0,unestablished
weather_sept_85,cheap,full,predict,0,16,512,8192,0,9910272,5551090,677.623,21505522,72604965,5572480,5572480,available,0,0,unestablished
weather_sept_85,cheap,full,predict,1,16,512,8192,0,9910272,5586302,681.922,21546691,72604966,5591903,5591903,available,0,0,unestablished
weather_sept_85,cheap,full,predict,2,16,512,8192,0,9910272,5567554,679.633,21499904,72604965,5573339,5573339,available,0,0,unestablished
weather_sept_85,cheap,full,predict,3,16,512,8192,0,9910272,5577827,680.887,21505043,72604966,5583423,5583423,available,0,0,unestablished
weather_sept_85,cheap,full,predict,4,16,512,8192,0,9910272,5566688,679.527,21496402,72604965,5572298,5572298,available,0,0,unestablished
weather_sept_85,cheap,full,encode,0,16,128,2048,2048,2465920,6310961,3081.52,24336495,50618151,6313151,6313151,available,0,0,unestablished
weather_sept_85,cheap,full,encode,1,16,128,2048,2048,2465920,6281407,3067.09,24334443,50618150,6295371,6295371,available,0,0,unestablished
weather_sept_85,cheap,full,encode,2,16,128,2048,2048,2465920,6300442,3076.39,24335097,50618150,6306010,6306010,available,0,0,unestablished
weather_sept_85,cheap,full,encode,3,16,128,2048,2048,2465920,6304023,3078.14,24335519,50618150,6309845,6309845,available,0,0,unestablished
