input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:bulk_input_output_bytes
gnr-n65536-03-candidate,bulk/series/avx2/local/k5/h0/u8/decode,1,5,"[4076.8726711690783,4074.7824871914127,4077.6091057289477,4077.462971588243,4075.457789939409]",4076.8726711690783,"[4077.853865854379,4075.3844899906244,4081.9920237508395,4082.185083831622,4076.389031204278]",4077.853865854379,"[0.06220814012403989,0.06217624644762287,0.06221937722364727,0.06221714739361943,0.06218655074980787]",0.06220814012403989,65536.0,40960.0,131072.0
gnr-n65536-03-candidate,bulk/series/avx2/local/k5/h0/u8/encode,1,5,"[5369.674473967142,5363.878590078341,5365.78597757641,5368.4658270618565,5365.385117493454]",5365.78597757641,"[5377.408539393048,5365.573183845993,5366.397174032815,5369.067040394426,5366.094532337292]",5366.397174032815,"[0.08193473013255527,0.08184629196286532,0.0818753963863588,0.08191628764437647,0.0818692797469094]",0.0818753963863588,65536.0,40960.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k12/h8/u16/decode,1,5,"[12146.536365214497,12146.277382398861,12150.951050164913,12146.528206908588,12145.475091130049]",12146.528206908588,"[12148.03506336864,12147.016837320194,12155.478736320938,12151.578198186407,12154.082103800874]",12151.578198186407,"[0.18534143623679344,0.18533748447263884,0.18540879898322926,0.1853413117509245,0.18532524247940138]",0.1853413117509245,65536.0,98304.0,262144.0
gnr-n65536-04-before,bulk/series/avx2/local/k12/h8/u16/encode,1,5,"[7453.144284954811,7449.048165869238,7443.059968102137,7446.432748537986,7446.166932482706]",7446.432748537986,"[7469.690590098513,7458.989898997984,7443.534609275758,7447.382243486338,7447.937161065434]",7447.937161065434,"[0.11372595649650287,0.11366345467940121,0.1135720820328085,0.11362354657803322,0.1136194905469163]",0.11362354657803322,65536.0,98304.0,262144.0
gnr-n65536-04-before,bulk/series/avx2/local/k12/h8/u64/decode,1,5,"[15799.39569648935,15805.890373726079,15801.81109852774,15799.188674971765,15797.491506228638]",15799.39569648935,"[15814.5005663172,15822.251868607753,15806.392751888605,15804.679275200524,15798.477689669475]",15806.392751888605,"[0.24107964624770123,0.24117874715768556,0.24111650235790616,0.24107648735003306,0.24105059061017817]",0.24107964624770123,65536.0,98304.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k12/h8/u64/encode,1,5,"[16482.227272727203,16510.520725388607,16526.579604333292,16504.544983513762,16512.89590202555]",16510.520725388607,"[16490.009420715036,16511.928638762918,16530.42392841715,16508.72209138401,16525.69642015361]",16511.928638762918,"[0.25149882923472905,0.2519305530607393,0.25217559210713647,0.25183937047597904,0.2519667953800285]",0.2519305530607393,65536.0,98304.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k20/h16/u32/decode,1,5,"[14552.10600706711,14554.004157139807,14554.127208480513,14564.685096653418,14555.324672625306]",14554.127208480513,"[14554.541883188163,14555.671170205835,14558.257534846663,14581.62772808611,14558.7896487018]",14558.257534846663,"[0.22204751597697617,0.22207647944854442,0.22207835706299608,0.22223945765157196,0.2220966289157914]",0.22207835706299608,65536.0,163840.0,524288.0
gnr-n65536-04-before,bulk/series/avx2/local/k20/h16/u32/encode,1,5,"[14159.513371150642,14157.545178282096,14165.793962722759,14153.20644246343,14158.756685575288]",14158.756685575288,"[14161.531807057083,14163.558954665148,14188.794165294374,14154.366288466932,14165.289708249898]",14163.558954665148,"[0.21605702775803592,0.2160269955182205,0.2161528619800226,0.21596079166356555,0.21604548165245496]",0.21604548165245496,65536.0,163840.0,524288.0
gnr-n65536-04-before,bulk/series/avx2/local/k20/h16/u64/decode,1,5,"[18657.3750332712,18664.07346286938,18641.74554165574,18636.277881288275,18644.308756986906]",18644.308756986906,"[18678.803832869184,18665.26217731102,18644.88394993764,18691.05988825367,18645.614852270293]",18665.26217731102,"[0.28468895009263917,0.2847911600169278,0.2844504629769247,0.28436703310071215,0.2844895745389848]",0.2844895745389848,65536.0,163840.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k20/h16/u64/encode,1,5,"[23700.78048780465,23770.290989159792,23695.81808943077,23760.999661246773,23763.82249322518]",23760.999661246773,"[23705.78827919459,23774.075541921302,23702.614837284247,23765.08367220215,23783.78861783188]",23765.08367220215,"[0.36164521008002704,0.3627058561578337,0.3615694898899958,0.3625640817450985,0.36260715474281585]",0.3625640817450985,65536.0,163840.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k3/h0/u64/decode,1,5,"[15117.428323949762,15118.059549588566,15103.7957990472,15116.786271113033,15118.009961022093]",15117.428323949762,"[15119.421394518975,15119.738847952902,15108.275227350292,15117.717193568269,15120.031615439688]",15119.421394518975,"[0.23067364996261236,0.2306832817014857,0.23046563414073484,0.23066385301380968,0.23068252504000997]",0.23067364996261236,65536.0,24576.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k3/h0/u64/encode,1,5,"[9929.27129471891,9930.356615559343,9932.24134014764,9930.417802385013,9937.659142532653]",9930.417802385013,"[9933.262067033116,9930.97189100701,9940.323679702959,9931.596252147501,9944.12975582957]",9933.262067033116,"[0.15150865623045212,0.15152521691222146,0.15155397552715516,0.15152615054908772,0.1516366446309304]",0.15152615054908772,65536.0,24576.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k3/h0/u8/decode,1,5,"[3689.6040700126528,3688.058414171227,3691.972321805144,3688.506221003788,3688.2889076339143]",3688.506221003788,"[3690.498365654832,3689.9920919384103,3694.4675242415265,3689.1004850286395,3688.6196752459114]",3689.9920919384103,"[0.05629889022846454,0.05627530539201701,0.05633502688301306,0.05628213838201581,0.05627882244314444]",0.05628213838201581,65536.0,24576.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k3/h0/u8/encode,1,5,"[4745.995587536492,4787.755345869257,4745.169778019139,4768.933269974874,4773.201072568043]",4768.933269974874,"[4747.360871625316,4793.312198761893,4751.262575526305,4770.41938766972,4773.755413772772]",4770.41938766972,"[0.07241814556177507,0.07305534890547573,0.072405544708544,0.07276814681968496,0.07283326831921452]",0.07276814681968496,65536.0,24576.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k4/h0/u64/decode,1,5,"[11947.849436667808,11940.287299419633,11944.6756572209,11938.653294639815,11940.646637077552]",11940.646637077552,"[11955.477125307541,11949.95083646027,11950.253499544804,11940.007169651533,11942.02884937346]",11949.95083646027,"[0.1823097143046235,0.18219432524749193,0.18226128627351226,0.18216939231322957,0.18219980830501634]",0.18219980830501634,65536.0,32768.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k4/h0/u64/encode,1,5,"[8974.873732837143,8975.653150263048,8973.976645707666,8979.265238034128,8976.547927627358]",8975.653150263048,"[8975.569228792192,8979.487103805986,8975.049788276727,8980.386885657534,8984.578467809179]",8979.487103805986,"[0.13694570515193394,0.13695759811802746,0.13693201668865454,0.1370127142034016,0.13697125133708737]",0.13695759811802746,65536.0,32768.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k4/h0/u8/decode,1,5,"[3394.5822944458037,3397.0741207858428,3395.460198884296,3395.9856415231548,3396.810768857624]",3395.9856415231548,"[3394.7865631710138,3397.4694639665913,3396.9186999828203,3398.356633518319,3397.80048507444]",3397.4694639665913,"[0.05179721518624578,0.05183523743874883,0.05181061094488977,0.05181862856328055,0.05183121900722693]",0.05181862856328055,65536.0,32768.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k4/h0/u8/encode,1,5,"[3872.2877136692937,3872.774520108429,3872.354041046634,3869.4788405155796,3870.2773690324902]",3872.2877136692937,"[3874.9241024576536,3876.244620214175,3873.2437904435706,3869.8935664121022,3870.767660553297]",3873.2437904435706,"[0.05908642141219015,0.05909384948895919,0.059087433487650054,0.0590435614092343,0.05905574598743424]",0.05908642141219015,65536.0,32768.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k5/h0/u64/decode,1,5,"[15199.552470485303,15200.715566244053,15213.68277219068,15196.170747704471,15196.877131613519]",15199.552470485303,"[15202.148884984239,15207.33865333501,15214.613030170252,15197.864232676993,15200.105378243552]",15202.148884984239,"[0.23192676499153597,0.23194451242437827,0.2321423762846478,0.2318751639969554,0.23188594256002076]",0.23192676499153597,65536.0,40960.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k5/h0/u64/encode,1,5,"[10544.808956574172,10536.88630880574,10542.050211097705,10543.083082026555,10542.272466827477]",10542.272466827477,"[10550.224668287996,10538.329764759686,10542.689083192257,10550.691345008587,10551.146109775913]",10550.224668287996,"[0.160901015572726,0.16078012556161103,0.1608589204574235,0.16087468081705555,0.160862311810722]",0.160862311810722,65536.0,40960.0,1048576.0
gnr-n65536-04-before,bulk/series/avx2/local/k5/h0/u8/decode,1,5,"[4074.713944687065,4074.300786026219,4077.29339155752,4076.243435225595,4074.303871906856]",4074.713944687065,"[4075.187190704073,4074.5464337615535,4080.0876856008063,4078.282794741957,4074.54858805928]",4075.187190704073,"[0.062175200572007226,0.06216889627115202,0.06221455980770141,0.06219853874550774,0.06216894335795373]",0.062175200572007226,65536.0,40960.0,131072.0
gnr-n65536-04-before,bulk/series/avx2/local/k5/h0/u8/encode,1,5,"[5364.354791682644,5331.7525512161665,5355.713036139015,5357.48783856365,5360.266937773326]",5357.48783856365,"[5368.050794158284,5335.590577761934,5361.349190508321,5358.435816765211,5360.6745185387845]",5360.6745185387845,"[0.08185355822269659,0.08135608751245371,0.08172169549772666,0.08174877683355179,0.081791182522176]",0.08174877683355179,65536.0,40960.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k12/h8/u16/decode,1,5,"[1526.4913800628483,1526.4169212639683,1525.6365659916178,1525.6355621508496,1527.2187718226273]",1526.4169212639683,"[1526.589625521889,1526.824764308047,1525.7586854081524,1525.7265188507147,1527.5543165131626]",1526.589625521889,"[0.18633927979282816,0.1863301905839805,0.18623493237202368,0.1862348098328674,0.18642807273225429]",0.1863301905839805,8192.0,12288.0,32768.0
gnr-n8192-01-before,bulk/series/avx2/local/k12/h8/u16/encode,1,5,"[861.8161453774379,861.3079161170199,861.6978782685936,862.2048376955627,861.2223441371937]",861.6978782685936,"[861.991628958749,861.3619641743483,862.1335790790395,862.7112053557814,861.3192829793765]",861.991628958749,"[0.10520216618376928,0.1051401264791284,0.10518772928083417,0.10524961397650912,0.10512968068080977]",0.10518772928083417,8192.0,12288.0,32768.0
gnr-n8192-01-before,bulk/series/avx2/local/k12/h8/u64/decode,1,5,"[1989.2282816194925,1988.9254637148517,1989.7003732512692,1989.6260649058277,1988.8194147647803]",1989.2282816194925,"[1989.5482804860003,1989.3542753048687,1990.6576060637904,1991.4374732950287,1988.9458928132483]",1989.5482804860003,"[0.24282571797112942,0.24278875289487936,0.24288334634414907,0.24287427550119967,0.24277580746640384]",0.24282571797112942,8192.0,12288.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k12/h8/u64/encode,1,5,"[2083.95096056623,2083.394605364904,2083.146672217917,2080.995063343833,2081.9390947481083]",2083.146672217917,"[2084.122910832544,2083.7132278541217,2083.5054422051153,2081.204306185751,2082.2511152215784]",2083.5054422051153,"[0.25438854499099495,0.2543206305377079,0.25429036526097615,0.254027717693339,0.2541429559018687]",0.25429036526097615,8192.0,12288.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k20/h16/u32/decode,1,5,"[1834.2464033961319,1836.048400199152,1834.934173632761,1834.0450721941256,1834.8338880008444]",1834.8338880008444,"[1834.5689054321558,1840.3663688111344,1836.1561803911745,1834.745813782201,1836.078535686164]",1836.078535686164,"[0.22390703166456685,0.22412700197743557,0.22399098799228037,0.22388245510182198,0.2239787460938531]",0.2239787460938531,8192.0,20480.0,65536.0
gnr-n8192-01-before,bulk/series/avx2/local/k20/h16/u32/encode,1,5,"[1649.0296570243936,1648.0834589654314,1648.6860218599938,1648.6929944407818,1648.2848864600046]",1648.6860218599938,"[1649.4365165422341,1648.2632620354216,1648.8955526307336,1649.2526853862557,1649.0178554589208]",1649.0178554589208,"[0.20129756555473552,0.20118206286199114,0.20125561790283128,0.20125646904794703,0.2012066511791998]",0.20125561790283128,8192.0,20480.0,65536.0
gnr-n8192-01-before,bulk/series/avx2/local/k20/h16/u64/decode,1,5,"[2328.5131557063532,2329.341715730287,2328.1947576755306,2328.462029737549,2328.505970794664]",2328.505970794664,"[2329.5577620242193,2330.438412662567,2328.6537604429427,2328.717593051621,2328.6462096220707]",2328.717593051621,"[0.2842423285774357,0.2843434711584823,0.2842034616303138,0.2842360876144469,0.28424145151302055]",0.28424145151302055,8192.0,20480.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k20/h16/u64/encode,1,5,"[2949.74377029134,2947.2687102078394,2947.4409916937175,2951.5634355103957,2946.1297381624913]",2947.4409916937175,"[2951.825483829529,2949.1256061070435,2947.9332124589673,2951.930007998023,2946.6573765547178]",2949.1256061070435,"[0.36007614383439207,0.35977401247654284,0.359795042931362,0.3602982709363276,0.3596349778030385]",0.359795042931362,8192.0,20480.0,131072.0
gnr-n8192-01-before,bulk/series/avx2/local/k3/h0/u64/decode,1,5,"[1898.2804228490684,1897.6554975813906,1897.4468721126173,1895.9107831947388,1898.6112016957422]",1897.6554975813906,"[1900.1829990707522,1897.8226262356163,1897.8238491275904,1896.2167509069177,1898.8243654575324]",1897.8238491275904,"[0.23172368442981792,0.23164739960710337,0.23162193263093472,0.2314344217767015,0.2317640627069998]",0.23164739960710337,8192.0,3072.0,131072.0
