case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,redistributions,correct,ns_per_operation,spread_percent
collision,ids,indirect,scan256_after,4096,256,0,7489257858394937713,16,4,1,524288,155648,27076,184320,23,22,0,0,0,0,0,0,0,0,0,0,1,191.93559536370415,1.5793442050630633
collision,ids,indirect,churn,4096,512,0,7489257858394937713,16,4,1,524288,155648,27076,184320,23,22,0,0,1897560,0,0,2048,0,0,0,0,1,357.6945864312266,2.2559076951057677
hot,deps,natural,points,4096,2048,65536,12968327528492108309,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.142636480564025,2.2665750570003587
hot,deps,natural,scan256_after,4096,256,65536,12968327528492108309,16,4,0,975360,121920,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,362.59011182598067,12.103839129746467
hot,deps,natural,churn,4096,2048,65536,12968327528492108309,16,4,0,975360,121920,161856,196608,257,256,257,13191936,1648992,0,0,8192,0,0,0,0,1,544.2468772710756,1.7863400310591497
hot,deps,natural1024,points,4096,2048,65536,12968327528492108309,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.083365358421496,1.8395352564641054
hot,deps,natural1024,scan256_after,4096,256,65536,12968327528492108309,16,4,0,975360,121920,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,362.7741713116698,6.616229476540397
hot,deps,natural1024,churn,4096,2048,65536,12968327528492108309,16,4,0,975360,121920,161856,196608,257,256,257,13191936,1648992,0,0,8192,0,0,0,0,1,544.1846354166667,2.4471379598076815
hot,deps,gapped,points,4096,2048,65536,12968327528492108309,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,57.70299236591041,1.205644226493502
hot,deps,gapped,scan256_after,4096,256,65536,12968327528492108309,16,4,0,1015808,126976,17888,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,333.9883085664337,2.0942582445354763
hot,deps,gapped,churn,4096,2048,65536,12968327528492108309,16,4,0,1015808,126976,17888,196608,32,31,0,4148480,518560,35570,142280,10496,9,22,256,0,1,613.346044921875,3.563851175914733
hot,deps,gapped_tail,points,4096,2048,65536,12968327528492108309,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,58.215716271943116,23.464224897314676
hot,deps,gapped_tail,scan256_after,4096,256,65536,12968327528492108309,16,4,0,1015808,126976,17888,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,335.553089796361,1.3857197198245692
hot,deps,gapped_tail,churn,4096,2048,65536,12968327528492108309,16,4,0,1015808,126976,17888,196608,32,31,0,4148480,518560,35570,142280,10496,9,22,256,0,1,615.4123973357374,3.5818471655505593
hot,deps,blocked,points,4096,2048,65536,12968327528492108309,16,4,0,720896,90112,35520,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,70.84049035274626,2.1853594881382663
hot,deps,blocked,scan256_after,4096,256,65536,12968327528492108309,16,4,0,1015808,126976,49632,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,177.84705017147587,1.0345609546208931
hot,deps,blocked,churn,4096,2048,65536,12968327528492108309,16,4,0,1015808,126976,49632,196608,32,31,0,294912,1444048,5442,21768,10496,9,22,256,0,1,495.67993662308663,2.454230612941186
hot,deps,indirect,points,4096,2048,65536,12968327528492108309,16,4,0,524288,155648,27072,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,58.10837843561746,1.4066623736751318
hot,deps,indirect,scan256_after,4096,256,65536,12968327528492108309,16,4,0,524288,192512,38244,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,207.6197183098591,1.6077321299045058
hot,deps,indirect,churn,4096,2048,65536,12968327528492108309,16,4,0,524288,192512,38244,196608,32,31,0,0,7058960,0,0,9344,9,0,256,0,1,363.1036300659179,1.3762651383712707
hot,ids,natural,points,4096,2048,65536,12968327528492108309,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.17132404206138,1.1900940028876401
hot,ids,natural,scan256_after,4096,256,65536,12968327528492108309,16,4,1,975360,121920,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,360.26742493872564,2.7730073114473486
hot,ids,natural,churn,4096,2048,65536,12968327528492108309,16,4,1,975360,121920,161856,245760,257,256,257,13191936,1648992,0,0,8192,0,0,0,0,1,545.5050714666194,2.7810798694530257
hot,ids,natural1024,points,4096,2048,65536,12968327528492108309,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.080177535553844,1.8897743247809986
hot,ids,natural1024,scan256_after,4096,256,65536,12968327528492108309,16,4,1,975360,121920,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,363.71811676025385,2.314018334092984
hot,ids,natural1024,churn,4096,2048,65536,12968327528492108309,16,4,1,975360,121920,161856,245760,257,256,257,13191936,1648992,0,0,8192,0,0,0,0,1,545.0970884811046,1.6477176735079335
hot,ids,gapped,points,4096,2048,65536,12968327528492108309,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,57.919155428636934,0.9631693232300574
hot,ids,gapped,scan256_after,4096,256,65536,12968327528492108309,16,4,1,1015808,126976,17888,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,335.34246575342485,2.1143535539214295
hot,ids,gapped,churn,4096,2048,65536,12968327528492108309,16,4,1,1015808,126976,17888,245760,32,31,0,4148480,518560,35570,35570,10496,9,22,256,0,1,591.6068237304687,3.7863582882052436
hot,ids,gapped_tail,points,4096,2048,65536,12968327528492108309,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,58.14378446691173,2.1113096126100923
hot,ids,gapped_tail,scan256_after,4096,256,65536,12968327528492108309,16,4,1,1015808,126976,17888,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,337.72523051015884,1.835754281160682
hot,ids,gapped_tail,churn,4096,2048,65536,12968327528492108309,16,4,1,1015808,126976,17888,245760,32,31,0,4148480,518560,35570,35570,10496,9,22,256,0,1,590.0275512695314,2.3137926577804744
hot,ids,blocked,points,4096,2048,65536,12968327528492108309,16,4,1,720896,90112,35520,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,71.16560104658016,3.0955155946174124
hot,ids,blocked,scan256_after,4096,256,65536,12968327528492108309,16,4,1,1015808,126976,49632,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,177.87887073863644,2.226593404882226
hot,ids,blocked,churn,4096,2048,65536,12968327528492108309,16,4,1,1015808,126976,49632,245760,32,31,0,294912,1444048,5442,5442,10496,9,22,256,0,1,492.83914930555574,2.16772960385607
hot,ids,indirect,points,4096,2048,65536,12968327528492108309,16,4,1,524288,155648,27072,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,58.21635395973409,3.8305605741265
hot,ids,indirect,scan256_after,4096,256,65536,12968327528492108309,16,4,1,524288,192512,38244,245760,32,31,0,0,0,0,0,0,0,0,0,0,1,208.49098781216824,3.3153982472151813
hot,ids,indirect,churn,4096,2048,65536,12968327528492108309,16,4,1,524288,192512,38244,245760,32,31,0,0,7058960,0,0,9344,9,0,256,0,1,365.4481582641601,2.201725548304024
append,deps,natural,points,4096,2048,65536,12880072450246211970,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.26426885905535,1.448091807271922
append,deps,natural,scan256_after,4096,256,65536,12880072450246211970,16,4,0,930176,116272,167008,196608,265,264,267,0,0,0,0,0,0,0,0,0,1,403.92286238913533,2.3603784582320317
append,deps,natural,churn,4096,2048,65536,12880072450246211970,16,4,0,930176,116272,167008,196608,265,264,267,7546496,943312,0,0,8439,2,0,0,0,1,468.8698203890932,3.998161009292669
append,deps,natural1024,points,4096,2048,65536,12880072450246211970,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.19323686079541,2.6562247180142244
append,deps,natural1024,scan256_after,4096,256,65536,12880072450246211970,16,4,0,947072,118384,167008,196608,265,264,267,0,0,0,0,0,0,0,0,0,1,403.7894773230087,4.053383400586126
append,deps,natural1024,churn,4096,2048,65536,12880072450246211970,16,4,0,947072,118384,167008,196608,265,264,267,11807872,1475984,0,0,9217,2,0,0,0,1,544.0111964026162,2.206573785205209
append,deps,gapped,points,4096,2048,65536,12880072450246211970,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,58.30147811741504,2.824454782419197
append,deps,gapped,scan256_after,4096,256,65536,12880072450246211970,16,4,0,1179648,147456,21632,196608,37,36,0,0,0,0,0,0,0,0,0,0,1,353.8122639079668,14.854683590437562
append,deps,gapped,churn,4096,2048,65536,12880072450246211970,16,4,0,1179648,147456,21632,196608,37,36,0,33292160,4161520,260095,1040380,11776,14,0,256,0,1,1622.9388346354165,2.599944428711596
append,deps,gapped_tail,points,4096,2048,65536,12880072450246211970,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,58.01131481903893,2.037059458099129
append,deps,gapped_tail,scan256_after,4096,256,65536,12880072450246211970,16,4,0,1179648,147456,21632,196608,37,36,0,0,0,0,0,0,0,0,0,0,1,353.35424169377325,3.0688350756275202
append,deps,gapped_tail,churn,4096,2048,65536,12880072450246211970,16,4,0,1179648,147456,21632,196608,37,36,0,1185536,148192,9262,37048,11776,14,0,256,33,1,476.6116569674744,2.254654102360999
append,deps,blocked,points,4096,2048,65536,12880072450246211970,16,4,0,720896,90112,35520,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,70.56332284432868,5.595076496877479
append,deps,blocked,scan256_after,4096,256,65536,12880072450246211970,16,4,0,1179648,147456,58496,196608,37,36,0,0,0,0,0,0,0,0,0,0,1,181.61197653884992,2.919751326511831
append,deps,blocked,churn,4096,2048,65536,12880072450246211970,16,4,0,1179648,147456,58496,196608,37,36,0,458752,672412,3272,13088,11776,14,0,256,0,1,448.08603696469896,3.407757374366501
append,deps,indirect,points,4096,2048,65536,12880072450246211970,16,4,0,524288,155648,27072,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,57.95022715692936,1.8845787699549692
append,deps,indirect,scan256_after,4096,256,65536,12880072450246211970,16,4,0,524288,212992,44676,196608,37,36,0,0,0,0,0,0,0,0,0,0,1,220.77192042151125,3.0112531706005026
append,deps,indirect,churn,4096,2048,65536,12880072450246211970,16,4,0,524288,212992,44676,196608,37,36,0,0,3111180,0,0,9984,14,0,256,0,1,300.14409119405866,1.038836819289939
append,ids,natural,points,4096,2048,65536,12880072450246211970,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.213594202002135,8.818056916197682
append,ids,natural,scan256_after,4096,256,65536,12880072450246211970,16,4,1,930176,116272,167008,245760,265,264,267,0,0,0,0,0,0,0,0,0,1,399.3786212446355,5.746325602372592
append,ids,natural,churn,4096,2048,65536,12880072450246211970,16,4,1,930176,116272,167008,245760,265,264,267,7546496,943312,0,0,8439,2,0,0,0,1,472.0928710937499,2.363703761777186
append,ids,natural1024,points,4096,2048,65536,12880072450246211970,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.422335619996936,4.164076670190522
append,ids,natural1024,scan256_after,4096,256,65536,12880072450246211970,16,4,1,947072,118384,167008,245760,265,264,267,0,0,0,0,0,0,0,0,0,1,399.85703297842934,2.4709208302356758
append,ids,natural1024,churn,4096,2048,65536,12880072450246211970,16,4,1,947072,118384,167008,245760,265,264,267,11807872,1475984,0,0,9217,2,0,0,0,1,538.6098632812502,0.9281723516622197
append,ids,gapped,points,4096,2048,65536,12880072450246211970,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,57.89724287014567,1.2797594971161397
append,ids,gapped,scan256_after,4096,256,65536,12880072450246211970,16,4,1,1179648,147456,21632,245760,37,36,0,0,0,0,0,0,0,0,0,0,1,354.592601102941,2.4259661044569505
append,ids,gapped,churn,4096,2048,65536,12880072450246211970,16,4,1,1179648,147456,21632,245760,37,36,0,33292160,4161520,260095,260095,11776,14,0,256,0,1,1512.906119791667,3.0297499319870695
append,ids,gapped_tail,points,4096,2048,65536,12880072450246211970,16,4,1,720896,90112,12992,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,59.0285013338415,2.900775732062112
append,ids,gapped_tail,scan256_after,4096,256,65536,12880072450246211970,16,4,1,1179648,147456,21632,245760,37,36,0,0,0,0,0,0,0,0,0,0,1,350.52181355337103,2.564864607329073
append,ids,gapped_tail,churn,4096,2048,65536,12880072450246211970,16,4,1,1179648,147456,21632,245760,37,36,0,1185536,148192,9262,9262,11776,14,0,256,33,1,472.60630446213935,2.7014794415358514
append,ids,blocked,points,4096,2048,65536,12880072450246211970,16,4,1,720896,90112,35520,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,70.58257427793563,2.2661273269653535
append,ids,blocked,scan256_after,4096,256,65536,12880072450246211970,16,4,1,1179648,147456,58496,245760,37,36,0,0,0,0,0,0,0,0,0,0,1,181.28305709696306,1.979843548917405
append,ids,blocked,churn,4096,2048,65536,12880072450246211970,16,4,1,1179648,147456,58496,245760,37,36,0,458752,672412,3272,3272,11776,14,0,256,0,1,444.7391075721155,1.2535181518307505
append,ids,indirect,points,4096,2048,65536,12880072450246211970,16,4,1,524288,155648,27072,245760,23,22,0,0,0,0,0,0,0,0,0,0,1,57.725337775735234,2.821133308815708
append,ids,indirect,scan256_after,4096,256,65536,12880072450246211970,16,4,1,524288,212992,44676,245760,37,36,0,0,0,0,0,0,0,0,0,0,1,219.77282049499414,1.7787895292383131
append,ids,indirect,churn,4096,2048,65536,12880072450246211970,16,4,1,524288,212992,44676,245760,37,36,0,0,3111180,0,0,9984,14,0,256,0,1,299.3810942444621,3.2609220308923437
moving,deps,natural,points,4096,2048,65536,12911848574592157416,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.01209651010475,0.892598606099327
moving,deps,natural,scan256_after,4096,256,65536,12911848574592157416,16,4,0,967552,120944,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,353.3291416952052,10.745701557762425
moving,deps,natural,churn,4096,2048,65536,12911848574592157416,16,4,0,967552,120944,161856,196608,257,256,257,8844160,1105520,0,0,8192,0,0,0,0,1,487.5522959183674,8.093713700911183
moving,deps,natural1024,points,4096,2048,65536,12911848574592157416,16,4,0,668032,83504,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,29.04181554982488,1.876394819445357
moving,deps,natural1024,scan256_after,4096,256,65536,12911848574592157416,16,4,0,967552,120944,161856,196608,257,256,257,0,0,0,0,0,0,0,0,0,1,355.0164954939139,2.705442317390608
moving,deps,natural1024,churn,4096,2048,65536,12911848574592157416,16,4,0,967552,120944,161856,196608,257,256,257,8844160,1105520,0,0,8192,0,0,0,0,1,491.3831380208332,3.1283847478253084
moving,deps,gapped,points,4096,2048,65536,12911848574592157416,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,57.54615714498803,2.6148108480807517
moving,deps,gapped,scan256_after,4096,256,65536,12911848574592157416,16,4,0,1015808,126976,17888,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,337.8382385361551,3.04099099194635
moving,deps,gapped,churn,4096,2048,65536,12911848574592157416,16,4,0,1015808,126976,17888,196608,32,31,0,4904960,613120,39650,158600,10496,9,8,256,0,1,624.4091154399673,2.7320874803203647
moving,deps,gapped_tail,points,4096,2048,65536,12911848574592157416,16,4,0,720896,90112,12992,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,57.48753096417681,1.5624225080291592
moving,deps,gapped_tail,scan256_after,4096,256,65536,12911848574592157416,16,4,0,1015808,126976,17888,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,339.8329750881835,1.6713457395189548
moving,deps,gapped_tail,churn,4096,2048,65536,12911848574592157416,16,4,0,1015808,126976,17888,196608,32,31,0,4904960,613120,39650,158600,10496,9,8,256,0,1,622.7479858398439,6.851419612249353
moving,deps,blocked,points,4096,2048,65536,12911848574592157416,16,4,0,720896,90112,35520,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,72.51214084855042,4.032420340780196
moving,deps,blocked,scan256_after,4096,256,65536,12911848574592157416,16,4,0,1015808,126976,49632,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,179.70219546742192,1.9240492381622123
moving,deps,blocked,churn,4096,2048,65536,12911848574592157416,16,4,0,1015808,126976,49632,196608,32,31,0,294912,1445608,3621,14484,10496,9,8,256,0,1,494.0623405612243,2.5282419510520433
moving,deps,indirect,points,4096,2048,65536,12911848574592157416,16,4,0,524288,155648,27072,196608,23,22,0,0,0,0,0,0,0,0,0,0,1,58.67732312841325,1.4319058716353157
moving,deps,indirect,scan256_after,4096,256,65536,12911848574592157416,16,4,0,524288,192512,38244,196608,32,31,0,0,0,0,0,0,0,0,0,0,1,212.31535143386367,1.4788589644455488
moving,deps,indirect,churn,4096,2048,65536,12911848574592157416,16,4,0,524288,192512,38244,196608,32,31,0,0,7066760,0,0,9344,9,0,256,0,1,360.19142844460237,2.4403675321350256
moving,ids,natural,points,4096,2048,65536,12911848574592157416,16,4,1,668032,83504,161856,245760,257,256,257,0,0,0,0,0,0,0,0,0,1,29.170729094860544,1.0143717467793236
