name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations
d20/deps/gapped_tail/scan256_after/manual_time,2,1,513,100300.93567251455,100360.46003898581,ns,256.0
d20/deps/gapped_tail/scan256_after/manual_time,3,1,513,100230.709551657,99993.66471734829,ns,256.0
d20/deps/gapped_tail/scan256_after/manual_time,4,1,513,99305.85185185187,99374.10721247588,ns,256.0
d20/deps/gapped_tail/scan256_after/manual_time,5,1,513,100231.26900584793,100306.69200779748,ns,256.0
d20/deps/gapped_tail/scan256_after/manual_time,6,1,513,97819.46393762185,97899.9356725144,ns,256.0
d20/deps/gapped_tail/churn/manual_time,0,1,244,223737.56557377047,721409.8360655736,ns,512.0
d20/deps/gapped_tail/churn/manual_time,1,1,244,208741.29918032794,658380.8032786916,ns,512.0
d20/deps/gapped_tail/churn/manual_time,2,1,244,207479.70491803295,658415.1270491842,ns,512.0
d20/deps/gapped_tail/churn/manual_time,3,1,244,208787.59426229517,658577.8688524598,ns,512.0
d20/deps/gapped_tail/churn/manual_time,4,1,244,229366.3073770492,706771.0000000049,ns,512.0
d20/deps/gapped_tail/churn/manual_time,5,1,244,204022.78278688542,645813.3483606542,ns,512.0
d20/deps/gapped_tail/churn/manual_time,6,1,244,204559.4590163934,653044.9098360722,ns,512.0
d20/deps/blocked/scan256_after/manual_time,0,1,960,51297.97187499994,51193.53333333428,ns,256.0
d20/deps/blocked/scan256_after/manual_time,1,1,960,51884.888541666696,51829.384374999885,ns,256.0
d20/deps/blocked/scan256_after/manual_time,2,1,960,51532.04270833335,51593.576041666,ns,256.0
d20/deps/blocked/scan256_after/manual_time,3,1,960,51257.24166666667,51313.02083333419,ns,256.0
d20/deps/blocked/scan256_after/manual_time,4,1,960,51769.54583333327,51667.96875000027,ns,256.0
d20/deps/blocked/scan256_after/manual_time,5,1,960,51311.065624999916,51371.093750000415,ns,256.0
d20/deps/blocked/scan256_after/manual_time,6,1,960,52047.87812500001,52110.37291666572,ns,256.0
d20/deps/blocked/churn/manual_time,0,1,207,232502.4927536231,621650.7584540985,ns,512.0
d20/deps/blocked/churn/manual_time,1,1,207,230896.87922705288,617208.7342995171,ns,512.0
d20/deps/blocked/churn/manual_time,2,1,207,229607.56038647355,612607.2850241531,ns,512.0
d20/deps/blocked/churn/manual_time,3,1,207,231310.85024154597,618025.7632850297,ns,512.0
d20/deps/blocked/churn/manual_time,4,1,207,227862.03381642507,613983.6956521729,ns,512.0
d20/deps/blocked/churn/manual_time,5,1,207,226085.45893719804,614501.0048309236,ns,512.0
d20/deps/blocked/churn/manual_time,6,1,207,229841.00000000006,615135.4685990341,ns,512.0
d20/deps/indirect/scan256_after/manual_time,0,1,763,64400.20052424638,64323.88597640717,ns,256.0
d20/deps/indirect/scan256_after/manual_time,1,1,763,64971.51114023589,64767.63695937081,ns,256.0
d20/deps/indirect/scan256_after/manual_time,2,1,763,64682.30537352563,64684.30537352414,ns,256.0
d20/deps/indirect/scan256_after/manual_time,3,1,763,65066.57667103535,65126.69200524388,ns,256.0
d20/deps/indirect/scan256_after/manual_time,4,1,763,65038.77981651377,65096.98558322377,ns,256.0
d20/deps/indirect/scan256_after/manual_time,5,1,763,64764.98034076021,64621.997378768,ns,256.0
d20/deps/indirect/scan256_after/manual_time,6,1,763,64759.73394495415,64815.91349934629,ns,256.0
d20/deps/indirect/churn/manual_time,0,1,214,225344.29906542067,477655.1822429912,ns,512.0
d20/deps/indirect/churn/manual_time,1,1,214,228977.66355140205,483310.9345794367,ns,512.0
d20/deps/indirect/churn/manual_time,2,1,214,227281.47196261692,479763.63084111933,ns,512.0
d20/deps/indirect/churn/manual_time,3,1,214,228651.95794392517,481998.05140186986,ns,512.0
d20/deps/indirect/churn/manual_time,4,1,214,237111.23831775697,499741.43457944156,ns,512.0
d20/deps/indirect/churn/manual_time,5,1,214,241710.94859813098,504154.20560747717,ns,512.0
d20/deps/indirect/churn/manual_time,6,1,214,248564.70560747676,520969.6261682283,ns,512.0
collision/deps/natural/points/manual_time,0,1,471,105991.75371549891,106052.6369426765,ns,2048.0
collision/deps/natural/points/manual_time,1,1,471,104947.13375796183,104766.36730360727,ns,2048.0
collision/deps/natural/points/manual_time,2,1,471,105111.37579617834,104832.18046708863,ns,2048.0
collision/deps/natural/points/manual_time,3,1,471,103236.32059447988,103218.15286624148,ns,2048.0
collision/deps/natural/points/manual_time,4,1,471,102134.31634819534,102185.06794055372,ns,2048.0
collision/deps/natural/points/manual_time,5,1,471,103152.56687898097,103201.78768577428,ns,2048.0
collision/deps/natural/points/manual_time,6,1,471,101380.77707006375,101194.44373673256,ns,2048.0
collision/deps/natural/scan256_after/manual_time,0,1,106,464797.26415094326,464918.2358490538,ns,256.0
collision/deps/natural/scan256_after/manual_time,1,1,106,472336.9716981132,472077.43396225135,ns,256.0
collision/deps/natural/scan256_after/manual_time,2,1,106,462266.68867924507,461956.764150944,ns,256.0
collision/deps/natural/scan256_after/manual_time,3,1,106,462962.81132075464,462029.877358491,ns,256.0
collision/deps/natural/scan256_after/manual_time,4,1,106,461355.50000000006,461570.35849056975,ns,256.0
collision/deps/natural/scan256_after/manual_time,5,1,106,466878.65094339615,466940.254716985,ns,256.0
collision/deps/natural/scan256_after/manual_time,6,1,106,461571.5660377356,461680.0283018985,ns,256.0
collision/deps/natural/churn/manual_time,0,1,115,444763.1130434783,2162337.313043479,ns,512.0
collision/deps/natural/churn/manual_time,1,1,115,433305.93913043477,2101777.5217391234,ns,512.0
collision/deps/natural/churn/manual_time,2,1,115,427555.60000000015,2063331.8782608781,ns,512.0
collision/deps/natural/churn/manual_time,3,1,115,425760.65217391297,2056319.5565217347,ns,512.0
collision/deps/natural/churn/manual_time,4,1,115,429072.9739130435,2042225.0000000081,ns,512.0
collision/deps/natural/churn/manual_time,5,1,115,422753.0086956523,2052748.1826086873,ns,512.0
collision/deps/natural/churn/manual_time,6,1,115,424736.71304347826,2050421.00869565,ns,512.0
collision/deps/natural1024/points/manual_time,0,1,448,111252.33705357127,111195.96428571522,ns,2048.0
collision/deps/natural1024/points/manual_time,1,1,448,110437.88616071423,110305.52232142919,ns,2048.0
collision/deps/natural1024/points/manual_time,2,1,448,110939.11607142833,110642.76339285892,ns,2048.0
collision/deps/natural1024/points/manual_time,3,1,448,111768.26339285719,111835.1004464256,ns,2048.0
collision/deps/natural1024/points/manual_time,4,1,448,111908.6875,111996.6517857158,ns,2048.0
collision/deps/natural1024/points/manual_time,5,1,448,110199.41741071422,110264.32366071212,ns,2048.0
collision/deps/natural1024/points/manual_time,6,1,448,111468.12946428577,111217.7276785729,ns,2048.0
collision/deps/natural1024/scan256_after/manual_time,0,1,1808,26772.85619469037,26800.88495575212,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,1,1,1808,26580.29756637168,26610.250553097118,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,2,1,1808,27373.72123893809,27199.922013273863,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,3,1,1808,26574.71736725673,26611.172566371108,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,4,1,1808,26305.117256637157,26337.38938053094,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,5,1,1808,26786.464601769927,26816.648230088886,ns,256.0
collision/deps/natural1024/scan256_after/manual_time,6,1,1808,26479.13938053108,26438.790376106565,ns,256.0
collision/deps/natural1024/churn/manual_time,0,1,70,707691.8000000002,797566.057142848,ns,512.0
collision/deps/natural1024/churn/manual_time,1,1,70,703137.6571428571,791735.7142857081,ns,512.0
collision/deps/natural1024/churn/manual_time,2,1,70,709582.3285714284,797158.3285714345,ns,512.0
collision/deps/natural1024/churn/manual_time,3,1,70,708515.7142857144,798752.371428562,ns,512.0
collision/deps/natural1024/churn/manual_time,4,1,70,706207.3285714284,795861.914285721,ns,512.0
collision/deps/natural1024/churn/manual_time,5,1,70,707105.0428571431,795234.5142857047,ns,512.0
collision/deps/natural1024/churn/manual_time,6,1,70,729363.2571428573,818779.1571428602,ns,512.0
collision/deps/gapped/points/manual_time,0,1,413,119087.44552058123,119150.72639225311,ns,2048.0
collision/deps/gapped/points/manual_time,1,1,413,118902.98547215507,118977.39951573855,ns,2048.0
collision/deps/gapped/points/manual_time,2,1,413,119974.9055690072,119837.16707021947,ns,2048.0
collision/deps/gapped/points/manual_time,3,1,413,118756.66828087175,118400.4237288124,ns,2048.0
collision/deps/gapped/points/manual_time,4,1,413,118786.05326876508,118846.34624697312,ns,2048.0
collision/deps/gapped/points/manual_time,5,1,413,118585.90072639231,118345.63922518092,ns,2048.0
collision/deps/gapped/points/manual_time,6,1,413,118572.87651331717,118639.22518160044,ns,2048.0
collision/deps/gapped/scan256_after/manual_time,0,1,591,84188.31810490703,83929.98984771618,ns,256.0
collision/deps/gapped/scan256_after/manual_time,1,1,591,82979.45854483922,83043.99323180878,ns,256.0
collision/deps/gapped/scan256_after/manual_time,2,1,591,85213.1624365484,85102.86125211493,ns,256.0
collision/deps/gapped/scan256_after/manual_time,3,1,591,84359.3079526226,84417.65313028928,ns,256.0
collision/deps/gapped/scan256_after/manual_time,4,1,591,84013.70896785107,83782.64128595582,ns,256.0
collision/deps/gapped/scan256_after/manual_time,5,1,591,83909.1810490694,83971.79864636228,ns,256.0
collision/deps/gapped/scan256_after/manual_time,6,1,591,83795.06260575289,83861.25211505602,ns,256.0
collision/deps/gapped/churn/manual_time,0,1,282,174539.50354609924,284933.21276595676,ns,512.0
collision/deps/gapped/churn/manual_time,1,1,282,172838.60992907803,282756.6489361722,ns,512.0
collision/deps/gapped/churn/manual_time,2,1,282,172960.42907801428,281173.1666666728,ns,512.0
collision/deps/gapped/churn/manual_time,3,1,282,174960.56737588663,285385.9326241163,ns,512.0
collision/deps/gapped/churn/manual_time,4,1,282,175845.5177304963,286351.50354609557,ns,512.0
collision/deps/gapped/churn/manual_time,5,1,282,175768.80141843975,287340.8687943194,ns,512.0
collision/deps/gapped/churn/manual_time,6,1,282,176584.86879432618,287688.9751773009,ns,512.0
collision/deps/gapped_tail/points/manual_time,0,1,415,119332.44819277113,119038.25542168671,ns,2048.0
collision/deps/gapped_tail/points/manual_time,1,1,415,119008.4867469881,118873.8987951848,ns,2048.0
collision/deps/gapped_tail/points/manual_time,2,1,415,119777.8771084338,119845.68192770942,ns,2048.0
collision/deps/gapped_tail/points/manual_time,3,1,415,119566.81445783125,119648.49397590359,ns,2048.0
collision/deps/gapped_tail/points/manual_time,4,1,415,119831.66265060233,119557.53012048044,ns,2048.0
collision/deps/gapped_tail/points/manual_time,5,1,415,118261.64578313245,118331.42650601928,ns,2048.0
collision/deps/gapped_tail/points/manual_time,6,1,415,119371.22409638553,119440.56144578583,ns,2048.0
collision/deps/gapped_tail/scan256_after/manual_time,0,1,572,83777.63286713287,83834.49825174619,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,1,1,572,83791.20104895109,83630.17307692772,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,2,1,572,85184.23951048948,85112.61538461607,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,3,1,572,83900.62412587414,83968.89510489533,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,4,1,572,83890.9947552448,83875.50874125867,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,5,1,572,83636.12412587418,83466.56468530996,ns,256.0
collision/deps/gapped_tail/scan256_after/manual_time,6,1,572,83738.26223776228,83793.48601398802,ns,256.0
collision/deps/gapped_tail/churn/manual_time,0,1,279,175410.15770609316,286680.9999999983,ns,512.0
collision/deps/gapped_tail/churn/manual_time,1,1,279,176179.09318996425,285911.73476703005,ns,512.0
collision/deps/gapped_tail/churn/manual_time,2,1,279,175111.4265232974,284651.87813619035,ns,512.0
collision/deps/gapped_tail/churn/manual_time,3,1,279,174994.6989247312,283730.4372759846,ns,512.0
collision/deps/gapped_tail/churn/manual_time,4,1,279,180924.29390681014,293078.7025089528,ns,512.0
collision/deps/gapped_tail/churn/manual_time,5,1,279,175019.00358422924,286178.4623655852,ns,512.0
collision/deps/gapped_tail/churn/manual_time,6,1,279,175831.2939068101,285503.4301075312,ns,512.0
collision/deps/blocked/points/manual_time,0,1,339,146422.03834808263,146434.7315634222,ns,2048.0
collision/deps/blocked/points/manual_time,1,1,339,147663.2654867258,147566.9823008876,ns,2048.0
collision/deps/blocked/points/manual_time,2,1,339,145323.63421828896,145129.17994099867,ns,2048.0
collision/deps/blocked/points/manual_time,3,1,339,147090.56637168152,147162.1209439511,ns,2048.0
collision/deps/blocked/points/manual_time,4,1,339,146658.5840707964,146724.31268436898,ns,2048.0
collision/deps/blocked/points/manual_time,5,1,339,144701.2713864306,144669.86135692408,ns,2048.0
collision/deps/blocked/points/manual_time,6,1,339,147121.97935103235,146705.75221238693,ns,2048.0
collision/deps/blocked/scan256_after/manual_time,0,1,1151,43737.7897480452,43801.440486533276,ns,256.0
collision/deps/blocked/scan256_after/manual_time,1,1,1151,44012.91398783655,44068.92528236363,ns,256.0
collision/deps/blocked/scan256_after/manual_time,2,1,1151,44128.500434404894,44088.21894005317,ns,256.0
collision/deps/blocked/scan256_after/manual_time,3,1,1151,43558.139009556915,43447.40139009421,ns,256.0
collision/deps/blocked/scan256_after/manual_time,4,1,1151,43630.42137271937,43694.86620330182,ns,256.0
collision/deps/blocked/scan256_after/manual_time,5,1,1151,43821.68114682876,43876.01390095557,ns,256.0
collision/deps/blocked/scan256_after/manual_time,6,1,1151,43634.94874022593,43700.188531710875,ns,256.0
collision/deps/blocked/churn/manual_time,0,1,258,190867.61627906983,282348.996124038,ns,512.0
collision/deps/blocked/churn/manual_time,1,1,258,192150.56589147288,285901.96899224917,ns,512.0
collision/deps/blocked/churn/manual_time,2,1,258,188110.03488372097,280647.6046511551,ns,512.0
collision/deps/blocked/churn/manual_time,3,1,258,190948.50000000006,285124.3527131873,ns,512.0
