stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
closed,udp,4,1,0,50,8000,4096,9001,nvme,direct-dsync,raw,good,7200,432.342,490.4583238888889,53.36317266376833,650.243,433.87392,435.09985,438.51,491.3355,556.26125,561.082,565.49625,635.3792900000001,645.529866,0.0,0.0,0.0,0.0,1,False,6436.107414067948,6436.107414067948,6436.107414067948,6434.320102928245,1.118999348,100.0,0,0.0,0.0,0.000189374,False,1,4,4,0.04,0.0,10.924875,1.0,1.0,7200,0.8,0.85531375,0.21051416692850905,7.937,0.805,0.809,0.82,0.837,0.852,0.873,0.886,1.2270700000000017,5.018021000000085,0.0,0.0,0.0,0.0,491.3355,491.3355,561.082,561.082,635.3792900000001,635.3792900000001,645.529866,645.529866
closed,udp,4,4,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,410.694,507.7713429166667,61.602368288615,787.554,413.92393,418.36675,473.36650000000003,489.4785,535.42725,603.839,634.4585999999999,680.6900400000001,729.729,0.0,0.0,0.0,0.0,1,False,27410.553750741456,27410.553750741456,27410.553750741456,27402.94182245744,1.050982051,100.0,0,0.0,0.0,9.8626e-05,False,4,4,16,0.32,0.16,4.51865625,4.0,4.0,28800,3.136,3.533347083333333,0.5589077581963312,13.001,3.161,3.195,3.367,3.386,3.408,4.206100000000003,4.444,5.637469999999924,9.471,0.0,0.0,0.0,0.0,489.4785,489.4785,603.839,603.839,680.6900400000001,680.6900400000001,729.729,729.729
closed,udp,4,16,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,473.476,629.1789430555555,66.98840625987772,806.819,511.27908,526.2570000000001,570.1044999999999,632.94,690.25325,716.6258,721.4995999999999,736.3715999999961,779.106,0.0,0.0,0.0,0.0,1,False,87549.71072225316,87549.71072225316,87549.71072225316,87525.39811166658,1.316189386,100.0,0,0.0,0.0,0.000167163,False,16,4,64,1.92,0.64,3.227671875,16.0,16.0,115200,13.385,14.631448472222223,2.409907792233369,141.037,13.581,13.712,13.936,14.063,14.228,15.886100000000004,16.301,25.824029999999986,30.103,0.0,0.0,0.0,0.0,632.94,632.94,716.6258,716.6258,736.3715999999961,736.3715999999961,779.106,779.106
closed,udp,4,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225040,914.152,2384.710342268041,454.6496548496354,2598.74,962.775,998.625,2536.062,2538.737,2540.851,2543.315,2548.801,2552.138,2559.734,94.85247067188055,89.61962317810168,0.0,0.0,1,False,104399.03094119928,104399.03094119928,104399.03094119928,104339.68380501441,2.156801629,5.147529328119446,120,0.0,0.0,4.8999e-05,False,64,4,256,5.12,0.0,3.0104,63.9877143588431,63.99658727337362,225040,14.745,56.93702417348027,2.791534101174856,95.219,54.448,54.835,55.528,56.145,57.104,59.008,64.065,68.092,72.714,0.0,0.0,0.0,0.0,2538.737,2538.737,2543.315,2543.315,2552.138,2552.138,2559.734,2559.734
closed,udp,16,1,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,441.878,714.4490176388889,72.06512360892438,971.899,464.99758,514.532,697.024,725.1295,768.80025,773.4991,774.5911,780.546,935.896618,0.0,0.0,0.0,0.0,1,False,20881.990748161348,20881.990748161348,20881.990748161348,20871.120372967096,1.379897173,100.0,0,0.0,0.0,4.8188e-05,False,1,16,16,0.08,0.0,8.43640625,1.0,1.0,28800,0.801,0.9522835763888888,0.40253500542359805,9.747,0.806,0.809,0.817,0.839,0.855,1.712,1.797,1.989019999999997,6.170618000000016,0.0,0.0,0.0,0.0,725.1295,725.1295,773.4991,773.4991,780.546,780.546,935.896618,935.896618
closed,udp,16,4,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,417.501,625.1844789236111,132.81458137337756,1025.124,428.28794,455.37665000000004,525.9385,585.047,717.4657500000001,817.6145000000001,862.3006499999998,987.9413999999998,1007.8691290000063,0.2465277777777778,0.0,0.0,0.0,1,False,90228.86212370703,90228.86212370703,90228.86212370703,90185.02218236838,1.277373972,99.75347222222223,0,0.0,0.0,4.9461e-05,False,4,16,64,0.48,0.16,3.8729453125,4.0,4.0,115200,3.15,3.460436840277778,1.007692670905649,128.869,3.194,3.217,3.261,3.319,3.444,3.544,4.377,4.65001999999999,14.54663700000025,0.0,0.0,0.0,0.0,585.047,585.047,817.6145000000001,817.6145000000001,987.9413999999998,987.9413999999998,1007.8691290000063,1007.8691290000063
closed,udp,16,16,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225008,739.889,2414.230594538861,387.60378075134037,4832.417,943.296,1318.153,2537.387,2539.087,2540.435,2541.93,2545.149,2552.465,3210.074,98.40005688686624,89.78880750906634,0.0,0.0,1,False,104280.38931453391,104280.38931453391,104280.38931453391,104191.48241067783,2.159562325,1.5999431131337551,248,0.0,0.0,5.525e-05,False,16,16,256,3.2,1.28,3.248624,16.0,16.0,225008,13.919,15.035790016354975,1.5862147442974248,38.676,14.064,14.186,14.495,14.619,14.844,16.174,17.064,23.827,28.15,0.0,0.0,0.0,0.0,2539.087,2539.087,2541.93,2541.93,2552.465,2552.465,3210.074,3210.074
closed,udp,16,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225040,3808.166,11395.842837824386,2503.277298934848,24975.528,4025.351,5773.262,10605.894,12187.024,13004.487,13154.438,13417.9,17805.011,23846.216,100.0,100.0,96.53039459651617,82.79416992534661,1,False,76445.1634429301,76445.1634429301,76445.1634429301,76206.76333013055,2.953018737,0.0,228436,0.0,0.0,0.002442934,False,64,16,1024,7.68,0.0,5.95128,63.9877143588431,63.99658727337362,225040,24.771,69.23760135087096,5.756661936002137,220.773,63.788,65.208,66.666,67.705,69.023,76.809,80.437,90.964,101.351,0.0,0.0,0.0,0.0,12187.024,12187.024,13154.438,13154.438,17805.011,17805.011,23846.216,23846.216
closed,udp,64,1,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,448.788,895.9600671788194,339.76740166113444,1639.382,505.92886,545.19465,654.64775,713.029,1359.827,1405.78,1411.2401,1422.7971499999999,1565.032602,32.513020833333336,0.0,0.0,0.0,1,False,61419.5069820986,61419.5069820986,61419.5069820986,61401.385045540024,1.876179176,67.48697916666667,0,0.0,0.0,0.000293793,False,1,64,64,0.16,0.08,7.79153125,1.0,1.0,115200,0.8,0.9469090538194445,0.3856417396888602,17.187,0.806,0.81,0.818,0.843,0.858,1.72,1.788,1.902,6.126468000000459,0.0,0.0,0.0,0.0,713.029,713.029,1405.78,1405.78,1422.7971499999999,1422.7971499999999,1565.032602,1565.032602
closed,udp,64,4,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225000,857.529,2377.706825333333,477.7946861804389,2703.314,926.497,964.163,2536.313,2538.985,2541.025,2543.2881,2545.168,2553.011,2572.143,90.54577777777777,89.728,0.0,0.0,1,False,104330.77285586833,104330.77285586833,104330.77285586833,104267.74879437484,2.157905993,9.454222222222223,102,0.0,0.0,4.623e-05,False,4,64,256,0.64,0.64,4.47588,4.0,4.0,225000,3.314,4.054311217777777,1.4506754342126083,30.459,3.396,3.527,3.577,3.612,3.696,4.815,6.816,10.636,16.711,0.0,0.0,0.0,0.0,2538.985,2538.985,2543.2881,2543.2881,2553.011,2553.011,2572.143,2572.143
