case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
resident/predecessor/striped/k1/h0/u64/get16,ns/query,1.609096304599702,1.60530109667793,0.997641404115513,1.598865065823641,1.6131860999681047,1.5973221412815632,1.6111336407003944,1.6046580499225893,1.6013576856049538,1.6085725023760786,1.6119581585210274,False,False,True
resident/predecessor/striped/k5/h0/u64/get16,ns/query,3.302489746315401,3.2951632015544137,0.9977815087028925,3.255250495149253,3.390883869626173,3.2350838508056112,3.365519904701345,3.3124734324488903,3.2932548956865717,3.2970715074222556,3.292506060181912,False,False,False
resident/predecessor/striped/k6/h0/u64/get16,ns/query,5.6668290060648,5.733097441043453,1.0116940946881812,5.631589529003006,5.699292974167838,5.71334144129291,5.75248089819694,5.670503884578642,5.7305101306321236,5.74118032651714,5.659633597889266,False,True,True
resident/predecessor/striped/k7/h0/u64/get16,ns/query,2.7898090784449407,2.6938507490845116,0.9656039798200395,2.7482953668646006,2.822237946871042,2.6779647824809483,2.758466834627664,2.7925302112142383,2.71705202958159,2.69365345201568,2.787087945675643,False,False,True
resident/series/avx2/local/k1/h0/u64/admitted-region/get16,ns/query,1.505950096271555,1.512022709183532,1.0040324131105085,1.4909223622733974,1.5084649982421212,1.5013980692518365,1.5237899081037398,1.503973343124528,1.521420606960454,1.5042754284445026,1.507917979843754,False,False,False
resident/series/avx2/local/k1/h0/u64/get16,ns/query,8.857236270439902,2.7262814892751055,0.307802728304063,8.824965682069907,8.92074894047749,2.710534880994677,2.737376648173688,8.900627095387438,2.718017642678314,2.734772546807087,8.826016747825264,True,False,True
resident/series/avx2/local/k1/h0/u64/raw-dense/get16,ns/query,1.3902807609684285,1.3725427297976474,0.9872414035576345,1.3820183970477853,1.3937143694354492,1.3535009567416294,1.3884921383548092,1.385023853392812,1.3867030288233877,1.3570979848775946,1.3934839663780607,False,False,False
resident/series/avx2/local/k5/h0/u64/admitted-region/get16,ns/query,1.6472925669633693,1.4739725386968447,0.8947849145060953,1.457342320189199,1.838881814697418,1.4600645581987386,1.4811038608516003,1.4580691752132946,1.4774668610756527,1.4651052964164653,1.8360055996765572,False,False,False
resident/series/avx2/local/k5/h0/u64/get16,ns/query,10.336104614280968,2.7339416422850213,0.26450406069880983,10.229044665672928,10.358045065934768,2.72399580040548,2.7425705063353996,10.333292079697104,2.737702270362074,2.7335708597900057,10.356390288819503,True,False,True
resident/series/avx2/local/k5/h0/u64/raw-dense/get16,ns/query,1.3926467001676972,1.5022619675379894,1.078710032743475,1.3841134295844055,1.3974506145345282,1.3930209990564364,1.609024917703463,1.388422881557197,1.3997556597965668,1.6084956165741067,1.3960865546522343,False,False,True
