input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/census-income/direct4/cp16/point/materialized/scan,1,5,"[4393.330511132064,4392.292254625338,4394.1141423645095,4396.833176544299,4394.622452179361]",4394.1141423645095,"[4394.626215104039,4392.807149552771,4394.152712455152,4397.749137635741,4403.688303524144]",4394.626215104039,,,1024.0,256.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/materialized/sparse17,1,5,"[316.3899142599294,316.3892373646267,316.5893727436842,316.0207581227424,316.17238267148923]",316.3892373646267,"[316.3926444044394,316.5679828498469,316.59235107970363,316.65505415212107,316.1751579388597]",316.5679828498469,,,1024.0,16.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/shared/masked25,1,5,"[1188.7149413564273,1190.7531021587395,1189.7213156552978,1190.6060683324858,1190.9893761686344]",1190.6060683324858,"[1188.726160122876,1193.4491755975794,1190.419173881676,1190.6164371836353,1190.9988101370386]",1190.6164371836353,,,1024.0,62.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/shared/scan,1,5,"[4742.703315290905,4743.880581867416,4743.180311231471,4739.733085250333,4740.514546684762]",4742.703315290905,"[4742.744587288753,4743.921515584665,4744.591339664193,4739.774357276425,4740.558863299641]",4742.744587288753,,,1024.0,256.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/shared/sparse17,1,5,"[333.7295603479178,332.6427022518768,333.2374836172941,333.08950315739753,333.78269986893116]",333.2374836172941,"[333.8149171885624,332.64558561001195,333.2406290963102,333.1364708708419,334.3718098428086]",333.2406290963102,,,1024.0,16.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/cps/masked25,1,5,"[1706.7784817838249,1706.8186913610955,1706.8942366273052,1704.3561593761276,1706.8637748263723]",1706.8186913610955,"[1710.3451931498662,1706.834775185835,1707.726574885246,1704.3733398138857,1706.878640186226]",1706.878640186226,,,544.0,62.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/cps/scan,1,5,"[6642.317663817471,6650.166666666428,6644.687084520585,6643.006172839346,6646.704653371414]",6644.687084520585,"[6642.375118764043,6652.208926796772,6664.146248810841,6643.063627738262,6646.762583069173]",6646.762583069173,,,544.0,256.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/cps/sparse17,1,5,"[472.14020646380874,471.41016125768454,472.050131570055,471.58460967546154,472.0451049186855]",472.0451049186855,"[472.35922002393204,471.4142770359108,472.0546184446982,471.5890290851603,472.12610485252225]",472.0546184446982,,,544.0,16.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/cps_fused/masked25,1,5,"[1714.9448267387484,1716.7757434259001,1715.9352420741952,1716.7904890636685,1716.6442614893415]",1716.6442614893415,"[1714.960924050485,1716.7906119470492,1715.9501105991642,1717.1973457896356,1716.6591300039422]",1716.6591300039422,,,544.0,62.0,256.0,377.0
zen5,count/census-income/series_local/cp16/native16/cps_fused/scan,1,5,"[6669.948045758073,6668.155862726499,6668.227359389554,6674.318875119477,6667.712106768135]",6668.227359389554,"[6671.654909430824,6668.208770172109,6670.196377530759,6675.7159198872405,6667.770734027734]",6670.196377530759,,,544.0,256.0,256.0,377.0
