input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/2/unit4/stride64/map2/random/half/update/gpr_points,1,3,"[3650.83611690839,3652.5276617981676,3652.2875782858296]",3652.2875782858296,"[3650.8825678461276,3652.584029223856,3652.3335073121275]",3652.3335073121275,"[3.5652696454183497,3.566921544724773,3.5666870881697554]",3.5666870881697554,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/update/point,1,3,"[3209.11726384277,3209.8147975808974,3253.20288506431]",3209.8147975808974,"[3209.16193579021,3210.7203350440177,3253.2480223279695]",3210.7203350440177,"[3.1339035779714552,3.134584763262595,3.1769559424456153]",3.134584763262595,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/update/simd,1,3,"[3793.5151843790763,3788.239154014971,3791.791214753549]",3791.791214753549,"[3793.563449030932,3788.2868763539464,3792.771149675862]",3792.771149675862,"[3.7046046722451913,3.6994522988427456,3.7029211081577627]",3.7029211081577627,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/word_hash/gpr_compiled,1,3,"[1273.8022467903204,1258.6594151207983,1249.7812054212868]",1258.6594151207983,"[1273.8199001473024,1258.6752853056603,1249.8004636216472]",1258.6752853056603,"[1.2439475066311723,1.2291595850789045,1.2204894584192256]",1.2291595850789045,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/word_hash/gpr_inline,1,3,"[1105.581059644679,1102.3987944161356,1113.1460977155584]",1105.581059644679,"[1105.596446700099,1102.4125951781355,1114.0609137067077]",1105.596446700099,"[1.0796690035592569,1.0765613226720074,1.08705673605035]",1.0796690035592569,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/word_hash/gpr_points,1,3,"[1236.2499094520567,1214.232705541399,1209.5007243748003]",1214.232705541399,"[1236.267294458928,1214.2479174198377,1209.5159362570996]",1214.2479174198377,"[1.2072753021992741,1.1857741265052721,1.181153051147266]",1.1857741265052721,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/word_hash/point,1,3,"[1279.2600254036877,1282.491925240253,1277.5055343856045]",1279.2600254036877,"[1279.2761749273907,1282.9234258749482,1277.525131557813]",1279.2761749273907,"[1.2492773685582887,1.2524335207424346,1.247563998423442]",1.2492773685582887,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/random/half/word_hash/simd,1,3,"[915.4211829077337,908.1400468995621,905.8288170922891]",908.1400468995621,"[916.6963262124432,908.3521365313896,906.0475508068879]",908.3521365313896,"[0.8939659989333338,0.8868555145503536,0.8845984541916886]",0.8868555145503536,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/gpr_compiled,1,3,"[2179.2031152654586,2177.141121494713,2182.704984423004]",2179.2031152654586,"[2179.230841125557,2177.1651090411724,2182.7323987554905]",2179.230841125557,"[2.1281280422514244,2.1261143764596806,2.1315478363505895]",2.1281280422514244,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/all/sum/gpr_inline,1,3,"[1970.0712676055532,1967.693802817259,1971.8512676057187]",1970.0712676055532,"[1970.0985915534775,1968.9887323907822,1971.8788732388034]",1970.0985915534775,"[1.923897722271048,1.9215759793137295,1.9256360035212097]",1.923897722271048,1024.0,2.0,4.0,64.0
