family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,D_prefix_plane/equality_mismatch0,4096,918273,3,1.34018279,1.339568423,1.341461182,299136,32768,0
prefix,D_prefix_plane/equality_mismatch7,4096,918273,3,1.339622096,1.339213723,1.340711627,299136,32768,0
prefix,D_prefix_plane/equality_mismatch8,4096,918273,3,3.00348798,3.000172634,3.006126853,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch15,4096,918273,3,3.005599976,2.999287325,3.006371891,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch16,4096,918273,3,3.140369337,3.137884646,3.142219388,299136,32768,32768
prefix,D_prefix_plane/equality_mismatch17,4096,918273,3,1.988148082,1.986671547,1.99063903,299136,32768,12288
prefix,D_prefix_plane/update_raw,4096,918273,3,0.867518165,0.866366811,0.867696675,299136,32768,0
prefix,D_prefix_plane/update_tuplepack_effects,4096,918273,3,2.473135917,2.467259069,2.473463243,299136,32768,0
prefix,A63/scalar_raw,4096,918273,3,0.312328877,0.312068916,0.316408306,291072,32768,0
prefix,A63/scalar_tuplepack,4096,918273,3,1.338762785,1.338213791,1.339002375,291072,32768,0
prefix,A63/full_string_rare,4096,918273,3,18.782235538,18.714522418,18.789845186,291072,32768,32768
prefix,A63/all_fields,4096,918273,3,14.685211182,14.673804874,14.715352376,291072,32768,32768
prefix,A63/equality_mismatch0,4096,918273,3,1.568789125,1.568181904,1.569853171,291072,32768,0
prefix,A63/equality_mismatch7,4096,918273,3,1.569563802,1.569558951,1.570000438,291072,32768,0
prefix,A63/equality_mismatch8,4096,918273,3,2.739458357,2.737823486,2.741131101,291072,32768,32768
prefix,A63/equality_mismatch15,4096,918273,3,2.742073877,2.740267617,2.746076856,291072,32768,32768
prefix,A63/equality_mismatch16,4096,918273,3,2.914462135,2.912663342,2.916923886,291072,32768,32768
prefix,A63/equality_mismatch17,4096,918273,3,2.039810384,2.038872477,2.041624959,291072,32768,12288
prefix,A63/update_raw,4096,918273,3,0.868043553,0.867223306,0.868957259,291072,32768,0
prefix,A63/update_tuplepack_effects,4096,918273,3,2.472717531,2.471406014,2.47640942,291072,32768,0
prefix,D_prefix_plane/scalar_raw,4096,712367,3,0.305457947,0.305055845,0.305661344,299136,32768,0
prefix,D_prefix_plane/scalar_tuplepack,4096,712367,3,1.337885961,1.337494163,1.338337861,299136,32768,0
prefix,D_prefix_plane/full_string_rare,4096,712367,3,23.172426496,23.146488735,23.185505458,299136,32768,32768
