input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:values_per_batch,counter:encoded_bytes
before2,bulk/series/neon/local/k8/h8/u64/encode,1,5,"[940.1080099047231,938.2859046132309,935.7645475588095,935.2110674489946,940.0621736555972]",938.2859046132309,"[940.0803143676342,938.2989987638115,936.0451364599837,935.1849060647565,940.0350433288579]",938.2989987638115,"[0.11475927855282264,0.11453685359048228,0.11422907074692498,0.11416150725695735,0.11475368330756804]",0.11453685359048228,8192.0,,8192.0
before2,byte_grain/bound_head8/256,1,5,"[32.07919118274656,32.091010755411894,32.12128037034081,32.10476270453775,32.08219001441826]",32.091010755411894,"[32.078218340742424,32.09008563765141,32.12371522908801,32.1190056636872,32.082640642089224]",32.09008563765141,"[0.12530934055760376,0.1253555107633277,0.1254737514466438,0.1254092293146006,0.12532105474382133]",0.1253555107633277,,256.0,256.0
before2,byte_grain/bound_head8/65536,1,5,"[10054.225601845183,10054.013262217088,10055.292201239721,10054.57705059823,10058.843736485502]",10054.57705059823,"[10053.935418788125,10053.726250477437,10054.955744537856,10054.28614673045,10059.2443419239]",10054.28614673045,"[0.15341530764534275,0.15341206759974807,0.15343158266051818,0.15342067032773174,0.1534857747876816]",0.15342067032773174,,65536.0,65536.0
before2,byte_grain/bound_head8/8192,1,5,"[938.0936099182899,926.4237349738186,927.3504650881052,929.564055622114,929.7239355472698]",929.564055622114,"[938.1468359227117,926.4302233222332,927.3240943883899,929.5375368547096,929.718349107626]",929.5375368547096,"[0.11451338011697874,0.1130888348356712,0.11320196107032535,0.11347217475855882,0.11349169135098507]",0.11347217475855882,,8192.0,8192.0
candidate1,bulk/series/neon/local/k16/h16/u64/encode,1,5,"[1762.123725870185,1761.1284574534998,1763.267309289512,1767.0836080839533,1762.3719074824494]",1762.3719074824494,"[1762.0726600080973,1761.1460498878146,1763.2166461032562,1767.0311076498656,1762.3213701504421]",1762.3213701504421,"[0.2151029938806378,0.2149815011539917,0.21524259146600486,0.21570844825243574,0.21513328948760368]",0.21513328948760368,8192.0,,16384.0
candidate1,bulk/series/neon/local/k16/h8/u64/encode,1,5,"[1801.4750551763125,1798.3605707539903,1802.0993173535908,1910.1668634193913,1797.2556331160522]",1801.4750551763125,"[1801.4872452999118,1798.3078581311843,1802.2051788646654,1914.9878612154637,1797.2053585168183]",1801.4872452999118,"[0.21990662294632723,0.21952643685961798,0.21998282682538947,0.23317466594474992,0.21939155677686184]",0.21990662294632723,8192.0,,16384.0
candidate1,bulk/series/neon/local/k24/h16/u64/encode,1,5,"[2755.550369903978,2754.0829922870957,2752.170431292303,2748.200299071303,2746.6022351644833]",2752.170431292303,"[2755.5405713826613,2754.0030694082448,2756.766606334835,2753.2937588495506,2746.5269164129327]",2754.0030694082448,"[0.3363708947636692,0.33619177151942087,0.33595830460111115,0.33547366932022743,0.33527859315972697]",0.33595830460111115,8192.0,,24576.0
candidate1,bulk/series/neon/local/k8/h8/u64/encode,1,5,"[734.350033660117,734.5081099844318,734.3507910127483,733.6949867463286,734.015883367694]",734.350033660117,"[734.3651912279122,734.4867358126623,734.3288172707939,735.1023898654327,733.9942988188002]",734.3651912279122,"[0.089642338093276,0.08966163451958396,0.08964243054354838,0.08956237631180769,0.08960154826265795]",0.089642338093276,8192.0,,8192.0
candidate1,byte_grain/bound_head8/256,1,5,"[24.18128493352723,24.119092744853447,24.160337222685513,24.166604064866952,24.189972914670875]",24.166604064866952,"[24.180591604293294,24.118389766865192,24.15961701495837,24.167924216250377,24.18929474765407]",24.167924216250377,"[0.09445814427159074,0.09421520603458378,0.0943763172761153,0.09440079712838653,0.09449208169793312]",0.09440079712838653,,256.0,256.0
candidate1,byte_grain/bound_head8/65536,1,5,"[7284.06794497708,7444.125989995825,7285.716652771981,7284.676636098358,7282.072009170483]",7284.676636098358,"[7283.860462725088,7443.914130890745,7285.508962058144,7284.467173836061,7281.864005845786]",7284.467173836061,"[0.11114605628932313,0.11358834823602029,0.11117121357379119,0.11115534417874692,0.11111560072586796]",0.11115534417874692,,65536.0,65536.0
candidate1,byte_grain/bound_head8/8192,1,5,"[731.0697911092929,725.5159631949476,724.7234270246454,723.2138428126282,723.0473492598069]",724.7234270246454,"[732.0423237118371,725.495682645033,724.7027897576372,723.2346584390799,723.0264916642222]",724.7027897576372,"[0.0892419178600211,0.08856396035094576,0.08846721521296942,0.08828293979646339,0.08826261587644127]",0.08846721521296942,,8192.0,8192.0
candidate2,bulk/series/neon/local/k16/h16/u64/encode,1,5,"[1731.4886990964199,1726.9073647728708,1733.8151999009715,1732.4551800965485,1718.0733754177502]",1731.4886990964199,"[1731.9880430806777,1726.8583240549117,1733.765515531451,1732.4654536458522,1718.024037622062]",1731.9880430806777,"[0.21136336658891847,0.21080412167637588,0.21164736326916156,0.21148134522662945,0.20972575383517458]",0.21136336658891847,8192.0,,16384.0
candidate2,bulk/series/neon/local/k16/h8/u64/encode,1,5,"[1809.4304065208457,1808.920682005779,1811.8410544779208,1809.8801330994609,1810.5600495253798]",1809.8801330994609,"[1809.3776568320461,1808.8681644595101,1811.8451557929232,1809.8280024777205,1812.808501857099]",1809.8280024777205,"[0.22087773517100173,0.22081551294015855,0.22117200372044932,0.22093263343499273,0.22101563104557856]",0.22093263343499273,8192.0,,16384.0
candidate2,bulk/series/neon/local/k24/h16/u64/encode,1,5,"[2767.834381302645,2768.988413018547,2768.320559971519,2767.7945584687673,2763.9154506268137]",2767.834381302645,"[2767.754933352987,2768.908609164957,2768.240083838166,2767.715664182936,2763.92988493376]",2767.754933352987,"[0.337870407873858,0.33801128088605314,0.3379297558558983,0.33786554668808194,0.3373920227815935]",0.337870407873858,8192.0,,24576.0
candidate2,bulk/series/neon/local/k8/h8/u64/encode,1,5,"[741.5432828534754,741.2842330917227,741.7040613823768,741.7118403039406,741.9113330291118]",741.7040613823768,"[741.5909964047519,741.2625518694176,741.6826348560874,741.7080410489615,741.8902354937763]",741.6826348560874,"[0.09052042027019964,0.09048879798482944,0.09054004655546594,0.09054099613085212,0.09056534827015524]",0.09054004655546594,8192.0,,8192.0
candidate2,byte_grain/bound_head8/256,1,5,"[24.16872977022564,24.162992309581423,24.157443177271464,24.145288756315548,24.13280148399969]",24.157443177271464,"[24.168013708596913,24.162302462163343,24.15674505179361,24.14458821631571,24.132104738107863]",24.15674505179361,"[0.09440910066494389,0.09438668870930245,0.09436501241121666,0.09431753420435761,0.09426875579687378]",0.09436501241121666,,256.0,256.0
candidate2,byte_grain/bound_head8/65536,1,5,"[7373.977595455972,7329.469443567898,7342.677185231926,7306.92626485747,7342.433680445976]",7342.433680445976,"[7377.212685395277,7332.835805216472,7342.472388807645,7306.713263904632,7342.440096771111]",7342.440096771111,"[0.11251796868066363,0.11183882817944184,0.1120403623234852,0.11149484657070115,0.1120366467353207]",0.1120366467353207,,65536.0,65536.0
candidate2,byte_grain/bound_head8/8192,1,5,"[721.6166160185428,724.8553077517387,722.655348956992,722.0173886170488,723.0805253669841]",722.655348956992,"[721.5956940515395,724.8343754860957,722.6916610864868,721.9965284537254,723.059459183947]",722.6916610864868,"[0.08808796582257601,0.08848331393453841,0.08821476427697657,0.08813688825891709,0.08826666569421193]",0.08821476427697657,,8192.0,8192.0
