input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:values_per_batch,counter:encoded_bytes
before1,local2_grain/coalesced64/65536,1,5,"[10599.534039334312,10583.491376701924,10604.960816944014,10611.091981845664,10564.86928895616]",10599.534039334312,"[10599.229198183235,10583.18714069267,10610.263086292156,10610.803630846376,10564.547352513151]",10599.229198183235,"[0.16173605406699085,0.16149126246188242,0.16181886012182642,0.16191241427376807,0.16120711195306645]",0.16173605406699085,,65536.0,16384.0
before1,local2_grain/coalesced64/8192,1,5,"[1326.3787847385759,1320.6945266132843,1318.7044182760217,1323.4011116344848,1317.51958549223]",1320.6945266132843,"[1326.3409514899133,1320.6575600622102,1318.6670183750823,1323.4135091853516,1317.7177767327903]",1320.6575600622102,"[0.1619114727464082,0.16121759358072318,0.16097466043408465,0.16154798726006894,0.160830027525907]",0.16121759358072318,,8192.0,2048.0
before1,local2_grain/native/256,1,5,"[51.301852441387716,51.25534995694205,51.27336310462547,51.264387705551684,51.26800397863386]",51.26800397863386,"[51.30263584517618,51.25388951044433,51.27189825733515,51.26291772349963,51.26653839779575]",51.26653839779575,"[0.20039786109917074,0.20021621076930488,0.20028657462744323,0.20025151447481127,0.2002656405415385]",0.2002656405415385,,256.0,64.0
before1,local2_grain/native/65536,1,5,"[13100.64669537539,13097.356487549174,13095.264369968165,13098.22954502903,13096.091743119247]",13097.356487549174,"[13100.769331578234,13100.32353494257,13094.899644259003,13098.633776460272,13095.720089876457]",13098.633776460272,"[0.1999000045070708,0.19984979991987875,0.1998178767390162,0.19986312171980328,0.1998305014514045]",0.19984979991987875,,65536.0,16384.0
before1,local2_grain/native/8192,1,5,"[1636.9192318488028,1636.6396893712565,1636.6665185254449,1636.564441429641,1636.4269507859267]",1636.6396893712565,"[1636.8722165117265,1636.593165233301,1636.6208130680882,1636.5179406908048,1636.4343188627797]",1636.593165233301,"[0.19981924216904334,0.1997851183314522,0.1997883933746881,0.19977593279170422,0.1997591492658602]",0.1997851183314522,,8192.0,2048.0
before1,local2_grain/predecessor256/256,1,5,"[43.93712632000671,43.9473177923483,43.92502665442652,43.91589445223722,43.92076131824177]",43.92502665442652,"[43.93749238671989,43.946060105482914,43.923781525347266,43.91464430006281,43.91958337449673]",43.923781525347266,"[0.17162939968752625,0.17166921012636052,0.17158213536885358,0.17154646270405163,0.17156547389938193]",0.17158213536885358,,256.0,64.0
before1,local2_grain/predecessor256/65536,1,5,"[10866.841226053619,10802.077854406174,10742.758007662922,10869.451340996226,10765.811647509556]",10802.077854406174,"[10866.5340996309,10801.769655152808,10742.453486624956,10869.339003871728,10765.502681989483]",10801.769655152808,"[0.16581483804403108,0.16482662741708637,0.16392147838841128,0.16585466523736916,0.16427324901595391]",0.16482662741708637,,65536.0,16384.0
before1,local2_grain/predecessor256/8192,1,5,"[1360.73433545222,1388.6155302664388,1393.8846339625613,1382.9126301756332,1374.6362231195815]",1382.9126301756332,"[1360.76538438904,1388.7773827722685,1393.8458759262135,1382.9365303295579,1374.6336727418395]",1382.9365303295579,"[0.16610526555813232,0.1695087317219774,0.17015193285675798,0.1688125769257365,0.16780227333002704]",0.1688125769257365,,8192.0,2048.0
before1,local2_grain/predecessor64/256,1,5,"[43.93253567191239,43.93843401402394,43.93856081959101,43.931467240849045,43.93515527404437]",43.93515527404437,"[43.931289587367694,43.93718918510657,43.937300924911156,43.93021174002909,43.9339060507681]",43.9339060507681,"[0.17161146746840777,0.17163450786728102,0.1716350032015274,0.17160729390956658,0.17162170028923582]",0.17162170028923582,,256.0,64.0
before1,local2_grain/predecessor64/65536,1,5,"[11113.477168588995,11101.444620003216,11117.81719070937,11162.623163216917,11093.055775004006]",11113.477168588995,"[11113.522831406424,11101.128930329765,11117.792384300656,11162.303839478733,11092.740559313024]",11113.522831406424,"[0.1695782038664092,0.16939460174565454,0.16964442734847063,0.17032811223170344,0.1692665981293336]",0.1695782038664092,,65536.0,16384.0
before1,local2_grain/predecessor64/8192,1,5,"[1394.1696435675053,1395.8774166600344,1396.444605776122,1398.2907550322122,1396.5333160951518]",1396.444605776122,"[1394.1791908671612,1395.8979831374195,1396.6253878590016,1398.2517105532709,1396.4932373254892]",1396.4932373254892,"[0.170186724068299,0.1703951924633831,0.17046442941603054,0.1706897894326431,0.17047525831239646]",0.17046442941603054,,8192.0,2048.0
before2,bulk/series/neon/local/k1/h0/u8/decode,1,5,"[195.87635077626652,196.15626448388937,196.29347273447527,196.51800988205036,196.86204455630394]",196.29347273447527,"[195.87083390750334,196.15047233203168,196.28774799917653,196.51823741039402,196.86483389029246]",196.28774799917653,"[0.02391068735061847,0.02394485650438103,0.023961605558407623,0.02398901487817998,0.024031011298376943]",0.023961605558407623,8192.0,,1024.0
before2,bulk/series/neon/local/k1/h0/u8/encode,1,5,"[152.60907268749716,152.99845582413803,152.7156186409074,152.80378715673174,152.68591070388732]",152.7156186409074,"[152.6046495392333,152.99388654596007,152.7111300620968,152.79939454352498,152.6814243058586]",152.7111300620968,"[0.018629037193297993,0.018676569314469975,0.01864204329112639,0.01865280604940573,0.01863841683397062]",0.01864204329112639,8192.0,,1024.0
before2,bulk/series/neon/local/k2/h0/u8/decode,1,5,"[410.2521123209438,410.6021096823732,410.6956381525307,410.86189144341444,410.9082833471128]",410.6956381525307,"[410.2522589081085,410.59027716797533,410.6835476449325,410.8585785742855,410.8961224747254]",410.6835476449325,"[0.05007960355480271,0.05012232784208657,0.050133744891666346,0.050154039482838676,0.05015970255702061]",0.050133744891666346,8192.0,,2048.0
before2,bulk/series/neon/local/k2/h0/u8/encode,1,5,"[1640.2638696824147,1640.3888433141913,1640.0104066565068,1640.2457283487668,1640.3442634477865]",1640.2638696824147,"[1640.5835462331247,1640.3427633890249,1640.0341028971638,1640.261736790627,1640.3540138267613]",1640.3427633890249,"[0.20022752315459166,0.2002427787248769,0.2001965828438119,0.20022530863632407,0.20023733684665362]",0.20022752315459166,8192.0,,2048.0
before2,bulk/series/neon/local/k3/h0/u8/decode,1,5,"[1394.095647147926,1394.2158089847453,1394.1375812173644,1394.1804320963108,1394.0357555706164]",1394.1375812173644,"[1394.0563239973253,1394.1751903361353,1394.098198267046,1394.1407501895335,1393.9961733142923]",1394.098198267046,"[0.17017769130223706,0.1701923594952082,0.1701828102071978,0.1701880410273817,0.17017038031867876]",0.1701828102071978,8192.0,,3072.0
before2,bulk/series/neon/local/k3/h0/u8/encode,1,5,"[1416.3920647773277,1416.5306477732747,1417.0486234817715,1417.2983603238818,1416.3024089068895]",1416.5306477732747,"[1416.3511740835277,1416.4907692218194,1417.1097773269803,1418.4819028300053,1416.261923076295]",1416.4907692218194,"[0.17289942196988864,0.17291633883951107,0.1729795682961147,0.17301005375047387,0.1728884776497668]",0.17291633883951107,8192.0,,3072.0
before2,local2_grain/bound/256,1,5,"[52.16818709830779,52.16113062107466,52.19313667888095,52.17439963880406,52.15342156919911]",52.16818709830779,"[52.16660537132057,52.15958626928222,52.195773140075154,52.172837346729885,52.155156535395086]",52.16660537132057,"[0.2037819808527648,0.20375441648857287,0.20387944015187873,0.20380624858907834,0.203724303004684]",0.2037819808527648,,256.0,64.0
before2,local2_grain/bound/65536,1,5,"[13099.410333208534,13094.660426806431,13096.959378509924,13095.345750655166,13098.934481467624]",13096.959378509924,"[13099.41576192103,13094.28509919579,13096.914077055526,13094.970610311691,13098.55990263476]",13096.914077055526,"[0.19988113911756183,0.19980866129770558,0.19984374051681406,0.1998191185097529,0.1998738781962223]",0.19984374051681406,,65536.0,16384.0
before2,local2_grain/bound/8192,1,5,"[1639.2409655495667,1639.5297867354116,1639.2344035622218,1639.6484883993435,1639.8938364190299]",1639.5297867354116,"[1639.193648939341,1639.4829388272012,1639.2382470148955,1639.6002109220256,1639.847246308428]",1639.4829388272012,"[0.20010265692743734,0.2001379134198501,0.2001018559035915,0.20015240336906048,0.20018235307849486]",0.2001379134198501,,8192.0,2048.0
before2,local2_grain/coalesced64/256,1,5,"[42.35812136387214,42.34348883171435,42.338546389688176,42.33948648208812,42.348388927236]",42.34348883171435,"[42.35869304162981,42.3497373609522,42.33739093498408,42.33826750771067,42.35062119300278]",42.3497373609522,"[0.16546141157762553,0.16540425324888416,0.1653849468347194,0.16538861907065672,0.16542339424701563]",0.16540425324888416,,256.0,64.0
before2,local2_grain/coalesced64/65536,1,5,"[10609.902724920079,10595.23078094078,10561.044146749879,10595.304917034537,10579.789617902303]",10595.23078094078,"[10609.876845826348,10594.926472855816,10560.74151321689,10595.003044584055,10579.489419980202]",10594.926472855816,"[0.16189426765319945,0.1616703915548825,0.1611487449150067,0.16167152278189906,0.16143477810519868]",0.1616703915548825,,65536.0,16384.0
before2,local2_grain/coalesced64/8192,1,5,"[1320.827683882543,1315.975601926164,1322.0828061561665,1317.7012746671705,1320.5224624681312]",1320.5224624681312,"[1320.790085921776,1315.9769615739333,1322.0752148079384,1317.6641488017885,1320.485374376396]",1320.485374376396,"[0.16123384813019323,0.16064155296950247,0.16138706129836017,0.16085220638026984,0.16119658965675426]",0.16119658965675426,,8192.0,2048.0
before2,local2_grain/native/256,1,5,"[51.27231814882438,51.27028132767293,51.288062087118455,51.27679578265111,51.26998438290484]",51.27231814882438,"[51.27082829264043,51.26880613514119,51.28901084411442,51.28479789426516,51.268510656890875]",51.27082829264043,"[0.20028249276884527,0.2002745364362224,0.20034399252780644,0.20029998352598088,0.20027337649572202]",0.20028249276884527,,256.0,64.0
before2,local2_grain/native/65536,1,5,"[13092.676833832347,13095.447604790452,13096.072979041921,13095.824663173637,13095.95228293412]",13095.824663173637,"[13092.30145960476,13095.073727523648,13095.695920694885,13095.43431885689,13095.581025423942]",13095.43431885689,"[0.19977839407092815,0.19982067268051837,0.19983021513430665,0.19982642613485166,0.1998283734578571]",0.19982642613485166,,65536.0,16384.0
before2,local2_grain/native/8192,1,5,"[1636.529074797169,1637.3203722322214,1636.628352311252,1636.5273445720031,1636.6192803198585]",1636.6192803198585,"[1636.48205476581,1637.3614767697666,1636.5816128567153,1636.4809090776587,1636.5722602808473]",1636.5722602808473,"[0.1997716155758263,0.1998682095010036,0.19978373441299463,0.19977140436669957,0.19978262699217025]",0.19978262699217025,,8192.0,2048.0
before2,local2_grain/predecessor256/256,1,5,"[43.93752355989374,43.94215637738055,43.94622752700265,43.93454370454529,43.926332924543466]",43.93752355989374,"[43.940828227535,43.94088979759638,43.94495969079116,43.934712079256336,43.92507011422039]",43.940828227535,"[0.17163095140583493,0.17164904834914277,0.1716649512773541,0.17161931134588002,0.17158723798649791]",0.17163095140583493,,256.0,64.0
before2,local2_grain/predecessor256/65536,1,5,"[10750.35197418959,10739.170840374763,10738.128898448227,10685.225072975827,10723.29374711937]",10738.128898448227,"[10750.043017417713,10739.369642065598,10739.23275465939,10684.931786807801,10723.424489174065]",10739.23275465939,"[0.16403735312178938,0.16386674255942935,0.16385084378735698,0.16304359547387431,0.1636244773425197]",0.16385084378735698,,65536.0,16384.0
before2,local2_grain/predecessor256/8192,1,5,"[1388.3023702139947,1388.003051530552,1385.4724690528737,1393.2817387966588,1388.798234334519]",1388.3023702139947,"[1388.3140005716639,1388.000518187811,1385.4336052184274,1393.2424143610492,1388.7588907053405]",1388.3140005716639,"[0.16947050417651305,0.1694339662512881,0.16912505725743088,0.17007833725545152,0.16953103446466294]",0.16947050417651305,,8192.0,2048.0
before2,local2_grain/predecessor64/256,1,5,"[43.94535950668925,43.93797178479533,43.9239163281911,43.93930118521445,43.94926666226887]",43.93930118521445,"[43.951367567378554,43.93675735619652,43.922641586388394,43.93805031722798,43.947991920362924]",43.93805031722798,"[0.17166156057300488,0.17163270228435676,0.1715777981569965,0.17163789525474393,0.17167682289948777]",0.17163789525474393,,256.0,64.0
before2,local2_grain/predecessor64/65536,1,5,"[11075.724395674404,11064.847646310493,11055.129452926176,11085.740298982157,11098.58444656482]",11075.724395674404,"[11075.40871500507,11064.858778598544,11055.545324466237,11085.42191473331,11099.871342217628]",11075.40871500507,"[0.16900214226798102,0.1688361762437514,0.1686878883808315,0.16915497282382444,0.16935095896247593]",0.16900214226798102,,65536.0,16384.0
before2,local2_grain/predecessor64/8192,1,5,"[1401.3703807056015,1395.4675702611128,1391.9714969105028,1385.3462826390294,1397.458700418568]",1395.4675702611128,"[1401.3298186166849,1395.4279250540922,1391.9322304207153,1385.3070759438758,1397.4196930442213]",1395.4279250540922,"[0.17106572030097675,0.17034516238538977,0.16991839561895786,0.16910965364245964,0.17058822026593845]",0.17034516238538977,,8192.0,2048.0
candidate1,bulk/series/neon/local/k1/h0/u8/decode,1,5,"[196.23019887585795,196.45291284384277,196.23687680831443,196.2940820865505,196.24021436866082]",196.24021436866082,"[196.22439540052108,196.47705743563725,196.23140231035688,196.30496360200328,196.2345599165712]",196.2345599165712,"[0.02395388169871313,0.02398106846238315,0.02395469687601495,0.02396167994220587,0.023955104293049416]",0.023955104293049416,8192.0,,1024.0
candidate1,bulk/series/neon/local/k1/h0/u8/encode,1,5,"[150.67391186172514,153.33615791568062,153.2928476530304,155.30198242626983,155.6802916343225]",153.33615791568062,"[150.66956300529634,153.33163075626612,153.2884270406669,155.29759660465365,155.68579076395758]",153.33163075626612,"[0.018392811506558245,0.018717792714316478,0.018712505817020313,0.018957761526644266,0.01900394184989288]",0.018717792714316478,8192.0,,1024.0
candidate1,bulk/series/neon/local/k2/h0/u8/decode,1,5,"[405.5808873878611,404.97348629922226,405.1315936074645,405.2846697538351,405.36585889534786]",405.2846697538351,"[405.5697166988379,404.9619848431154,405.120086349464,405.2910588055307,405.4572264182829]",405.2910588055307,"[0.04950938566746352,0.04943524002676052,0.049454540235286185,0.04947322628830995,0.04948313707218601]",0.04947322628830995,8192.0,,2048.0
candidate1,bulk/series/neon/local/k2/h0/u8/encode,1,5,"[1323.3565015216532,1320.636315520861,1321.7781600287228,1321.5518023552524,1322.3309075099808]",1321.7781600287228,"[1323.3179025785255,1320.6346142894806,1321.73869156871,1321.5137515819845,1322.3211727167147]",1321.73869156871,"[0.16154254168965493,0.16121048773448007,0.16134987305038123,0.1613222414984439,0.16141734710815195]",0.16134987305038123,8192.0,,2048.0
candidate1,bulk/series/neon/local/k3/h0/u8/decode,1,5,"[1394.051515574246,1394.0853145738274,1394.0558600211318,1394.3313736822056,1394.1810916917402]",1394.0853145738274,"[1394.011777839126,1394.0457362622642,1394.0162617754245,1394.2909782941274,1394.1415333107457]",1394.0457362622642,"[0.17017230414724682,0.17017643000168792,0.1701728344752358,0.1702064665139411,0.17018812154440188]",0.17017643000168792,8192.0,,3072.0
candidate1,bulk/series/neon/local/k3/h0/u8/encode,1,5,"[1419.098391252309,1419.2699166210164,1419.4827460288489,1419.4346458929112,1420.0137342016171]",1419.4346458929112,"[1419.0581015534085,1419.2299312251994,1419.494816709146,1419.3953299670238,1419.9737285222398]",1419.3953299670238,"[0.17322978408841666,0.1732507222437764,0.1732767023960997,0.1732708307974745,0.17334152028828334]",0.1732708307974745,8192.0,,3072.0
