rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
10,9001,8192,"use1-az1,use1-az3,use1-az4",818.94434,use1-az1->use1-az3,767.9755,614.3469166666667
11,9001,8192,"use1-az1,use1-az4,use1-az6",899.81537,use1-az4->use1-az6,833.4855,588.5770833333333
12,9001,8192,"use1-az4,use1-az5,use1-az6",899.81537,use1-az4->use1-az6,833.4855,623.3626666666667
13,9001,8192,"use1-az3,use1-az4,use1-az6",899.81537,use1-az4->use1-az6,833.4855,679.32925
14,9001,8192,"use1-az2,use1-az3,use1-az5",905.60808,use1-az3->use1-az2,838.9290000000001,599.9345833333333
15,9001,8192,"use1-az2,use1-az3,use1-az4",905.60808,use1-az3->use1-az2,838.9290000000001,606.3629166666667
16,9001,8192,"use1-az1,use1-az2,use1-az3",905.60808,use1-az3->use1-az2,838.9290000000001,676.3266666666667
17,9001,8192,"use1-az2,use1-az5,use1-az6",1330.1754799999999,use1-az2->use1-az6,1013.677,651.9693333333333
18,9001,8192,"use1-az1,use1-az2,use1-az6",1330.1754799999999,use1-az2->use1-az6,1013.677,663.3014166666667
19,9001,8192,"use1-az2,use1-az4,use1-az6",1330.1754799999999,use1-az2->use1-az6,1013.677,672.9488333333334
20,9001,8192,"use1-az2,use1-az3,use1-az6",1330.1754799999999,use1-az2->use1-az6,1013.677,751.265
1,9001,65536,"use1-az1,use1-az4,use1-az5",550.08438,use1-az5->use1-az4,455.544,428.43058333333335
2,9001,65536,"use1-az1,use1-az2,use1-az4",578.04782,use1-az1->use1-az2,520.9459999999999,424.8885
3,9001,65536,"use1-az2,use1-az4,use1-az5",662.8464100000001,use1-az2->use1-az5,503.1155,416.27058333333326
4,9001,65536,"use1-az1,use1-az2,use1-az5",662.8464100000001,use1-az2->use1-az5,520.9459999999999,466.895
5,9001,65536,"use1-az1,use1-az5,use1-az6",878.0946200000002,use1-az6->use1-az5,785.798,641.5204166666666
6,9001,65536,"use1-az3,use1-az5,use1-az6",878.0946200000002,use1-az6->use1-az5,785.798,696.151
7,9001,65536,"use1-az3,use1-az4,use1-az5",898.63043,use1-az4->use1-az3,837.033,670.8913333333334
