name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,projected_codes,stride,tuples_per_call,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes,allocated_binding_bytes,input_bytes,issued_write_bytes,live_bindings,lowered_decode_terms
scan/packet4/ordered/16/65536,4,1,scan/packet4/ordered/16/65536,iteration,3,2,1,984,28462.530487796517,28444.247967479754,ns,65536.0,2304015914.744069,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1048576,4,2,scan/packet4/ordered/16/1048576,iteration,3,0,1,60,465770.6666667612,465776.6666666655,ns,1048576.0,2251242011.5506053,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1048576,4,2,scan/packet4/ordered/16/1048576,iteration,3,1,1,60,469598.16666666634,469171.0000000016,ns,1048576.0,2234954845.887739,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/16/1048576,4,2,scan/packet4/ordered/16/1048576,iteration,3,2,1,60,474319.51666681014,473106.6666666672,ns,1048576.0,2216362765.2678723,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1024,5,0,scan/packet4/ordered/64/1024,iteration,3,0,1,61265,456.06873418753133,455.50624336897005,ns,1024.0,2248048220.8682647,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1024,5,0,scan/packet4/ordered/64/1024,iteration,3,1,1,61265,455.703419570573,455.3985146494715,ns,1024.0,2248580017.412203,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1024,5,0,scan/packet4/ordered/64/1024,iteration,3,2,1,61265,455.15155472129834,455.15139149595956,ns,1024.0,2249800877.5374475,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/65536,5,1,scan/packet4/ordered/64/65536,iteration,3,0,1,731,38014.62380300161,38015.89603283153,ns,65536.0,1723910438.5018673,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/65536,5,1,scan/packet4/ordered/64/65536,iteration,3,1,1,731,37948.563611489735,37921.01231190173,ns,65536.0,1728223905.5477734,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/65536,5,1,scan/packet4/ordered/64/65536,iteration,3,2,1,731,37929.17920654549,37929.82216142285,ns,65536.0,1727822496.0056486,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1048576,5,2,scan/packet4/ordered/64/1048576,iteration,3,0,1,21,1324123.3333338816,1322324.761904758,ns,1048576.0,792979175.9246546,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1048576,5,2,scan/packet4/ordered/64/1048576,iteration,3,1,1,21,1335790.4761903684,1334709.047619041,ns,1048576.0,785621407.0553671,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/ordered/64/1048576,5,2,scan/packet4/ordered/64/1048576,iteration,3,2,1,21,1356868.6190478187,1355299.5238095173,ns,1048576.0,773685802.7166059,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1024,6,0,scan/packet4/permuted/16/1024,iteration,3,0,1,63164,443.13582103713765,442.79827116712426,ns,1024.0,2312565487.893502,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1024,6,0,scan/packet4/permuted/16/1024,iteration,3,1,1,63164,456.1862928251951,445.3313596352345,ns,1024.0,2299411388.49675,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1024,6,0,scan/packet4/permuted/16/1024,iteration,3,2,1,63164,445.5647204104248,444.0866632892212,ns,1024.0,2305856231.789374,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/65536,6,1,scan/packet4/permuted/16/65536,iteration,3,0,1,979,28500.418794685484,28489.37691521933,ns,65536.0,2300366210.0096674,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/65536,6,1,scan/packet4/permuted/16/65536,iteration,3,1,1,979,28540.704800808857,28465.852911133603,ns,65536.0,2302267218.3613887,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/65536,6,1,scan/packet4/permuted/16/65536,iteration,3,2,1,979,28454.69969354226,28455.219611848377,ns,65536.0,2303127541.9400268,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1048576,6,2,scan/packet4/permuted/16/1048576,iteration,3,0,1,61,461850.0000000696,461858.52459016716,ns,1048576.0,2270340253.934817,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1048576,6,2,scan/packet4/permuted/16/1048576,iteration,3,1,1,61,462259.01639322506,461874.91803279246,ns,1048576.0,2270259672.177203,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/16/1048576,6,2,scan/packet4/permuted/16/1048576,iteration,3,2,1,61,461223.7868855118,461228.0163934396,ns,1048576.0,2273443855.816289,16.0,16.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1024,7,0,scan/packet4/permuted/64/1024,iteration,3,0,1,61606,456.18902379616907,455.1579391617725,ns,1024.0,2249768513.0700297,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1024,7,0,scan/packet4/permuted/64/1024,iteration,3,1,1,61606,455.2358536506016,455.09917865142927,ns,1024.0,2250058993.8095775,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1024,7,0,scan/packet4/permuted/64/1024,iteration,3,2,1,61606,454.8889718531611,454.88864720969013,ns,1024.0,2251100365.5098176,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/65536,7,1,scan/packet4/permuted/64/65536,iteration,3,0,1,730,37912.109589041866,37884.397260273436,ns,65536.0,1729894223.9929142,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/65536,7,1,scan/packet4/permuted/64/65536,iteration,3,1,1,730,37972.287671239006,37973.26027397221,ns,65536.0,1725846017.096403,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/65536,7,1,scan/packet4/permuted/64/65536,iteration,3,2,1,730,37996.1095890229,37969.87671232886,ns,65536.0,1725999810.2316825,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1048576,7,2,scan/packet4/permuted/64/1048576,iteration,3,0,1,21,1349119.5714287923,1347838.0952381063,ns,1048576.0,777968810.7233388,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1048576,7,2,scan/packet4/permuted/64/1048576,iteration,3,1,1,21,1372193.8571425849,1369098.5714285604,ns,1048576.0,765887878.2598414,16.0,64.0,4.0,,,,,,,,,,,,,,
scan/packet4/permuted/64/1048576,7,2,scan/packet4/permuted/64/1048576,iteration,3,2,1,21,1337237.6190478094,1333239.0476190296,ns,1048576.0,786487615.9099928,16.0,64.0,4.0,,,,,,,,,,,,,,
small/unpacked/R_AC,8,0,small/unpacked/R_AC,iteration,3,0,1,79971,349.00376386430236,349.0035137737404,ns,256.0,733516970.1642753,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_AC,8,0,small/unpacked/R_AC,iteration,3,1,1,79971,349.3523902414221,349.1063010341251,ns,256.0,733301000.9893119,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_AC,8,0,small/unpacked/R_AC,iteration,3,2,1,79971,349.56998161804114,349.13293568918675,ns,256.0,733245058.9190539,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_0,9,0,small/unpacked/R_0,iteration,3,0,1,79835,350.96937433452206,350.90849877872995,ns,256.0,729534909.7869078,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_0,9,0,small/unpacked/R_0,iteration,3,1,1,79835,350.9985595289974,350.89835285275814,ns,256.0,729556003.6653156,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_0,9,0,small/unpacked/R_0,iteration,3,2,1,79835,350.77348280828375,350.77321976577014,ns,256.0,729816261.8313471,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_1,10,0,small/unpacked/R_1,iteration,3,0,1,79862,350.7606871854653,350.7345170418988,ns,256.0,729896795.3285824,,,,4.0,,,,,,,,,,,,,
small/unpacked/R_1,10,0,small/unpacked/R_1,iteration,3,1,1,79862,351.4148155565784,351.07159850742454,ns,256.0,729195984.7745588,,,,4.0,,,,,,,,,,,,,
