series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,max_backedge,wound-wait,0,16,regional,136,136,0,0,136,0,1,95,0,{},
sweep,default,max_backedge,wound-wait,0,16,report,64,64,0,0,64,0,0,1,0,{},
sweep,default,max_backedge,wait-die,0,16,bulk,3,3,0,0,3,0,125,127,0,{},
sweep,default,max_backedge,wait-die,0,16,regional,172,136,0,0,136,0,1,96,0,{},
sweep,default,max_backedge,wait-die,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,occ,0,16,bulk,4,3,0,0,3,0,142,275,0,"{""source_changed"": 1}",
sweep,default,max_backedge,occ,0,16,regional,136,136,0,0,136,0,1,38,0,{},
sweep,default,max_backedge,occ,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,certification,0,16,bulk,4,3,0,0,3,0,130,263,0,"{""source_changed"": 1}",
sweep,default,max_backedge,certification,0,16,regional,136,136,0,0,136,0,1,27,0,{},
sweep,default,max_backedge,certification,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,snapshot-wait,0,16,bulk,4,3,0,0,3,0,130,263,0,"{""source_changed"": 1}",
sweep,default,max_backedge,snapshot-wait,0,16,regional,136,136,0,0,136,0,1,27,0,{},
sweep,default,max_backedge,snapshot-wait,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,max_backedge,ordered-writes,0,16,bulk,4,3,0,0,3,0,246,266,0,"{""source_changed"": 1}",
sweep,default,max_backedge,ordered-writes,0,16,regional,136,136,0,0,136,0,1,29,0,{},
sweep,default,max_backedge,ordered-writes,0,16,report,64,64,0,0,64,0,1,1,0,{},
sweep,default,bulk_update_reports,arbitration,0,16,bulk,3,3,0,0,3,0,125,133,0,{},
sweep,default,bulk_update_reports,arbitration,0,16,point_report,64,64,0,0,64,0,20,121,0,{},
sweep,default,bulk_update_reports,arbitration,0,16,regional,96,96,0,0,96,0,0,2,0,{},
sweep,default,bulk_update_reports,arbitration,0,16,report,96,96,0,0,96,0,75,175,0,{},
sweep,default,bulk_update_reports,wound-wait,0,16,bulk,3,3,0,0,3,0,107,120,0,{},
sweep,default,bulk_update_reports,wound-wait,0,16,point_report,64,64,0,0,64,0,20,103,0,{},
sweep,default,bulk_update_reports,wound-wait,0,16,regional,96,96,0,0,96,0,0,2,0,{},
sweep,default,bulk_update_reports,wound-wait,0,16,report,96,96,0,0,96,0,60,155,0,{},
sweep,default,bulk_update_reports,wait-die,0,16,bulk,3,3,0,0,3,0,112,119,0,{},
sweep,default,bulk_update_reports,wait-die,0,16,point_report,186,64,0,0,64,0,18,103,0,{},
sweep,default,bulk_update_reports,wait-die,0,16,regional,96,96,0,0,96,0,0,2,0,{},
sweep,default,bulk_update_reports,wait-die,0,16,report,288,96,0,0,96,0,62,154,0,{},
sweep,default,bulk_update_reports,occ,0,16,bulk,3,3,0,0,3,0,136,141,0,{},
sweep,default,bulk_update_reports,occ,0,16,point_report,87,62,2,0,64,0,0,18,0,"{""capture_promise"": 25}",
sweep,default,bulk_update_reports,occ,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_reports,occ,0,16,report,113,96,0,0,96,0,25,60,0,"{""capture_promise"": 17}",
sweep,default,bulk_update_reports,certification,0,16,bulk,3,3,0,0,3,0,136,141,0,{},
sweep,default,bulk_update_reports,certification,0,16,point_report,87,62,2,0,64,0,0,18,0,"{""capture_promise"": 25}",
sweep,default,bulk_update_reports,certification,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_reports,certification,0,16,report,113,96,0,0,96,0,25,60,0,"{""capture_promise"": 17}",
sweep,default,bulk_update_reports,snapshot-wait,0,16,bulk,3,3,0,0,3,0,135,137,0,{},
sweep,default,bulk_update_reports,snapshot-wait,0,16,point_report,64,64,0,0,64,0,0,24,0,{},
sweep,default,bulk_update_reports,snapshot-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_reports,snapshot-wait,0,16,report,96,96,0,64,96,0,25,53,0,{},
sweep,default,bulk_update_reports,ordered-writes,0,16,bulk,3,3,0,0,3,0,147,150,0,{},
sweep,default,bulk_update_reports,ordered-writes,0,16,point_report,64,64,0,0,64,0,0,24,0,{},
sweep,default,bulk_update_reports,ordered-writes,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_reports,ordered-writes,0,16,report,96,96,0,0,96,0,25,49,0,{},
sweep,default,bulk_update_point_updates,arbitration,0,16,bulk,3,3,0,0,3,0,176,180,0,{},
sweep,default,bulk_update_point_updates,arbitration,0,16,regional,96,96,0,0,96,0,0,2,0,{},
sweep,default,bulk_update_point_updates,arbitration,0,16,report,96,96,0,0,96,0,96,203,0,{},
sweep,default,bulk_update_point_updates,arbitration,0,16,source_update,64,64,0,0,64,0,49,168,0,{},
sweep,default,bulk_update_point_updates,wound-wait,0,16,bulk,3,2,0,0,3,430,106,314,1,{},
sweep,default,bulk_update_point_updates,wound-wait,0,16,regional,96,96,0,0,96,0,0,1,0,{},
sweep,default,bulk_update_point_updates,wound-wait,0,16,report,96,89,0,0,96,461,224,462,7,{},
sweep,default,bulk_update_point_updates,wound-wait,0,16,source_update,64,60,0,0,64,434,43,454,4,{},
sweep,default,bulk_update_point_updates,wait-die,0,16,bulk,7,3,0,0,3,0,129,136,0,{},
sweep,default,bulk_update_point_updates,wait-die,0,16,regional,96,96,0,0,96,0,0,3,0,{},
sweep,default,bulk_update_point_updates,wait-die,0,16,report,475,96,0,0,96,0,79,147,0,{},
sweep,default,bulk_update_point_updates,wait-die,0,16,source_update,224,64,0,0,64,0,42,149,0,{},
sweep,default,bulk_update_point_updates,occ,0,16,bulk,9,2,1,0,3,0,141,529,0,"{""capture_promise"": 1, ""output_promise"": 1, ""source_changed"": 5}",
sweep,default,bulk_update_point_updates,occ,0,16,regional,96,96,0,0,96,0,0,1,0,{},
