series,variant,case,policy,seed,width,time_ticks,input_sha256,trace_sha256,logical_state_sha256,serial_check,changes,counts.admission_key_ticks,counts.commits,counts.compute_units,counts.fence_key_ticks,counts.network_messages,counts.peak_admission_keys,counts.peak_fence_keys,counts.peak_read_keys,counts.peak_write_keys,counts.protocol_units,counts.read_key_ticks,counts.service_units,counts.write_key_ticks,arbitration.granted,arbitration.requests,retained_versions_no_gc,certification.attempts,certification.capture_calls,certification.captured_rows,certification.captured_scopes,certification.commit_decisions,certification.duplicate_installed_keys,certification.installed_keys,certification.positions_chosen,certification.promise_calls,certification.promised_groups,certification.promised_keys,certification.promotions,certification.renew_calls,certification.renewed_scopes,write_admission.granted_groups,write_admission.granted_keys,write_admission.released_keys,write_admission.releases,write_admission.requests,counts.promotions,counts.renewal_scopes,counts.discarded_compute_units,counts.probe_units,counts.protection_retries,counts.yielded_chains,arbitration.blocked,arbitration.claims,arbitration.collected,arbitration.deferred,arbitration.edges,arbitration.max_component,arbitration.obsolete,arbitration.released,arbitration.reports,arbitration.scope_keys,arbitration.solver_nodes,arbitration.verdicts,arbitration.handoff_waits,arbitration.deferred_pending,arbitration.dies,arbitration.max_participants,counts.aborts,certification.abort_decisions,certification.rejected_capture_promise,certification.rejected_output_promise,certification.rejected_source_changed,certification.rejections,certification.released_keys,counts.capture_wait_probes,certification.capture_waits,counts.admission_wait_probes,write_admission.blocked_by_holder,write_admission.blocked_by_older_waiter,write_admission.blocked_requests,write_admission.queued_groups,arbitration.wounds,certification.rejected_renew_promise,horizon,counts.execution_passes_started,counts.private_execution_delay_ticks,counts.program_executions,counts.discarded_private_delay_ticks,counts.discovery_compute_units,counts.discovery_passes_discarded,counts.refresh_executions,certification.read_positions_registered,counts.final_value_groups_staged,counts.final_values_staged,counts.fixed_passes_started,counts.fixed_program_executions,certification.fixed_positions_chosen,certification.position_groups_published,certification.position_groups_reserved,certification.unused_outputs_resolved,counts.local_shortcuts_demoted,cap,window_ticks,original_input_sha256,group_manifest_sha256,original_serial_sha256,original_serial_check,original_requests,execution_groups,multi_member_groups,max_group_size,committed_original_requests,grouping_scope
sweep,default,bulk_update_reports,ordered-writes,0,16,465,e1bb324d9d4ebe444b2dd4238592bb167d7fc006880003f9f548556b5c98a81a,9ecbba8c141e21e4bdfe829321caae90ce5c98452766db94b0d5fd69db0c8f25,0fd9dad3a1436f6dd3401c59d143fb3cd2586bac0518b9f8e3c6742c5c8bdae6,True,{},13008,259,3779,0,418,32,0,0,32,1285,0,5095,1744,,,240,259,451,3328,358,259,0,192,259,102,102,192,2,4,4,102,192,192,166,102,2,4,,31,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,arbitration,0,16,496,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,a6355ec15833089123a3be380ea363b79e31c93f3c9dc4307e8b2e63ef0195a7,7e362c566d7c2adde8bdecbdbd6fdadd13bb90e3a5dcce9cedbff925fa113be3,True,{},0,259,3843,10203,456,0,32,32,32,2482,13088,7360,9008,379,2867,,,,,,,,,,,,,,,,,,,,,,,0,1035,2488,21,2488,1627,62,49,9022,66,12,50,91,1171,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,wound-wait,0,16,750,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,200da1f8451bf1f0f2d62d68e2bb7ec21f706d105c945fe4cdffa9b9e2173b18,440127be46cf964e503a8a27c89cc59c69be0e3702cf79c7db3aa8333fd7a0ef,True,{},0,248,3568,0,374,0,0,32,32,7360,20032,14164,5984,346,10039,,,,,,,,,,,,,,,,,,,,,,,,3236,9693,,9693,,,,,,,,,,,,9377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,wait-die,0,16,456,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,34af091c5c05dfe4f5e81cdd22d9493885a68f74547ef9d0130fcb0a23b256f9,7e362c566d7c2adde8bdecbdbd6fdadd13bb90e3a5dcce9cedbff925fa113be3,True,{},0,259,3843,0,399,0,0,32,32,1972,13344,6598,9008,359,2125,,,,,,,,,,,,,,,,,,,,,,,0,783,1766,543,1766,1945,768,,768,,225,,1177,,,543,1432,417,543,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,occ,0,16,689,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,a317e003f2162dee909f30e178854b18684b50e4fddd246d6b284911b2e3a0e9,8af3f2079b99c268d89584184dd53b41cde629a1e5657dd9afef98869be6396d,True,{},0,258,4168,0,496,0,0,0,32,1484,0,5664,3600,,,272,290,396,3520,370,258,0,224,263,176,174,384,167,174,164,,,,,,7,14,390,12,,,,,,,,,,,,,,,,,,,32,32,26,2,10,38,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,certification,0,16,677,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,9cb23e1e99dbc127136906fed7327c438cd7fdb4ccd61f5598e147928c894e52,8af3f2079b99c268d89584184dd53b41cde629a1e5657dd9afef98869be6396d,True,{},0,258,4168,0,494,0,0,0,32,1480,0,5660,3216,,,272,290,396,3520,370,258,0,224,263,176,174,384,6,12,2,,,,,,6,12,390,12,,,,,,,,,,,,,,,,,,,32,32,26,2,10,38,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,snapshot-wait,0,16,572,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,255b4c90381c01c26b993207acd4b84acf7f2a6bfc19ba7746225b1f499b8137,8af3f2079b99c268d89584184dd53b41cde629a1e5657dd9afef98869be6396d,True,{},0,258,4168,0,462,0,0,0,32,1373,0,5558,3712,,,272,264,416,3488,368,258,0,224,264,176,176,416,12,19,7,,,,,,7,14,390,17,,,,,,,,,,,,,,,,,,,6,6,,,12,12,192,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,bulk_update_point_updates,ordered-writes,0,16,464,472b81be40d8668728fa6adb730759b06dc6f3e04b0d8641fa86cb1583833a35,e1e7d4f8353adb923c3b80e9ff06a2ee83308b94d2a9e0b8e9278b25118f00d0,7e362c566d7c2adde8bdecbdbd6fdadd13bb90e3a5dcce9cedbff925fa113be3,True,{},13024,259,3843,0,418,32,0,0,32,1287,0,6239,1792,,,304,259,422,3328,358,259,0,256,259,166,166,256,2,4,4,166,256,256,166,1275,2,4,,1109,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1109,1095,265,1109,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,blind_bulk_readers,arbitration,0,16,302,88f3187391f44c501d92562afe7e92636cc7e9ebfa08375d7a0728537e1e6151,8031cbbae2d0081912381301ae513ef424ded63543b6fdfbb747f3302c54ce53,7f783a288f1081bd0f2b35429f0e5c4260cacaf72327c1c807a4369b2cdd14a2,True,{},0,225,4545,2928,516,0,32,32,32,1760,5600,6305,3296,354,921,,,,,,,,,,,,,,,,,,,,,,,,,567,,567,258,56,52,193,43,15,41,65,1040,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,blind_bulk_readers,wound-wait,0,16,302,88f3187391f44c501d92562afe7e92636cc7e9ebfa08375d7a0728537e1e6151,f64747bca0a23da99537ce4cc329611cc1f0dab1d19c58ef537747a059d157d7,7f783a288f1081bd0f2b35429f0e5c4260cacaf72327c1c807a4369b2cdd14a2,True,{},0,225,4545,0,516,0,0,32,32,1660,5888,6205,3296,354,821,,,,,,,,,,,,,,,,,,,,,,,,,467,,467,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
