input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:values_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:io_bytes_per_value,counter:bulk_input_output_bytes
small,resident/predecessor/striped/k3/h0/u64/get16,1,5,"[1233.246715380693,1222.1504708923194,1215.5866611811193,1179.1956908656682,1170.9762541477076]",1215.5866611811193,"[1233.2339614876964,1222.1219758695192,1215.5583539785082,1179.2179788751139,1170.9828010269525]",1215.5583539785082,"[4.817369981955832,4.774025276923123,4.7483853952387465,4.6062331674440165,4.574125992764483]",4.7483853952387465,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/predecessor/striped/k4/h0/u64/get16,1,5,"[1166.6127025113392,1169.3071175711211,1167.8866769397275,1167.2598642288992,1167.9243013618732]",1167.8866769397275,"[1166.585773187626,1169.2802298943975,1167.8597975926089,1167.3374286780788,1167.8972887427892]",1167.8597975926089,"[4.55708086918492,4.567605928012192,4.56205733179581,4.559608844644138,4.562204302194817]",4.56205733179581,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/predecessor/striped/k5/h0/u64/get16,1,5,"[1608.9432605784443,1551.1121631464105,1447.1762093837522,1430.1976364447935,1426.267485844522]",1447.1762093837522,"[1608.9056574959739,1551.1936306180962,1447.1924088996434,1430.1642271455437,1426.265618025025]",1447.1924088996434,"[6.284934611634548,6.059031887290666,5.653032067905283,5.586709517362475,5.571357366580164]",5.653032067905283,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/predecessor/striped/k6/h0/u64/get16,1,5,"[1483.0503338189988,1473.2761455320376,1469.466302764057,1465.7744927473032,1461.5413413653216]",1469.466302764057,"[1483.0157666964037,1473.376617445926,1469.4671617768165,1465.7404801774846,1461.5071656916955]",1469.4671617768165,"[5.793165366480464,5.754984943484522,5.740102745172098,5.725681612294153,5.7091458647082876]",5.740102745172098,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/predecessor/striped/k7/h0/u64/get16,1,5,"[1323.3089702896523,1320.8762784402513,1319.5057714487227,1318.040033170329,1317.2287037831436]",1319.5057714487227,"[1323.2781542800515,1320.931181073867,1319.4868796047958,1318.009417326427,1317.2138724468305]",1319.4868796047958,"[5.169175665193954,5.159672962657232,5.154319419721573,5.148593879571597,5.145424624152905]",5.154319419721573,16.0,4608.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k1/h0/u64/admitted-region/get16,1,5,"[988.6544750703372,991.4339192914898,989.4235962741234,1031.8015216578895,1015.1091955238741]",991.4339192914898,"[988.6314527672253,992.8232676864428,989.4016880669993,1031.7774205150374,1015.1339524324003]",992.8232676864428,"[3.8619315432435046,3.8727887472323816,3.864935922945795,4.030474693976131,3.965270295015133]",3.8727887472323816,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k1/h0/u64/get16,1,5,"[1254.889274162478,1254.5036869786502,1255.3395514698643,1253.8475033375423,1255.325269467515]",1254.889274162478,"[1256.8912990890074,1254.4744509853565,1255.3485292404075,1253.855603042936,1255.2951554086837]",1255.2951554086837,"[4.901911227197179,4.900405027260352,4.903670122929158,4.897841809912275,4.9036143338574805]",4.901911227197179,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k1/h0/u64/raw-dense/get16,1,5,"[1078.8100300000015,1120.6613899999995,1063.834459999997,1061.8878500000005,1011.1621999999976]",1063.834459999997,"[1078.8023899999644,1120.6515800000716,1063.8097100002142,1061.8626699999822,1011.2253099998725]",1063.8097100002142,"[4.214101679687506,4.377583554687498,4.155603359374989,4.147999414062503,3.9498523437499906]",4.155603359374989,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k2/h0/u64/admitted-region/get16,1,5,"[1299.5113340317623,1300.931504436264,1302.9691918302312,1301.2661295556331,1301.7039986649477]",1301.2661295556331,"[1299.4808039976815,1301.0194509600117,1303.4133838922637,1301.2360445391166,1301.7100805667296]",1301.2360445391166,"[5.0762161485615716,5.0817636892041556,5.089723405586841,5.083070818576693,5.084781244784952]",5.083070818576693,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k2/h0/u64/get16,1,5,"[1359.5575553932288,1360.3601363525718,1357.6199074750446,1357.6256050645304,1357.6177745312866]",1357.6256050645304,"[1360.319522766164,1360.3283077674853,1357.5884489898358,1357.6202580958957,1357.5862283905365]",1357.6202580958957,"[5.3107717007548,5.3139067826272335,5.303202763574393,5.303225019783322,5.303194431762838]",5.303225019783322,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k2/h0/u64/raw-dense/get16,1,5,"[1127.2735693565426,1177.168331355479,1165.046718420354,1162.679151832807,1175.7699680247886]",1165.046718420354,"[1127.2471568434846,1177.1732347702957,1165.0196631064634,1162.7149838479634,1176.2595348758355]",1165.0196631064634,"[4.403412380298994,4.59831379435734,4.550963743829508,4.5417154368469035,4.59285143759683]",4.550963743829508,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k3/h0/u64/admitted-region/get16,1,5,"[1713.832776986881,1712.6958666732207,1712.16150409897,1712.0659147808042,1714.9298389868225]",1712.6958666732207,"[1713.8795837219818,1712.72559030005,1712.1214226106642,1712.0252564920538,1714.921714692246]",1712.72559030005,"[6.694659285105005,6.6902182291922685,6.6881308753866024,6.687757479612517,6.698944683542275]",6.6902182291922685,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k3/h0/u64/get16,1,5,"[1911.659885586332,1908.2421391805356,1907.710252174255,1907.4268257717579,1907.374411206524]",1907.710252174255,"[1911.6156356238064,1908.2183962966503,1907.665797414227,1907.3826713809315,1907.3298881799985]",1907.665797414227,"[7.467421428071609,7.454070856173967,7.451993172555683,7.450886038170929,7.450681293775483]",7.451993172555683,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k3/h0/u64/raw-dense/get16,1,5,"[1796.598114221388,1806.4272171332045,1804.7007317946911,1807.877002200507,1805.6816053425966]",1805.6816053425966,"[1796.556279105607,1806.3854203981762,1804.8663451200862,1807.850199580566,1805.6393480370377]",1805.6393480370377,"[7.017961383677296,7.05635631692658,7.049612233573012,7.062019539845728,7.053443770869518]",7.053443770869518,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k4/h0/u64/admitted-region/get16,1,5,"[1620.2209839252926,1616.123031165711,1616.8392412827254,1616.0321494288594,1616.3575437743898]",1616.3575437743898,"[1620.230589406669,1616.085454061202,1616.8165931794917,1615.994653334889,1616.3201865546482]",1616.3201865546482,"[6.328988218458175,6.312980590491058,6.315778286260646,6.312625583706482,6.31389665536871]",6.31389665536871,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k4/h0/u64/get16,1,5,"[1778.9896478488322,1776.3788073406292,1776.3164527984736,1776.117371011457,1776.0315524411658]",1776.3164527984736,"[1779.003560937019,1776.3546692779787,1776.292734417708,1776.0764329591718,1775.9906271059701]",1776.292734417708,"[6.949178311909499,6.938979716174332,6.9387361437440385,6.937958480513504,6.937623251723304]",6.9387361437440385,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k4/h0/u64/raw-dense/get16,1,5,"[1560.6908948895336,1559.370363758082,1561.3866324481198,1559.8431265342776,1559.313914304842]",1559.8431265342776,"[1560.6546641372863,1559.3543182323915,1561.5602544078363,1559.8068623071185,1559.278129881774]",1559.8068623071185,"[6.096448808162241,6.091290483430007,6.099166533000469,6.093137213024521,6.091069977753289]",6.093137213024521,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/series/neon/local/k5/h0/u64/admitted-region/get16,1,5,"[1721.328514885559,1717.6643803623917,1716.2253730609482,1715.9441453401303,1719.2768271996738]",1717.6643803623917,"[1721.325171472936,1717.6694077733075,1716.1996091156418,1715.9193893356,1719.2369152099832]",1717.6694077733075,"[6.723939511271715,6.709626485790593,6.704005363519329,6.702906817734885,6.715925106248726]",6.709626485790593,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/series/neon/local/k5/h0/u64/get16,1,5,"[1913.610509750259,1912.4338693123777,1911.9226684913035,1912.1596989394438,1914.7265685939315]",1912.4338693123777,"[1913.5642285321976,1912.388669175341,1911.8784262740971,1912.1152377695264,1914.9379815261327]",1912.388669175341,"[7.475041053711949,7.470444802001475,7.468447923794154,7.469373823982202,7.479400658570045]",7.470444802001475,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/series/neon/local/k5/h0/u64/raw-dense/get16,1,5,"[1807.0419575065425,1808.7819434696908,1779.065386333224,1804.8237733682,1785.5865373572126]",1804.8237733682,"[1807.000204172956,1808.938811970035,1779.0251387737515,1804.7993236774398,1785.5455496711204]",1804.7993236774398,"[7.058757646509932,7.0655544666784795,6.9494741653641565,7.050092864719531,6.974947411551611]",7.050092864719531,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/series/neon/local/k56/h0/u64/admitted-region/get16,1,5,"[1045.9817083214866,1044.8698542955362,1045.6290375716208,1044.6766498450097,1045.0691085520016]",1045.0691085520016,"[1046.0581095852942,1044.8591772865307,1045.6169903710877,1044.665516105637,1045.0450441007922]",1045.0450441007922,"[4.085866048130806,4.0815228683419384,4.084488428014144,4.08076816345707,4.082301205281256]",4.082301205281256,16.0,512.0,3584.0,65536.0,8.0,0.0
small,resident/series/neon/local/k56/h0/u64/get16,1,5,"[1231.8940976801964,1231.8570323079234,1232.0378040416274,1231.871612233724,1231.7043739776584]",1231.871612233724,"[1231.865553386742,1231.8448354701534,1232.021368648797,1231.8429624155697,1231.6758208906144]",1231.8448354701534,"[4.812086319063267,4.811941532452826,4.812647672037607,4.811998485287984,4.811345210850228]",4.811998485287984,16.0,512.0,3584.0,65536.0,8.0,0.0
small,resident/series/neon/local/k56/h0/u64/raw-dense/get16,1,5,"[1001.7267439775588,1000.3498927831336,1000.5498899143645,1000.5820334631246,1000.475268400723]",1000.5498899143645,"[1001.7035507075483,1000.3266277958859,1000.6359431142835,1000.5727532867162,1000.452110989331]",1000.5727532867162,"[3.912995093662339,3.907616768684115,3.9083980074779863,3.9085235682153305,3.9081065171903244]",3.9083980074779863,16.0,512.0,3584.0,65536.0,8.0,0.0
small,resident/series/neon/local/k6/h0/u64/admitted-region/get16,1,5,"[1716.2008218842645,1714.3473258095964,1714.5468228656105,1714.1449828263164,1741.1843473994495]",1714.5468228656105,"[1716.1842247295594,1714.3404685968162,1714.5070657511194,1714.1051521092907,1741.839879783947]",1714.5070657511194,"[6.703909460485408,6.696669241443737,6.697448526818791,6.695878839165299,6.8015013570291005]",6.697448526818791,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k6/h0/u64/get16,1,5,"[1912.1479488720386,1908.9605751897989,1909.585349866177,1908.547918828856,1908.6246244605725]",1908.9605751897989,"[1912.1410389473685,1908.9160430435797,1909.5409815917144,1908.6007401536483,1908.6269459773187]",1908.9160430435797,"[7.4693279252814,7.456877246835154,7.459317772914755,7.455265307925219,7.455564939299112]",7.456877246835154,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k6/h0/u64/raw-dense/get16,1,5,"[1704.6081739554506,1731.7936898525882,1702.053490071904,1699.1756608600244,1699.3477159214965]",1702.053490071904,"[1704.732196369619,1732.1816786451068,1702.0447435744727,1699.1519308081033,1699.3240467779492]",1702.0447435744727,"[6.658625679513481,6.7648191009866725,6.648646445593375,6.63740492523447,6.638077015318345]",6.648646445593375,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/series/neon/local/k7/h0/u64/admitted-region/get16,1,5,"[1785.6988217591938,1784.24783861675,1784.0275560429227,1784.0470658744214,1784.101451123474]",1784.101451123474,"[1785.6570350157992,1784.223955013175,1784.0025248020193,1784.005151615688,1784.0596516283279]",1784.0596516283279,"[6.97538602249685,6.969718119596681,6.968857640792667,6.968933851071959,6.96914629345107]",6.96914629345107,16.0,4608.0,4032.0,65536.0,8.0,0.0
