name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,2,1,14707,1889.6892636192335,1888.0983205276355,ns,256.0,135586159.4794809,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,0,1,13922,1988.3723602855118,1987.8014653067085,ns,256.0,128785497.17765722,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,1,1,13922,1973.1718862275568,1973.166283579935,ns,256.0,129740712.74699499,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,2,1,13922,1965.2160609088364,1965.0841114782372,ns,256.0,130274321.84947221,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,0,1,15686,1779.67684559493,1779.5047813336676,ns,256.0,143860248.4721273,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,1,1,15686,1784.1177483112567,1783.795167665437,ns,256.0,143514235.6255192,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,17,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/bytes,iteration,3,2,1,15686,1783.3540099415304,1782.2307790386226,ns,256.0,143640208.10935184,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,0,1,15534,1795.2568559239094,1794.9479206901062,ns,256.0,142622522.3858168,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,1,1,15534,1795.4428994498871,1795.4378782026606,ns,256.0,142583602.08835024,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,18,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/90/word,iteration,3,2,1,15534,1792.496523754442,1792.3671301660984,ns,256.0,142827881.45990855,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,0,1,19711,1424.9582466614158,1423.5960631119674,ns,256.0,179826291.0620773,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,1,1,19711,1419.6169651467353,1419.4450306935216,ns,256.0,180352176.00143477,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,19,0,mixture/b2-A0s7-B0s0-C1s0-D1s3/5/bytes,iteration,3,2,1,19711,1418.866166098416,1418.7475013951685,ns,256.0,180440846.41435817,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
