model,arithmetic,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
distance_enum,q12,test,partial,33018,96762.0,0.8904113391620678,0.20141704388086232,1.1028488207285534,1.0,2.0,3.0,6.0,0.029199928691015068,0.02916334408135425,3.658460966081726e-05,0.015971171534279984,0.015971171534279984,0.0,0.001705214857071991,0.001705214857071991,0.0,0.0010437981852380067,0.00031003906492218017,0.0007337591203158265
distance_enum,q12,test,corpus:census-income,23134,133376.0,0.47800145453454895,0.1766557476607485,0.780576533139635,0.0,2.0,2.0,4.0,0.012558406309980808,0.012558406309980808,0.0,0.008670120561420346,0.008670120561420346,0.0,0.0005248320537428023,0.0005248320537428023,0.0,0.0007122720729366603,0.00018744001919385796,0.0005248320537428023
distance_enum,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.18232470703124998,-0.033139005533854154,0.5444387101543967,0.0,1.0,3.0,6.0,0.009362414550781248,0.00933360595703125,2.8808593749999995e-05,0.003165824381510416,0.003165824381510416,0.0,0.0007731119791666665,0.0007731119791666665,0.0,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
distance_enum,q12,synthetic_stress,partial,7353,7353.0,1.2483340133278933,-0.315109479124167,1.574091540504102,1.0,3.0,4.0,7.0,0.019175846593227255,0.019175846593227255,0.0,0.022983816129470966,0.022983816129470966,0.0,0.007751937984496124,0.007751937984496124,0.0,0.0073439412484700125,0.00448796409628723,0.0028559771521827824
distance_enum_piecewise,q12,validation,partial,15052,215112.00000000006,0.08657458672691432,0.05671248233478373,0.297948628948362,0.0,1.0,1.0,5.0,0.036674562553460514,0.0012752566105098736,0.03539930594295064,5.601733050689872e-05,5.601733050689872e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
distance_enum_piecewise,q12,test,partial,33018,96762.0,0.18508709514065438,0.06149641904880015,0.4719682953826305,0.0,1.0,2.0,5.0,0.012475956470515285,0.002268142452615696,0.01020781401789959,0.003893103697732581,0.0031671317252640495,0.000725971972468531,0.0008164362042950745,0.0006820859428287964,0.00013435026146627809,0.001570864595605713,0.00019635807445071411,0.0013745065211549989
distance_enum_piecewise,q12,test,corpus:census-income,23134,133376.0,0.08684194307821497,0.053738626139635315,0.3034893715510212,0.0,1.0,1.0,2.0,0.0054996776031669865,0.00014465870921305182,0.005355018893953934,0.0015056456933781191,0.0011290786948176582,0.0003765669985604606,8.997120921305183e-05,2.2492802303262957e-05,6.747840690978887e-05,0.0010946497120921305,0.00010496641074856046,0.00098968330134357
distance_enum_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.0514873575846354,-0.009903373209635415,0.27465393856642956,0.0,0.0,1.0,5.0,0.0038547648111979162,0.001629036458333333,0.002225728352864583,0.0014313761393229163,0.001268440755208333,0.0001629353841145833,0.0005452473958333332,0.0005126953124999999,3.2552083333333326e-05,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
distance_enum_piecewise,q12,synthetic_stress,partial,7353,7353.0,0.5775873793009656,0.28301373589011286,0.911491828521338,0.0,2.0,3.0,6.0,0.007479940160478716,0.00516795865633075,0.0023119815041479667,0.008703930368557052,0.008567931456548347,0.00013599891200870393,0.002039983680130559,0.0009519923840609275,0.0010879912960696314,0.009791921664626682,0.004895960832313341,0.004895960832313341
proposed_three,q12,validation,partial,15052,215112.00000000006,0.6595338079698017,0.08557307123730898,0.8290576740893346,1.0,1.0,2.0,6.0,0.05616071860240245,0.05615102830153592,9.690300866525341e-06,7.937725463944361e-05,7.937725463944361e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
proposed_three,q12,test,partial,33018,96762.0,0.883787323536099,0.18261964407515338,1.08146994937462,1.0,2.0,3.0,6.0,0.028734870093631796,0.028326238606064362,0.0004086314875674335,0.014050810235422996,0.014018504164858106,3.230607056489118e-05,0.0019325768380149232,0.0019222422025175173,1.0334635497406007e-05,0.001581199231103119,0.00022736198094293214,0.001353837250160187
proposed_three,q12,test,corpus:census-income,23134,133376.0,0.47334144823656427,0.1596627729126679,0.7634792903539848,0.0,2.0,2.0,3.0,0.012453439899232248,0.012295990283109407,0.0001574496161228407,0.007340912158109405,0.007317474658109405,2.3437500000000004e-05,0.000682281669865643,0.0006747840690978886,7.497600767754318e-06,0.0011246401151631478,0.00014245441458733205,0.0009821857005758157
