input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k56/h0/u64/prefilter75/materialized,1,5,"[1097.4353794982671,1080.2422444991653,1067.0219801819737,1044.1848524440677,1043.738168742138]",1067.0219801819737,"[1095.0133507546443,1077.8581944877676,1064.7245366360419,1041.9141450932625,1041.4395419732139]",1064.7245366360419,"[0.13396427972390954,0.13186550836171448,0.13025170656518237,0.12746397124561373,0.12740944442653052]",0.13025170656518237,8192.0,6144.0,4391.0
current,composition/avx2/local/k60/h8/u64/all/authored,1,5,"[2531.142317066589,2471.3177516055675,2497.307948905059,2517.239080930196,2475.7139870839337]",2497.307948905059,"[2525.557117188961,2465.9104591796545,2491.941957693089,2511.7018982709674,2470.2510896840895]",2491.941957693089,"[0.30897733362629254,0.30167453022528895,0.3048471617315746,0.3072801612463618,0.30221118006395675]",0.3048471617315746,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/authored-u64-carrier,1,5,"[1941.8937344667895,1843.7965862121796,1948.3363277665196,1889.5088794656538,1933.0091038806268]",1933.0091038806268,"[1937.7554010337053,1839.728069293956,1944.0370653194484,1885.3394963726653,1928.8754396195527]",1928.8754396195527,"[0.237047575008153,0.22507282546535395,0.23783402438556148,0.23065293938789722,0.23596302537605307]",0.23596302537605307,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/direct,1,5,"[2551.6936469233397,2512.543408041983,2454.792969417837,2480.416823371816,2467.591004381772]",2480.416823371816,"[2546.0631798687537,2507.186660425011,2449.3856833083596,2474.9639743388357,2462.235741343996]",2474.9639743388357,"[0.3114860408841967,0.3067069589894999,0.2996573448996383,0.3027852567592549,0.30121960502707174]",0.3027852567592549,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/all/materialized,1,5,"[1704.360696714128,1675.1231291317754,1673.923663100838,1613.4604418928247,1671.3390034604463]",1673.923663100838,"[1700.6435361159442,1671.4268042755807,1670.3490625151494,1609.9141149042146,1667.6589470237382]",1670.3490625151494,"[0.20805184286061132,0.2044828038490937,0.204336384655864,0.1969556203482452,0.20402087444585526]",0.204336384655864,8192.0,8192.0,5902.0
current,composition/avx2/local/k60/h8/u64/prefilter75/authored,1,5,"[2701.538212135286,2689.114769445973,2770.162328895348,2758.3564692085315,2719.71642702994]",2719.71642702994,"[2695.593064164126,2683.2009795745553,2764.2546785819,2752.293250421904,2713.768529560402]",2713.768529560402,"[0.32977761378604564,0.32826108025463535,0.33815458116398284,0.3367134361826821,0.33199663415892827]",0.33199663415892827,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/authored-u64-carrier,1,5,"[2170.7962582509645,2194.229137210529,2160.6425184548684,2106.875967660045,2139.7286177401807]",2160.6425184548684,"[2166.1817287041263,2189.4222005228853,2155.914541265253,2102.226856229878,2135.140202318619]",2155.914541265253,"[0.26498977761852593,0.2678502364758946,0.26375030742857286,0.2571870077710016,0.2611973410327369]",0.26375030742857286,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/direct,1,5,"[2900.896669078899,2938.6387134000074,2862.895876933808,2828.4524712969855,2882.705850137826]",2882.705850137826,"[2894.49556007184,2932.3497173745495,2856.585375635418,2822.2296047124887,2876.457067694801]",2876.457067694801,"[0.35411336292467027,0.35872054606933684,0.3494745943522714,0.3452700770626203,0.3518928039719026]",0.3518928039719026,8192.0,6144.0,4395.0
current,composition/avx2/local/k60/h8/u64/prefilter75/materialized,1,5,"[1681.9914941489158,1714.8417697408697,1692.1218021213642,1690.2975381245553,1708.1762479018248]",1692.1218021213642,"[1678.2799609529047,1711.057874312088,1688.5501184502386,1686.5760764760123,1704.4238342412905]",1688.5501184502386,"[0.2053212273131001,0.209331270720321,0.2065578371730181,0.2063351486968451,0.20851760838645325]",0.2065578371730181,8192.0,6144.0,4395.0
current,composition/avx2/local/k64/h0/u64/all/authored,1,5,"[944.145211885575,961.9647157582713,968.6991799183446,964.4398601137253,946.8080743885257]",961.9647157582713,"[942.0654366007254,959.8534932482993,966.615679770838,962.3185505662314,944.7184737577307]",959.8534932482993,"[0.11525210106025084,0.11742733346658586,0.11824941161112604,0.11772947511153875,0.1155771575181306]",0.11742733346658586,8192.0,8192.0,5896.0
