src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,baseline_flow,baseline_holdout_worst_p50_us,baseline_holdout_request_p50_us,holdout_worst_gain_vs_flow0_us,holdout_request_gain_vs_flow0_us
3,5,az2d,az4b,2,4,3,all-legs,3,0,146.8643154199185,145.25823602606914,,151.04835631993,148.14754979607756,,167.15495845908362,154.01413590824845,,105.6505263492993,90.01859522362363,,202.1005448062062,201.5470397903403,,316.59024999999997,0.11428637829902755,0,179.35666400843104,,34.0984279823619,
3,6,az2d,az4c,2,4,2,all-legs,3,0,111.98088693175987,112.02411831706081,,114.67836622960425,115.75093092450174,,118.3581621887534,117.01400753774878,,66.78094806816819,66.3735739346847,,164.15837432372373,158.66816256696697,,231.769,0.03948375226880785,0,112.41215454589671,,0.38803622883590094,
3,7,az2d,az4d,2,4,11,all-legs,3,0,116.17864350966892,113.75354486562708,,119.43101500262942,116.32329963931507,,121.79263216842446,118.85002416744739,,77.86550282682683,69.22257469314323,,159.7595279441942,159.61929729444438,,229.1135,0.43525717441141865,0,113.7344742237273,,-0.019070641899773477,
4,0,az4a,az2a,4,2,0,all-legs,3,1,203.07846780227428,203.8355585416254,203.8355585416254,207.2186651794642,208.44405630755304,208.44405630755304,236.02133767507084,235.32881324488187,235.32881324488187,151.62722065265262,157.78435498133132,157.78435498133132,256.69092130710715,252.50253340110106,252.50253340110106,406.12475,0.2626687595852957,0,203.8355585416254,203.8355585416254,0.0,0.0
4,1,az4a,az2b,4,2,14,all-legs,3,1,164.99235057339013,168.56837318637713,168.56837318637713,168.07863455087403,171.49290745902897,171.49290745902897,177.70154985560845,174.81983282985524,174.81983282985524,125.22440950630624,126.68078379229223,126.68078379229223,215.7657900284786,207.4979057351851,207.4979057351851,476.36924999999997,0.9937875485684344,0,193.7345076992504,193.7345076992504,25.16613451287327,25.16613451287327
4,2,az4a,az2c,4,2,11,all-legs,3,1,142.8458456736297,142.6639887321242,142.6639887321242,145.76955677239872,145.6472324837603,145.6472324837603,149.9237434486228,148.41454116153855,148.41454116153855,101.94219706096071,102.22452611991997,102.22452611991997,190.79547372317325,183.08711576331336,183.08711576331336,289.54224999999997,0.8352689204544106,0,166.9167642031103,166.9167642031103,24.25277547098608,24.25277547098608
4,3,az4a,az2d,4,2,7,all-legs,3,1,140.1176675351208,141.13208787518934,141.13208787518934,143.93788823978767,143.60525610918359,143.60525610918359,157.97238938234904,148.26412286645848,148.26412286645848,101.73153238923923,86.71621096391394,86.71621096391394,184.82816472862862,195.73537316651652,195.73537316651652,280.50075000000004,0.11092236772367414,0,145.59388219136474,145.59388219136474,4.4617943161754,4.4617943161754
5,0,az4b,az2a,4,2,5,all-legs,3,1,166.72471991869293,166.43656848633813,166.43656848633813,169.07495615946382,167.9062878214882,167.9062878214882,187.1633014378438,170.22472092526084,170.22472092526084,123.41559094929931,124.64907405020017,124.64907405020017,222.4826884646647,209.80791448373384,209.80791448373384,335.25300000000004,0.9059586765815766,0,167.4205786883044,167.4205786883044,0.9840102019662709,0.9840102019662709
5,1,az4b,az2b,4,2,2,all-legs,3,1,137.28544628377705,138.56918602692275,138.56918602692275,139.45443868864942,140.59723263830486,140.59723263830486,140.09611773414093,144.4309452269916,144.4309452269916,91.71611628943936,98.2042762211211,98.2042762211211,195.3925759842843,179.6062731883885,179.6062731883885,280.97675,1.1442813715414673,0,148.45023634550586,148.45023634550586,9.881050318583107,9.881050318583107
5,2,az4b,az2c,4,2,0,all-legs,3,1,136.17932633043608,136.16374326238503,136.16374326238503,139.615648151984,139.22491809002076,139.22491809002076,143.14362652098853,143.28512610950517,143.28512610950517,95.94955540020024,89.14536082247261,89.14536082247261,190.14757881256241,185.49320277302306,185.49320277302306,278.381,0.31914377232766356,0,136.16374326238503,136.16374326238503,0.0,0.0
5,3,az4b,az2d,4,2,0,all-legs,3,1,147.9470569529934,147.37222550899043,147.37222550899043,151.57616582941444,151.02892924462336,151.02892924462336,157.61519147394847,155.57021034545886,155.57021034545886,103.10413061571569,107.19348119559561,107.19348119559561,199.73574063088085,188.32957151341338,188.32957151341338,326.964,0.018835506168215943,0,147.37222550899043,147.37222550899043,0.0,0.0
6,0,az4c,az2a,4,2,14,all-legs,3,1,99.7397750589176,100.2175470273067,100.2175470273067,101.79027482557699,102.31788049896704,102.31788049896704,103.18953246717642,103.36298441471796,103.36298441471796,59.57921613113115,44.27942711146144,44.27942711146144,138.91054690050055,156.10475010330327,156.10475010330327,197.98225,1.5115975318580865,0,101.06074233423743,101.06074233423743,0.8431953069307383,0.8431953069307383
6,1,az4c,az2b,4,2,14,all-legs,3,1,125.90237876509175,126.48333956822188,126.48333956822188,128.87866568000933,128.55387748130386,128.55387748130386,130.6851774214473,130.755024849645,130.755024849645,84.09978994364357,83.430519152052,83.430519152052,170.05237291961964,168.04837901686676,168.04837901686676,269.196,0.5770706092407067,0,131.93847625465668,131.93847625465668,5.455136686434798,5.455136686434798
6,2,az4c,az2c,4,2,14,all-legs,3,1,118.49554749002132,117.6860511474523,117.6860511474523,120.9548820797547,119.72793612035645,119.72793612035645,122.91014984910012,121.24714854018674,121.24714854018674,76.99903816051052,69.24154732902893,69.24154732902893,165.51747412757757,166.71319381976974,166.71319381976974,245.043,0.21651530408641406,0,122.38501136310211,122.38501136310211,4.698960215649805,4.698960215649805
6,3,az4c,az2d,4,2,5,all-legs,3,1,113.70991849008696,113.52223608488649,113.52223608488649,116.18848379246012,118.5732282105081,118.5732282105081,117.42064665267446,119.89767579667827,119.89767579667827,70.69279513253252,67.97002452447445,67.97002452447445,162.52493191041043,159.4732745774274,159.4732745774274,229.76675,0.7878565163272384,0,117.57455791750274,117.57455791750274,4.052321832616258,4.052321832616258
7,0,az4d,az2a,4,2,4,all-legs,3,1,121.8470197806889,122.89459325067594,122.89459325067594,130.67337058955823,125.93732847754056,125.93732847754056,167.49664663387074,144.2208472330098,144.2208472330098,71.94069276651649,82.87146412492491,82.87146412492491,175.73943994489485,162.33165132697684,162.33165132697684,243.267,3.0633294286340913,0,145.22901445706654,145.22901445706654,22.3344212063906,22.3344212063906
7,1,az4d,az2b,4,2,3,all-legs,3,1,105.82682015478754,105.91207029819559,105.91207029819559,108.46121219058719,108.44192733933654,108.44192733933654,113.88795048054811,113.26509949289257,113.26509949289257,63.15962038428427,49.42467255425419,49.42467255425419,156.7677931034533,161.62271836991988,161.62271836991988,209.88725,0.6376009120311039,0,112.21616189782549,112.21616189782549,6.304091599629899,6.304091599629899
7,2,az4d,az2c,4,2,6,all-legs,3,1,104.96664899721547,103.23697016524821,103.23697016524821,107.81342866054118,106.63321500566643,106.63321500566643,123.3770306929235,108.94179555502565,108.94179555502565,60.325850184634675,64.12594000695687,64.12594000695687,158.56784827432455,144.86065305205207,144.86065305205207,209.64600000000002,0.23725066281525642,0,109.5251175330177,109.5251175330177,6.288147367769497,6.288147367769497
7,3,az4d,az2d,4,2,4,all-legs,3,1,115.4709215923954,115.03744570203636,115.03744570203636,119.37178951358675,118.46126615502847,118.46126615502847,144.53842498940807,128.4467203000919,128.4467203000919,60.93976161466466,60.902663163613646,60.902663163613646,170.35847731721714,170.764337958008,170.764337958008,228.7925,1.9569781631748668,0,114.01031523033755,114.01031523033755,-1.0271304716988112,-1.0271304716988112
