src,dst,host_src,host_dst,az_src,az_dst,flows,p50_us_flow_span_median,p50_us_flow_span_max,p50_us_same_role_change_median,p50_us_same_role_change_max,p50_us_flow_correlation_0_2,p50_us_flow_correlation_1_3,rtt_p50_us_flow_span_median,rtt_p50_us_flow_span_max,rtt_p50_us_same_role_change_median,rtt_p50_us_same_role_change_max,rtt_p50_us_flow_correlation_0_2,rtt_p50_us_flow_correlation_1_3
4,0,az4a,az2a,4,2,16,30.03871948026206,31.105611630934163,0.72290099483115,2.7614852914768733,0.9929677800087316,0.9974480332880824,48.044375,48.56574999999998,0.7789999999999964,3.1954999999999814,0.9972979114540358,0.9966167083468178
4,1,az4a,az2b,4,2,16,38.5007725129895,40.188599995002534,0.6729581751782803,3.5760226129870034,0.9962503628010829,0.9938378070434158,164.362,166.24525000000006,0.9472500000000252,4.546500000000037,0.9996927064757197,0.999598765572992
4,2,az4a,az2c,4,2,16,222.97895973035804,223.64256517191197,0.7626685204640324,2.0923341765815735,0.9999383101267746,0.9998570940802293,220.6105,221.71925,0.9734999999999729,3.7557500000000346,0.9998278637866201,0.9996608969553341
4,3,az4a,az2d,4,2,16,5.458535898610762,5.847942863509161,0.8456716725021778,2.0407685476268966,0.8414425548064169,0.9296212795511284,8.141749999999973,8.334499999999935,0.8446250000000362,2.8637500000000387,0.8412527295624033,0.882415447394968
5,0,az4b,az2a,4,2,16,11.664114570817773,11.935429994782425,0.6604995983820601,1.9161862752918069,0.9894867606882869,0.9881197951360102,21.823624999999993,22.49074999999999,0.5440000000000111,5.125,0.9741924885665887,0.9933507450093515
5,1,az4b,az2b,4,2,16,19.068181882222035,20.481735760010878,0.539558207295272,2.614705152250451,0.9922595086542135,0.9806401528190551,29.199375000000003,30.053499999999985,1.0267500000000211,3.308750000000032,0.992018624575568,0.9901262140978935
5,2,az4b,az2c,4,2,16,17.39194234268892,17.876855770177855,0.4232254279085197,1.6858916380583366,0.9962559900280094,0.9927844432410404,20.967624999999998,22.83725000000004,0.6703749999999786,3.8279999999999745,0.9894770141227912,0.991634528044262
5,3,az4b,az2d,4,2,16,62.35870985410604,63.0834669379243,0.39753590801598193,1.5834576536253735,0.9994095437193958,0.9997010026505908,108.63799999999998,110.26999999999998,0.4418749999999534,2.3877499999999827,0.9994848379718011,0.9997061172266348
6,0,az4c,az2a,4,2,16,3.1034730395005994,4.169149901591837,0.5618127745683168,2.036515686203842,0.7794122167644596,0.3325386833279316,3.6776250000000203,4.2479999999999905,0.5582499999999868,1.8010000000000161,0.8365258594948376,0.6215394135342218
6,1,az4c,az2b,4,2,16,39.30612131999112,40.20414278291028,0.5904643091007173,3.246828596574005,0.9977769035043259,0.9967832708305482,77.62350000000002,77.85874999999999,0.9514999999999816,3.518250000000023,0.9989489267406757,0.9989127902281528
6,2,az4c,az2c,4,2,16,36.58013464739547,36.825363640188584,0.6638934215307799,2.0364479241447953,0.9985088895305582,0.9965121815509185,59.059,59.58149999999998,0.6870000000000118,2.205249999999978,0.9989843071888967,0.9979267534019011
6,3,az4c,az2d,4,2,16,7.370307332554809,8.626612021553072,0.33599913611465837,2.169836471082533,0.962464075938322,0.9858209399353718,10.611250000000013,11.300999999999988,0.4420000000000073,2.180999999999983,0.9692440321145215,0.9738670515574631
7,0,az4d,az2a,4,2,16,26.230946670143283,26.961768262614854,1.7245901288280976,3.7409588860357417,0.9977601812214824,0.9959944416942292,49.880750000000006,50.62875,0.501499999999993,2.6467499999999973,0.9989843211161002,0.9985964409264397
7,1,az4d,az2b,4,2,16,10.27533268840262,11.556002816238589,0.8629023736763912,2.715503604629447,0.9618755172352466,0.9706279701549619,15.78349999999999,17.18599999999998,1.06712499999999,3.307249999999982,0.9676024462531181,0.9805064975729905
7,2,az4d,az2c,4,2,16,9.174125572773647,9.704367265359494,1.0633123830160471,2.279275269640195,0.985353002982964,0.9851387524851378,15.060124999999985,16.73925,0.8676250000000039,2.591000000000008,0.9755346700951486,0.9772753155708553
7,3,az4d,az2d,4,2,16,4.705808497056715,5.157579163310913,0.9076660260594522,2.777210051394718,0.8226083322599841,0.8347824522781233,6.530500000000018,7.603499999999997,0.47912500000001046,2.562749999999994,0.8946743472607459,0.8584860859256634
