src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us
4,0,az4a,az2a,4,2,5,all-legs,3,1,218.4690996115164,218.6963805385284,218.6963805385284,223.09574036155885,223.11286596174313,223.11286596174313,234.04849436425414,233.2218545926507,233.2218545926507,177.96923146026026,164.11904594559553,164.11904594559553,266.9192524147147,272.8756110117117,272.8756110117117,435.39575,0.1977148982947199
4,0,az4a,az2a,4,2,6,all-legs,3,1,232.2202478611817,233.0650009637513,233.0650009637513,235.33267945108418,236.1599795549093,236.1599795549093,243.57792361147386,241.00417157410138,241.00417157410138,191.11536657032025,192.81007095490492,192.81007095490492,279.7186087088588,273.91818628198195,273.91818628198195,451.3975,0.14151290755972923
4,0,az4a,az2a,4,2,7,all-legs,3,1,217.57563016064032,216.65316081755884,216.65316081755884,222.7289482958055,219.81183146611392,219.81183146611392,264.895623896129,223.09355818401121,223.09355818401121,171.7602262109109,161.58253475035036,161.58253475035036,265.8503095748748,272.13769515115115,272.13769515115115,435.651,0.7218723387624664
4,0,az4a,az2a,4,2,8,all-legs,3,1,231.39881664405306,232.69505109000747,232.69505109000747,235.23934246998093,236.25516718749265,236.25516718749265,240.962652071454,243.8701194047115,243.8701194047115,191.26966753773775,178.88275070400402,178.88275070400402,286.48120589284287,288.0202292122623,288.0202292122623,451.86725,0.8214820799297513
4,0,az4a,az2a,4,2,9,all-legs,3,1,218.11839976335403,218.41401520344613,218.41401520344613,222.16252868667928,222.5286166587037,222.5286166587037,227.84206746735197,227.10991061588726,227.10991061588726,169.8222061390891,169.8010190898898,169.8010190898898,273.62893609614616,265.8359123097098,265.8359123097098,435.8535,1.7594799805182788
4,0,az4a,az2a,4,2,10,all-legs,3,1,205.8032859308999,205.5816684357242,205.5816684357242,209.30935072210502,208.8687258792793,208.8687258792793,223.2818369167495,219.40610732438398,219.40610732438398,155.61482696281283,165.0549793086587,165.0549793086587,258.096260427027,245.67074393268265,245.67074393268265,436.81399999999996,0.005085074558962788
4,0,az4a,az2a,4,2,11,all-legs,3,1,204.47814353424445,204.94234487760787,204.94234487760787,209.778704661925,208.47281777311068,208.47281777311068,219.7118193402842,212.1123781472605,212.1123781472605,163.2269836093093,163.24335543903908,163.24335543903908,251.53644686101097,247.16563271146146,247.16563271146146,408.30725,0.7239296508998336
4,0,az4a,az2a,4,2,12,all-legs,3,1,203.9324420852384,205.19364567215524,205.19364567215524,208.78671926204908,208.5763080913759,208.5763080913759,225.47443781546517,216.17607135683429,216.17607135683429,164.7253525643643,165.42522606466468,165.42522606466468,259.18691855935936,245.33875233293287,245.33875233293287,411.90274999999997,1.8151977940783581
4,0,az4a,az2a,4,2,13,all-legs,3,1,217.59483113184405,217.6358124586602,217.6358124586602,221.99627562544526,220.4721036751882,220.4721036751882,227.89494840825017,227.1045641751396,227.1045641751396,174.18264570630635,177.49351278168172,177.49351278168172,272.2801897503003,258.69669397742734,258.69669397742734,434.75800000000004,0.15559528907610343
4,0,az4a,az2a,4,2,14,all-legs,3,1,233.91560158441564,232.9982202370171,232.9982202370171,240.11337443989945,236.92730638298113,236.92730638298113,253.1094763487221,241.10342458864983,241.10342458864983,192.81436341836837,183.47666705590598,183.47666705590598,281.6942431213213,282.5020331378879,282.5020331378879,454.0575,2.127975212136704
