input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
neon,point/2/write/body,1,3,"[32651.47045101071,32760.95256609625,32803.17262830498]",32760.95256609625,"[32650.63841368244,32764.441679632786,32806.2768273804]",32764.441679632786,"[3.9857752015393935,3.9991397175410457,4.004293533728635]",3.9991397175410457,8192.0
neon,point/2/write/control,1,3,"[26325.741065830694,26302.21504702184,26308.72225705312]",26308.72225705312,"[26330.216300945955,26301.547335428822,26310.568652034577]",26310.568652034577,"[3.2135914387000355,3.2107196102321582,3.2115139473941796]",3.2115139473941796,8192.0
neon,point/2/write/control_effects,1,3,"[30424.347857661633,30485.359477124184,30418.58169934634]",30424.347857661633,"[30423.519244731884,30488.965141613833,30421.69135802263]",30423.519244731884,"[3.71390965059346,3.7213573580473853,3.713205773845989]",3.71390965059346,8192.0
neon,point/2/write/ordinary,1,3,"[45572.99567567581,45565.98702702674,45573.77837837846]",45572.99567567581,"[45578.55351351549,45564.779459454796,45578.94378377581]",45578.55351351549,"[5.563109823690895,5.5622542757601,5.563205368454402]",5.563109823690895,8192.0
neon,point/4/read/body,1,3,"[29122.689535689624,29099.663894663983,29108.24393624395]",29108.24393624395,"[29126.295911302175,29102.313929310465,29107.471933469315]",29107.471933469315,"[3.555015812462112,3.552205065266599,3.5532524336235287]",3.5532524336235287,8192.0
neon,point/4/read/control,1,3,"[21701.843056272584,21658.90965410427,21649.01858544142]",21658.90965410427,"[21704.512648424003,21661.43830666179,21654.559112024806]",21661.43830666179,"[2.649150763705149,2.643909869885775,2.6427024640431425]",2.643909869885775,8192.0
neon,point/4/read/ordinary,1,3,"[30322.845375722474,30299.023843930532,30319.379335260128]",30319.379335260128,"[30326.696531791375,30302.490606932763,30322.48988438845]",30322.48988438845,"[3.7015192109036223,3.6986113090735513,3.7010961102612456]",3.7010961102612456,8192.0
neon,point/4/write/body,1,3,"[39869.937500000226,39866.84564393949,39846.21590909106]",39866.84564393949,"[39874.808712111095,39871.82196970214,39850.364583329385]",39871.82196970214,"[4.866935729980496,4.866558306144957,4.864040027965217]",4.866558306144957,8192.0
neon,point/4/write/control,1,3,"[38411.11517367491,38412.281535649214,38380.39670932338]",38411.11517367491,"[38415.7897623281,38416.41681900728,38384.1462522855]",38415.7897623281,"[4.688856832723989,4.688999210894679,4.685107020181077]",4.688856832723989,8192.0
neon,point/4/write/control_effects,1,3,"[41841.446871896966,41828.867924528524,41848.60873882831]",41841.446871896966,"[41848.43197616643,41854.39523336904,41853.752730879125]",41853.752730879125,"[5.10759849510461,5.106062979068423,5.108472746439003]",5.10759849510461,8192.0
neon,point/4/write/ordinary,1,3,"[50665.9601449278,50632.42753623213,50627.23429951707]",50632.42753623213,"[50674.885265692086,50640.15217391847,50650.48671498251]",50650.48671498251,"[6.184809588003882,6.180716251981461,6.180082311952767]",6.180716251981461,8192.0
neon,scan/packet4/16/1024,1,3,"[921.5808554060925,922.3783712611602,921.5547411617431]",921.5808554060925,"[921.6933222148523,923.6454607298177,921.7253395948535]",921.7253395948535,"[0.8999813041075123,0.9007601281847268,0.8999558019157646]",0.8999813041075123,1024.0
neon,scan/packet4/16/1048576,1,3,"[1085875.743589745,1085356.8461538425,1089074.5897435877]",1085875.743589745,"[1085816.7179489369,1086310.92307704,1090235.307692375]",1086310.92307704,"[1.0355718074700784,1.0350769483126092,1.0386224648891331]",1.0355718074700784,1048576.0
neon,scan/packet4/16/65536,1,3,"[59646.01849217639,59804.25320056991,59810.56899004186]",59804.25320056991,"[59673.34708392318,59802.37695590309,59825.29018491726]",59802.37695590309,"[0.9101260145900937,0.9125404846278369,0.9126368559271524]",0.9125404846278369,65536.0
neon,scan/packet4/64/1024,1,3,"[922.6412396494669,922.1080410287784,923.8550813767048]",922.6412396494669,"[924.3586944586332,922.458081662058,923.9638252540233]",923.9638252540233,"[0.9010168355951825,0.9004961338171665,0.9022022279069384]",0.9010168355951825,1024.0
neon,scan/packet4/64/1048576,1,3,"[2059445.6500000027,2033825.449999993,2024409.1499999953]",2033825.449999993,"[2061586.749999833,2040181.2999999437,2024724.349999474]",2040181.2999999437,"[1.9640404224395775,1.939607095718377,1.9306270122528029]",1.939607095718377,1048576.0
neon,scan/packet4/64/65536,1,3,"[92394.74889867954,92797.28634361285,92317.23568281991]",92394.74889867954,"[92486.20484583954,94207.0792951508,92383.70484581788]",92486.20484583954,"[1.409831983927605,1.4159742178896004,1.4086492261172474]",1.409831983927605,65536.0
neon,wide/64/read/body,1,3,"[8969.270235546073,8965.822483940045,8962.911134903628]",8965.822483940045,"[8969.038972162565,8966.838329764016,8963.795931477918]",8966.838329764016,"[8.759052964400462,8.7556860194727,8.752842905179325]",8.7556860194727,1024.0
neon,wide/64/read/control,1,3,"[8905.564146134253,8921.295029736622,8914.910790144433]",8914.910790144433,"[8906.647408666346,8922.262744263186,8914.679056925866]",8914.679056925866,"[8.696839986459231,8.71220217747717,8.705967568500423]",8.705967568500423,1024.0
neon,wide/64/read/ordinary,1,3,"[8966.020464719659,8971.41185248347,8971.395438072865]",8971.395438072865,"[8967.131315283756,8971.18610104674,8973.544233640787]",8971.18610104674,"[8.755879360077792,8.761144387190889,8.761128357493032]",8.761128357493032,1024.0
neon,wide/64/write/body,1,3,"[10124.226714801396,10127.586281588374,10127.063778580005]",10127.063778580005,"[10131.71119133708,10128.806979544033,10126.802406741059]",10128.806979544033,"[9.886940151173237,9.890220978113646,9.889710721269536]",9.889710721269536,1024.0
neon,wide/64/write/control,1,3,"[10257.878233284548,10249.959492435342,10265.647877013225]",10257.878233284548,"[10259.62713518795,10255.217423133408,10267.546608103155]",10259.62713518795,"[10.017459212191941,10.009726066831389,10.025046754895726]",10.017459212191941,1024.0
neon,wide/64/write/ordinary,1,3,"[13231.557340894735,13217.076559546222,13234.04883427853]",13231.557340894735,"[13234.109325773421,13218.873660992384,13235.436672963924]",13234.109325773421,"[12.921442715717514,12.907301327681859,12.923875814725127]",12.921442715717514,1024.0
