scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/full,affected,ns/query,5.789216446322852,6.233807840911153,1.0767964712859703,5.783746639192339,5.792955802626815,6.228150700867919,6.23801399159741,False,True,True,"[5.7908429015338445, 6.230100672615058, 6.236660991293156, 5.788690187163274]"
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/last-lane,affected,ns/query,4.9046998701975415,9.716302470397519,1.9810187631330407,4.895793579814345,4.936421739540167,9.68928770017784,9.766878912523085,False,True,True,"[4.931406191104576, 9.704456275949104, 9.724435704514383, 4.8971297181435895]"
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/short,affected,ns/query,4.850071269157826,6.5208741003050195,1.3444903669296626,4.846591328481507,4.859842356252074,6.5188311551224025,6.522680600003785,False,True,True,"[4.853513862590605, 6.521732435224807, 6.5200157653852315, 4.849309827979357]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/complete-suffix,affected,ns/query,20.14409530386734,22.940899399439914,1.138839895928989,20.09793232361983,20.208999712423275,20.254785367170832,25.63085815162066,False,True,True,"[20.149663328729453, 20.25821794970678, 25.628955185170717, 20.109238880368117]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/crossing,affected,ns/query,11.039335586540062,8.768279361933898,0.7942760044929519,10.98595468194892,11.100686027292873,8.762695573571056,8.774698038966578,True,False,True,"[11.044376165451808, 8.767493015826277, 8.773853918723672, 11.019774044154873]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/eight,affected,ns/query,5.666177163681388,6.408352735246513,1.1309834744176839,5.663859222777873,5.689897431890785,6.391819897784818,6.4156109728728,False,True,True,"[5.666312649911148, 6.406295207514787, 6.410410262978241, 5.663972379084361]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/full,affected,ns/query,6.7528911678247585,6.242265806912175,0.9243841862363279,6.741416215046628,6.767475777487367,6.233369433636497,6.258612230479346,True,False,True,"[6.764343445128151, 6.247033310655176, 6.236853464677739, 6.742625221517073]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/last-lane,affected,ns/query,4.3908451180358306,8.701578249336965,1.9817547682550614,4.386186279100921,4.420895865133868,8.69780137031644,8.715056366047833,False,True,True,"[4.388444106234911, 8.703667108753416, 8.69811581490792, 4.395536293209379]"
boundary,boundary/series/avx512/striped/k5/h0/u64/dense/short,affected,ns/query,5.578558528761652,6.742928021266479,1.2087222866806235,5.554932608991719,5.588542467948749,6.726192130344419,6.756212496654919,False,True,True,"[5.579966079059794, 6.741971839683788, 6.743884202849171, 5.564131843368545]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/complete-suffix,affected,ns/query,11.883528702091871,13.828126224915177,1.1636380549559322,8.484717197571676,15.286283930399858,13.566248972343015,13.844477265061922,False,False,False,"[8.485473591731576, 13.82689839896307, 13.829354050867282, 15.285207334667605]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/crossing,affected,ns/query,9.582072673498807,8.874924622877884,0.9262009301414833,9.561970114261623,9.907573764364464,8.873351417198318,8.879921136554419,True,False,True,"[9.572503822126729, 8.87944929312354, 8.873522484591355, 9.614243154901496]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/eight,affected,ns/query,5.4608548859636175,6.325604843575002,1.158354319180703,5.451669294986809,5.468853651015921,6.314651797315882,6.335628866629235,False,True,True,"[5.452238071789445, 6.324713820956944, 6.32616667149307, 5.464820897294892]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/full,affected,ns/query,5.908436745248182,6.12438058019918,1.0365483873758434,5.902792382336981,5.9134084119213055,6.121888473850344,6.1300559018963225,False,True,True,"[5.909554481110819, 6.124511700518911, 6.124249459879447, 5.907319009385546]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/last-lane,affected,ns/query,4.337840591577011,8.785848341158612,2.025396774196476,4.335401700666757,4.340812020566062,8.77410763303062,8.795535989261255,False,True,True,"[4.335799622625236, 8.786592423593598, 8.785104258723624, 4.3402716241237735]"
boundary,boundary/series/avx512/striped/k6/h0/u64/dense/short,affected,ns/query,6.655138062117851,6.740361085961402,1.0128055981781436,6.638880200886533,6.855487280297156,6.714002918489755,6.780746217918261,False,False,True,"[6.660229814330641, 6.744736624407892, 6.735985547514911, 6.650046309905061]"
bulk,bulk/series/avx2/local/k7/h0/u64/decode,control,ns/value,0.06448910348646392,0.06449171274380204,1.0000404604374546,0.06440183090719549,0.0646528141169673,0.06444867279356055,0.0646342651203922,False,False,False,"[0.06454365126692159, 0.06450313986617631, 0.06448028562142777, 0.06443600550453578]"
bulk,bulk/series/avx2/local/k7/h0/u64/encode,control,ns/value,0.05129490756335034,0.05090039619572486,0.9923089564565791,0.051164346958790324,0.05143149657127545,0.05056685248090127,0.051155602373979335,True,False,True,"[0.05124314994623125, 0.05112251940165074, 0.0505825346400829, 0.05138307257911698]"
bulk,bulk/series/avx2/striped/k22/h16/u64/decode,control,ns/value,0.13802649721742283,0.13798344741495278,0.9996881047962679,0.13771124101052826,0.1383357110255412,0.13760833218306429,0.13847066460275673,False,False,False,"[0.1379029051665228, 0.1381853280392321, 0.13788437041295196, 0.13826860723842072]"
bulk,bulk/series/avx2/striped/k22/h16/u64/encode,control,ns/value,0.1329955280069496,0.13279115641595113,0.9984633198269057,0.1328463429025617,0.1330580520985911,0.1323937246187568,0.13316518857842846,False,False,False,"[0.1329714516146657, 0.1324425880515274, 0.1331391620143815, 0.13302365455045864]"
bulk,bulk/series/avx2/striped/k5/h0/u64/decode,control,ns/value,0.06709482986189322,0.06719694959874004,1.0015220209523896,0.06703766050876088,0.06718274469094342,0.06713519356867496,0.06729225395182345,False,False,True,"[0.06708762891346642, 0.06716319281462169, 0.06727003947605575, 0.06710203081032]"
bulk,bulk/series/avx2/striped/k5/h0/u64/encode,control,ns/value,0.060650223825552366,0.060636637415865446,0.9997759874765508,0.0605995279620167,0.06069327026307874,0.060556790487363066,0.06070838256442364,False,False,False,"[0.06065797268388627, 0.06062179748882141, 0.06069201512457171, 0.060646031282481916]"
bulk,bulk/series/avx512/local/k7/h0/u64/decode,control,ns/value,0.05811860863563666,0.05808692748753228,0.9994548880496608,0.057904397794337814,0.05822332532959577,0.0577440831179354,0.05826620939472612,False,False,False,"[0.05820475987274009, 0.05788337663108541, 0.058245901002887006, 0.05801171434251121]"
bulk,bulk/series/avx512/local/k7/h0/u64/encode,control,ns/value,0.04518490280719124,0.04551183326413959,1.0072353913948513,0.04470398840110217,0.0457115425675627,0.045397837487398986,0.04567859876318783,False,False,False,"[0.04568506154468244, 0.04550026878250622, 0.045523397745772944, 0.0447554098437856]"
bulk,bulk/series/avx512/striped/k22/h16/u64/decode,control,ns/value,0.07115632659706925,0.07125324056562093,1.0013619866733772,0.07100595740308063,0.07129221735831083,0.07122160259046027,0.07138474761129307,False,False,False,"[0.07105478552808074, 0.07125001002213749, 0.07125647110910437, 0.07126273586818657]"
bulk,bulk/series/avx512/striped/k22/h16/u64/encode,control,ns/value,0.13383458587024666,0.1340665148460516,1.0017329524673824,0.1336126127855901,0.13395553946288957,0.13342843905318838,0.1341854234489877,False,False,True,"[0.13370490125622575, 0.1339315991015897, 0.13413405959154578, 0.13390215808900627]"
