case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
bulk/series/avx2/local/k23/h0/u64/encode,calico,bulk/calico/local/k23/h0/u64/encode,0.19738800500831669,0.28761625970791627,0.6862894511206379,0.19763857010140087,0.2873961426438203,0.6876869267738955,False,True
bulk/series/avx2/local/k23/h0/u64/decode,calico,bulk/calico/local/k23/h0/u64/decode,0.1646585463187239,0.3178416038683328,0.5180522131612901,0.1643670950341118,0.3192008651548435,0.5149331125853237,False,True
bulk/series/avx512/local/k23/h0/u64/encode,calico,bulk/calico/local/k23/h0/u64/encode,0.1647306789004111,0.28761625970791627,0.5727446670355163,0.16450580383156954,0.2873961426438203,0.5724008760808148,False,True
bulk/series/avx512/local/k23/h0/u64/decode,calico,bulk/calico/local/k23/h0/u64/decode,0.15498810146406117,0.3178416038683328,0.4876268543128344,0.15419957407325224,0.3192008651548435,0.4830800630770547,False,True
bulk/series/avx2/local/k56/h0/u64/encode,predecessor,bulk/predecessor/local/k56/h0/u64/encode,0.19332691415497705,0.18307038883860888,1.05602503704414,0.19625008400643024,0.18541843179345596,1.0584173434550457,True,False
bulk/series/avx2/local/k56/h0/u64/encode,calico,bulk/calico/local/k56/h0/u64/encode,0.19332691415497705,0.29831406122248927,0.6480650404567739,0.19625008400643024,0.29670514378051893,0.6614313506866666,False,True
bulk/series/avx2/local/k56/h0/u64/decode,predecessor,bulk/predecessor/local/k56/h0/u64/decode,0.16377731552578767,0.16562923119733536,0.9888189080021674,0.1621908173851187,0.16711360468933975,0.9705422708499862,False,True
bulk/series/avx2/local/k56/h0/u64/decode,calico,bulk/calico/local/k56/h0/u64/decode,0.16377731552578767,0.35919068248727204,0.4559620377446487,0.1621908173851187,0.35848773486083696,0.45243058998400687,False,True
bulk/series/avx512/local/k56/h0/u64/encode,predecessor,bulk/predecessor/local/k56/h0/u64/encode,0.16734760575993207,0.18307038883860888,0.9141161867933886,0.16677211747030987,0.18541843179345596,0.8994365654870986,False,True
bulk/series/avx512/local/k56/h0/u64/encode,calico,bulk/calico/local/k56/h0/u64/encode,0.16734760575993207,0.29831406122248927,0.5609779340408647,0.16677211747030987,0.29670514378051893,0.5620803041880388,False,True
bulk/series/avx512/local/k56/h0/u64/decode,predecessor,bulk/predecessor/local/k56/h0/u64/decode,0.16796172955737604,0.16562923119733536,1.0140826491989308,0.1673396018338476,0.16711360468933975,1.0013523563502085,False,False
bulk/series/avx512/local/k56/h0/u64/decode,calico,bulk/calico/local/k56/h0/u64/decode,0.16796172955737604,0.35919068248727204,0.4676115994833128,0.1673396018338476,0.35848773486083696,0.4667931021372543,False,True
bulk/series/avx2/local/k64/h0/u64/encode,calico,bulk/calico/local/k64/h0/u64/encode,0.16072997094646035,0.29709510316035864,0.5410051166669869,0.16367485325113226,0.29671219117366143,0.5516283392458778,False,True
bulk/series/avx2/local/k64/h0/u64/decode,calico,bulk/calico/local/k64/h0/u64/decode,0.16260978031897522,0.37030049484180677,0.4391292547109409,0.15991389956840582,0.36934008091516046,0.4329719622418639,False,True
bulk/series/avx512/local/k64/h0/u64/encode,calico,bulk/calico/local/k64/h0/u64/encode,0.15542070255723545,0.29709510316035864,0.5231345145172127,0.15577843343825987,0.29671219117366143,0.5250152776738619,False,True
bulk/series/avx512/local/k64/h0/u64/decode,calico,bulk/calico/local/k64/h0/u64/decode,0.156059652789439,0.37030049484180677,0.42144057316506706,0.15610179783297234,0.36934008091516046,0.4226505757137954,False,True
