case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct
batch256,1,read_flush_span,2048,55653632,32768,12014852780205081442,15575,32,8,0,0,0,2192050223754408051,1
batch256,4,eager_atomic,2048,55653632,32768,12014852780205081442,0,0,0,0,0,0,2192050223754408051,1
batch256,4,eager_striped,2048,55653632,32768,12014852780205081442,0,0,0,0,0,0,2192050223754408051,1
batch256,4,scatter_record,2048,55653632,32768,12014852780205081442,65536,2048,13,0,19,3328,2192050223754408051,1
batch256,4,word_or_record,2048,55653632,32768,12014852780205081442,16384,2048,13,0,19,3328,2192050223754408051,1
batch256,4,word_check_record,2048,55653632,32768,12014852780205081442,15577,2048,13,0,19,3328,2192050223754408051,1
batch256,4,word_check_span,2048,55653632,32768,12014852780205081442,15578,32,13,0,19,3328,2192050223754408051,1
batch256,4,exact_top_span,2048,55653632,32768,12014852780205081442,15578,32,13,0,19,3328,2192050223754408051,1
batch256,4,read_flush_span,2048,55653632,32768,12014852780205081442,15578,32,8,0,0,0,2192050223754408051,1
batch4096,1,eager_plain,32768,55653632,32768,17260720505915708769,0,0,0,0,0,0,13415603422299201302,1
batch4096,1,eager_atomic,32768,55653632,32768,17260720505915708769,0,0,0,0,0,0,13415603422299201302,1
batch4096,1,eager_striped,32768,55653632,32768,17260720505915708769,0,0,0,0,0,0,13415603422299201302,1
batch4096,1,scatter_record,32768,55653632,32768,17260720505915708769,1048576,32768,19,2,15,77824,13415603422299201302,1
batch4096,1,word_or_record,32768,55653632,32768,17260720505915708769,262144,32768,17,0,15,69632,13415603422299201302,1
batch4096,1,word_check_record,32768,55653632,32768,17260720505915708769,221734,32768,17,0,15,69632,13415603422299201302,1
batch4096,1,word_check_span,32768,55653632,32768,17260720505915708769,221734,512,17,0,15,69632,13415603422299201302,1
batch4096,1,exact_top_span,32768,55653632,32768,17260720505915708769,221772,512,17,0,15,69632,13415603422299201302,1
batch4096,1,read_flush_span,32768,55653632,32768,17260720505915708769,221734,512,8,0,0,0,13415603422299201302,1
batch4096,4,eager_atomic,32768,55653632,32768,17260720505915708769,0,0,0,0,0,0,13415603422299201302,1
batch4096,4,eager_striped,32768,55653632,32768,17260720505915708769,0,0,0,0,0,0,13415603422299201302,1
batch4096,4,scatter_record,32768,55653632,32768,17260720505915708769,1048576,32768,19,2,15,77824,13415603422299201302,1
batch4096,4,word_or_record,32768,55653632,32768,17260720505915708769,262144,32768,17,0,15,69632,13415603422299201302,1
batch4096,4,word_check_record,32768,55653632,32768,17260720505915708769,221674,32768,17,0,15,69632,13415603422299201302,1
batch4096,4,word_check_span,32768,55653632,32768,17260720505915708769,221687,512,17,0,15,69632,13415603422299201302,1
batch4096,4,exact_top_span,32768,55653632,32768,17260720505915708769,221727,512,17,0,15,69632,13415603422299201302,1
batch4096,4,read_flush_span,32768,55653632,32768,17260720505915708769,221695,512,8,0,0,0,13415603422299201302,1
hot4096,1,eager_plain,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1
hot4096,1,eager_atomic,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1
hot4096,1,eager_striped,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1
hot4096,1,scatter_record,32768,55653632,32768,16039925066027512191,1048576,32768,11,0,21,45056,4531844573321199073,1
hot4096,1,word_or_record,32768,55653632,32768,16039925066027512191,262144,32768,11,0,21,45056,4531844573321199073,1
hot4096,1,word_check_record,32768,55653632,32768,16039925066027512191,4064,32768,11,0,21,45056,4531844573321199073,1
hot4096,1,word_check_span,32768,55653632,32768,16039925066027512191,4064,512,11,0,21,45056,4531844573321199073,1
hot4096,1,exact_top_span,32768,55653632,32768,16039925066027512191,4064,512,11,0,21,45056,4531844573321199073,1
hot4096,1,read_flush_span,32768,55653632,32768,16039925066027512191,4064,512,8,0,0,0,4531844573321199073,1
hot4096,4,eager_atomic,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1
hot4096,4,eager_striped,32768,55653632,32768,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1
hot4096,4,scatter_record,32768,55653632,32768,16039925066027512191,1048576,32768,11,0,21,45056,4531844573321199073,1
hot4096,4,word_or_record,32768,55653632,32768,16039925066027512191,262144,32768,11,0,21,45056,4531844573321199073,1
hot4096,4,word_check_record,32768,55653632,32768,16039925066027512191,4083,32768,11,0,21,45056,4531844573321199073,1
hot4096,4,word_check_span,32768,55653632,32768,16039925066027512191,4079,512,11,0,21,45056,4531844573321199073,1
hot4096,4,exact_top_span,32768,55653632,32768,16039925066027512191,4140,512,11,0,21,45056,4531844573321199073,1
hot4096,4,read_flush_span,32768,55653632,32768,16039925066027512191,4113,512,8,0,0,0,4531844573321199073,1
hot_roots,1,eager_plain,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1
hot_roots,1,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1
hot_roots,1,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1
hot_roots,1,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,512,0,0,524288,1013056908084022474,1
hot_roots,1,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,512,0,0,524288,1013056908084022474,1
hot_roots,1,word_check_record,8192,55653632,32768,13296192339615243068,4064,8192,512,0,0,524288,1013056908084022474,1
hot_roots,1,word_check_span,8192,55653632,32768,13296192339615243068,4064,128,512,0,0,524288,1013056908084022474,1
hot_roots,1,exact_top_span,8192,55653632,32768,13296192339615243068,4064,128,512,0,0,524288,1013056908084022474,1
hot_roots,1,read_flush_span,8192,55653632,32768,13296192339615243068,4064,128,8,0,0,0,1013056908084022474,1
hot_roots,4,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1
hot_roots,4,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1
hot_roots,4,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,512,0,0,524288,1013056908084022474,1
hot_roots,4,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,512,0,0,524288,1013056908084022474,1
hot_roots,4,word_check_record,8192,55653632,32768,13296192339615243068,4115,8192,512,0,0,524288,1013056908084022474,1
hot_roots,4,word_check_span,8192,55653632,32768,13296192339615243068,4082,128,512,0,0,524288,1013056908084022474,1
hot_roots,4,exact_top_span,8192,55653632,32768,13296192339615243068,4069,128,512,0,0,524288,1013056908084022474,1
hot_roots,4,read_flush_span,8192,55653632,32768,13296192339615243068,4115,128,8,0,0,0,1013056908084022474,1
