name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,drain_ns_per_update,flush_ns_per_update,read_ns_per_update,reset_ns_per_update,updates,write_ns_per_update
spread/t1/eager_plain/manual_time,2,1,78,704908.2051282051,2839855.7692307797,ns,0.0,0.0,0.49970734425080127,0.0,8192.0,85.54865753956328
spread/t1/eager_plain/manual_time,3,1,78,682486.871794872,2813935.8974358975,ns,0.0,0.0,0.44604022686298067,0.0,8192.0,82.86534549028443
spread/t1/eager_plain/manual_time,4,1,78,697416.3076923077,2812238.7692307713,ns,0.0,0.0,0.47944367237580127,0.0,8192.0,84.65438295022035
spread/t1/eager_atomic/manual_time,0,1,42,1302114.1666666667,3434850.19047618,ns,0.0,0.0,0.4174397786458334,0.0,8192.0,158.53204345703122
spread/t1/eager_atomic/manual_time,1,1,42,1291100.0714285718,3497485.095238083,ns,0.0,0.0,0.43511962890625,0.0,8192.0,157.16986955915178
spread/t1/eager_atomic/manual_time,2,1,42,1230545.9285714289,3358551.5952380924,ns,0.0,0.0,0.4060058593750001,0.0,8192.0,149.80712018694194
spread/t1/eager_atomic/manual_time,3,1,42,1273011.5238095238,3400391.8571428456,ns,0.0,0.0,0.4343145461309524,0.0,8192.0,154.9625999813988
spread/t1/eager_atomic/manual_time,4,1,42,1277799.1428571434,3414754.9523809454,ns,0.0,0.0,0.4157685779389881,0.0,8192.0,155.56557210286456
spread/t1/eager_striped/manual_time,0,1,45,1153809.7777777782,3261952.777777763,ns,0.0,0.0,0.43506673177083327,0.0,8192.0,140.41085340711805
spread/t1/eager_striped/manual_time,1,1,45,1173286.3555555556,3290930.533333341,ns,0.0,0.0,0.48863661024305555,0.0,8192.0,142.7347954644097
spread/t1/eager_striped/manual_time,2,1,45,1189296.5777777778,3312942.577777791,ns,0.0,0.0,0.4396809895833334,0.0,8192.0,144.73812391493053
spread/t1/eager_striped/manual_time,3,1,45,1176105.0444444444,3283232.37777778,ns,0.0,0.0,0.48411729600694453,0.0,8192.0,143.08339301215278
spread/t1/eager_striped/manual_time,4,1,45,1217738.7555555555,3345593.488888888,ns,0.0,0.0,0.4495090060763889,0.0,8192.0,148.2002414279514
spread/t1/scatter_record/manual_time,0,1,35,1600194.0571428575,3835341.657142851,ns,58.916350446428574,59.3474853515625,2.4296561104910714,0.4311349051339286,8192.0,133.55904715401792
