case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct,ns_per_update,spread_percent,write_ns,read_ns,flush_ns,drain_ns,reset_ns
hot,1,eager_plain,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,6.521588330908845,3.132989321802953,5.519641551719047,1.0019467791898031,0.0,0.0,0.0
hot,1,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,13.956467961690509,2.2963842687264844,12.932964278990964,1.0184921816170935,0.0,0.0,0.0
hot,1,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,12.493292160976079,3.5584451208840493,11.497301535631621,0.9959906253444685,0.0,0.0,0.0
hot,1,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,11,0,21,11264,12571949920618476691,1,47.987181726163314,2.0076349232621586,39.78425364250683,2.371819934705748,5.797819485629563,5.3099062286154215,0.4876316933736314
hot,1,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,11,0,21,11264,12571949920618476691,1,27.166269155649044,2.4047496982884105,19.048416446577697,2.375345454042258,5.733157262145746,5.250918245508604,0.4822390166371445
hot,1,word_check_record,8192,55653632,32768,13296192339615243068,4064,8192,11,0,21,11264,12571949920618476691,1,27.18417517727159,1.457413421246507,18.90629608276856,2.4710526677020597,5.835357053212853,5.26385914752761,0.5811375384349898
hot,1,word_check_span,8192,55653632,32768,13296192339615243068,4064,128,11,0,21,11264,12571949920618476691,1,27.34020704292206,48.069713785303904,18.784347959723625,2.482288618961653,6.073570464236803,5.352019655751995,0.7090475986678287
hot,1,exact_top_span,8192,55653632,32768,13296192339615243068,4064,128,11,0,21,11264,12571949920618476691,1,25.700458058637324,1.8022658627528132,17.17332259961662,2.571976558869657,5.915811418157526,5.3218966913046,0.5858004545190522
hot,1,read_flush_span,8192,55653632,32768,13296192339615243068,4064,128,8,0,0,0,12571949920618476691,1,26.178918457031273,6.27045656233226,18.983706899789656,1.0947706956129808,6.143787090594952,5.499227670522838,0.702472862830529
hot,4,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,152.76488406159157,7.614397491341513,151.75163233557413,1.0169507403706393,0.0,0.0,0.0
hot,4,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,126.94960811220362,12.56803881287886,125.88563064049032,1.063977471713362,0.0,0.0,0.0
hot,4,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,11,0,21,11264,12571949920618476691,1,424.61362457275396,8.379321899395219,414.393081665039,2.8744125366210938,7.514572143554688,6.605033874511719,0.8386459350585939
hot,4,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,11,0,21,11264,12571949920618476691,1,193.29765181107956,4.131432451061356,182.6621315696023,2.98541074810606,7.427072236032196,6.672285600142046,0.7985617897727274
hot,4,word_check_record,8192,55653632,32768,13296192339615243068,4097,8192,11,0,21,11264,12571949920618476691,1,128.13142664292286,4.156314269043428,98.09603582643994,2.75951909083946,27.751311657475487,6.541216681985294,21.20901309742647
