dataset,id,group,status,reason,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
uap,user_agent_parsers:285,user_agent_parsers,signature,branch-budget;character-class,4,18213,1919759,1,15320,15519,12763,1829248,1829248,0,15320,15320,0,0,0
uap,user_agent_parsers:286,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,0,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:287,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,18213,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:288,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,16024,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:289,user_agent_parsers,exact,,2,18213,1919759,0,0,18213,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:290,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:291,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:292,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:293,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:294,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:295,user_agent_parsers,fallback,character-class;branch-budget,8,18213,1919759,2,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:296,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,0,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:297,user_agent_parsers,exact,,7,18213,1919759,5,5,18213,5,0,0,0,0,0,0,0,0
uap,user_agent_parsers:298,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:299,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:300,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:301,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:302,user_agent_parsers,signature,character-class,8,18213,1919759,3,3,3,3,153,153,0,3,3,0,0,0
uap,user_agent_parsers:303,user_agent_parsers,signature,character-class,8,18213,1919759,0,0,15970,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:304,user_agent_parsers,signature,character-class,3,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:305,user_agent_parsers,signature,character-class,8,18213,1919759,0,0,18213,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:306,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:307,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:308,user_agent_parsers,signature,character-class,6,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:309,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:310,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:311,user_agent_parsers,signature,character-class,2,18213,1919759,25,25,25,25,1367,1367,0,25,25,0,0,0
uap,user_agent_parsers:312,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:313,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:314,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,0,0,8,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:315,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:316,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:317,user_agent_parsers,signature,character-class;repeat-budget,8,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:318,user_agent_parsers,signature,character-class;repeat-budget,8,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:319,user_agent_parsers,signature,character-class,8,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:320,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:321,user_agent_parsers,signature,character-class,7,18213,1919759,2,2,15970,2,332,50,2,2,2,0,0,0
uap,user_agent_parsers:322,user_agent_parsers,fallback,character-class;branch-budget,2,18213,1919759,8826,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:323,user_agent_parsers,signature,character-class,1,18213,1919759,13,13,13,13,1303,409,13,13,13,0,0,0
uap,user_agent_parsers:324,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:325,user_agent_parsers,exact,,1,18213,1919759,2,2,2,2,0,0,0,0,0,0,0,0
uap,user_agent_parsers:326,user_agent_parsers,exact,,1,18213,1919759,2,2,2,2,0,0,0,0,0,0,0,0
uap,user_agent_parsers:327,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:328,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:329,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,3,3,3,3,240,210,3,3,3,0,0,0
uap,user_agent_parsers:330,user_agent_parsers,exact,,1,18213,1919759,4,4,4,4,0,0,0,0,0,0,0,0
uap,user_agent_parsers:331,user_agent_parsers,signature,character-class,1,18213,1919759,4,4,4,4,200,116,4,4,4,0,0,0
uap,user_agent_parsers:332,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,132,66,3,3,3,0,0,0
uap,user_agent_parsers:333,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,38,38,0,1,1,0,0,0
uap,user_agent_parsers:334,user_agent_parsers,signature,character-class;branch-budget,2,18213,1919759,3,3,3,3,119,40,3,3,3,0,0,0
uap,user_agent_parsers:335,user_agent_parsers,signature,character-class,3,18213,1919759,1,1,1,1,19,19,0,1,1,0,0,0
uap,user_agent_parsers:336,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:337,user_agent_parsers,exact,,1,18213,1919759,52,52,52,52,0,0,0,0,0,0,0,0
uap,user_agent_parsers:338,user_agent_parsers,exact,,1,18213,1919759,33,33,33,33,0,0,0,0,0,0,0,0
uap,user_agent_parsers:339,user_agent_parsers,signature,character-class,4,18213,1919759,275,275,18213,275,24383,16635,275,275,275,0,0,0
uap,user_agent_parsers:340,user_agent_parsers,signature,character-class,2,18213,1919759,0,1,15970,0,168,21,1,1,1,0,0,0
uap,user_agent_parsers:341,user_agent_parsers,exact,,4,18213,1919759,5,5,18213,5,0,0,0,0,0,0,0,0
uap,user_agent_parsers:342,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:343,user_agent_parsers,signature,character-class,1,18213,1919759,4,4,4,4,128,128,0,4,4,0,0,0
uap,user_agent_parsers:344,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,6,3,251,133,3,3,3,0,0,0
uap,user_agent_parsers:345,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:346,user_agent_parsers,signature,character-class,8,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:347,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,2,1,165,62,1,1,1,0,0,0
uap,user_agent_parsers:348,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:349,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,2,1,202,92,1,1,1,0,0,0
uap,user_agent_parsers:350,user_agent_parsers,signature,character-class;unbounded-repeat,6,18213,1919759,2,2,7306,2,284,242,2,2,2,0,0,0
uap,user_agent_parsers:351,user_agent_parsers,signature,character-class;unbounded-repeat;branch-budget,1,18213,1919759,34,8968,8968,8968,1303429,1199599,8962,8968,8968,0,0,0
uap,user_agent_parsers:352,user_agent_parsers,signature,character-class;optional-repeat;branch-budget,2,18213,1919759,0,1,1,1,129,129,0,1,1,0,0,0
uap,user_agent_parsers:353,user_agent_parsers,signature,character-class;unbounded-repeat,6,18213,1919759,37,37,4678,37,5566,5566,0,37,37,0,0,0
uap,user_agent_parsers:354,user_agent_parsers,signature,character-class;optional-repeat,4,18213,1919759,63,63,8934,63,9553,8512,60,63,63,0,0,0
uap,user_agent_parsers:355,user_agent_parsers,exact,,4,18213,1919759,223,223,18213,223,0,0,0,0,0,0,0,0
uap,user_agent_parsers:356,user_agent_parsers,signature,character-class,1,18213,1919759,9,9,11,9,623,384,9,9,9,0,0,0
uap,user_agent_parsers:357,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,126,126,0,3,3,0,0,0
uap,user_agent_parsers:358,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:359,user_agent_parsers,signature,character-class,1,18213,1919759,63,64,64,63,2749,2749,0,64,64,0,0,0
uap,user_agent_parsers:360,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:361,user_agent_parsers,exact,,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:362,user_agent_parsers,signature,character-class,1,18213,1919759,4,4,4,4,159,159,0,4,4,0,0,0
uap,user_agent_parsers:363,user_agent_parsers,signature,character-class,2,18213,1919759,6,11,18213,6,825,825,0,11,11,0,0,0
uap,user_agent_parsers:364,user_agent_parsers,exact,,1,18213,1919759,267,267,667,267,0,0,0,0,0,0,0,0
uap,user_agent_parsers:365,user_agent_parsers,signature,character-class,1,18213,1919759,7,15,16,7,2418,656,15,15,15,0,0,0
uap,user_agent_parsers:366,user_agent_parsers,signature,character-class,1,18213,1919759,15,15,16,15,2418,656,15,15,15,0,0,0
uap,user_agent_parsers:367,user_agent_parsers,signature,character-class,1,18213,1919759,16,16,16,16,2569,672,16,16,16,0,0,0
uap,user_agent_parsers:368,user_agent_parsers,signature,character-class,1,18213,1919759,23,23,25,23,4010,563,23,23,23,0,0,0
uap,user_agent_parsers:369,user_agent_parsers,exact,,1,18213,1919759,45,45,45,45,0,0,0,0,0,0,0,0
uap,user_agent_parsers:370,user_agent_parsers,signature,character-class,1,18213,1919759,184,184,184,184,25053,19109,183,184,184,0,0,0
uap,user_agent_parsers:371,user_agent_parsers,signature,character-class,1,18213,1919759,88,88,105,88,11146,2179,88,88,88,0,0,0
uap,user_agent_parsers:372,user_agent_parsers,signature,character-class,3,18213,1919759,454,667,667,454,55997,41815,400,667,667,0,0,0
uap,user_agent_parsers:373,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,4,4,4,4,482,482,0,4,4,0,0,0
uap,user_agent_parsers:374,user_agent_parsers,signature,case-fold;character-class;unbounded-repeat,2,18213,1919759,36,36,4678,36,4450,4450,0,36,36,0,0,0
uap,user_agent_parsers:375,user_agent_parsers,signature,case-fold;character-class,2,18213,1919759,109,112,116,109,9984,8662,52,112,112,0,0,0
uap,user_agent_parsers:376,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:377,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:378,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,121,7,1,1,1,0,0,0
