case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
absent,joint64_planar,q1,1048576,1048576,41,13,0,3987,3987,0,227456,524288,16384,12830,0,14216,0,0,0,6291456,67108864,14669432675671876423,1,0.310362803141276,0.30626784006754554,0.3171308008829753,0.0038022994995117188,6.0
absent,joint64_planar,q2,1048576,1048576,41,13,0,4127,4127,0,231872,524288,16384,12761,0,14492,0,0,0,6291456,67108864,14669432675671876423,1,0.3180137297686409,0.3098069808062384,0.3205378027523264,0.003935813903808594,6.0
absent,joint64_planar,q3,1048576,1048576,41,13,0,4075,4075,0,230848,524288,16384,12777,0,14428,0,0,0,6291456,67108864,14669432675671876423,1,0.3093829268500918,0.3059053988683792,0.31453872862316323,0.0038862228393554688,6.0
absent,joint64_planar,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6291456,67108864,14669432675671876423,1,9.572041988372803,9.538484573364256,9.742790222167969,0.0,6.0
absent,joint256_planar,q0,1048576,1048576,41,13,0,4101,4101,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1,0.44041844072013064,0.43426061498707724,0.4536376821583714,0.003911018371582031,4.5
absent,joint256_planar,q1,1048576,1048576,41,13,0,3987,3987,0,657152,131072,4096,1529,0,41072,0,0,0,4718592,67108864,14669432675671876423,1,0.4413099601620533,0.436487494922075,0.4465266212088164,0.0038022994995117188,4.5
absent,joint256_planar,q2,1048576,1048576,41,13,0,4127,4127,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1,0.4475631237030029,0.4365957578023274,0.4496010462443035,0.003935813903808594,4.5
absent,joint256_planar,q3,1048576,1048576,41,13,0,4075,4075,0,660224,131072,4096,1517,0,41264,0,0,0,4718592,67108864,14669432675671876423,1,0.44156960518129423,0.4269381646187074,0.4888416105701077,0.0038862228393554688,4.5
absent,joint256_planar,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4718592,67108864,14669432675671876423,1,9.41514809926351,9.374351819356281,9.558252970377604,0.0,4.5
near,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,1021505038266307959,1,0.49993727342137745,0.49620043556645216,0.5046666163318562,0.0,0.0
near,tag32,q0,1048576,1048576,41,13,0,65158,65158,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1,3.2932193279266353,2.6445881128311157,3.5597281455993652,0.06213951110839844,4.0
near,tag16,q0,1048576,1048576,41,13,0,65158,65158,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1,3.0538624850186435,2.476879119873047,3.3893661499023438,0.06213951110839844,4.0
near,tag8,q0,1048576,1048576,41,13,0,65158,65158,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1,2.554492420620389,2.269907421535916,2.7387338214450403,0.06213951110839844,4.0
near,tag8_eager,q0,1048576,1048576,41,13,0,65158,65158,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,1021505038266307959,1,2.7846141294999556,2.484830249439587,3.135850039395419,0.06213951110839844,4.0
near,joint64,q0,1048576,1048576,41,13,0,65158,65158,0,1029888,524288,16384,292,0,64368,0,0,0,6291456,67108864,1021505038266307959,1,3.6100447177886967,3.0826465288798013,4.492545922597249,0.06213951110839844,6.0
near,joint64_planar,q0,1048576,1048576,41,13,0,65158,65158,0,1029888,524288,16384,292,0,64368,0,0,0,6291456,67108864,1021505038266307959,1,2.9109280109405513,2.4820505380630493,3.7170802354812627,0.06213951110839844,6.0
far,soa,q0,1048576,1048576,41,13,4,4,0,4,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.4934395876797763,0.48754484003240406,0.509294353831898,3.814697265625e-06,0.0
far,tag32,q0,1048576,1048576,41,13,4,4289,4289,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,0.6040367550320094,0.5932345284356011,0.6520236757066514,0.004090309143066406,4.0
far,tag16,q0,1048576,1048576,41,13,4,4289,4289,0,3461440,0,0,0,0,65536,42634,0,0,4194304,67108864,7831855242651732853,1,1.062027168273926,1.0440137481689453,1.0942423248291013,0.004090309143066406,4.0
far,tag8,q0,1048576,1048576,41,13,4,4289,4289,0,1730720,0,0,0,0,65536,0,0,42634,4194304,67108864,7831855242651732853,1,0.9291538874308267,0.9144952774047852,0.9354204813639324,0.004090309143066406,4.0
far,tag8_eager,q0,1048576,1048576,41,13,4,4289,4289,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.7232386026626979,0.6844862179878433,0.7315760881472856,0.004090309143066406,4.0
far,joint64,q0,1048576,1048576,41,13,4,4289,4289,0,1690976,1048576,16384,468,0,63664,0,0,42022,6291456,67108864,7831855242651732853,1,1.0801613514239974,1.0496191244858961,1.0863480934729943,0.004090309143066406,6.0
far,joint64_planar,q0,1048576,1048576,41,13,4,4289,4289,0,1690976,1048576,16384,468,0,63664,0,0,42022,6291456,67108864,7831855242651732853,1,1.0368956785935621,1.01682552924523,1.1440516251784105,0.004090309143066406,6.0
cnf,soa,q0,1048576,1048576,41,13,33,33,0,33,16777216,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.7485236591762967,0.746274126900567,0.759517510732015,3.147125244140625e-05,0.0
cnf,tag16,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,1.509739068838266,1.4268513459425707,1.6278086442213788,0.015425682067871094,4.0
cnf,tag8,q0,1048576,1048576,41,13,33,16175,16175,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,7831855242651732853,1,2.1430406570434566,2.097484415227717,2.388194170865145,0.015425682067871094,4.0
cnf,tag8_cnf,q0,1048576,1048576,41,13,33,16175,16175,0,1969504,0,0,0,0,65536,57558,0,0,4194304,67108864,7831855242651732853,1,2.066403128884055,2.047882426868785,2.1423219333995474,0.015425682067871094,4.0
range,native,q0,1048576,1048576,41,13,524222,524222,0,524222,4194304,0,0,0,0,65536,0,0,0,0,67108864,12688853177045613208,1,2.080785164466271,2.063331383925218,2.092259773841271,0.4999370574951172,0.0
range,prefix16,q0,1048576,1048576,41,13,524222,524222,0,524222,2098016,0,0,0,0,65536,27,0,0,4194304,67108864,12688853177045613208,1,2.3623799410733315,2.3535836826671255,2.3747488368641245,0.4999370574951172,4.0
range,prefix8,q0,1048576,1048576,41,13,524222,524222,0,524222,1172784,0,0,0,0,65536,7735,27,1,4194304,67108864,12688853177045613208,1,2.4271651181307705,2.4198822541670366,2.4347799474542793,0.4999370574951172,4.0
ties,native,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,0,0,0,0,67108864,3519896043959245654,1,2.0743822256724043,2.0618418057759604,2.082869370778402,0.5001058578491211,0.0
ties,prefix16,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,65536,0,0,4194304,67108864,3519896043959245654,1,2.5649409294128414,2.5437531471252446,2.5738778114318848,0.5001058578491211,4.0
ties,prefix8,q0,1048576,1048576,41,13,524399,524399,0,524399,4194304,0,0,0,0,65536,65536,65536,65536,4194304,67108864,3519896043959245654,1,2.8220878177218967,2.8114385604858394,2.8590385648939343,0.5001058578491211,4.0
range_clustered,native,q0,1048576,1048576,41,13,524222,524222,0,524222,4194304,0,0,0,0,65536,0,0,0,0,67108864,17926817765396161761,1,1.2483286630539665,1.245206560407366,1.250006902785528,0.4999370574951172,0.0
range_clustered,prefix16,q0,1048576,1048576,41,13,524222,524222,0,524222,2097248,0,0,0,0,65536,3,0,0,4194304,67108864,17926817765396161761,1,1.3984351409109015,1.398048250298751,1.4218797181781968,0.4999370574951172,4.0
range_clustered,prefix8,q0,1048576,1048576,41,13,524222,524222,0,524222,1056864,0,0,0,0,65536,514,3,1,4194304,67108864,17926817765396161761,1,1.3684191452829464,1.3630653682507967,1.9729601709466231,0.4999370574951172,4.0
