name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/joint16_planar/q0/manual_time,2,1,64,452959.484375,453154.9375000055,ns,1048576.0,1048576.0
absent/joint16_planar/q0/manual_time,3,1,64,468201.234375,468427.7343749987,ns,1048576.0,1048576.0
absent/joint16_planar/q0/manual_time,4,1,64,457955.62500000006,458154.95312501176,ns,1048576.0,1048576.0
absent/joint16_planar/q1/manual_time,0,1,54,444265.5925925925,444461.4074074133,ns,1048576.0,1048576.0
absent/joint16_planar/q1/manual_time,1,1,54,443309.6111111112,443506.94444445975,ns,1048576.0,1048576.0
absent/joint16_planar/q1/manual_time,2,1,54,449359.7592592593,449533.9444444073,ns,1048576.0,1048576.0
absent/joint16_planar/q1/manual_time,3,1,54,441182.9629629629,441428.240740741,ns,1048576.0,1048576.0
absent/joint16_planar/q1/manual_time,4,1,54,465987.87037037045,464788.57407404337,ns,1048576.0,1048576.0
absent/joint16_planar/q2/manual_time,0,1,56,445038.9285714286,445213.55357142666,ns,1048576.0,1048576.0
absent/joint16_planar/q2/manual_time,1,1,56,456210.0714285715,455322.91071426205,ns,1048576.0,1048576.0
absent/joint16_planar/q2/manual_time,2,1,56,455888.67857142835,456060.26785716123,ns,1048576.0,1048576.0
absent/joint16_planar/q2/manual_time,3,1,56,442445.875,442644.3571428708,ns,1048576.0,1048576.0
absent/joint16_planar/q2/manual_time,4,1,56,459043.37499999994,459223.96428573923,ns,1048576.0,1048576.0
absent/joint16_planar/q3/manual_time,0,1,62,461815.77419354825,462016.1290322729,ns,1048576.0,1048576.0
absent/joint16_planar/q3/manual_time,1,1,62,468186.1290322578,468387.096774225,ns,1048576.0,1048576.0
absent/joint16_planar/q3/manual_time,2,1,62,447275.98387096776,447507.3870967464,ns,1048576.0,1048576.0
absent/joint16_planar/q3/manual_time,3,1,62,468364.0645161291,468598.79032259336,ns,1048576.0,1048576.0
absent/joint16_planar/q3/manual_time,4,1,62,441185.9354838711,441372.3225806941,ns,1048576.0,1048576.0
absent/joint16_planar/build/manual_time,0,1,2,10458974.5,10464250.000000063,ns,1048576.0,1048576.0
absent/joint16_planar/build/manual_time,1,1,2,10417202.5,10422333.500001103,ns,1048576.0,1048576.0
absent/joint16_planar/build/manual_time,2,1,2,10356994.500000002,10363082.999999663,ns,1048576.0,1048576.0
absent/joint16_planar/build/manual_time,3,1,2,10272847.5,10277812.50000004,ns,1048576.0,1048576.0
absent/joint16_planar/build/manual_time,4,1,2,10404535.999999998,10410041.500000134,ns,1048576.0,1048576.0
absent/joint64_planar/q0/manual_time,0,1,86,335066.2790697675,335236.90697672346,ns,1048576.0,1048576.0
absent/joint64_planar/q0/manual_time,1,1,86,337303.6395348837,337476.7441860313,ns,1048576.0,1048576.0
absent/joint64_planar/q0/manual_time,2,1,86,339366.20930232556,339511.13953489566,ns,1048576.0,1048576.0
absent/joint64_planar/q0/manual_time,3,1,86,327690.74418604653,327853.68604654324,ns,1048576.0,1048576.0
absent/joint64_planar/q0/manual_time,4,1,86,327709.5348837209,327875.96511625376,ns,1048576.0,1048576.0
absent/joint64_planar/q1/manual_time,0,1,75,329243.45333333337,329416.1066666372,ns,1048576.0,1048576.0
absent/joint64_planar/q1/manual_time,1,1,75,321145.10666666663,321294.4399999647,ns,1048576.0,1048576.0
absent/joint64_planar/q1/manual_time,2,1,75,332535.7466666667,331972.7733333385,ns,1048576.0,1048576.0
absent/joint64_planar/q1/manual_time,3,1,75,324963.43999999994,325155.5600000226,ns,1048576.0,1048576.0
absent/joint64_planar/q1/manual_time,4,1,75,325438.98666666663,325585.5599999791,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,0,1,85,324856.16470588226,325009.8117647289,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,1,1,85,336108.2470588234,335340.1999999803,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,2,1,85,332880.23529411753,333048.04705882334,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,3,1,85,334515.55294117663,334662.2588235077,ns,1048576.0,1048576.0
absent/joint64_planar/q2/manual_time,4,1,85,333461.5647058824,333665.68235292705,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,0,1,84,323427.9047619047,323577.88095238066,ns,1048576.0,1048576.0
absent/joint64_planar/q3/manual_time,1,1,84,329535.01190476184,329681.5476190318,ns,1048576.0,1048576.0
