dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
random_dense,cheap,full,predict-then-encode,0,16,512,8192,0,67108864,5825729,711.149,26017538,100990760,5839222,5839222,available,0,0,unestablished
random_dense,cheap,full,predict-then-encode,1,16,512,8192,0,67108864,5827668,711.385,26015868,100990759,5834983,5834983,available,0,0,unestablished
random_dense,cheap,full,predict-then-encode,2,16,512,8192,0,67108864,5884519,718.325,26249143,100990760,5889742,5889742,available,0,0,unestablished
random_dense,cheap,full,predict-then-encode,3,16,512,8192,0,67108864,5878119,717.544,26130565,100990759,5883892,5883892,available,0,0,unestablished
random_dense,cheap,full,predict-then-encode,4,16,512,8192,0,67108864,5856389,714.891,26020148,100990760,5851683,5851683,available,0,0,unestablished
random_dense,cheap,sample32,predict,0,16,4096,65536,0,667680768,8123657,123.957,36219939,122085674,8140633,8140633,available,0,0,unestablished
random_dense,cheap,sample32,predict,1,16,4096,65536,0,667680768,8120457,123.908,36223876,122085674,8127463,8127463,available,0,0,unestablished
random_dense,cheap,sample32,predict,2,16,4096,65536,0,667680768,8116917,123.854,36218580,122085674,8122143,8122143,available,0,0,unestablished
random_dense,cheap,sample32,predict,3,16,4096,65536,0,667680768,8150487,124.367,36218003,122085675,8145653,8145653,available,0,0,unestablished
random_dense,cheap,sample32,predict,4,16,4096,65536,0,667680768,8126188,123.996,36225436,122085675,8131733,8131733,available,0,0,unestablished
random_dense,cheap,sample32,predict-then-encode,0,16,4096,65536,0,536870912,8021357,122.396,35871640,122351914,8034893,8034893,available,0,0,unestablished
random_dense,cheap,sample32,predict-then-encode,1,16,4096,65536,0,536870912,8047927,122.802,35954445,122351914,8052863,8052863,available,0,0,unestablished
random_dense,cheap,sample32,predict-then-encode,2,16,4096,65536,0,536870912,8040606,122.69,35905815,122351914,8045833,8045833,available,0,0,unestablished
random_dense,cheap,sample32,predict-then-encode,3,16,4096,65536,0,536870912,8126257,123.997,35916309,122351915,8076903,8076903,available,0,0,unestablished
random_dense,cheap,sample32,predict-then-encode,4,16,4096,65536,0,536870912,8088847,123.426,35895109,122351914,8061523,8061523,available,0,0,unestablished
random_dense,quadrants,full,predict,0,16,256,4096,0,41460480,5325884,1300.26,23830008,90337062,5338402,5338402,available,0,0,unestablished
random_dense,quadrants,full,predict,1,16,256,4096,0,41460480,5348784,1305.86,23836095,90337064,5354213,5354213,available,0,0,unestablished
random_dense,quadrants,full,predict,2,16,256,4096,0,41460480,5353554,1307.02,23831722,90337062,5358822,5358822,available,0,0,unestablished
random_dense,quadrants,full,predict,3,16,256,4096,0,41460480,5351274,1306.46,23837605,90337062,5356582,5356582,available,0,0,unestablished
random_dense,quadrants,full,predict,4,16,256,4096,0,41460480,5373265,1311.83,23835558,90337065,5360862,5360862,available,0,0,unestablished
random_dense,quadrants,full,predict-then-encode,0,16,256,4096,0,33554432,5336944,1302.96,23848418,90353703,5355712,5355712,available,0,0,unestablished
random_dense,quadrants,full,predict-then-encode,1,16,256,4096,0,33554432,5408145,1320.35,23819090,90353703,5376212,5376212,available,0,0,unestablished
random_dense,quadrants,full,predict-then-encode,2,16,256,4096,0,33554432,5351824,1306.6,23828227,90353703,5357082,5357082,available,0,0,unestablished
random_dense,quadrants,full,predict-then-encode,3,16,256,4096,0,33554432,5349794,1306.1,23811813,90353703,5355132,5355132,available,0,0,unestablished
random_dense,quadrants,full,predict-then-encode,4,16,256,4096,0,33554432,5344214,1304.74,23809737,90353702,5349392,5349392,available,0,0,unestablished
random_dense,quadrants,sample32,predict,0,16,2048,32768,0,331563008,6439773,196.526,28698872,97841449,6454383,6454383,available,0,0,unestablished
random_dense,quadrants,sample32,predict,1,16,2048,32768,0,331563008,6456974,197.051,28699631,97841448,6462432,6462432,available,0,0,unestablished
random_dense,quadrants,sample32,predict,2,16,2048,32768,0,331563008,6453273,196.938,28703121,97841448,6448083,6448083,available,0,0,unestablished
random_dense,quadrants,sample32,predict,3,16,2048,32768,0,331563008,6441094,196.567,28693277,97841448,6446522,6446522,available,0,0,unestablished
random_dense,quadrants,sample32,predict,4,16,2048,32768,0,331563008,6466574,197.344,28702390,97841448,6461533,6461533,available,0,0,unestablished
random_dense,quadrants,sample32,predict-then-encode,0,16,2048,32768,0,268435456,6459533,197.129,28720646,97974568,6458852,6458852,available,0,0,unestablished
random_dense,quadrants,sample32,predict-then-encode,1,16,2048,32768,0,268435456,6453333,196.94,28709313,97974569,6459803,6459803,available,0,0,unestablished
random_dense,quadrants,sample32,predict-then-encode,2,16,2048,32768,0,268435456,6451234,196.876,28715949,97974567,6458172,6458172,available,0,0,unestablished
random_dense,quadrants,sample32,predict-then-encode,3,16,2048,32768,0,268435456,6466143,197.331,28722482,97974570,6470473,6470473,available,0,0,unestablished
random_dense,quadrants,sample32,predict-then-encode,4,16,2048,32768,0,268435456,6452314,196.909,28710312,97974568,6457502,6457502,available,0,0,unestablished
terminal_mix,cheap,full,predict,0,16,2048,32768,0,58036224,9371308,285.99,41647404,195899693,9368033,9368033,available,0,0,unestablished
terminal_mix,cheap,full,predict,1,16,2048,32768,0,58036224,9357008,285.553,41646574,195899692,9362653,9362653,available,0,0,unestablished
terminal_mix,cheap,full,predict,2,16,2048,32768,0,58036224,9409918,287.168,41655209,195899691,9381834,9381834,available,0,0,unestablished
terminal_mix,cheap,full,predict,3,16,2048,32768,0,58036224,9369118,285.923,41661948,195899692,9374364,9374364,available,0,0,unestablished
terminal_mix,cheap,full,predict,4,16,2048,32768,0,58036224,9382458,286.33,41642508,195899692,9388523,9388523,available,0,0,unestablished
terminal_mix,cheap,full,encode,0,16,512,8192,8192,14254080,5943669,725.546,26414146,88990504,5948362,5948362,available,0,0,unestablished
terminal_mix,cheap,full,encode,1,16,512,8192,8192,14254080,5943480,725.522,26411708,88990503,5949132,5949132,available,0,0,unestablished
terminal_mix,cheap,full,encode,2,16,512,8192,8192,14254080,5932969,724.239,26407957,88990504,5938443,5938443,available,0,0,unestablished
terminal_mix,cheap,full,encode,3,16,512,8192,8192,14254080,5939209,725.001,26427041,88990503,5944422,5944422,available,0,0,unestablished
terminal_mix,cheap,full,encode,4,16,512,8192,8192,14254080,5927819,723.611,26413008,88990504,5933772,5933772,available,0,0,unestablished
terminal_mix,cheap,full,predict-then-encode,0,16,512,8192,8192,18972672,8233249,1005.04,36753954,137965354,8249103,8249103,available,0,0,unestablished
terminal_mix,cheap,full,predict-then-encode,1,16,512,8192,8192,18972672,8247388,1006.76,36775473,137965355,8253283,8253283,available,0,0,unestablished
terminal_mix,cheap,full,predict-then-encode,2,16,512,8192,8192,18972672,8265729,1009,36765265,137965354,8271503,8271503,available,0,0,unestablished
terminal_mix,cheap,full,predict-then-encode,3,16,512,8192,8192,18972672,8255658,1007.77,36775044,137965354,8261363,8261363,available,0,0,unestablished
terminal_mix,cheap,full,predict-then-encode,4,16,512,8192,8192,18972672,8257269,1007.97,36779880,137965354,8263394,8263394,available,0,0,unestablished
terminal_mix,cheap,sample32,predict,0,16,8192,131072,0,209190912,6573955,50.1553,29239334,130924841,6588592,6588592,available,0,0,unestablished
terminal_mix,cheap,sample32,predict,1,16,8192,131072,0,209190912,6554054,50.0035,29099992,130924841,6561133,6561133,available,0,0,unestablished
terminal_mix,cheap,sample32,predict,2,16,8192,131072,0,209190912,6569094,50.1182,29231832,130924839,6575462,6575462,available,0,0,unestablished
terminal_mix,cheap,sample32,predict,3,16,8192,131072,0,209190912,6567735,50.1078,29254540,130924841,6572993,6572993,available,0,0,unestablished
terminal_mix,cheap,sample32,predict,4,16,8192,131072,0,209190912,6564344,50.082,29115710,130924840,6569692,6569692,available,0,0,unestablished
terminal_mix,cheap,sample32,predict-then-encode,0,16,512,8192,8192,18972672,6344593,774.486,28300985,97173287,6357653,6357653,available,0,0,unestablished
terminal_mix,cheap,sample32,predict-then-encode,1,16,512,8192,8192,18972672,6329723,772.671,28308526,97173288,6342092,6342092,available,0,0,unestablished
terminal_mix,cheap,sample32,predict-then-encode,2,16,512,8192,8192,18972672,6339792,773.9,28300832,97173294,6345043,6345043,available,0,0,unestablished
terminal_mix,cheap,sample32,predict-then-encode,3,16,512,8192,8192,18972672,6500324,793.497,28305531,97173294,6405342,6405342,available,0,0,unestablished
terminal_mix,cheap,sample32,predict-then-encode,4,16,512,8192,8192,18972672,6353782,775.608,28306372,97173288,6359042,6359042,available,0,0,unestablished
terminal_mix,quadrants,full,predict,0,16,512,8192,0,14402560,5285183,645.164,23470128,123497768,5274452,5274452,available,0,0,unestablished
terminal_mix,quadrants,full,predict,1,16,512,8192,0,14402560,5273923,643.789,23468539,123497766,5279292,5279292,available,0,0,unestablished
terminal_mix,quadrants,full,predict,2,16,512,8192,0,14402560,5266623,642.898,23464338,123497767,5271992,5271992,available,0,0,unestablished
terminal_mix,quadrants,full,predict,3,16,512,8192,0,14402560,5267684,643.028,23467661,123497767,5272952,5272952,available,0,0,unestablished
terminal_mix,quadrants,full,predict,4,16,512,8192,0,14402560,5277774,644.26,23466602,123497766,5282992,5282992,available,0,0,unestablished
terminal_mix,quadrants,full,predict-then-encode,0,16,256,4096,4096,9486336,5579416,1362.16,24950207,106244135,5592852,5592852,available,0,0,unestablished
terminal_mix,quadrants,full,predict-then-encode,1,16,256,4096,4096,9486336,5602497,1367.8,24946957,106244136,5608162,5608162,available,0,0,unestablished
terminal_mix,quadrants,full,predict-then-encode,2,16,256,4096,4096,9486336,5681517,1387.09,24945548,106244136,5629653,5629653,available,0,0,unestablished
terminal_mix,quadrants,full,predict-then-encode,3,16,256,4096,4096,9486336,5598107,1366.73,24950874,106244135,5603292,5603292,available,0,0,unestablished
terminal_mix,quadrants,full,predict-then-encode,4,16,256,4096,4096,9486336,5608596,1369.29,24943421,106244136,5613792,5613792,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict,0,16,4096,65536,0,104103936,6190621,94.4614,27629749,137290024,6207092,6207092,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict,1,16,4096,65536,0,104103936,6194722,94.524,27631630,137290023,6202112,6202112,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict,2,16,4096,65536,0,104103936,6245592,95.3002,27649477,137290025,6251793,6251793,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict,3,16,4096,65536,0,104103936,6238981,95.1993,27678773,137290024,6228792,6228792,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict,4,16,4096,65536,0,104103936,6217311,94.8686,27651539,137290024,6223943,6223943,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict-then-encode,0,16,512,8192,8192,18972672,6768766,826.265,30216913,106151721,6782872,6782872,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict-then-encode,1,16,512,8192,8192,18972672,6785006,828.248,30216346,106151720,6790373,6790373,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict-then-encode,2,16,512,8192,8192,18972672,6787887,828.599,30218351,106151720,6793333,6793333,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict-then-encode,3,16,512,8192,8192,18972672,6785856,828.352,30214158,106151721,6791192,6791192,available,0,0,unestablished
terminal_mix,quadrants,sample32,predict-then-encode,4,16,512,8192,8192,18972672,6817277,832.187,30216514,106151722,6810073,6810073,available,0,0,unestablished
census-income,cheap,full,predict,0,16,1024,16384,0,18219008,7294531,445.223,32506440,137339178,7298482,7298482,available,0,0,unestablished
census-income,cheap,full,predict,1,16,1024,16384,0,18219008,7287931,444.82,32439971,137339177,7293123,7293123,available,0,0,unestablished
census-income,cheap,full,predict,2,16,1024,16384,0,18219008,7325300,447.101,32448214,137339177,7296483,7296483,available,0,0,unestablished
census-income,cheap,full,predict,3,16,1024,16384,0,18219008,7284560,444.614,32462108,137339178,7289353,7289353,available,0,0,unestablished
census-income,cheap,full,predict,4,16,1024,16384,0,18219008,7314771,446.458,32454561,137339177,7303053,7303053,available,0,0,unestablished
census-income,cheap,full,encode,0,16,256,4096,4096,4495104,6859187,1674.61,30642121,93686569,6871713,6871713,available,0,0,unestablished
census-income,cheap,full,encode,1,16,256,4096,4096,4495104,6883607,1680.57,30680217,93686568,6888892,6888892,available,0,0,unestablished
census-income,cheap,full,encode,2,16,256,4096,4096,4495104,6875547,1678.6,30663380,93686569,6880753,6880753,available,0,0,unestablished
census-income,cheap,full,encode,3,16,256,4096,4096,4495104,6870377,1677.34,30614267,93686568,6876513,6876513,available,0,0,unestablished
census-income,cheap,full,encode,4,16,256,4096,4096,4495104,6907258,1686.34,30666010,93686570,6900032,6900032,available,0,0,unestablished
census-income,cheap,full,predict-then-encode,0,16,256,4096,3840,6235648,7747885,1891.57,34592016,115820330,7760483,7760483,available,0,0,unestablished
census-income,cheap,full,predict-then-encode,1,16,256,4096,3840,6235648,7773724,1897.88,34604573,115820329,7779033,7779033,available,0,0,unestablished
census-income,cheap,full,predict-then-encode,2,16,256,4096,3840,6235648,7793935,1902.82,34609068,115820330,7799203,7799203,available,0,0,unestablished
census-income,cheap,full,predict-then-encode,3,16,256,4096,3840,6235648,7793655,1902.75,34601560,115820330,7799383,7799383,available,0,0,unestablished
census-income,cheap,full,predict-then-encode,4,16,256,4096,3840,6235648,7813405,1907.57,34571760,115820331,7807923,7807923,available,0,0,unestablished
census-income,cheap,sample32,predict,0,16,4096,65536,0,72318976,5189663,79.188,23047911,88269095,5204202,5204202,available,0,0,unestablished
census-income,cheap,sample32,predict,1,16,4096,65536,0,72318976,5176963,78.9942,22998721,88269094,5182222,5182222,available,0,0,unestablished
census-income,cheap,sample32,predict,2,16,4096,65536,0,72318976,5181443,79.0625,22991905,88269095,5186922,5186922,available,0,0,unestablished
census-income,cheap,sample32,predict,3,16,4096,65536,0,72318976,5278984,80.5509,23000420,88269097,5235362,5235362,available,0,0,unestablished
census-income,cheap,sample32,predict,4,16,4096,65536,0,72318976,5239133,79.9428,23047849,88269096,5235912,5235912,available,0,0,unestablished
census-income,cheap,sample32,predict-then-encode,0,16,256,4096,3840,6235648,6298952,1537.83,28080280,87002407,6311623,6311623,available,0,0,unestablished
census-income,cheap,sample32,predict-then-encode,1,16,256,4096,3840,6235648,6331612,1545.8,28079390,87002409,6328192,6328192,available,0,0,unestablished
census-income,cheap,sample32,predict-then-encode,2,16,256,4096,3840,6235648,6302772,1538.76,28046017,87002407,6308032,6308032,available,0,0,unestablished
census-income,cheap,sample32,predict-then-encode,3,16,256,4096,3840,6235648,6310922,1540.75,28075642,87002409,6316103,6316103,available,0,0,unestablished
census-income,cheap,sample32,predict-then-encode,4,16,256,4096,3840,6235648,6314172,1541.55,28083251,87002407,6311572,6311572,available,0,0,unestablished
census-income,quadrants,full,predict,0,16,512,8192,0,9074176,7412681,904.868,33076348,145158441,7428073,7428073,available,0,0,unestablished
census-income,quadrants,full,predict,1,16,512,8192,0,9074176,7434532,907.536,33077179,145158442,7439873,7439873,available,0,0,unestablished
census-income,quadrants,full,predict,2,16,512,8192,0,9074176,7441482,908.384,33075268,145158441,7446913,7446913,available,0,0,unestablished
census-income,quadrants,full,predict,3,16,512,8192,0,9074176,7433811,907.448,33054860,145158442,7440053,7440053,available,0,0,unestablished
census-income,quadrants,full,predict,4,16,512,8192,0,9074176,7420661,905.842,33038527,145158440,7427382,7427382,available,0,0,unestablished
census-income,quadrants,full,predict-then-encode,0,16,256,4096,3840,6235648,9616909,2347.88,43047729,154064684,9631634,9631634,available,0,0,unestablished
census-income,quadrants,full,predict-then-encode,1,16,256,4096,3840,6235648,9663920,2359.36,43089647,154064684,9669973,9669973,available,0,0,unestablished
census-income,quadrants,full,predict-then-encode,2,16,256,4096,3840,6235648,9646510,2355.1,43069288,154064685,9653014,9653014,available,0,0,unestablished
census-income,quadrants,full,predict-then-encode,3,16,256,4096,3840,6235648,9709280,2370.43,43068158,154064684,9705074,9705074,available,0,0,unestablished
census-income,quadrants,full,predict-then-encode,4,16,256,4096,3840,6235648,9665280,2359.69,43067003,154064684,9671933,9671933,available,0,0,unestablished
census-income,quadrants,sample32,predict,0,16,4096,65536,0,71958528,8773903,133.879,39218065,160809258,8788184,8788184,available,0,0,unestablished
census-income,quadrants,sample32,predict,1,16,4096,65536,0,71958528,8810793,134.442,39205463,160809259,8816133,8816133,available,0,0,unestablished
census-income,quadrants,sample32,predict,2,16,4096,65536,0,71958528,8912574,135.995,39224030,160809261,8870763,8870763,available,0,0,unestablished
census-income,quadrants,sample32,predict,3,16,4096,65536,0,71958528,8817023,134.537,39227833,160809259,8822304,8822304,available,0,0,unestablished
census-income,quadrants,sample32,predict,4,16,4096,65536,0,71958528,8789323,134.114,39220526,160809259,8794553,8794553,available,0,0,unestablished
census-income,quadrants,sample32,predict-then-encode,0,16,256,4096,3840,6235648,6539994,1596.68,29186510,91536168,6552563,6552563,available,0,0,unestablished
census-income,quadrants,sample32,predict-then-encode,1,16,256,4096,3840,6235648,6565884,1603,29190950,91536167,6571182,6571182,available,0,0,unestablished
census-income,quadrants,sample32,predict-then-encode,2,16,256,4096,3840,6235648,6640915,1621.32,29196155,91536170,6603653,6603653,available,0,0,unestablished
census-income,quadrants,sample32,predict-then-encode,3,16,256,4096,3840,6235648,6576774,1605.66,29215356,91536168,6582012,6582012,available,0,0,unestablished
census-income,quadrants,sample32,predict-then-encode,4,16,256,4096,3840,6235648,6585975,1607.9,29206498,91536168,6592513,6592513,available,0,0,unestablished
census-income_srt,cheap,full,predict,0,16,2048,32768,0,7241728,8965894,273.617,40048913,194318635,8984203,8984203,available,0,0,unestablished
census-income_srt,cheap,full,predict,1,16,2048,32768,0,7241728,9063395,276.593,40043224,194318636,9051244,9051244,available,0,0,unestablished
census-income_srt,cheap,full,predict,2,16,2048,32768,0,7241728,9013704,275.076,40019076,194318635,9020283,9020283,available,0,0,unestablished
census-income_srt,cheap,full,predict,3,16,2048,32768,0,7241728,8981474,274.093,40027957,194318635,8988163,8988163,available,0,0,unestablished
census-income_srt,cheap,full,predict,4,16,2048,32768,0,7241728,9033385,275.677,40045541,194318635,9029023,9029023,available,0,0,unestablished
census-income_srt,cheap,full,encode,0,16,1024,16384,16384,3667968,9714440,592.922,43139413,150262060,9716654,9716654,available,0,0,unestablished
census-income_srt,cheap,full,encode,1,16,1024,16384,16384,3667968,9719941,593.258,43228409,150262060,9725083,9725083,available,0,0,unestablished
census-income_srt,cheap,full,encode,2,16,1024,16384,16384,3667968,9730571,593.907,43146623,150262061,9735784,9735784,available,0,0,unestablished
census-income_srt,cheap,full,encode,3,16,1024,16384,16384,3667968,9725280,593.584,43068971,150262061,9730514,9730514,available,0,0,unestablished
census-income_srt,cheap,full,encode,4,16,1024,16384,16384,3667968,9722951,593.442,43177693,150262059,9728214,9728214,available,0,0,unestablished
census-income_srt,cheap,full,predict-then-encode,0,16,512,8192,8192,6552576,7060418,861.867,31480140,123710761,7072733,7072733,available,0,0,unestablished
