src,dst,edge,passes,p50_us_min,p50_us_max,p99_us_min,p99_us_max,p50_lo_us_min,p50_lo_us_max,p50_hi_us_min,p50_hi_us_max,p99_hi_us_min,p99_hi_us_max,rtt_p50_us_min,rtt_p50_us_max,rtt_p99_us_min,rtt_p99_us_max,passes_point_p50_le_110,passes_point_p99_le_110,passes_bounded_p50_le_110,passes_resolved_faster
3,9,az2b -> az5b,4,141.7002534716024,156.45474507556594,149.08875691839341,163.40866943941757,94.59225796981983,109.46037409394395,190.36944936986987,205.07940884984987,205.09627722580578,219.58180015367466,270.87924999999996,399.224,284.537815,418.24114499999996,0,0,0,1
3,10,az2b -> az6a,4,308.1455221196875,338.6792205603922,317.2223491523917,351.8694020759012,260.892129545996,292.514193816917,358.41137649074074,386.14300604024027,374.12794873522625,407.0089432911281,659.30975,931.02375,677.128905,945.037385,0,0,0,3
3,11,az2b -> az6b,4,379.27718212924907,633.8369702584342,387.50796671689216,639.9005603038028,329.9165352593594,587.1763237245746,429.66929240905915,680.8099450494994,443.10911263098495,695.3038498144264,886.8515,1025.50725,894.11921,1033.758355,0,0,0,2
4,0,az3a -> az1a,4,227.57778978453052,251.14431832360023,231.96764332572397,254.4828471778462,0.0,0.0,488.468832993994,518.4448164835835,493.8719082568619,524.0257747051612,488.231,518.2570000000001,493.650325,523.8355349999999,0,0,0,0
4,1,az3a -> az1b,4,339.34668013860494,349.2885497668885,344.6636289048678,353.01093441423956,0.0,0.0,701.5505198577077,719.1497016544545,706.8938138125385,725.1853660328409,701.337,718.94575,706.666765,725.25277,0,0,0,0
4,2,az3a -> az2a,4,384.3927281230898,426.99948965271795,388.4633031620769,430.90457868414927,0.0,12.659844983793214,764.0379961012229,870.9859994991992,792.3729131737438,876.5455246696787,788.12425,870.71375,794.4423,876.2692400000001,0,0,0,0
4,3,az3a -> az2b,4,360.2851227879164,400.8759531178224,365.1066412275051,405.35827296098205,0.0,24.677945403369026,791.2432552016517,795.3180778795795,799.4222231682953,811.9948718662342,791.009,807.85325,799.186325,815.118615,0,0,0,0
4,6,az3a -> az4a,4,278.6330471144642,353.1678428980693,285.1762187297581,359.4947634688321,0.0,0.0,667.9552697921422,725.6464438318319,683.323062593048,741.4139841125476,667.77325,725.46675,683.14272,741.22857,0,0,0,0
4,7,az3a -> az4b,4,346.2487544056479,367.64567350436494,352.0416971417731,373.532936111899,0.0,0.0,720.7100547955956,757.3493054396397,730.6625579722732,767.9654085468879,720.4935,757.1395,730.44635,767.77107,0,0,0,0
4,8,az3a -> az5a,4,231.8014217678928,338.1393758844994,237.35683434941618,348.4611879574456,0.0,0.0,475.4162317974975,693.3960884337337,483.0252845237938,702.5226350088678,475.24125000000004,694.865,482.851725,703.315525,0,0,0,0
4,9,az3a -> az5b,4,219.2126420257739,344.5309892129926,228.6634858855522,353.0234024031146,0.0,0.0,468.81574881156155,582.2101270569069,480.10519125129827,593.7907184851691,468.63149999999996,582.0325,479.920255,593.60767,0,0,0,0
4,10,az3a -> az6a,4,178.8600185198481,206.8718684294729,183.36355355536816,212.13411433825755,0.0,0.0,372.4976169066066,405.9698345443944,378.71312500976677,412.835170136021,372.341,405.80375000000004,378.55127500000003,412.66606,0,0,0,0
4,11,az3a -> az6b,4,210.61673992541955,250.19659155710625,215.19687553884248,254.973644905849,0.0,0.0,411.8055550507007,507.7360848161161,418.076365002036,518.0014769866006,411.57675,507.50175,417.85677499999997,517.8074349999999,0,0,0,0
5,0,az3b -> az1a,4,228.6404396008848,230.37308107669315,234.95562442356734,236.00093554200254,0.0,0.0,479.07576467577576,486.4828121637638,486.140881912966,498.41030196578777,478.866,486.23400000000004,485.94588,498.16752999999994,0,0,0,0
5,1,az3b -> az1b,4,236.98954039896606,358.0751571048483,243.11798501170253,363.2179713071474,0.0,0.0,494.3160215412412,625.2462120782782,504.9377664554784,636.9778076978447,494.12725,625.03775,504.7725249999999,636.7646549999998,0,0,0,0
5,2,az3b -> az2a,4,322.6167253036669,393.3611797653002,329.481331696772,398.8441065738095,0.0,0.0,669.4406777312312,794.6664902222723,678.6114858720199,803.7261579054384,669.23875,794.52475,678.410805,803.500735,0,0,0,0
5,3,az3b -> az2b,4,312.0663262789451,386.5685563905075,319.1470724669311,396.56580315857116,0.0,6.974983233736944,642.6795793656156,714.4763604629129,656.2189208554072,726.4880370148969,642.4547500000001,714.28525,656.0068149999998,726.29686,0,0,0,0
5,6,az3b -> az4a,4,337.14709453367084,364.3356965896071,343.62613872453426,372.85723260143635,0.0,0.0,701.4831283320821,743.4918074263763,711.8983471986396,761.331951476131,701.2729999999999,743.4322500000001,711.53693,764.4271799999999,0,0,0,0
5,7,az3b -> az4b,4,349.23107081857415,356.8505837508769,356.7224162466698,362.3681272368288,0.0,0.0,714.2375427065065,738.4309220557558,726.0701827471152,746.881741993115,714.015,738.242,725.847755,746.6904599999999,0,0,0,0
5,8,az3b -> az5a,4,217.28105351955884,225.08971956525835,223.2596320382791,235.61082031662502,0.0,0.0,454.2675326693193,464.46584695195196,465.0377425636126,477.6376295235455,454.09675000000004,464.2505,464.80773,477.401905,0,0,0,0
5,9,az3b -> az5b,4,218.74927668814058,224.4876991886925,229.3886270365002,235.2414788777673,0.0,0.0,458.3720499192192,462.94948887917917,470.48133771197894,478.7131826786046,458.21825,462.746,470.27709999999996,478.494305,0,0,0,0
5,10,az3b -> az6a,4,176.58373992848152,196.68867569651397,182.68566948585223,203.70371852899797,0.0,0.0,361.91014063218216,402.17992606386383,370.5435648777497,412.1976402779259,361.69275,401.98524999999995,370.33196,411.96733,0,0,0,0
5,11,az3b -> az6b,4,231.18537254477383,243.9484362374684,236.97011856198367,253.93640237942978,0.0,0.0,486.54485887697695,506.8551362750751,495.0976932574965,513.435032827036,486.321,506.65375,494.87278,513.24052,0,0,0,0
6,0,az4a -> az1a,4,136.61594991923556,141.55399384158343,157.5898388547956,166.33935544463543,93.739924343894,95.47765636126127,186.36704646721728,191.8323457923422,209.22257411264832,219.72792214267184,279.2565,282.76225,298.65441,311.96982499999996,0,0,0,0
6,1,az4a -> az1b,4,149.35272260007582,151.83631787401444,161.75465554433026,169.24593434738617,104.0342537186186,106.36197677897894,195.23812498523523,198.1546797046047,215.30897470259666,217.7788681494945,295.49975,303.37275,311.74728000000005,326.492105,0,0,0,0
6,2,az4a -> az2a,4,106.53114121233695,175.61465632156452,131.229162649675,191.07324054790863,58.196038535585515,129.31907647802797,156.49088760965958,222.85340182422422,185.86522070721114,243.10313606395684,222.88475,292.111,255.02335,307.36850000000004,1,0,0,0
6,3,az4a -> az2b,4,101.80090892437194,154.41079739877995,118.24095012600482,170.02334729815263,51.82674696021021,107.75857519024022,150.83001867572568,200.4938217334334,167.30945158926028,219.26266044144543,249.1815,256.0685,271.70955499999997,281.13194,3,0,0,0
6,4,az4a -> az3a,4,372.0252476579629,397.05875690070684,379.48832436199376,408.6450258948117,0.0,0.0,667.9552697921422,725.6464438318319,683.323062593048,741.4139841125476,667.77325,725.46675,683.14272,741.22857,0,0,0,0
6,5,az4a -> az3b,4,363.0797421357619,378.59160822258866,373.4332747483689,392.5060284225102,0.0,0.0,701.4831283320821,743.6158524896897,711.8983471986396,764.6314626029639,701.2729999999999,743.4322500000001,711.53693,764.4271799999999,0,0,0,0
6,8,az4a -> az5a,4,128.35507911504783,238.90840192145293,140.93703810177155,260.7419628278449,81.35075247232243,191.7832266258759,178.32250046881882,289.10610820160167,195.08314570444156,314.36524072818213,262.91475,373.6855,278.56151,405.574315,0,0,0,0
6,9,az4a -> az5b,4,130.2096578710504,168.69569095379074,147.6007444447495,178.79968202932034,80.98281541291286,122.55054398538545,180.59393398208206,214.78326806951947,194.91173347874155,233.0433635744514,264.2745,302.318,283.50007500000004,323.5378399999999,0,0,0,0
